dates,nzd0500-0000,nzd0500-0001,nzd0500-0002,nzd0500-0003,nzd0500-0004,nzd0500-0005,nzd0500-0006,nzd0500-0007,nzd0500-0008,nzd0500-0009,nzd0500-0010,satname
1999-08-26 22:07:32+00:00,,321.57,323.46,313.92,312.28,314.02,321.82,318.51,315.91,324.33,329.7,L7
2000-05-08 22:06:44+00:00,,320.35,318.12,317.02,314.15,319.59,320.73,320.19,316.83,324.7,333.08,L7
2000-05-15 22:12:54+00:00,,295.55,318.12,317.02,314.15,332.57,331.94,336.71500000000003,331.15999999999997,313.01,339.245,L7
2000-06-25 22:06:19+00:00,,295.55,298.65999999999997,317.02,306.42999999999995,325.14,324.94666666666666,336.71500000000003,326.42,318.74333333333334,339.245,L7
2000-07-11 22:06:05+00:00,,296.29333333333335,298.65999999999997,317.02,306.42999999999995,325.14,324.94666666666666,336.71500000000003,326.42,317.18,339.245,L7
2000-07-27 22:05:48+00:00,,305.97,298.65999999999997,318.115,312.6766666666667,323.7875,325.15,332.3833333333334,323.7675,318.128,333.1066666666666,L7
2000-09-20 22:11:14+00:00,,305.97,298.65999999999997,318.115,312.6766666666667,319.756,325.15,321.73,323.7675,318.128,326.9425,L7
2001-04-09 22:04:41+00:00,,,318.55,309.45,308.79,312.98,317.88,,,354.66,,L7
2001-06-28 22:03:56+00:00,,,318.125,309.45,308.79,312.98,319.725,315.4,314.88,340.20000000000005,302.27,L7
2001-07-14 22:03:57+00:00,,330.82,320.43333333333334,307.66999999999996,310.405,312.235,322.33,317.30499999999995,317.055,334.68666666666667,317.875,L7
2001-08-15 22:03:26+00:00,,315.005,320.43333333333334,307.66999999999996,310.405,312.235,322.33,301.85999999999996,311.4866666666667,319.5725,317.875,L7
2001-11-03 22:02:58+00:00,356.63,313.2033333333333,317.6233333333334,307.77,305.525,308.01,318.81,303.1525,309.1375,308.7,323.1933333333333,L7
2002-02-23 22:03:31+00:00,356.63,308.70000000000005,305.65,303.24,294.495,304.1,306.47,306.385,302.225,308.13,321.03,L7
