dates,nzd0406-0000,nzd0406-0001,nzd0406-0002,nzd0406-0003,nzd0406-0004,nzd0406-0005,nzd0406-0006,nzd0406-0007,nzd0406-0008,nzd0406-0009,nzd0406-0010,satname
1999-09-04 22:00:33.926,,322.25,,,,364.12,364.91,350.63,,339.6,346.93,L7
1999-10-22 22:00:28.631,,341.73,374.72,376.76,,376.795,378.53,369.515,,354.58500000000004,366.375,L7
1999-12-09 22:00:33.510,307.62,330.2033333333333,374.72,376.76,,376.795,378.53,369.515,282.83,335.62333333333333,366.375,L7
2000-01-26 22:00:26.187,315.18,328.88,374.72,376.76,,363.08,368.96000000000004,359.01666666666665,295.385,332.11,352.53999999999996,L7
2000-02-11 22:00:21.827,316.20666666666665,328.88,374.72,376.76,,358.055,358.2825,354.0,307.66333333333336,332.082,352.53999999999996,L7
2000-02-27 22:00:16.353,320.47249999999997,329.406,356.3,361.395,343.31,355.872,357.062,354.492,317.0875,333.72499999999997,347.9375,L7
2000-03-30 22:00:09.363,320.47249999999997,331.195,356.3,362.52,356.61,359.942,359.91999999999996,358.18999999999994,331.316,337.105,352.945,L7
2000-04-15 21:59:55.745,325.628,332.962,356.3,362.52,359.3066666666667,362.10833333333335,361.9283333333333,359.4166666666667,335.69,340.4328571428572,356.236,L7
2000-05-01 21:59:54.563,325.628,322.04200000000003,337.88,355.4,339.9875,356.3066666666667,356.1816666666667,351.90166666666664,335.49000000000007,335.82428571428574,346.552,L7
2000-06-18 21:59:27.736,330.13,325.76500000000004,337.88,355.4,319.748,356.5828571428571,356.67285714285714,350.9685714285714,343.57428571428574,342.5057142857143,346.83,L7
2000-08-05 21:58:44.520,327.53,324.2025,328.825,350.05999999999995,312.6483333333333,360.0785714285715,357.78000000000003,351.4942857142857,348.40285714285716,346.00714285714287,350.825,L7
2000-09-06 21:58:22.821,322.31,319.1825,319.77,352.07499999999993,301.9066666666667,363.5183333333334,361.8416666666667,353.01000000000005,352.24800000000005,349.62800000000004,348.8016666666667,L7
2000-10-08 21:58:00.300,317.8225,318.12399999999997,313.835,339.38,288.306,359.955,358.63000000000005,348.428,339.112,343.43600000000004,342.3616666666667,L7
2000-11-25 21:57:58.896,320.4975,323.3375,328.9166666666667,353.32,264.93333333333334,362.658,360.14,352.4525,334.57,345.4275,336.84250000000003,L7
2001-02-13 21:58:03.568,324.575,326.755,335.94,361.87,278.86,373.56499999999994,372.60499999999996,373.46,322.55,357.92,325.1550000000001,L7
2001-07-07 21:57:00.006,328.65,332.33,340.84,356.48,243.12,370.99,380.32500000000005,365.93,,382.6,,L7
2001-08-24 21:56:24.380,303.0,307.24,306.87,338.25,243.12,340.15999999999997,347.63,340.25,338.03,,338.79,L7
2001-09-25 21:56:04.528,320.315,317.73,306.87,343.32,243.12,351.50333333333333,355.2733333333333,345.52666666666664,347.1,414.44,338.79,L7
2002-02-16 21:56:30.006,319.2133333333333,317.73,306.87,343.32,,355.93,354.0133333333333,348.3866666666666,347.1,414.44,322.65,L7
2002-03-20 21:56:24.055,327.29333333333335,326.55,338.81,346.99,,368.32,358.7266666666667,350.4866666666667,350.475,380.565,322.275,L7
2002-05-07 21:56:27.687,311.95666666666665,313.0,338.81,345.59,269.28,357.29999999999995,355.5833333333333,348.02666666666664,345.345,339.74,326.01,L7
2002-10-14 21:55:19.836,314.40999999999997,314.53499999999997,344.98,348.47,269.28,357.51,366.78999999999996,353.845,344.615,335.53499999999997,344.865,L7
2002-10-30 21:55:25.430,332.65000000000003,323.71999999999997,349.515,351.275,269.28,362.66333333333336,370.48,357.34999999999997,348.8566666666666,343.26666666666665,351.4466666666667,L7
2003-01-18 21:56:06.129,346.9866666666667,333.69,348.24333333333334,351.275,,367.92,371.08666666666664,358.4666666666667,347.9533333333333,345.59666666666664,353.30333333333334,L7
2003-05-10 21:56:22.313,318.3,319.97,327.955,342.36,,,362.95,352.05,343.2,338.61,348.735,L7
2003-07-21 21:44:09.463,298.79,313.07000000000005,310.21,344.015,243.86,360.7,369.75,363.49,348.9,340.18,347.58500000000004,L5
2004-04-02 21:46:54.575,336.52,329.74,347.26,355.7,,366.52,375.82,369.1,348.44,349.2,346.68,L5
2004-05-04 21:47:51.656,340.735,337.865,355.875,365.525,,375.66499999999996,382.345,375.55,360.27,359.01,355.38,L5
2004-05-20 21:48:20.187,329.46999999999997,320.49666666666667,345.83,358.3933333333334,238.98,369.0933333333333,375.6766666666667,366.1766666666667,351.2366666666667,353.34999999999997,347.77,L5
2004-06-05 21:48:48.638,323.97249999999997,319.635,341.4075,355.6775,241.515,368.255,374.41499999999996,364.245,349.6775,352.075,346.47,L5
2004-07-07 21:49:44.929,321.032,319.964,340.86,355.664,243.05666666666664,367.974,373.98199999999997,363.846,349.586,352.168,345.79200000000003,L5
2004-08-08 21:50:26.495,321.9433333333333,321.17,339.00666666666666,355.664,269.7475,366.68333333333334,372.8633333333333,363.17833333333334,348.285,351.11999999999995,345.1116666666667,L5
2004-09-25 21:51:43.061,321.9433333333333,327.87857142857143,344.5028571428571,361.2183333333333,294.604,372.0828571428571,377.9142857142857,368.5585714285714,354.31714285714287,356.08,352.2714285714286,L5
2004-10-27 21:52:23.346,319.02799999999996,336.2242857142857,352.49000000000007,369.37833333333333,313.1433333333333,376.2642857142857,380.97285714285715,371.90714285714284,359.6914285714286,360.2885714285714,359.02285714285716,L5
2005-01-15 21:53:45.186,326.5,366.2325,375.95000000000005,393.1266666666667,383.0675,387.4150000000001,391.6625,384.60749999999996,373.99,371.375,377.1425,L5
2005-03-04 21:54:27.824,336.65,367.3775,379.915,381.94750000000005,382.265,386.4275,390.87250000000006,383.94,371.59749999999997,368.4425,375.32000000000005,L5
2005-04-05 21:54:42.889,338.66499999999996,357.45500000000004,371.44000000000005,372.4225,373.0075,378.5575,382.69,375.90000000000003,361.305,358.98,362.0475,L5
2005-04-21 21:54:46.500,340.49,353.71200000000005,365.70200000000006,368.682,369.726,376.418,380.846,373.7,359.078,358.322,358.65200000000004,L5
2005-06-08 21:55:08.756,343.84749999999997,348.678,361.09000000000003,363.764,360.69750000000005,375.812,380.04200000000003,372.406,358.904,358.37399999999997,355.81000000000006,L5
2005-06-24 21:55:13.674,346.61199999999997,355.295,364.6933333333333,367.99,360.69750000000005,379.71999999999997,382.9783333333333,375.66499999999996,364.81666666666666,363.78666666666663,359.6716666666667,L5
2005-07-10 21:55:19.319,339.87,348.0442857142857,364.6933333333333,364.1257142857143,360.69750000000005,376.9114285714286,379.8071428571429,372.86571428571426,364.81666666666666,363.78666666666663,359.6716666666667,L5
2005-08-27 21:55:43.837,339.36,340.94571428571425,356.59666666666664,359.6685714285714,356.15749999999997,374.0157142857143,376.35714285714283,368.8728571428571,362.258,361.52,353.25,L5
2005-09-28 21:55:44.137,344.30428571428575,345.81285714285724,361.66499999999996,364.83857142857147,367.3725,380.1228571428571,381.42571428571426,375.04571428571427,373.33399999999995,371.654,357.01599999999996,L5
2006-02-19 21:58:15.515,347.3,342.3233333333333,352.96,363.68666666666667,377.945,376.8733333333333,379.2166666666667,374.05999999999995,369.05999999999995,366.46500000000003,341.535,L5
2006-06-27 22:00:24.118,334.34,329.37,338.04,351.93,,362.79999999999995,370.725,363.03499999999997,350.455,348.28499999999997,341.21000000000004,L5
2006-07-13 22:00:37.941,327.145,319.08500000000004,338.04,351.93,,362.71999999999997,369.43666666666667,359.5133333333333,350.455,348.28499999999997,341.21000000000004,L5
2006-11-02 22:01:56.430,319.95,342.13,379.43,385.71,389.35,372.2733333333333,382.65000000000003,371.3933333333334,368.685,365.87,371.36,L5
2007-01-05 22:02:28.201,319.95,356.99333333333334,388.69,392.86,394.99,386.9066666666667,391.4166666666667,380.6133333333334,382.115,378.42499999999995,395.6,L5
2007-01-21 22:02:33.422,,383.00333333333333,391.27666666666664,395.8666666666666,400.06333333333333,402.88000000000005,407.6133333333334,400.02333333333337,388.1666666666667,382.64000000000004,393.24666666666667,L5
