dates,satname,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0021,nzd0181-0022,nzd0181-0023,nzd0181-0014,nzd0181-0018,nzd0181-0019,nzd0181-0020
2002-05-23 21:54:18.991000,L7,,330.33,417.39,371.36,362.95,404.66,301.67,308.15,309.51,316.29,324.96,324.90,332.39,339.38,302.82,305.70,312.55,304.41,260.10,285.17,325.36,340.38,332.42,351.21
2002-08-27 21:53:36.267000,L7,199.95,309.35,316.03,280.99,,,,,,,,,,,299.54,279.64,309.53,169.88,255.94,286.44,,330.27,325.31,341.60
2002-08-27 21:54:00.253000,L7,204.54,394.27,383.82,384.39,299.87,298.18,300.20,297.23,315.02,318.96,327.23,322.96,327.16,324.28,306.04,285.45,316.98,295.89,285.89,298.30,309.39,335.92,331.05,353.51
2002-10-14 21:53:19.813000,L7,345.85,399.40,396.78,311.55,302.17,297.27,299.78,295.92,308.11,321.38,320.49,318.44,327.75,322.87,303.42,287.80,312.55,297.93,283.08,324.63,308.30,332.93,331.41,345.67
2002-10-14 21:53:43.769000,L7,400.69,397.34,392.60,307.77,297.62,293.26,296.77,294.10,304.70,314.49,318.47,315.80,326.07,321.01,300.02,283.55,310.23,294.55,280.95,290.97,304.44,330.50,330.32,341.29
2002-10-30 21:53:25.867000,L7,394.03,363.45,333.60,298.83,,,,,,,,,,,,,292.23,302.71,285.57,324.60,,336.42,336.39,349.51
2003-01-18 21:54:06.301000,L7,396.15,384.77,390.51,394.42,298.74,297.23,301.14,298.87,316.46,315.20,329.24,327.99,334.47,326.88,307.48,293.94,320.61,305.01,294.13,333.80,314.35,343.81,337.98,362.00
2003-01-18 21:54:30.278000,L7,402.16,387.60,392.66,394.60,396.12,299.63,302.58,299.28,317.44,318.42,329.51,330.16,334.02,326.02,306.58,295.27,320.67,304.95,293.46,378.88,318.40,345.42,337.85,369.15
2003-03-23 21:54:16.760000,L7,195.42,410.29,403.01,366.42,395.32,289.60,295.25,285.35,303.83,305.71,314.11,312.62,319.16,327.71,300.58,295.87,319.04,310.47,275.86,284.16,316.92,334.94,338.77,355.06
2003-03-23 21:54:40.711000,L7,195.29,318.74,329.65,306.66,295.70,289.69,294.20,284.63,303.27,305.44,313.23,312.49,317.82,327.96,299.02,295.19,316.95,309.89,273.65,283.02,316.62,334.11,337.29,354.99
2003-05-10 21:54:22.508000,L7,185.99,324.09,325.54,315.14,295.80,302.56,303.63,292.25,304.41,311.09,316.58,314.71,321.76,323.29,306.81,284.81,321.17,298.11,243.17,292.44,322.90,338.96,347.12,352.50
2003-05-10 21:54:46.466000,L7,183.58,324.15,326.45,314.61,298.99,304.85,305.00,294.81,305.10,311.26,317.94,315.23,323.29,324.67,308.09,285.57,326.07,298.26,242.62,296.07,322.60,340.58,347.63,352.71
2003-07-21 21:42:09.884000,L5,182.95,313.65,323.15,297.75,,,,,,,,,,,,,288.25,289.43,204.51,221.15,,321.25,313.82,335.04
2003-08-06 21:42:27.230000,L5,176.02,306.66,321.97,299.84,,,,,,,,,,,,,,288.51,205.57,218.48,,328.20,322.21,332.97
2003-10-18 21:37:48.406000,L5,,,,,,322.76,320.35,327.66,327.74,341.13,340.93,,,,,,,330.91,255.57,279.14,,,,351.32
