dates,nzd0331-0000,nzd0331-0001,nzd0331-0002,nzd0331-0003,nzd0331-0004,nzd0331-0005,nzd0331-0006,nzd0331-0007,nzd0331-0013,nzd0331-0014,nzd0331-0015,nzd0331-0016,nzd0331-0008,nzd0331-0009,nzd0331-0010,nzd0331-0011,nzd0331-0012,nzd0331-0017
2015-01-09 22:19:14+00:00,302.326,301.18199999999996,297.536,289.1675,290.7,294.59,284.59999999999997,276.70666666666665,206.405,276.8833333333333,273.86833333333334,291.894,289.60833333333335,272.23333333333335,276.66,258.7633333333333,287.40333333333336,297.515
2015-01-25 22:19:08+00:00,301.30333333333334,300.8666666666667,297.65500000000003,290.998,290.3085714285714,294.1042857142857,284.19714285714286,276.4871428571428,202.24857142857144,275.01714285714286,272.1042857142857,289.22,289.83,273.0128571428571,277.16857142857145,257.0857142857143,285.30285714285714,296.75
2015-10-24 22:19:16+00:00,296.95,297.42,296.54,285.5,286.14,290.35,279.2,271.47,207.09,276.93,272.36,286.83,291.03,268.21,271.74,257.78,284.32,289.94
2015-12-20 22:13:09+00:00,299.69,302.78,299.22,292.63,288.23,293.76,284.58,281.265,221.12,281.68,272.655,287.22,292.12,277.095,279.08000000000004,259.14,291.54499999999996,295.0
2016-01-05 22:13:05+00:00,299.23333333333335,301.54333333333335,290.8533333333333,292.63,287.64,293.34,283.7966666666667,276.8433333333333,221.12,280.07666666666665,270.02,287.60999999999996,291.75333333333333,277.2133333333333,279.91333333333336,258.2733333333333,292.71,290.33
2016-02-13 22:19:08+00:00,299.23333333333335,301.54333333333335,290.8533333333333,292.63,285.7125,290.7925,282.6175,270.0825,221.12,276.64,265.6225,286.25,288.35749999999996,274.09749999999997,279.3075,254.7,287.5475,290.33
2016-12-29 22:19:25+00:00,293.63,294.85,,283.21,284.98,286.65,276.82,259.7,,266.65,267.09,246.92,280.12,265.4,278.14,,,
2017-01-23 22:13:31+00:00,295.275,295.79,,283.21,288.34000000000003,288.625,282.0,268.15,232.9,277.575,272.89,246.92,283.4,272.315,284.195,262.09,296.78,287.88
2017-02-15 22:19:07+00:00,295.275,295.79,,283.21,288.34000000000003,288.625,282.0,268.15,202.46,277.575,258.84666666666664,247.69,283.4,272.315,284.195,235.195,272.755,287.88
2017-03-03 22:19:01+00:00,295.275,295.79,,283.21,287.91,287.2633333333333,281.55,259.13,198.56000000000003,276.74333333333334,258.22749999999996,260.53,281.9066666666667,269.77,281.4766666666667,236.41333333333333,274.4833333333333,285.71000000000004
2017-09-27 22:19:24+00:00,,,,,285.51,288.13,280.12,264.32,188.36,286.14,272.89,294.67,279.82,269.03,282.79,251.59,282.3,284.91
2017-10-13 22:19:28+00:00,294.45,287.42,,282.96,285.03999999999996,287.22,279.83000000000004,264.40999999999997,200.705,282.88,272.28499999999997,292.625,279.94,270.54999999999995,284.355,254.32999999999998,285.0,284.56
2017-11-30 22:19:20+00:00,294.2,290.795,284.07,283.585,285.02666666666664,287.1466666666667,279.4766666666667,266.33666666666664,210.02333333333334,279.96999999999997,273.87666666666667,290.72333333333336,279.74666666666667,271.95666666666665,284.04,255.77666666666667,285.1166666666667,284.05333333333334
2018-09-30 22:18:55+00:00,,,,,,282.99,274.1,264.17,,263.99,261.47,278.49,277.49,262.21,247.56,240.65,261.57,265.72
2018-11-10 22:12:56+00:00,293.87,294.77,228.6,283.96,286.28,285.33000000000004,276.355,269.305,235.34,275.82,269.65,284.305,279.01,265.01,259.305,252.17000000000002,276.65999999999997,275.49
2019-01-04 22:19:03+00:00,292.47,294.08,224.44,284.02,286.04499999999996,285.87333333333333,276.6166666666667,269.18333333333334,235.34,275.82,269.65,284.305,278.94666666666666,265.0466666666667,261.25,253.51999999999998,279.7,275.49
2019-02-14 22:12:45+00:00,285.5366666666667,294.6166666666666,224.44,283.85999999999996,288.00333333333333,287.22249999999997,278.1,271.7625,230.035,279.2633333333333,261.75,284.305,281.965,265.0466666666667,261.25,253.51999999999998,281.695,275.49
2019-10-28 22:13:48+00:00,,,,,272.86,279.05,278.51,261.62,217.67,278.15,264.22,283.26,286.15,259.88,272.18,258.85,289.69,284.49
2019-12-22 22:19:27+00:00,293.36,293.15,219.48,283.92,278.885,282.995,277.99,265.645,227.76999999999998,279.9,269.935,286.16499999999996,284.72,265.0,276.20500000000004,261.57500000000005,289.45,289.45500000000004
2020-09-19 22:19:27+00:00,,,,,,,,,,220.08,241.66,271.43,,,,,,
2020-10-05 22:19:31+00:00,,,,,,,274.02,236.53,180.92,238.615,246.005,273.305,276.08,236.24,246.55,238.76,267.94,
2020-10-14 22:13:44+00:00,,,,,280.24,285.44,275.47,246.93,200.01999999999998,253.83666666666667,251.91666666666666,277.16,276.41999999999996,244.735,258.97,248.24,275.69,283.43
2020-10-21 22:19:31+00:00,290.6,284.8,219.99,271.84,282.315,285.95,275.6166666666667,255.25,209.03,260.6975,256.97249999999997,279.8175,277.05,252.24,264.90000000000003,253.35333333333332,279.75666666666666,287.45000000000005
2020-12-24 22:19:30+00:00,290.96000000000004,284.83500000000004,217.985,273.27,281.92333333333335,283.6766666666667,275.3025,256.825,215.115,263.68,259.464,281.754,276.57,256.075,268.795,256.1175,281.315,288.16333333333336
2021-10-01 22:13:46+00:00,,,,,285.7,285.18,277.75,277.36,,268.33,277.4,290.28,285.0,270.41,282.6,254.17,265.52,285.58
2021-11-06 22:14:00+00:00,294.94,295.53,231.55,283.38,285.985,287.18,280.95500000000004,278.055,,268.33,277.4,290.28,285.58000000000004,274.345,284.425,263.98,280.245,292.435
2022-01-20 22:19:27+00:00,293.975,289.07,231.55,276.38,283.46666666666664,285.76666666666665,278.69,273.47333333333336,228.17,268.25,272.615,286.065,282.46333333333337,272.0833333333333,281.0566666666667,261.3433333333333,279.68,287.57666666666665
2022-01-28 22:19:19+00:00,293.74666666666667,287.5833333333333,221.995,276.88,283.765,285.7175,277.7125,272.15250000000003,227.545,270.54333333333335,272.7233333333333,285.8533333333333,281.3825,271.02,280.02,260.62,279.93,287.57666666666665
2022-02-13 22:19:16+00:00,293.6925,287.555,219.82000000000002,277.5825,284.188,285.906,277.57800000000003,272.744,228.59666666666666,273.59000000000003,272.965,287.795,281.478,272.43,281.928,262.418,283.46,288.6125
2022-02-14 22:13:36+00:00,293.354,286.486,219.82000000000002,277.5825,283.59999999999997,284.95,277.03333333333336,271.4116666666667,219.14999999999998,273.59000000000003,268.568,283.578,281.15500000000003,269.94,280.09666666666664,257.54833333333335,281.38166666666666,280.306
2022-03-09 22:19:13+00:00,293.354,286.486,219.82000000000002,277.5825,282.45714285714286,283.56428571428575,271.12428571428575,271.4116666666667,219.14999999999998,271.106,265.795,282.58166666666665,281.15500000000003,269.94,280.09666666666664,257.54833333333335,281.38166666666666,277.02333333333337
2022-11-04 22:19:36+00:00,,,,,276.18,,272.95,,257.48,279.75,273.14,284.11,263.79,234.78,272.87,261.62,284.81,284.14
2023-01-08 22:13:24+00:00,274.79,282.96,225.12,256.81,277.845,285.41,273.87,267.11,243.325,279.22,269.515,284.5,270.6,251.23000000000002,276.395,261.11,281.935,285.085
2023-01-16 22:13:46+00:00,296.605,297.79499999999996,225.12,281.3,287.2133333333333,297.83000000000004,284.31333333333333,287.11,243.325,292.94666666666666,282.00333333333333,297.37333333333333,282.18333333333334,268.78666666666663,290.55333333333334,261.11,293.59,296.27666666666664
2023-01-24 22:13:46+00:00,293.98333333333335,294.99666666666667,225.12,276.5,286.72249999999997,293.9433333333333,282.6675,282.31,240.5,290.49,281.27,295.4525,282.26750000000004,270.365,289.875,263.5,292.2675,294.42
2023-02-08 22:19:42+00:00,293.98333333333335,294.99666666666667,225.12,276.5,285.31,291.2975,280.688,276.5325,240.5,285.576,277.328,292.442,281.812,269.364,287.966,259.25,288.118,292.69
2023-02-16 22:19:25+00:00,293.98333333333335,294.99666666666667,225.12,276.5,284.755,289.608,279.68833333333333,274.644,240.5,282.5566666666667,274.355,290.25,281.18,269.125,286.5883333333333,258.046,286.9683333333333,291.6483333333333
