dates,satname,nzd0387-0000,nzd0387-0001,nzd0387-0002,nzd0387-0003,nzd0387-0004,nzd0387-0005,nzd0387-0006,nzd0387-0007,nzd0387-0008,nzd0387-0009,nzd0387-0010,nzd0387-0011,nzd0387-0012,nzd0387-0013,nzd0387-0014,nzd0387-0015,nzd0387-0016,nzd0387-0017,nzd0387-0018,nzd0387-0019,nzd0387-0020,nzd0387-0021,nzd0387-0022,nzd0387-0023,nzd0387-0024,nzd0387-0025,nzd0387-0026,nzd0387-0027,nzd0387-0028,nzd0387-0029,nzd0387-0030,nzd0387-0031,nzd0387-0032,nzd0387-0033,nzd0387-0034,nzd0387-0035,nzd0387-0040,nzd0387-0041,nzd0387-0042,nzd0387-0043,nzd0387-0044,nzd0387-0036,nzd0387-0037,nzd0387-0038,nzd0387-0039,nzd0387-0045,nzd0387-0046,nzd0387-0047,nzd0387-0048,nzd0387-0049
1999-09-04 22:00:09.953000,L7,,269.80,300.94,331.06,335.52,323.69,327.01,301.38,295.14,343.94,342.76,336.14,345.05,354.23,,,,,,,,,,,,,,,,334.06,324.11,316.06,320.08,327.96,348.24,363.78,379.44,387.36,386.69,399.78,400.82,317.99,369.03,387.71,373.37,407.23,370.85,372.28,393.86,384.01
1999-12-25 22:00:04.067000,L7,361.29,348.30,359.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26 22:00:02.226000,L7,345.42,333.54,345.78,371.37,370.39,365.67,363.47,358.44,357.88,373.29,369.91,367.58,375.38,399.10,365.59,370.60,378.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-15 21:59:31.785000,L7,377.55,362.01,379.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:30.586000,L7,,,284.76,320.18,322.55,313.89,307.62,270.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.94,398.76,403.23,,,,,397.18,,,,
2000-06-18 21:59:03.789000,L7,,271.59,353.52,370.76,357.33,344.33,339.73,324.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:58:20.584000,L7,,,,,,382.64,370.55,339.66,353.00,378.93,381.54,380.04,401.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-24 21:57:29.684000,L7,,,,,383.50,386.15,377.59,372.70,374.63,382.55,387.63,387.01,393.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25 21:57:34.931000,L7,362.92,359.23,368.17,377.50,383.67,384.43,381.44,377.58,376.22,382.40,386.38,387.29,396.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-13 21:57:39.607000,L7,,,,,,,379.56,372.92,370.07,382.07,385.87,386.06,391.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-07 21:56:36.067000,L7,,,,,373.47,353.45,359.58,331.29,308.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
