dates,nzd0387-0000,nzd0387-0001,nzd0387-0002,nzd0387-0003,nzd0387-0004,nzd0387-0005,nzd0387-0006,nzd0387-0007,nzd0387-0042,nzd0387-0043,nzd0387-0044,nzd0387-0045,nzd0387-0046,nzd0387-0047,nzd0387-0048,nzd0387-0049,nzd0387-0008,nzd0387-0009,nzd0387-0010,nzd0387-0011,nzd0387-0012,nzd0387-0013,nzd0387-0014,nzd0387-0015,nzd0387-0016,nzd0387-0017,nzd0387-0018,nzd0387-0019,nzd0387-0020,nzd0387-0021,nzd0387-0022,nzd0387-0023,nzd0387-0024,nzd0387-0025,nzd0387-0026,nzd0387-0028,nzd0387-0029,nzd0387-0030,nzd0387-0031,nzd0387-0032,nzd0387-0033,nzd0387-0034,nzd0387-0035,nzd0387-0036,nzd0387-0037,nzd0387-0038,nzd0387-0039,nzd0387-0040,nzd0387-0041,nzd0387-0027,satname
2000-11-25 21:57:34.931,,,284.1033333333333,321.19666666666666,330.15,308.0225,308.72749999999996,279.46,361.45500000000004,205.54500000000002,440.89,436.3,,307.21500000000003,366.51,314.14,291.87,334.15,332.875,315.98,329.23,342.64,,297.01,297.73,273.62,248.4,296.35,282.37,294.08,279.95,249.02,,293.46,321.35,,359.93999999999994,325.3375,317.065,311.6,302.515,334.9666666666667,347.6725,388.3866666666666,292.41,272.75,,328.9,418.45,,L7
2000-12-11 21:57:36.803,,358.46,284.1033333333333,321.19666666666666,330.15,308.0225,308.72749999999996,279.46,394.50666666666666,205.54500000000002,456.51,448.75333333333333,,307.21500000000003,366.51,314.14,291.87,363.25,332.875,315.98,329.23,342.64,,297.01,297.73,273.62,248.4,296.35,282.37,294.08,279.95,335.1,424.87,335.69,371.48,,359.93999999999994,325.3375,317.065,311.6,302.515,334.9666666666667,347.6725,400.5125,366.6,272.75,,395.53,439.195,427.58,L7
2001-02-13 21:57:39.607,,359.735,283.27,315.7,325.65,311.245,309.215,294.48499999999996,429.0333333333333,188.55,472.325,471.905,,287.56,,314.14,291.87,368.9066666666667,332.875,333.38,327.87,342.64,,297.01,297.73,273.62,248.4,296.35,282.37,294.08,279.95,358.77,419.27,369.52,417.1,,,319.655,312.76,310.16,308.34,329.4200000000001,328.605,414.43,387.49333333333334,272.75,,410.74333333333334,453.565,417.80499999999995,L7
2001-05-20 21:57:04.892,,359.735,295.34,331.76,340.96,312.36,313.83,291.855,429.0333333333333,,472.325,458.50333333333333,331.33,,,,291.87,372.2066666666667,320.025,323.31,332.65,327.27,,297.01,290.475,273.62,248.4,296.35,282.37,,,403.6466666666667,412.1166666666666,374.2925,410.08666666666664,,319.54,300.015,291.45,300.255,308.34,322.92,331.625,413.54,388.19,272.75,169.87,410.74333333333334,453.565,409.55,L7
2001-06-05 21:56:52.440,,359.735,295.34,351.28499999999997,351.125,317.885,330.455,288.395,454.0733333333333,,469.9066666666667,460.325,331.33,,,,,366.33000000000004,315.4,323.31,332.65,327.27,,,283.22,,,,,,,406.805,414.3,407.96750000000003,410.9475,,319.54,282.27,276.27,290.35,,332.12,340.27,413.54,420.1166666666666,,169.87,452.81333333333333,452.2866666666667,411.9675,L7
2001-07-07 21:56:36.067,,361.01,288.16999999999996,345.5933333333333,345.94666666666666,314.07,327.72999999999996,283.6033333333333,441.59,,458.17,452.97749999999996,331.33,,,328.17,,357.65666666666675,315.4,323.31,326.67499999999995,327.27,,,283.22,,,,,,,402.0133333333333,410.77666666666664,381.6875,407.39333333333326,,331.42,282.27,306.28499999999997,308.345,333.23,342.305,333.40999999999997,401.865,400.37999999999994,,169.87,433.47666666666663,437.0566666666667,406.7633333333333,L7
2001-08-08 21:56:12.984,,361.01,285.01666666666665,339.3125,343.3425,313.46,322.4175,282.8325,428.9375,,447.47,446.15999999999997,331.33,,,328.17,,350.0975,321.03333333333336,323.31,326.67499999999995,332.985,,,283.22,,,,,,,402.0133333333333,410.77666666666664,364.104,407.39333333333326,,329.9166666666667,309.23,313.4166666666667,309.98,333.23,342.305,333.40999999999997,401.865,400.37999999999994,275.05,169.87,422.09749999999997,425.025,406.7633333333333,L7
2001-08-24 21:56:00.447,,,283.805,335.57399999999996,340.116,313.178,320.214,285.0,413.68250000000006,,431.02250000000004,433.832,331.33,299.61,,328.17,,339.2025,324.16,327.91999999999996,329.17333333333335,332.985,,304.35,283.22,,,,,,,399.965,409.33000000000004,342.964,404.79499999999996,256.78,332.9475,317.5233333333333,315.59749999999997,311.765,333.23,342.305,333.40999999999997,384.3,373.00333333333333,275.05,169.87,407.34749999999997,411.0575,406.13,L7
2001-09-25 21:55:40.572,,,283.805,335.57399999999996,340.116,309.38666666666666,315.4733333333333,285.0,413.68250000000006,,431.02250000000004,433.832,331.33,299.61,,328.17,,334.202,323.526,327.91999999999996,323.4475,332.985,,304.35,283.22,,,,,,,399.965,409.33000000000004,342.964,404.79499999999996,256.78,332.9475,314.835,313.224,310.596,333.23,342.305,333.40999999999997,384.3,373.00333333333333,275.05,169.87,407.34749999999997,400.98999999999995,406.13,L7
2001-10-11 21:55:21.747,,,283.805,335.57399999999996,340.116,311.4814285714286,316.4685714285714,287.9733333333333,413.68250000000006,,431.02250000000004,433.832,313.28499999999997,299.61,,328.17,295.25,329.2416666666667,324.37,332.42333333333335,329.75,332.985,,302.95500000000004,283.22,282.56,,,,,,399.965,409.33000000000004,342.964,404.79499999999996,256.78,332.9475,307.88,307.93333333333334,305.64000000000004,333.23,342.305,333.40999999999997,384.3,373.00333333333333,281.515,169.87,407.34749999999997,388.3866666666666,406.13,L7
