dates,satname,nzd0263-0000,nzd0263-0001,nzd0263-0002,nzd0263-0003,nzd0263-0004,nzd0263-0005,nzd0263-0007,nzd0263-0008,nzd0263-0009,nzd0263-0010,nzd0263-0011,nzd0263-0012,nzd0263-0013,nzd0263-0014,nzd0263-0015,nzd0263-0016,nzd0263-0017,nzd0263-0018,nzd0263-0019,nzd0263-0020,nzd0263-0021,nzd0263-0022,nzd0263-0023,nzd0263-0024,nzd0263-0025,nzd0263-0026,nzd0263-0027,nzd0263-0006
2002-09-30 21:41:47.719000,L7,292.36,302.00,276.37,279.25,301.09,317.52,286.77,290.14,299.76,295.08,290.42,296.77,290.44,296.29,313.09,318.02,305.06,336.03,333.45,334.45,340.62,335.08,331.25,320.93,354.43,359.07,339.22,295.85
2002-11-01 21:41:54.382000,L7,233.01,223.05,221.20,,,,198.47,220.13,244.37,255.44,259.95,254.35,246.29,257.70,268.74,284.99,264.55,260.89,234.92,262.74,268.06,268.06,257.09,288.02,,,,
2003-01-20 21:42:33.373000,L7,305.69,272.79,307.32,315.29,327.41,321.38,200.20,236.21,244.55,235.60,236.13,235.94,244.55,250.12,264.80,277.96,262.08,259.07,218.99,254.81,264.51,249.88,261.52,288.06,308.56,327.21,329.83,
2003-02-05 21:42:41.878000,L7,,,,,,,,,,,,,,,,260.74,262.58,259.80,218.79,259.52,265.32,261.64,236.15,,,,,
2003-02-21 21:42:44.547000,L7,247.52,266.50,228.63,210.19,256.80,289.98,201.11,255.08,260.73,252.29,313.70,313.89,323.84,324.93,333.86,287.60,275.91,264.30,242.02,267.99,276.65,254.50,230.09,334.96,354.18,350.74,360.02,
2003-05-12 21:42:48.091000,L7,296.21,297.92,311.22,311.54,323.76,,,,,,,,,,,,,,,,,,,,,,,
2003-05-28 21:42:46.560000,L7,277.87,290.86,283.79,299.66,309.26,341.40,,310.76,330.40,320.21,328.95,327.51,319.82,319.91,329.98,343.82,346.12,331.18,325.98,,,,,,,414.45,399.82,
2003-09-25 21:31:42.973000,L5,251.50,262.24,267.16,267.68,294.23,313.52,276.24,281.38,298.31,291.34,294.63,287.70,287.48,292.37,308.11,327.13,306.05,302.29,285.03,294.95,292.37,304.41,314.11,323.98,346.41,353.79,362.54,293.38
2003-11-28 21:32:34.027000,L5,,,,,,,,,,,,,248.10,266.23,283.58,280.04,266.08,260.10,250.26,266.69,271.25,274.28,296.86,310.13,331.20,338.86,342.77,
2003-12-14 21:32:38.364000,L5,,,,,,,,,,,,,,,,,265.44,259.10,251.07,259.11,265.46,258.87,294.97,304.14,326.10,335.26,337.77,
2003-12-30 21:32:48.382000,L5,253.36,264.23,264.37,265.83,290.98,308.26,262.73,278.56,285.03,282.91,278.42,280.87,274.73,282.96,313.07,326.90,304.80,303.73,282.80,297.22,291.42,292.59,303.72,316.62,338.93,346.92,354.17,278.55
2004-01-15 21:32:50.035000,L5,,,,,,,,,,246.21,253.73,264.74,275.83,279.18,294.37,309.89,296.81,277.63,263.44,275.39,279.04,284.45,285.46,312.22,343.37,348.15,351.38,
2004-03-19 21:33:10.985000,L5,252.88,266.99,264.61,264.28,297.23,312.15,274.28,281.51,298.22,288.93,293.81,288.31,291.20,285.26,304.08,321.97,309.34,301.59,283.25,296.12,296.24,305.65,310.57,328.07,349.16,354.64,357.74,294.45
2004-05-06 21:34:22.023000,L5,269.42,278.71,281.55,290.29,303.10,321.60,302.56,300.97,316.31,313.31,309.67,312.34,315.71,312.36,327.07,343.03,325.00,317.82,309.51,320.44,315.14,320.53,323.33,342.13,363.65,366.77,367.15,308.79
2004-06-23 21:35:46.683000,L5,227.58,240.47,242.87,,,,,250.22,273.62,266.57,261.13,268.63,267.67,269.61,283.89,304.65,290.10,285.22,262.11,280.70,285.40,295.07,302.30,316.07,334.87,347.07,349.74,
2004-07-25 21:36:37.854000,L5,221.37,246.33,248.87,232.43,273.83,289.54,229.41,268.22,272.41,272.34,269.96,269.28,270.69,273.91,276.73,309.95,283.85,284.03,256.61,280.46,284.02,292.24,304.33,314.86,336.76,345.15,349.40,214.97
2004-08-10 21:36:56.635000,L5,230.58,239.83,249.10,239.26,276.38,297.73,,276.00,276.02,281.97,275.39,270.81,271.36,272.45,282.34,303.74,287.80,278.09,254.61,281.53,282.77,296.85,309.61,319.90,333.98,342.03,344.48,222.07
2004-10-13 21:38:32.826000,L5,240.82,252.32,264.62,264.29,287.07,307.68,256.18,275.15,287.29,283.96,282.70,283.69,279.67,289.77,307.91,319.74,305.94,298.94,281.14,290.01,288.66,295.78,305.74,316.90,336.33,348.35,360.41,275.46
2005-02-18 21:40:42.163000,L5,246.81,260.20,259.42,255.12,283.84,295.32,254.17,277.06,281.91,281.26,278.96,280.98,287.17,288.49,302.60,317.58,303.98,298.85,278.56,284.32,288.38,297.01,305.71,320.08,343.39,354.22,359.95,259.66
2005-05-09 21:41:19.893000,L5,275.19,288.25,288.65,290.56,308.45,320.75,309.08,305.98,314.01,311.13,304.22,304.55,307.51,307.93,320.21,343.22,325.49,318.49,319.16,314.49,321.30,317.24,323.35,339.90,360.61,365.78,370.67,311.58
2005-05-25 21:41:28.038000,L5,268.34,282.58,287.22,288.65,306.53,317.02,300.02,302.04,318.22,309.66,313.02,309.90,310.41,311.25,325.58,343.52,323.14,320.65,317.01,314.70,312.45,321.20,328.19,340.15,362.11,364.86,370.24,307.29
2005-06-10 21:41:36.102000,L5,223.71,238.00,237.45,,,,,258.41,268.97,272.33,270.41,269.74,263.71,270.37,288.65,306.68,293.85,287.61,268.25,286.95,278.52,284.76,300.62,309.12,331.57,339.12,342.56,
2005-06-26 21:41:40.412000,L5,218.74,232.93,238.74,231.05,263.19,272.25,229.13,262.20,274.34,277.77,279.65,273.94,274.07,273.75,283.76,302.86,289.12,279.62,268.15,290.88,289.19,294.92,308.58,319.07,343.68,340.27,341.87,205.51
2005-07-12 21:41:47.390000,L5,221.63,238.17,240.22,246.56,274.53,290.05,232.86,262.50,276.48,275.59,277.53,272.02,275.00,280.47,302.76,311.41,300.97,294.00,271.50,281.52,286.53,291.42,304.03,315.05,335.67,341.08,350.64,220.85
2005-07-28 21:41:57.832000,L5,223.45,237.90,241.08,232.88,271.24,278.01,,247.02,262.96,268.41,266.23,257.44,265.60,273.19,287.12,303.24,293.23,287.64,254.51,271.99,278.48,282.99,294.91,307.50,331.64,343.22,344.97,
2005-08-13 21:42:05.358000,L5,304.61,297.64,296.81,308.24,325.05,340.91,,,,332.07,331.22,314.61,316.93,322.74,342.62,360.69,326.31,332.81,337.06,340.71,345.57,346.67,345.24,366.70,372.81,375.78,374.66,324.39
2005-08-29 21:42:10.705000,L5,247.31,251.83,263.94,267.69,283.11,307.99,276.79,281.35,287.16,294.42,297.23,295.72,295.51,298.63,313.61,324.55,300.97,295.69,277.69,289.75,298.00,299.15,318.11,335.72,353.86,361.52,366.39,291.15
2006-01-20 21:44:01.121000,L5,,,,,,,,,,,,,261.33,271.74,273.98,305.62,286.68,287.41,252.03,266.12,272.40,272.21,284.11,298.29,330.76,333.37,338.47,
2006-02-21 21:44:44.561000,L5,279.70,285.84,288.92,295.13,309.23,330.57,311.79,312.10,317.15,310.79,316.02,318.35,313.20,330.62,347.07,358.03,324.31,318.28,314.54,322.43,317.68,313.78,324.46,338.99,365.30,368.31,370.88,316.59
2006-03-09 21:45:04.554000,L5,251.17,255.58,266.16,255.05,282.41,300.63,272.33,278.64,289.31,282.20,297.69,295.71,296.86,295.53,312.12,327.64,308.55,294.79,275.33,289.22,291.86,296.90,312.43,333.14,352.91,358.01,361.50,281.01
2006-04-10 21:45:40.863000,L5,250.21,262.98,265.69,263.59,292.51,306.30,278.08,278.17,285.68,295.51,294.21,291.93,289.80,290.97,305.48,326.87,304.60,303.06,283.40,295.85,297.63,297.96,315.28,321.93,345.63,352.13,355.65,288.84
2006-04-26 21:45:56.580000,L5,,,,,,,,257.40,258.75,265.55,265.98,263.44,267.71,270.93,283.80,303.60,289.89,281.61,265.29,274.64,281.19,284.49,300.20,308.16,329.09,336.46,341.98,
2006-05-12 21:46:09.770000,L5,298.74,299.07,303.27,311.39,320.45,,,,331.97,333.62,326.40,333.57,328.99,335.88,359.39,,,,,348.26,345.37,338.50,340.43,363.59,382.26,394.43,383.70,
2006-06-13 21:46:37.602000,L5,272.58,278.47,282.01,286.10,305.11,325.05,310.68,301.01,316.68,305.90,319.08,315.07,319.22,310.38,328.42,345.73,336.28,327.95,322.73,328.80,329.77,326.09,331.08,343.34,368.38,373.28,376.88,313.64
2006-09-01 21:47:43.231000,L5,293.89,293.03,303.28,304.25,317.13,344.28,,,331.22,326.41,322.67,316.45,321.82,326.46,327.26,350.75,333.08,338.14,,338.50,340.20,345.83,348.89,357.07,376.30,369.96,373.38,326.06
2006-09-17 21:47:54.852000,L5,247.36,248.13,259.57,252.51,284.17,308.76,270.70,283.09,295.78,296.08,295.72,287.21,277.40,281.29,293.42,315.92,292.88,288.05,281.58,292.63,299.35,306.08,316.07,331.98,341.23,350.31,351.37,245.34
2006-12-06 21:48:41.029000,L5,,,,,,,,,,,,,232.46,241.64,247.21,276.34,258.02,253.49,225.91,238.12,245.62,242.89,260.76,271.93,298.46,310.55,319.25,
2007-01-07 21:48:55.368000,L5,204.38,221.71,224.39,228.33,252.31,266.09,228.60,262.87,273.05,276.00,261.87,267.40,267.45,271.54,290.68,302.59,304.82,291.14,275.79,293.44,309.78,313.41,317.83,334.05,354.62,370.80,375.10,233.44
2007-02-08 21:49:02.527000,L5,232.97,238.78,234.65,205.02,255.71,256.43,216.16,263.93,266.73,266.26,,264.38,274.19,284.48,292.55,313.50,295.27,283.02,264.11,280.16,285.83,289.15,303.06,323.63,345.74,347.70,350.37,206.61
2011-01-02 21:43:59.020000,L5,,,,,,,,,,,,,227.12,256.78,270.58,292.48,276.21,280.42,254.57,266.11,281.70,282.28,294.51,310.22,329.40,333.66,328.05,
2013-04-29 21:55:51.104000,L8,219.74,218.60,238.48,202.14,256.45,273.42,207.72,254.58,263.46,257.57,254.72,252.24,246.57,259.73,275.73,292.48,278.81,272.10,253.13,268.37,279.75,283.87,294.51,307.54,327.96,339.96,339.99,
2013-05-31 21:56:07.688000,L8,272.06,262.15,254.60,252.58,270.66,286.06,264.15,267.27,275.47,271.75,270.65,268.54,264.24,275.99,316.97,339.94,321.38,290.23,307.95,327.83,335.28,327.47,340.46,346.98,364.36,371.34,372.08,261.34
2013-08-19 21:56:06.167000,L8,227.48,244.55,243.03,244.61,265.85,282.43,251.42,261.63,270.20,270.14,266.94,263.08,260.18,270.78,281.14,292.21,283.84,283.19,263.64,277.38,287.33,296.53,303.46,313.81,336.10,352.33,353.31,230.93
2013-10-06 21:55:57.648000,L8,239.78,236.27,243.35,237.09,261.31,279.12,225.98,260.02,271.22,266.98,264.69,259.30,256.41,268.77,281.77,294.89,281.22,278.69,259.38,274.29,287.27,291.25,307.51,312.51,338.28,346.54,349.03,210.77
2014-01-10 21:55:19.190000,L8,248.88,309.22,305.75,311.19,330.30,343.15,223.24,252.75,264.23,260.01,255.75,252.98,250.30,262.61,280.25,294.34,281.41,274.33,255.62,272.33,285.98,285.42,296.46,310.80,334.04,340.10,342.78,316.03
2014-02-11 21:54:56.823000,L8,217.86,225.95,239.16,216.55,254.45,269.10,212.67,249.88,261.81,256.50,252.91,249.83,247.65,260.90,273.40,292.10,279.89,273.65,251.70,269.02,283.22,282.92,297.99,306.96,328.95,340.28,341.20,
2014-02-27 21:54:44.238000,L8,217.93,230.24,238.85,222.32,257.41,272.18,306.50,311.87,338.08,257.86,254.65,251.27,249.78,260.86,275.25,291.93,280.13,274.38,253.56,271.07,282.65,283.57,297.17,305.38,330.03,340.40,341.94,204.98
2014-03-15 21:54:34.241000,L8,229.87,239.90,243.57,243.36,262.39,279.49,252.92,259.88,269.13,264.98,263.66,260.74,257.74,266.83,283.31,296.86,287.85,282.07,263.31,275.10,287.94,291.29,302.09,313.99,338.26,348.10,350.70,232.15
2014-05-02 21:53:46.331000,L8,273.34,274.80,259.21,252.20,273.33,286.62,317.55,309.64,277.58,273.88,270.13,266.95,263.95,275.77,308.31,330.52,332.07,,317.01,313.08,319.41,323.11,322.20,339.13,363.10,365.28,362.20,313.10
2014-05-18 21:53:35.635000,L8,226.58,249.15,247.02,239.14,270.19,282.63,254.70,259.96,269.57,265.25,262.07,259.67,254.04,267.33,284.66,296.86,285.21,279.38,262.70,275.72,287.28,293.89,307.47,314.55,340.26,349.77,352.98,233.94
2014-06-19 21:53:47.342000,L8,231.47,248.29,248.69,243.97,270.37,282.62,254.81,260.30,267.97,264.71,261.77,259.81,254.57,265.61,284.20,298.82,287.03,279.56,262.16,276.33,291.07,294.96,306.00,331.59,347.46,354.39,353.32,236.92
2014-07-05 21:53:53.692000,L8,232.42,240.40,247.88,238.70,269.50,283.21,254.20,257.39,270.19,272.86,265.16,261.26,258.81,270.05,284.69,303.83,286.87,280.56,265.36,280.96,290.50,298.29,304.37,317.53,345.69,358.17,364.22,233.41
2014-07-21 21:53:57.022000,L8,237.88,254.30,252.67,246.31,273.52,285.19,255.08,261.54,272.07,268.31,264.49,262.68,258.46,269.10,282.10,296.30,285.99,279.69,263.54,275.77,288.03,291.33,301.69,314.86,339.44,348.06,349.60,233.37
2014-08-06 21:54:05.764000,L8,245.61,248.62,245.59,249.15,266.95,283.07,260.40,263.59,272.18,270.25,267.22,263.77,258.37,271.10,284.44,300.50,289.34,282.99,266.14,281.12,288.87,295.14,312.22,323.91,349.84,357.89,359.23,251.30
2014-09-07 21:54:12.743000,L8,239.29,241.60,245.42,243.71,264.79,279.37,255.23,260.53,272.01,266.76,264.04,261.53,257.88,265.78,280.67,295.98,286.21,279.95,260.93,276.10,289.59,292.32,322.17,315.43,340.22,353.47,353.25,233.88
2014-09-23 21:54:09.418000,L8,235.77,240.70,242.52,245.94,265.39,280.19,252.65,261.74,271.87,267.74,263.90,258.42,254.91,266.64,282.72,297.30,281.02,278.08,259.74,277.24,287.85,292.81,306.57,313.99,339.57,347.62,353.29,227.84
2014-10-25 21:54:16.772000,L8,225.91,241.85,245.31,250.43,265.88,282.39,258.65,263.27,273.37,268.99,267.15,262.20,258.26,268.70,285.38,300.07,287.25,280.80,265.04,281.25,288.86,290.73,305.72,313.23,338.95,348.35,349.85,238.81
2014-11-10 21:54:18.528000,L8,259.76,242.09,245.81,309.87,325.77,339.87,284.28,261.85,272.61,327.95,341.22,330.28,341.00,320.00,327.80,301.81,283.56,278.34,266.81,282.76,290.26,290.54,304.39,312.34,336.65,344.56,348.25,300.81
2014-12-28 21:54:07.841000,L8,217.43,233.01,237.08,237.86,256.28,272.54,246.80,254.09,265.97,259.64,256.68,253.20,249.89,262.99,279.27,292.71,280.11,274.53,258.78,274.27,286.81,289.09,299.67,308.95,334.30,342.87,347.89,226.19
2015-03-18 21:53:39.323000,L8,260.47,277.79,245.19,252.75,240.68,279.99,,,,,,264.56,255.38,269.02,279.76,299.22,284.30,280.55,265.52,271.69,285.67,,231.05,302.96,339.09,351.59,353.47,196.93
2015-04-03 21:53:26.876000,L8,218.86,234.52,241.18,240.12,264.87,278.76,250.94,256.00,267.48,260.68,258.17,256.11,250.35,263.92,279.75,292.90,281.74,274.87,257.69,271.36,284.39,288.03,299.20,305.23,331.24,340.27,341.87,219.83
2015-04-19 21:53:26.711000,L8,218.92,235.89,241.83,240.52,264.77,279.73,253.40,258.13,267.45,263.56,260.64,257.77,252.11,265.84,280.12,294.21,284.17,276.09,257.98,271.31,286.06,290.02,304.53,308.66,333.72,343.44,345.73,220.24
2015-05-05 21:53:12.716000,L8,219.85,237.30,243.62,242.21,268.23,279.96,249.49,257.22,269.65,265.21,262.81,259.55,255.30,268.64,280.35,295.66,284.91,279.64,259.97,275.20,289.34,292.43,312.06,312.74,336.64,348.60,347.73,235.56
2015-06-06 21:53:16.624000,L8,252.35,255.35,255.50,259.69,272.55,289.56,265.16,265.59,275.61,272.27,267.57,264.51,268.64,276.32,298.28,308.14,302.04,296.08,267.71,309.83,291.69,313.80,318.62,335.33,358.12,362.96,350.70,259.11
2015-08-25 21:53:51.592000,L8,225.82,241.38,245.89,245.43,262.95,281.62,256.41,263.07,271.18,267.81,265.99,264.12,260.00,269.93,284.66,300.23,290.16,283.94,264.68,277.60,292.60,294.31,314.61,321.66,346.99,355.47,358.21,244.10
2015-10-12 21:54:05.008000,L8,218.31,231.53,239.84,221.55,252.55,274.60,231.84,255.52,265.95,260.31,258.88,255.99,252.46,262.28,277.34,293.80,277.56,273.40,257.28,271.53,283.65,286.69,296.52,304.67,330.34,339.96,343.24,
2015-10-28 21:54:10.619000,L8,272.83,232.64,239.62,227.98,252.16,272.52,222.54,256.24,266.70,261.27,260.24,257.09,255.06,264.37,277.32,292.79,280.07,277.07,258.86,270.77,286.56,284.06,303.53,307.89,332.63,340.43,346.67,208.56
2015-11-29 21:54:13.512000,L8,222.26,238.65,241.50,238.08,252.63,270.07,238.97,256.83,264.79,262.38,260.28,256.57,249.52,,,,,325.99,326.82,314.49,323.93,329.59,314.55,353.78,338.60,350.16,348.70,225.49
2015-12-15 21:54:12.402000,L8,225.86,242.27,241.87,239.11,256.44,281.10,250.04,260.04,269.79,264.98,262.45,260.17,257.17,268.95,286.20,295.40,285.00,280.69,261.08,275.78,287.53,288.40,305.73,310.14,336.18,342.18,347.55,238.56
2016-01-16 21:54:09.540000,L8,223.07,235.49,235.68,229.28,252.17,275.12,242.81,307.14,300.55,318.81,316.89,316.38,334.21,263.41,278.81,292.15,283.30,278.86,260.56,271.71,289.85,289.00,305.51,314.32,337.47,344.57,345.58,226.37
