dates,satname,nzd0031-0000,nzd0031-0001,nzd0031-0002,nzd0031-0003,nzd0031-0004,nzd0031-0005,nzd0031-0007,nzd0031-0008,nzd0031-0009,nzd0031-0010,nzd0031-0011,nzd0031-0012,nzd0031-0013,nzd0031-0014,nzd0031-0015,nzd0031-0016,nzd0031-0017,nzd0031-0018,nzd0031-0019,nzd0031-0020,nzd0031-0021,nzd0031-0022,nzd0031-0023,nzd0031-0024,nzd0031-0025,nzd0031-0028,nzd0031-0029,nzd0031-0030,nzd0031-0031,nzd0031-0032,nzd0031-0033,nzd0031-0034,nzd0031-0035,nzd0031-0036,nzd0031-0037,nzd0031-0038,nzd0031-0039,nzd0031-0040,nzd0031-0042,nzd0031-0043,nzd0031-0044,nzd0031-0045,nzd0031-0046,nzd0031-0047,nzd0031-0048,nzd0031-0059,nzd0031-0060,nzd0031-0061,nzd0031-0062,nzd0031-0063,nzd0031-0064,nzd0031-0065,nzd0031-0066,nzd0031-0067,nzd0031-0068,nzd0031-0069,nzd0031-0070,nzd0031-0071,nzd0031-0072,nzd0031-0073,nzd0031-0074,nzd0031-0075,nzd0031-0076,nzd0031-0077,nzd0031-0078,nzd0031-0079,nzd0031-0080,nzd0031-0086,nzd0031-0087,nzd0031-0088,nzd0031-0091,nzd0031-0096,nzd0031-0097,nzd0031-0098,nzd0031-0099,nzd0031-0100,nzd0031-0101,nzd0031-0102,nzd0031-0103,nzd0031-0104,nzd0031-0105,nzd0031-0106,nzd0031-0107,nzd0031-0108,nzd0031-0109,nzd0031-0110,nzd0031-0111,nzd0031-0112,nzd0031-0113,nzd0031-0114,nzd0031-0115,nzd0031-0116,nzd0031-0117,nzd0031-0118,nzd0031-0119,nzd0031-0120,nzd0031-0122,nzd0031-0123,nzd0031-0124,nzd0031-0125,nzd0031-0126,nzd0031-0127,nzd0031-0128,nzd0031-0129,nzd0031-0130,nzd0031-0131,nzd0031-0132,nzd0031-0133,nzd0031-0134,nzd0031-0135,nzd0031-0136,nzd0031-0137,nzd0031-0138,nzd0031-0139,nzd0031-0140,nzd0031-0141,nzd0031-0142,nzd0031-0143,nzd0031-0144,nzd0031-0145,nzd0031-0146,nzd0031-0147,nzd0031-0148,nzd0031-0149,nzd0031-0150,nzd0031-0151,nzd0031-0152,nzd0031-0153,nzd0031-0159,nzd0031-0160,nzd0031-0162,nzd0031-0163,nzd0031-0164,nzd0031-0165,nzd0031-0166,nzd0031-0167,nzd0031-0168,nzd0031-0169,nzd0031-0170,nzd0031-0178,nzd0031-0179,nzd0031-0180,nzd0031-0181,nzd0031-0006,nzd0031-0041,nzd0031-0049,nzd0031-0050,nzd0031-0051,nzd0031-0052,nzd0031-0053,nzd0031-0054,nzd0031-0058,nzd0031-0084,nzd0031-0085,nzd0031-0121,nzd0031-0154,nzd0031-0155,nzd0031-0156,nzd0031-0157,nzd0031-0158,nzd0031-0161,nzd0031-0171,nzd0031-0172,nzd0031-0173,nzd0031-0174,nzd0031-0175,nzd0031-0176,nzd0031-0177,nzd0031-0182,nzd0031-0183,nzd0031-0184,nzd0031-0055,nzd0031-0056,nzd0031-0057,nzd0031-0026,nzd0031-0027,nzd0031-0185,nzd0031-0186,nzd0031-0082,nzd0031-0083,nzd0031-0089,nzd0031-0090,nzd0031-0092,nzd0031-0093,nzd0031-0094,nzd0031-0095,nzd0031-0081
2000-08-03 22:08:44.137000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.07,328.60,319.12,311.93,173.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.14,419.16,416.20,352.69,,,,,,,519.73,516.13,,,,,,,,,,,,,,327.90,305.41,322.65,390.12,501.39,351.16,401.57,,360.91,286.23,,,401.04,364.55,,,,,,,,,
2000-10-22 22:07:50.487000,L7,,,,410.51,313.61,175.31,363.08,417.10,423.20,,,,,,,,,,,,,436.38,340.17,350.11,445.44,444.16,525.54,260.14,209.01,346.11,361.77,332.72,499.01,,,,417.80,438.10,529.70,534.01,499.01,498.70,443.90,376.85,,270.36,376.27,184.06,458.26,429.83,411.03,271.57,210.20,498.62,,,,273.88,185.86,,,,,,,,,453.26,445.90,257.89,341.60,454.94,432.91,,,351.47,381.21,270.85,241.07,,368.58,432.41,506.44,540.81,,312.19,326.46,311.45,302.19,192.25,,,,,454.11,502.28,449.65,470.73,,,,,,,,,,,,,,393.68,490.62,397.50,,428.57,361.42,450.54,207.23,269.07,470.73,341.73,482.19,405.60,,,,,306.06,,,,,,,,,,,212.49,434.43,461.00,507.44,253.37,485.13,414.68,356.70,478.22,429.07,451.40,469.90,285.93,,,497.93,,,,401.23,394.04,,,,,,,180.54,229.56,455.69,461.33,509.57,475.37,499.63,389.95,422.25,410.06,449.33,477.94,,,451.77,429.60,282.20,347.72,,488.49,
2000-11-07 22:07:53.532000,L7,,,,,,,,399.62,410.66,467.57,476.84,516.90,439.18,445.89,449.37,508.49,,552.80,502.53,506.86,515.06,536.88,514.69,,,,537.50,519.97,506.60,532.10,475.88,468.37,472.27,467.82,449.49,417.56,449.75,417.36,281.23,351.12,430.84,463.91,527.10,447.87,332.76,,,,433.85,351.85,423.77,406.86,410.95,415.88,321.69,394.27,443.36,454.63,545.93,486.16,544.82,466.46,467.01,522.98,535.69,,,521.45,537.95,278.12,,499.67,421.33,453.79,453.25,471.14,433.43,,452.35,476.52,542.75,541.72,547.78,,,520.66,,507.66,422.41,330.92,338.36,442.36,553.72,404.55,382.26,,536.78,512.40,478.52,525.46,512.62,499.35,349.88,333.81,300.46,492.94,409.84,520.87,384.53,,455.85,333.06,482.81,324.84,311.86,437.07,,476.62,536.89,492.26,449.61,444.70,337.98,348.57,423.94,474.43,453.57,448.93,442.06,540.80,,,,,,,,,,512.96,,,342.38,,227.78,273.47,261.08,443.40,416.26,372.17,,,449.18,461.10,,411.06,,,,,486.97,,,,444.74,501.99,495.33,503.46,325.73,301.84,328.39,,,,,,363.30,317.06,,528.15,323.06,,,,,,
2001-02-27 22:07:54.461000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.09,493.45,514.43,534.64,542.18,,,,,,505.14,405.09,509.55,548.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.40,323.73,328.31,548.20,,,379.46,421.51,420.57,450.30,,389.77,,,,,,518.76,337.07,339.63,300.25,427.24,434.98,384.17,347.59,260.86,456.03,396.99,480.28,501.25,382.88,354.14,233.17,,,,,,,,,,,,,,,,,,,,,,539.62,512.25,348.85,476.12,,510.45,,,,498.46,375.28,325.72,432.57,,,317.07,,,,,,,310.11,327.06,353.47,532.15,546.03,541.26,541.42,337.18,422.13,445.12,,,,,,539.54,432.02,,,,,,,,,
2001-03-15 22:07:52.114000,L7,521.66,520.88,541.82,,,506.30,538.94,471.61,422.43,473.30,491.43,509.14,476.66,543.42,512.06,538.22,,,,496.82,457.11,312.27,313.59,529.47,483.58,450.26,457.27,413.19,322.46,183.62,249.35,187.51,,335.22,398.62,,,425.13,211.43,356.43,491.61,313.90,,,,,,,,,466.34,487.86,498.65,501.26,335.47,450.12,444.14,423.34,,,,,,,,,,408.11,248.26,396.14,,,,,,,,,,,,,,,216.77,330.00,341.43,334.60,328.12,312.87,492.74,548.35,379.22,429.07,319.02,508.44,502.32,500.37,440.92,252.97,209.56,,,,297.05,265.63,306.46,259.25,251.42,228.73,,,489.99,,426.68,447.78,401.28,383.27,336.20,207.09,467.24,516.37,506.44,471.01,316.25,347.90,269.18,494.09,433.73,539.41,319.41,312.37,381.16,418.50,455.99,412.06,343.08,452.85,402.12,340.72,348.88,334.70,336.07,525.66,479.55,269.93,273.82,390.38,389.56,389.09,308.57,,381.40,431.62,511.42,544.37,543.48,544.59,,,546.04,508.95,506.32,514.16,512.99,511.26,507.21,305.95,320.98,300.41,366.40,,,,,,371.87,309.59,,355.55,417.71,,,,,,
2001-06-03 22:07:16.736000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.22,536.38,521.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.91,329.25,317.92,306.32,176.21,,,,,,413.66,416.63,440.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.27,542.77,543.37,543.83,534.80,534.59,529.31,533.31,526.80,400.54,414.45,417.67,492.12,,,,,,,522.94,353.61,508.15,,,418.70,,,,,,,550.41,526.08,527.42,528.61,540.84,304.61,350.14,458.46,,469.80,,,519.59,,,468.10,439.16,,,,,,,,,
2001-06-12 22:01:01.040000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.23,414.53,403.58,404.02,296.32,,,,,,399.32,393.61,,,,,,,436.33,455.40,465.11,491.47,427.04,454.40,286.24,467.03,495.61,281.41,272.98,246.10,,,,,300.73,387.37,379.95,224.75,405.89,258.87,407.18,212.72,482.10,496.05,492.11,489.45,436.15,,,,,,,,194.27,,,,,,,,,,,,,401.06,486.16,518.03,366.93,385.01,,,417.50,482.52,532.80,,,,247.84,276.75,305.17,,,,,,311.57,,,,,,,,,,
2001-06-19 22:07:05.722000,L7,477.53,530.47,541.56,,,,,,,,,,,,,,,,,,,,,,,,,388.34,442.29,423.07,473.89,425.56,429.12,,,517.97,456.03,473.59,494.25,537.92,,,225.59,315.78,306.43,368.75,485.40,505.51,535.17,279.33,482.71,487.14,504.58,503.66,441.75,509.99,489.28,542.37,,,,,306.80,447.14,443.84,465.41,343.43,341.65,357.59,365.82,439.62,507.71,547.60,,,,,,,,,196.52,200.98,228.73,238.60,363.92,351.97,354.98,334.98,339.81,334.88,365.66,363.96,225.23,398.99,506.97,503.24,515.69,340.11,358.56,352.27,,347.74,334.86,334.05,348.70,334.29,322.32,337.03,368.58,349.75,358.64,362.62,358.64,395.91,387.46,370.92,375.56,393.87,345.11,399.24,334.95,382.77,389.72,439.05,426.32,416.82,400.00,410.21,394.39,432.23,378.01,381.23,375.59,305.10,517.16,521.31,521.78,522.32,342.83,340.71,334.19,334.99,,512.24,188.24,192.01,428.94,471.50,402.51,248.44,166.25,495.98,486.85,529.55,427.18,436.02,427.99,417.62,442.95,426.65,521.14,515.47,269.45,225.11,351.15,517.18,294.11,323.13,307.84,332.75,,,,,,360.41,270.73,,546.61,490.25,428.56,415.67,424.02,349.28,,
2001-09-07 22:06:11.116000,L7,,,,,,487.50,526.87,468.28,530.32,525.00,,,,,,,,,,,,,171.49,231.92,400.75,,,,,,,,517.70,296.07,169.95,169.67,170.04,177.83,326.01,385.22,366.50,335.08,,322.71,338.94,463.39,452.12,402.96,533.88,,407.95,442.91,503.04,,470.58,507.77,480.52,480.60,,,,,,,555.13,,214.96,,,,561.92,546.11,508.61,338.07,,,,,,,,,,,213.60,324.69,348.67,343.71,323.38,289.70,,,,479.76,480.97,353.85,475.38,493.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.78,334.95,340.45,,,,,,,,,479.54,497.10,420.75,500.00,511.06,250.68,331.38,356.40,547.97,484.94,437.07,341.15,440.10,,,502.81,,,230.73,549.51,298.33,301.75,,,,,243.86,226.91,,443.08,522.38,392.63,,,505.29,,,482.91,472.66,490.71,,,,507.76,512.68,548.59,474.28,278.37
2001-09-23 22:06:03.238000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.66,485.03,510.51,530.63,540.49,502.70,532.41,,,,495.67,488.98,462.23,545.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.49,321.94,308.58,307.11,189.21,,,,,471.91,501.10,408.42,469.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.19,424.04,372.71,298.04,,,,,,326.32,,,,,,503.60,,,,499.70,408.43,303.17,356.68,,,493.95,,,,,,339.95,535.97,,,,,,,,,534.86,,,504.45,,,407.45,264.64,,,,,,,,,
2001-10-02 21:59:40.713000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.71,412.32,400.87,391.14,382.92,316.16,376.82,366.39,511.79,443.76,496.33,527.25,525.92,335.69,315.74,232.68,175.77,,,429.61,439.20,451.36,461.62,464.82,474.81,499.23,492.01,485.93,482.42,504.67,520.39,516.33,519.56,518.52,507.24,540.66,,,,,211.32,212.87,457.91,391.49,291.07,331.35,355.13,322.97,405.44,254.35,300.16,264.94,407.69,372.68,436.58,,,,,,,,,,,,543.28,,248.67,184.72,234.87,214.02,201.07,311.63,442.59,383.61,425.12,488.23,,528.72,401.81,511.77,472.85,,,,,,457.09,410.83,,,,,,,,,
