dates,satname,nzd0297-0000,nzd0297-0001,nzd0297-0002,nzd0297-0003,nzd0297-0004,nzd0297-0005,nzd0297-0006,nzd0297-0007
1999-10-24 21:47:20.173000,L7,,,,,,,391.44,379.47
1999-11-16 21:53:32.114000,L7,342.87,332.66,338.43,348.75,343.20,349.89,342.41,
2000-01-19 21:53:25.812000,L7,364.34,364.72,363.98,378.08,387.17,389.49,391.21,
2000-04-17 21:46:44.595000,L7,,,,,,,,330.57
2000-07-29 21:51:50.349000,L7,,,,317.77,321.83,332.84,336.31,357.54
2000-10-26 21:44:46.815000,L7,380.44,366.48,365.99,383.19,382.64,368.30,377.30,371.13
2001-01-05 21:51:04.492000,L7,350.29,341.08,343.03,348.35,335.69,346.47,342.59,339.70
2002-01-17 21:43:16.786000,L7,,,,,,,,369.09
2002-04-14 21:49:26.507000,L7,,,,,,,298.80,297.98
2002-05-09 21:43:16.766000,L7,,,,,,,372.94,344.86
2002-09-05 21:48:38.182000,L7,289.41,371.66,371.40,366.65,409.24,397.11,383.09,
2002-12-26 21:48:59.976000,L7,,,,318.25,332.29,341.99,325.50,
2003-01-20 21:42:57.343000,L7,350.08,340.07,390.88,363.65,383.90,383.02,338.55,371.71
2003-02-05 21:43:05.844000,L7,,,366.96,367.25,369.17,399.51,382.33,366.96
2003-02-21 21:43:08.504000,L7,,,,,,,,358.99
2004-02-23 21:39:37.913000,L5,,,,335.47,336.98,328.80,344.42,322.01
2004-03-19 21:33:35.101000,L5,,,,,314.21,290.67,320.03,322.81
2004-09-18 21:44:34.791000,L5,,,,,,303.35,324.26,324.87
2004-10-20 21:45:16.509000,L5,,,,,317.21,308.40,335.26,332.28
2005-01-17 21:40:37.592000,L5,,,,326.38,333.57,324.60,332.55,324.55
2005-02-09 21:47:07.285000,L5,,,,,306.56,302.04,312.13,318.78
2006-02-12 21:51:08.090000,L5,,,,290.78,325.65,325.02,329.19,338.92
2006-02-21 21:45:08.534000,L5,,,,,,309.40,318.88,325.67
2006-02-28 21:51:28.213000,L5,,284.61,326.53,341.01,337.24,334.99,338.79,343.84
2006-09-01 21:48:07.347000,L5,,,,324.60,321.53,319.07,333.60,331.67
2006-10-10 21:54:44.695000,L5,,,,321.50,320.57,319.48,328.19,326.91
2007-01-30 21:55:36.438000,L5,,,,343.74,341.22,338.87,343.50,350.39
2011-01-18 21:44:24.452000,L5,,,,,321.36,298.07,329.67,339.27
2011-10-24 21:48:35.845000,L5,,,,333.15,329.41,338.57,335.90,329.93
2013-10-06 21:56:21.607000,L8,,309.72,322.08,324.21,321.22,341.54,348.00,339.93
2014-05-18 21:53:59.589000,L8,,,,,,,309.39,304.45
2014-05-25 22:00:10.718000,L8,,,,,,,312.09,306.64
2014-06-19 21:54:11.305000,L8,,,,,,,317.23,314.48
2014-09-23 21:54:33.372000,L8,367.34,360.96,369.39,381.96,380.35,376.16,366.36,358.66
2014-11-17 22:00:50.637000,L8,,,314.83,319.53,315.21,317.84,317.76,306.34
2015-01-04 22:00:17.911000,L8,377.12,364.10,382.14,396.12,390.65,383.36,371.83,365.24
