dates,satname,nzd0489-0000,nzd0489-0001,nzd0489-0002,nzd0489-0003,nzd0489-0004,nzd0489-0005,nzd0489-0006,nzd0489-0007,nzd0489-0008,nzd0489-0009,nzd0489-0010,nzd0489-0011,nzd0489-0012,nzd0489-0013,nzd0489-0014,nzd0489-0015,nzd0489-0016,nzd0489-0017,nzd0489-0018,nzd0489-0019,nzd0489-0020,nzd0489-0021,nzd0489-0022,nzd0489-0023,nzd0489-0024,nzd0489-0025,nzd0489-0026,nzd0489-0027,nzd0489-0028,nzd0489-0029,nzd0489-0030,nzd0489-0031,nzd0489-0032,nzd0489-0033,nzd0489-0034,nzd0489-0035,nzd0489-0036,nzd0489-0037,nzd0489-0038,nzd0489-0039,nzd0489-0040,nzd0489-0041,nzd0489-0042,nzd0489-0043,nzd0489-0044,nzd0489-0045,nzd0489-0046,nzd0489-0047,nzd0489-0048,nzd0489-0049,nzd0489-0050,nzd0489-0051,nzd0489-0052,nzd0489-0053,nzd0489-0054,nzd0489-0055,nzd0489-0056,nzd0489-0057,nzd0489-0058,nzd0489-0059,nzd0489-0060,nzd0489-0061,nzd0489-0062,nzd0489-0063,nzd0489-0064,nzd0489-0065,nzd0489-0066,nzd0489-0067,nzd0489-0068,nzd0489-0069,nzd0489-0070,nzd0489-0071,nzd0489-0072,nzd0489-0073,nzd0489-0074,nzd0489-0075,nzd0489-0076,nzd0489-0077,nzd0489-0078,nzd0489-0079,nzd0489-0080,nzd0489-0081,nzd0489-0082,nzd0489-0083,nzd0489-0084,nzd0489-0085,nzd0489-0086
1999-12-16 22:07:33.708000,L7,,,,307.77,317.90,330.58,327.87,318.73,303.37,310.75,317.56,310.14,326.87,327.01,282.83,289.24,287.51,315.56,315.54,327.80,332.73,325.06,332.80,314.15,336.22,317.17,291.59,307.49,302.45,309.20,328.42,311.05,290.32,304.29,337.05,336.40,342.95,334.42,311.53,293.66,300.87,298.90,299.92,314.67,296.81,299.53,332.10,345.24,336.97,342.97,313.79,315.95,377.87,,,,,360.44,361.83,366.87,374.58,371.06,370.48,375.82,378.83,336.67,360.77,359.67,355.65,352.25,350.93,371.30,347.20,346.45,352.57,340.82,364.13,364.12,362.77,364.00,373.44,381.77,384.03,374.91,363.53,360.96,346.76
2000-05-08 22:06:44.900000,L7,,,,370.42,368.24,370.81,372.61,365.88,360.61,358.35,325.93,319.47,349.72,339.38,334.76,360.51,364.68,358.48,336.79,337.14,371.04,349.26,368.47,335.12,347.55,329.39,311.71,318.46,346.32,349.21,353.45,329.37,340.27,345.57,344.69,343.71,346.35,347.46,300.04,293.98,335.63,332.04,304.58,345.77,288.58,329.98,322.76,360.69,351.75,354.99,334.96,320.06,350.82,365.43,366.50,381.21,377.60,377.05,364.37,345.99,358.70,374.23,372.03,384.72,385.04,384.07,385.54,394.87,389.51,385.26,383.43,380.62,380.89,383.76,390.24,375.41,371.19,370.59,366.94,372.95,371.19,381.82,387.70,373.68,373.19,368.83,357.69
2000-06-25 22:06:19.852000,L7,,,,316.73,292.76,368.07,327.52,322.27,311.63,305.68,332.09,328.94,341.51,350.58,352.51,375.97,387.62,393.80,397.55,330.08,369.53,365.08,376.18,329.26,334.33,330.06,282.84,289.82,301.57,381.04,387.10,371.77,305.31,345.18,325.93,,,,335.99,330.46,332.07,345.21,301.99,360.60,276.69,287.86,250.04,379.90,,,,,,,,,,401.71,408.97,414.23,410.31,389.14,,,407.21,359.51,388.05,378.96,412.09,378.53,377.75,370.60,371.01,378.31,377.94,394.70,402.46,402.54,364.86,374.68,363.23,356.85,385.40,388.93,387.22,373.72,373.45
2000-07-11 22:06:05.496000,L7,,,,,355.70,347.83,331.15,326.91,312.60,306.31,322.96,,,,,312.55,281.77,310.05,314.88,328.84,347.42,340.14,342.44,329.13,333.05,329.40,268.59,289.26,306.37,338.98,352.28,319.81,308.07,343.29,332.88,345.49,366.20,318.79,289.96,292.68,319.53,323.30,325.93,358.97,288.31,278.09,286.21,308.27,324.01,310.36,283.06,,311.51,342.17,361.30,374.74,333.41,357.61,342.38,334.19,367.47,367.55,365.89,354.25,377.97,349.52,348.03,345.32,370.82,368.43,376.35,363.48,326.64,325.13,359.57,323.97,348.55,363.43,362.44,368.76,360.57,364.87,358.10,348.59,367.73,361.88,390.45
2000-07-27 22:05:48.258000,L7,,,,,290.37,340.07,329.69,318.18,311.49,306.15,292.33,306.64,289.15,,,,,,307.87,318.03,330.31,334.34,399.66,384.67,367.85,326.40,286.23,370.03,371.04,369.77,393.50,376.92,303.43,340.94,354.77,,362.63,376.66,373.00,270.75,348.58,366.70,303.10,309.95,274.38,282.03,275.08,320.40,300.91,,,,345.45,332.63,360.66,,395.19,395.44,410.79,415.12,409.59,407.20,368.50,390.26,393.01,388.97,392.13,379.29,393.13,385.84,370.95,374.19,380.79,405.29,386.14,368.92,405.72,373.55,367.16,374.26,360.71,379.16,374.49,362.14,375.42,377.75,392.85
2000-08-03 22:11:31.842000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.55,350.39,344.56,355.88,350.60,347.11,348.36,362.97,368.29,374.64,354.69,376.05,363.62,347.73,345.18,333.15,345.18,369.50,377.76,387.67,390.17,393.81,410.16,405.12,406.79,393.88,389.10,385.82,392.34,408.12,413.24,,402.62,395.60,385.89,383.49,383.10,385.36,388.62,385.67,386.32,378.47,383.48,379.77,380.74,379.29,375.56,379.30,373.03,381.87,369.52
2000-08-12 22:05:41.803000,L7,,,350.92,316.09,356.37,363.39,342.96,345.80,360.49,366.33,358.62,333.86,297.25,351.06,342.20,362.55,358.16,378.52,334.83,407.45,401.32,372.25,397.22,373.91,376.60,339.88,358.79,362.72,,,382.10,365.52,365.05,338.19,349.78,376.66,353.17,352.48,340.01,337.15,341.62,333.19,336.97,351.47,367.93,327.44,342.97,362.66,353.31,345.07,337.61,279.07,341.69,365.98,370.41,377.04,376.09,383.57,386.58,393.97,386.31,391.91,382.54,422.92,375.50,390.73,395.23,383.74,380.13,383.39,387.80,382.19,383.42,384.85,389.88,376.48,376.66,371.21,392.49,382.51,386.59,378.62,386.80,378.25,378.60,384.77,366.40
2000-09-20 22:10:50.972000,L7,,,,,,,,,,,,,,,,,,,,409.15,389.08,382.09,392.04,374.22,371.79,398.47,369.12,383.11,390.30,336.42,397.39,372.01,349.96,323.50,333.28,369.58,339.37,330.87,307.94,301.61,343.27,361.87,358.97,341.58,331.01,337.56,320.90,315.68,306.40,307.75,296.14,356.40,348.63,376.68,384.44,346.88,349.11,356.39,334.72,391.45,365.24,385.96,361.92,359.22,364.63,366.57,370.75,383.93,393.81,374.13,370.23,359.89,360.13,357.03,365.53,358.12,352.00,346.11,357.08,352.15,353.12,350.86,352.96,354.23,356.34,353.19,347.66
2000-12-18 22:05:01.704000,L7,360.14,350.69,358.30,364.03,363.51,369.61,364.60,353.40,350.62,349.82,350.42,338.31,337.04,331.17,337.90,343.74,314.60,349.83,343.25,342.92,353.88,357.54,355.21,345.99,343.84,349.50,345.01,394.43,354.45,383.83,387.05,337.54,343.73,336.84,332.94,330.32,350.69,356.05,344.35,328.16,334.55,330.46,341.77,338.85,345.48,343.26,323.85,350.09,348.39,338.87,327.68,315.11,331.21,352.04,354.61,367.78,411.17,369.08,370.93,375.67,377.33,369.33,368.23,365.01,385.12,380.51,368.96,373.90,379.01,382.10,372.94,372.51,394.12,374.63,375.64,361.65,347.08,348.55,357.86,359.51,364.52,369.83,369.82,362.58,367.65,362.86,347.08
2001-02-20 22:05:00.525000,L7,371.27,342.90,347.66,394.81,394.40,400.96,394.01,390.03,383.44,381.16,379.22,370.18,366.63,360.80,369.72,371.02,378.10,386.69,386.87,392.97,389.94,391.97,393.76,382.88,377.38,379.88,366.97,372.16,383.96,346.45,342.44,331.32,330.29,337.88,,309.35,320.28,330.62,,,,,,,,,324.09,339.34,330.26,327.09,288.21,308.03,315.18,312.73,344.19,360.88,352.62,356.42,363.94,365.43,355.25,351.78,326.84,352.94,355.18,361.53,362.98,358.90,358.53,359.02,353.76,351.04,355.30,355.05,354.54,349.55,342.34,391.98,391.25,387.02,386.42,400.11,394.41,393.41,397.74,394.35,376.88
