dates,nzd0489-0000,nzd0489-0001,nzd0489-0002,nzd0489-0003,nzd0489-0004,nzd0489-0005,nzd0489-0006,nzd0489-0007,nzd0489-0008,nzd0489-0009,nzd0489-0010,nzd0489-0011,nzd0489-0012,nzd0489-0013,nzd0489-0014,nzd0489-0015,nzd0489-0016,nzd0489-0017,nzd0489-0018,nzd0489-0019,nzd0489-0020,nzd0489-0021,nzd0489-0022,nzd0489-0023,nzd0489-0024,nzd0489-0025,nzd0489-0026,nzd0489-0027,nzd0489-0028,nzd0489-0029,nzd0489-0030,nzd0489-0031,nzd0489-0032,nzd0489-0033,nzd0489-0034,nzd0489-0035,nzd0489-0036,nzd0489-0037,nzd0489-0038,nzd0489-0039,nzd0489-0040,nzd0489-0041,nzd0489-0042,nzd0489-0043,nzd0489-0044,nzd0489-0045,nzd0489-0046,nzd0489-0047,nzd0489-0048,nzd0489-0049,nzd0489-0050,nzd0489-0051,nzd0489-0052,nzd0489-0053,nzd0489-0054,nzd0489-0055,nzd0489-0056,nzd0489-0057,nzd0489-0058,nzd0489-0059,nzd0489-0060,nzd0489-0061,nzd0489-0062,nzd0489-0063,nzd0489-0064,nzd0489-0065,nzd0489-0066,nzd0489-0067,nzd0489-0068,nzd0489-0069,nzd0489-0070,nzd0489-0071,nzd0489-0072,nzd0489-0073,nzd0489-0074,nzd0489-0075,nzd0489-0076,nzd0489-0077,nzd0489-0078,nzd0489-0079,nzd0489-0080,nzd0489-0081,nzd0489-0082,nzd0489-0083,nzd0489-0084,nzd0489-0085,nzd0489-0086,satname
1999-08-26 22:07:32+00:00,,,,,,,,,,,,337.94,326.44,308.14,,,,,,,,,,,,,,,,,,,,,,,,,295.56,320.26,,,311.7,,,,,,,,,247.97,,,,,,,,,,,,,,,,,,,,357.66,352.12,352.15,355.48,344.23,345.49,340.17,,,382.97,,,,,,368.48,L7
1999-12-16 22:07:33+00:00,,,,,,,,,,,,337.94,326.44,308.14,,,,,338.31,333.45,,,,,,,306.98,,,,,,291.33,325.74,,,,,295.56,320.26,,,311.7,,306.06,,,,,,325.91,247.97,,,,,,,,,,,,,,,387.26,381.54,380.4,,,357.66,352.12,359.51,355.48,354.02,345.49,352.985,364.68,364.76,382.97,,,,367.59,362.55,357.82500000000005,L7
2000-05-08 22:06:44+00:00,,,,,,,,,,,,319.05,,,,,,,341.45500000000004,333.45,,,,,,,306.98,,,,,,291.33,325.74,,,,,300.89,296.22,,,306.65,,298.315,,,,,,318.62,235.08,,,,,,,348.87,343.09,361.42,369.69,366.97,,,,381.19,381.54,380.4,,,,,366.87,,363.81,,365.8,364.68,364.76,,,,,367.59,361.66499999999996,349.5,L7
2000-06-25 22:06:19+00:00,,,235.42,282.72,290.15,343.01,329.74,320.24,306.73,297.98,261.73,316.615,342.24,,,,,,334.385,331.44,,,343.67,329.11,334.8,,277.69,292.93,303.04,,,,299.41,,330.1,321.75,329.65,,300.89,296.22,,309.43,304.315,345.82,281.92499999999995,288.56,246.91,318.32,303.22,,311.33,235.08,,348.96,,,364.28,375.71,339.6,342.43499999999995,363.355,369.69,366.97,,,343.23,378.49,371.94,375.51,,376.03,371.93,374.03,375.27,,,,,362.37,366.54,353.87,353.46,370.39,350.76,369.43,360.78,358.77,L7
2000-07-11 22:06:05+00:00,,,250.53499999999997,263.735,302.225,342.515,327.42,321.525,308.665,298.83000000000004,268.31,315.00333333333333,307.18,280.01,264.81,244.68,282.29,308.16,328.02000000000004,331.69,344.9,336.97,341.655,328.565,332.24,,271.375,290.53499999999997,306.975,335.72,350.56,316.66,298.915,329.63,330.45500000000004,314.845,329.65,317.24,295.755,292.94000000000005,310.18,306.32,306.0933333333333,345.82,282.3233333333333,282.305,261.245,308.46500000000003,311.285,,311.33,235.08,292.36,339.625,,354.95,347.96,361.33,339.1133333333333,339.09666666666664,352.1266666666667,369.065,366.97,343.3,332.98,343.53499999999997,367.2633333333333,357.565,351.65999999999997,331.49,373.005,367.925,347.825,351.32,323.18,323.97,339.4,362.69,350.505,366.46500000000003,352.845,351.515,362.22,341.29999999999995,364.625,359.55999999999995,352.49,L7
2000-07-27 22:05:48+00:00,,,250.53499999999997,263.735,302.225,342.515,327.42,321.525,309.6433333333334,300.52333333333337,280.08,313.8675,307.18,280.01,264.81,244.68,282.29,308.16,328.02000000000004,331.69,344.9,336.97,341.655,328.565,332.24,329.74,277.74333333333334,290.53499999999997,306.975,335.72,350.56,316.66,300.7666666666667,329.63,330.45500000000004,314.845,329.65,317.24,295.755,292.94000000000005,310.18,306.32,313.2,345.82,280.635,282.5266666666667,261.245,308.46500000000003,311.285,,311.33,235.08,292.36,337.4433333333333,,354.95,347.96,361.33,338.485,339.09749999999997,347.21000000000004,358.12999999999994,366.97,343.3,332.98,343.53499999999997,367.2633333333333,357.565,351.65999999999997,331.49,373.005,367.925,347.825,351.32,323.18,345.125,339.4,362.69,350.505,366.46500000000003,354.92333333333335,351.515,359.84666666666664,341.29999999999995,364.625,359.55999999999995,352.49,L7
2000-08-12 22:05:41+00:00,,,250.53499999999997,263.735,302.225,342.515,327.42,321.525,309.6433333333334,300.52333333333337,280.08,313.8675,307.18,280.01,264.81,244.68,282.29,308.16,330.15250000000003,331.69,344.9,336.97,341.655,328.565,332.24,329.74,277.74333333333334,290.53499999999997,306.975,335.72,350.56,316.66,300.7666666666667,329.63,330.45500000000004,314.845,329.65,317.24,295.755,292.94000000000005,310.18,306.32,313.2,345.82,280.635,295.7425,261.245,308.46500000000003,311.285,,311.33,235.08,292.36,337.4433333333333,,354.95,347.96,361.33,338.485,339.09749999999997,347.21000000000004,358.12999999999994,366.97,343.3,332.98,343.53499999999997,367.2633333333333,357.565,351.65999999999997,331.49,373.005,367.925,347.825,351.32,323.18,345.125,339.4,362.69,350.505,366.46500000000003,354.92333333333335,351.515,359.84666666666664,341.29999999999995,364.625,359.55999999999995,352.49,L7
2000-09-20 22:10:50+00:00,,,250.53499999999997,263.735,302.225,342.515,327.42,321.525,309.6433333333334,300.52333333333337,280.08,313.8675,307.18,280.01,264.81,244.68,282.29,308.16,330.15250000000003,331.69,344.9,336.97,341.655,328.565,332.24,329.74,277.74333333333334,290.53499999999997,306.975,333.15,350.56,316.66,300.7666666666667,328.3,330.5733333333333,314.845,329.65,322.41499999999996,296.7633333333333,294.95000000000005,303.95500000000004,309.84,313.2,341.355,284.078,302.172,274.1933333333333,309.57,308.68,,311.33,235.08,289.82500000000005,337.4433333333333,,346.33500000000004,344.5466666666666,353.04333333333335,337.11199999999997,337.414,346.944,358.08,361.655,348.9,337.83000000000004,342.2033333333334,366.435,354.23333333333335,347.71000000000004,341.64,360.25666666666666,361.1366666666667,341.09999999999997,344.96000000000004,324.445,342.7266666666667,339.575,348.5,343.99333333333334,358.65333333333336,352.6125,347.48333333333335,353.99,341.42333333333335,358.84666666666664,354.22666666666663,347.47,L7
2000-12-18 22:05:01+00:00,,343.76,250.53499999999997,263.735,302.225,342.515,327.42,321.525,309.6433333333334,300.52333333333337,290.96500000000003,313.69,307.18,280.01,264.81,261.16499999999996,292.385,308.665,324.05,333.4866666666667,345.12,333.72,341.655,328.565,335.06333333333333,325.58500000000004,277.74333333333334,290.53499999999997,306.975,333.15,350.56,320.85,310.0825,328.98,329.9825,318.5466666666667,329.65,322.41499999999996,292.43666666666667,293.67,303.15000000000003,309.1175,312.4325,333.2233333333333,284.66400000000004,302.9216666666667,280.435,310.6675,315.0775,308.68,291.12,220.6,291.3766666666667,338.14,,345.0366666666667,344.5466666666666,353.66499999999996,337.054,340.36800000000005,342.12399999999997,352.935,353.28499999999997,349.56666666666666,338.2766666666667,342.59000000000003,360.41999999999996,353.545,351.65999999999997,341.64,360.1725,359.055,340.35249999999996,347.55,325.68333333333334,338.915,336.3966666666667,344.3566666666666,340.1425,356.0275,351.726,348.69,353.852,342.715,356.8625,347.1666666666667,341.015,L7
2001-02-20 22:05:00+00:00,,343.71000000000004,,,347.08,351.51,352.32,343.06,343.99,,332.005,318.34,,,,277.65,302.48,309.17,320.19,341.025,347.775,330.47,347.41,,340.71,332.55,,,,330.58,,325.04,338.03,328.65500000000003,329.51,325.95,,327.59,293.34499999999997,295.67499999999995,299.635,311.915,303.58,326.92499999999995,295.67500000000007,317.28,299.625,312.87,318.86999999999995,308.68,291.12,220.6,290.88500000000005,340.23,,340.08000000000004,337.72,345.99999999999994,340.0999999999999,344.27000000000004,341.59999999999997,353.52000000000004,353.28499999999997,352.70000000000005,340.925,341.6450000000001,357.505,349.52500000000003,351.65999999999997,351.79,347.34000000000003,350.185,332.87999999999994,343.78000000000003,326.93499999999995,332.70500000000004,334.89500000000004,335.18999999999994,329.78,345.5899999999999,346.93000000000006,345.865,344.86,344.13,349.1,341.58000000000004,329.2099999999999,L7
