dates,nzd0014-0000,nzd0014-0001,satname
1999-10-04 22:10:38+00:00,331.4,,L7
2000-09-20 22:08:03+00:00,333.34,,L7
2000-10-06 22:07:59+00:00,334.475,,L7
2002-12-31 22:05:56+00:00,343.64,,L7
2006-08-12 22:10:59+00:00,343.34,330.49,L5
2010-02-12 22:08:30+00:00,345.92,336.62,L5
2013-05-11 22:19:31+00:00,349.22,358.18,L8
2013-06-28 22:19:33+00:00,349.0,361.33500000000004,L8
2013-07-14 22:19:34+00:00,346.44666666666666,357.77666666666664,L8
2013-08-31 22:19:38+00:00,344.34749999999997,357.77666666666664,L8
2014-02-23 22:18:20+00:00,343.22,,L8
2014-05-14 22:17:08+00:00,343.865,,L8
2014-05-30 22:17:11+00:00,343.68,348.09,L8
2014-07-01 22:17:22+00:00,345.455,354.02,L8
2014-07-17 22:17:28+00:00,347.338,357.0533333333333,L8
2015-02-26 22:17:23+00:00,349.42,,L8
2015-07-20 22:17:10+00:00,348.87,353.82,L8
2015-08-05 22:17:13+00:00,345.0466666666666,346.33500000000004,L8
2015-10-24 22:17:40+00:00,342.59,346.33500000000004,L8
2015-12-11 22:17:42+00:00,343.40749999999997,350.07,L8
2015-12-27 22:17:43+00:00,344.25,351.52,L8
2016-01-12 22:17:40+00:00,342.90333333333336,351.52,L8
2016-09-08 22:17:48+00:00,,377.28,L8
2016-09-24 22:17:49+00:00,346.48,365.625,L8
2016-10-10 22:17:54+00:00,346.84000000000003,365.625,L8
2017-04-20 22:16:59+00:00,349.75,,L8
2017-06-07 22:17:15+00:00,348.25,,L8
2017-10-29 22:17:53+00:00,346.025,,L8
2018-04-07 22:16:59+00:00,348.55,374.63,L8
2018-05-25 22:16:28+00:00,350.52,374.63,L8
2018-06-26 22:16:36+00:00,346.9766666666667,374.63,L8
2018-11-17 22:17:31+00:00,344.5933333333333,,L8
2018-12-19 22:17:28+00:00,343.34,,L8
2019-01-04 22:17:27+00:00,344.9433333333333,348.9,L8
2019-02-05 22:17:21+00:00,342.77,348.9,L8
2019-03-25 22:17:09+00:00,341.53599999999994,348.9,L8
2019-04-26 22:16:59+00:00,341.67,348.75,L8
2019-05-28 22:17:17+00:00,342.87000000000006,348.75,L8
2019-06-29 22:17:29+00:00,342.98333333333335,348.75,L8
2019-07-31 22:17:38+00:00,340.9216666666667,344.08000000000004,L8
2019-12-06 22:17:54+00:00,342.9166666666667,339.56,L8
2019-12-22 22:17:51+00:00,343.51250000000005,339.56,L8
2020-02-08 22:17:38+00:00,348.31666666666666,355.08,L8
2020-02-24 22:17:35+00:00,348.31666666666666,365.87,L8
2020-03-11 22:17:28+00:00,346.96000000000004,360.67333333333335,L8
2020-03-27 22:17:20+00:00,348.68,359.9625,L8
2020-08-02 22:17:33+00:00,346.50750000000005,359.9625,L8
2020-09-03 22:17:46+00:00,346.175,354.27,L8
2021-07-04 22:17:29+00:00,338.08,,L8
2021-11-09 22:17:58+00:00,335.76,341.14,L8
2022-01-04 22:17:52+00:00,337.48,347.17499999999995,L9
2022-01-20 22:17:51+00:00,337.48,356.6666666666667,L9
2022-02-21 22:17:43+00:00,337.48,353.7475,L9
2022-05-12 22:17:13+00:00,341.365,357.95,L9
2022-06-05 22:17:39+00:00,339.19,354.87249999999995,L8
2022-06-13 22:17:12+00:00,347.59749999999997,358.33,L9
2022-06-21 22:17:48+00:00,346.618,357.69,L8
2022-07-15 22:17:24+00:00,345.522,358.586,L9
2022-07-31 22:17:39+00:00,346.72166666666664,354.32,L9
2022-08-08 22:18:05+00:00,345.29285714285714,354.32,L8
2022-09-09 22:18:11+00:00,345.75125,358.01,L8
2023-01-15 22:17:53+00:00,345.63250000000005,354.43,L8
2023-02-16 22:17:50+00:00,346.0,354.43,L8
2023-03-04 22:17:37+00:00,344.27750000000003,351.89000000000004,L8
2023-03-28 22:17:33+00:00,345.435,353.60999999999996,L9
2023-04-13 22:17:27+00:00,345.752,354.74,L9
2023-06-16 22:16:54+00:00,347.1816666666667,354.74,L9
2023-07-02 22:17:05+00:00,347.74142857142857,356.712,L9
2023-07-26 22:17:23+00:00,350.3885714285714,358.61249999999995,L8
2023-09-12 22:17:38+00:00,352.1033333333333,362.5466666666666,L8
2023-09-20 22:17:40+00:00,351.6242857142857,360.895,L9
2023-10-14 22:17:45+00:00,349.99333333333334,354.95666666666665,L8
2023-10-22 22:17:50+00:00,349.99333333333334,357.065,L9
2023-11-07 22:17:46+00:00,349.99333333333334,359.43199999999996,L9
2024-01-10 22:17:52+00:00,345.412,354.65,L9
2024-02-11 22:17:53+00:00,339.804,354.65,L9
2024-02-19 22:17:39+00:00,340.69,354.65,L8
2024-03-30 22:17:36+00:00,336.706,354.3275,L9
2024-04-07 22:17:11+00:00,337.83166666666665,354.296,L8
2024-04-15 22:17:28+00:00,338.4783333333333,356.086,L9
2024-04-23 22:17:03+00:00,340.3771428571428,357.082,L8
2024-05-01 22:17:11+00:00,340.92375,356.41833333333335,L9
2024-05-09 22:16:51+00:00,341.35555555555555,353.45666666666665,L8
2024-07-12 22:17:00+00:00,343.3966666666667,357.5366666666667,L8
2024-08-21 22:17:19+00:00,345.23375,357.5366666666667,L9
2024-08-29 22:17:21+00:00,344.47444444444443,357.5366666666667,L8
2025-01-12 22:17:45+00:00,345.24333333333334,,L9
2025-05-04 22:17:17+00:00,346.29,372.34,L9
2025-05-20 22:17:06+00:00,347.69,366.53999999999996,L9
2025-06-21 22:17:14+00:00,343.76,366.53999999999996,L9
2025-07-23 22:17:27+00:00,343.5566666666667,361.62999999999994,L9
2025-08-08 22:17:36+00:00,347.9725,361.62999999999994,L9
2025-10-19 22:17:50+00:00,347.968,360.12,L8
