dates,satname,nzd0014-0000,nzd0014-0001
2020-01-07 22:17:47.735000,L8,337.73,345.14
2020-02-08 22:17:38.924000,L8,356.50,359.42
2020-02-24 22:17:35.189000,L8,396.38,379.36
2020-03-11 22:17:28.877000,L8,351.51,357.90
2020-03-27 22:17:20.128000,L8,349.59,356.38
2020-04-28 22:17:04.952000,L8,331.63,330.88
2020-07-01 22:17:22.957000,L8,333.73,309.86
2020-08-02 22:17:33.048000,L8,333.36,320.63
2020-09-03 22:17:46.393000,L8,338.86,343.55
2021-01-25 22:17:44.203000,L8,412.90,355.30
2021-04-15 22:17:16.883000,L8,201.60,336.99
2021-05-01 22:17:07.841000,L8,349.81,355.57
2021-05-17 22:17:12.707000,L8,354.08,359.60
2021-06-18 22:17:27.030000,L8,351.77,359.07
2021-07-04 22:17:29.944000,L8,330.20,324.75
2021-10-24 22:18:01.850000,L8,327.08,332.86
2021-11-09 22:17:58.951000,L8,355.79,359.14
2021-12-19 22:17:52.616000,L9,343.40,353.89
2022-01-04 22:17:52.138000,L9,345.61,356.18
2022-01-20 22:17:51.591000,L9,341.61,350.72
2022-02-21 22:17:43.336000,L9,242.30,269.33
2022-03-09 22:17:37.608000,L9,329.19,336.39
2022-04-18 22:17:25.504000,L8,487.21,540.99
2022-05-12 22:17:13.223000,L9,344.41,354.58
2022-06-05 22:17:39.656000,L8,349.43,360.28
2022-06-13 22:17:12.050000,L9,335.21,336.46
2022-06-21 22:17:48.970000,L8,191.59,169.07
2022-07-15 22:17:24.696000,L9,337.09,342.48
2022-07-31 22:17:39.593000,L9,338.62,347.93
2022-08-08 22:18:05.196000,L8,342.43,358.19
2022-09-09 22:18:11.619000,L8,343.44,355.26
2022-11-04 22:18:00.514000,L9,340.75,348.81
2022-11-12 22:18:10.437000,L8,353.76,367.40
2023-01-15 22:17:53.980000,L8,347.80,351.75
2023-01-31 22:17:58.841000,L8,329.92,328.05
2023-02-08 22:18:06.517000,L9,337.44,340.27
2023-02-16 22:17:50.035000,L8,346.20,351.95
2023-03-04 22:17:37.574000,L8,343.97,353.31
2023-03-28 22:17:33.498000,L9,336.42,341.55
2023-04-13 22:17:27.047000,L9,336.01,340.69
2023-05-15 22:17:12.111000,L9,337.31,339.47
2023-05-23 22:16:53.942000,L8,401.71,406.78
2023-06-16 22:16:54.981000,L9,339.26,344.84
2023-06-24 22:17:06.399000,L8,333.29,316.51
2023-07-02 22:17:05.775000,L9,338.98,346.90
2023-07-26 22:17:23.328000,L8,347.76,357.50
2023-09-12 22:17:38.225000,L8,344.40,358.76
2023-09-20 22:17:40.026000,L9,352.14,355.74
2023-10-14 22:17:45.774000,L8,353.09,354.87
2023-10-22 22:17:50.479000,L9,340.34,347.36
2023-11-07 22:17:46.155000,L9,423.95,359.26
2023-11-15 22:17:47.856000,L8,351.57,353.09
2024-01-10 22:17:52.010000,L9,344.52,354.56
2024-01-18 22:17:42.241000,L8,382.35,383.68
2024-02-11 22:17:53.113000,L9,338.86,346.17
2024-02-19 22:17:39.652000,L8,347.13,355.89
2024-03-30 22:17:36.478000,L9,350.94,357.34
2024-04-07 22:17:11.830000,L8,354.45,361.82
2024-04-15 22:17:28.257000,L9,350.58,360.63
2024-04-23 22:17:03.194000,L8,344.13,354.10
