dates,satname,nzd0478-0000,nzd0478-0001,nzd0478-0003,nzd0478-0004,nzd0478-0005,nzd0478-0002,nzd0478-0006,nzd0478-0007
1999-10-13 22:07:12.582000,L7,267.95,305.32,306.93,318.68,313.28,,,
1999-11-30 22:06:59.059000,L7,,,302.90,307.88,315.05,,261.96,
1999-12-16 22:07:09.748000,L7,,,297.94,291.17,311.62,234.22,,
2000-03-21 22:06:49.022000,L7,429.31,414.35,273.36,314.12,297.39,350.58,328.57,329.48
2000-05-08 22:06:20.956000,L7,,,315.88,320.15,317.11,,272.53,294.84
2000-05-08 22:06:44.900000,L7,,,304.92,313.27,305.15,,,
2000-06-25 22:05:55.844000,L7,,,,,232.66,,261.43,281.31
2000-06-25 22:06:19.852000,L7,,,310.44,315.27,293.67,,280.16,302.31
2000-07-27 22:05:24.302000,L7,,,310.91,318.49,313.66,,311.26,314.40
2000-07-27 22:05:48.258000,L7,,,315.15,320.11,314.23,241.07,312.32,319.01
2000-08-03 22:11:31.842000,L7,,,281.33,304.71,304.33,,284.01,295.01
2000-08-12 22:05:17.927000,L7,,,278.93,311.43,304.56,,285.60,299.59
2000-08-12 22:05:41.803000,L7,,,290.87,324.97,319.08,,287.66,310.31
2000-09-20 22:10:50.972000,L7,,,,298.91,275.85,,,
2000-12-18 22:04:37.758000,L7,354.46,353.74,358.98,353.52,350.21,354.32,357.38,355.58
2000-12-18 22:05:01.704000,L7,350.17,347.61,353.79,344.52,343.90,329.39,348.74,325.04
2001-01-03 22:04:36.218000,L7,,,,248.94,285.67,,,
2001-01-03 22:05:00.181000,L7,311.91,302.76,313.14,317.13,332.72,305.47,320.01,311.19
2001-02-20 22:04:36.568000,L7,178.24,295.20,305.46,310.11,315.73,276.23,256.79,
2001-02-20 22:05:00.525000,L7,178.95,297.06,305.53,309.52,315.13,277.19,257.02,
2001-04-09 22:04:17.927000,L7,398.07,391.24,317.19,318.74,333.25,333.33,331.09,341.52
2001-04-09 22:04:41.882000,L7,402.12,394.13,322.72,323.29,333.78,336.18,333.48,341.74
2001-06-28 22:03:32.813000,L7,321.67,309.29,316.96,316.99,320.80,,315.24,326.99
2001-06-28 22:03:56.771000,L7,317.91,262.55,313.72,313.73,316.13,,313.14,323.45
2002-03-11 22:03:07.402000,L7,337.60,331.48,,,,291.09,,
2002-03-11 22:03:31.366000,L7,338.03,330.74,,,,321.17,,
2002-04-12 22:03:01.345000,L7,437.88,415.69,177.72,,,340.37,248.79,339.21
2002-04-12 22:03:25.302000,L7,331.18,322.36,,,,,,
2002-05-14 22:02:55.455000,L7,323.04,313.96,,,,,,
2002-05-14 22:03:19.418000,L7,321.96,235.55,,,,,,
2002-07-01 22:02:38.940000,L7,,,,,,,302.49,316.49
2002-11-22 22:02:21.568000,L7,367.32,362.41,311.58,372.92,356.87,356.77,344.15,341.44
2002-11-22 22:02:45.529000,L7,248.14,229.01,309.12,308.35,343.89,301.60,323.55,322.01
2002-12-08 22:02:27.564000,L7,,219.49,294.84,292.32,,299.24,,
2002-12-24 22:02:33.044000,L7,214.34,308.12,,,,190.68,,
2002-12-24 22:02:57.022000,L7,314.78,304.50,,,,,,
2003-08-13 21:51:08.818000,L5,,,306.12,306.09,320.07,,317.09,264.11
2003-09-14 21:51:42.461000,L5,383.35,384.18,370.10,377.62,375.36,375.95,383.18,379.29
2003-09-30 21:52:18.101000,L5,,,314.10,305.38,309.54,278.51,314.29,291.66
2003-10-16 21:52:08.058000,L5,,136.87,307.84,307.66,321.58,266.05,323.14,319.08
2003-11-17 21:52:33.290000,L5,294.64,221.96,330.32,327.89,336.89,312.81,334.53,345.52
2003-11-17 21:52:57.120000,L5,161.37,159.66,321.46,317.57,325.91,277.90,325.86,334.07
2003-12-03 21:52:43.369000,L5,,190.06,330.61,273.78,292.17,252.37,324.40,317.54
2004-01-20 21:53:24.777000,L5,183.45,181.58,327.50,318.77,334.08,290.62,310.44,
2004-01-27 21:59:14.176000,L5,191.03,191.31,331.84,328.46,,310.08,,
2004-05-27 21:55:06.972000,L5,317.83,310.86,,,,,,
