dates,satname,nzd0153-0000,nzd0153-0001,nzd0153-0014,nzd0153-0015,nzd0153-0016,nzd0153-0017,nzd0153-0018,nzd0153-0019,nzd0153-0020,nzd0153-0021,nzd0153-0022,nzd0153-0023,nzd0153-0024,nzd0153-0025,nzd0153-0026,nzd0153-0002,nzd0153-0003,nzd0153-0004,nzd0153-0005,nzd0153-0006,nzd0153-0007,nzd0153-0008,nzd0153-0009,nzd0153-0010,nzd0153-0011,nzd0153-0012,nzd0153-0013
1999-10-22 21:58:28.758000,L7,315.49,238.45,272.79,220.13,251.40,259.52,251.41,224.38,267.74,242.82,301.03,303.80,313.23,319.84,292.98,,,,,,,,,,,,
1999-12-09 21:58:33.708000,L7,311.25,315.81,367.45,366.59,358.25,377.00,338.56,370.09,370.65,333.88,331.84,334.49,,,,321.82,347.84,321.42,356.94,366.84,368.35,381.71,368.08,371.25,366.39,359.90,362.43
1999-12-25 21:58:52.197000,L7,314.61,309.23,292.10,241.15,216.85,233.86,220.05,201.00,330.87,297.62,315.80,,,,,326.74,343.37,346.97,285.35,292.73,,,,,,,
2000-02-27 21:58:16.566000,L7,281.99,284.46,,,246.31,254.43,247.20,220.84,293.48,293.21,299.04,296.10,304.58,314.83,,296.84,367.20,369.53,338.95,406.59,287.46,,,,,,
2000-03-14 21:58:11.336000,L7,333.65,263.84,316.96,312.66,311.39,323.21,317.62,322.77,322.85,323.41,316.79,384.09,356.54,358.99,356.41,281.65,292.95,296.39,302.09,312.71,314.24,312.57,313.91,353.14,389.49,383.65,309.66
2000-03-14 21:58:35.291000,L7,,,286.08,281.88,252.81,261.00,253.83,228.11,,,,,,,,257.21,345.57,350.87,355.77,366.17,294.15,297.05,293.47,,,,278.65
2000-03-30 21:58:09.573000,L7,,,282.87,277.08,253.42,272.35,264.53,239.39,316.37,311.79,305.32,305.88,308.84,324.14,305.06,258.62,338.41,352.44,356.63,359.41,292.49,294.52,293.64,,,,
2000-03-30 21:58:33.541000,L7,,,281.73,225.77,251.33,264.95,256.77,231.39,315.98,301.64,303.70,,,,,256.49,274.79,270.07,275.75,286.66,287.77,290.74,,,,,
2000-08-05 21:56:44.750000,L7,340.50,359.59,401.59,369.91,372.03,365.53,393.89,292.46,368.41,344.79,378.80,352.15,359.46,375.41,313.33,351.62,365.19,349.06,280.81,291.80,294.45,294.16,367.74,372.66,385.48,393.48,374.82
2000-08-05 21:57:08.715000,L7,336.65,328.77,367.90,367.92,369.35,362.63,339.06,347.24,324.01,318.39,350.04,340.22,333.94,,,362.84,385.66,371.92,356.40,369.37,371.68,387.79,369.41,381.80,349.54,324.48,330.13
2000-09-06 21:56:22.949000,L7,,,275.63,214.07,247.68,259.40,251.48,222.93,255.29,226.59,301.10,300.49,360.74,375.26,355.67,,,,,,,358.38,359.93,365.00,,,
2000-09-22 21:56:05.544000,L7,329.21,249.28,283.32,220.80,251.87,263.04,252.96,232.54,259.33,216.17,302.14,301.32,309.53,337.77,321.46,301.00,,,,,,402.81,325.32,304.91,282.61,284.31,
2000-12-11 21:56:00.959000,L7,,,,,290.15,264.66,220.71,229.18,264.90,289.70,308.99,302.23,316.62,318.32,,,,,,,,,,,,,
