dates,nzd0153-0000,nzd0153-0001,nzd0153-0014,nzd0153-0015,nzd0153-0016,nzd0153-0017,nzd0153-0018,nzd0153-0019,nzd0153-0020,nzd0153-0021,nzd0153-0022,nzd0153-0023,nzd0153-0024,nzd0153-0025,nzd0153-0026,nzd0153-0002,nzd0153-0003,nzd0153-0004,nzd0153-0005,nzd0153-0006,nzd0153-0007,nzd0153-0008,nzd0153-0009,nzd0153-0010,nzd0153-0011,nzd0153-0012,nzd0153-0013,satname
1999-10-22 21:58:28+00:00,315.49,,,,,,,,,,301.03,303.8,,319.84,,,,,,,,,,,,,,L7
1999-12-09 21:58:33+00:00,313.37,,,,,,338.56,,,333.88,316.43499999999995,319.145,,319.84,,,,321.42,,,,,,371.25,,,,L7
2000-03-14 21:58:11+00:00,320.13,,316.96,312.66,,,328.09000000000003,,322.85,328.645,316.55333333333334,319.145,,339.41499999999996,,281.65,,308.905,,,314.24,312.57,313.91,362.195,,,309.66,L7
2000-03-30 21:58:09+00:00,320.13,,299.91499999999996,294.87,253.42,,306.90333333333336,,319.61,323.0266666666667,313.745,314.72333333333336,308.84,334.3233333333333,305.06,270.135,338.41,308.905,,,303.365,303.54499999999996,303.775,362.195,,,309.66,L7
2000-08-05 21:56:44+00:00,337.075,,299.91499999999996,294.87,253.42,,291.07500000000005,,319.61,326.66333333333336,311.05500000000006,305.88,308.84,341.56500000000005,309.195,270.135,351.8,296.39,280.81,291.8,300.3933333333334,300.4166666666667,303.775,353.14,,,309.66,L7
2000-12-11 21:56:00+00:00,340.5,,,,290.15,,220.71,,,344.79,,,,,313.33,,365.19,,280.81,291.8,294.45,294.16,,,,,,L7
2001-01-12 21:56:06+00:00,338.135,,,,270.52,208.41,214.735,189.7,268.74,325.905,340.8,311.22,323.83,346.51,306.685,254.83,365.19,269.34,277.23,288.095,294.45,294.16,,,,,,L7
2001-03-01 21:55:57+00:00,335.77,,,,253.34333333333333,219.945,215.15666666666667,194.545,253.61,310.6,340.8,306.395,317.98,331.685,298.545,254.83,,269.34,273.65,284.39,,,,,,,,L7
2001-06-05 21:55:16+00:00,335.77,,286.39,281.2,253.34333333333333,219.945,215.15666666666667,198.13333333333333,257.9866666666667,310.6,323.18,306.395,317.98,331.685,296.74,254.83,,269.34,273.65,284.39,,,,,,,,L7
2001-09-09 21:54:12+00:00,,,288.12,280.77,,233.78,214.32,205.31,266.74,341.46,319.47,327.11,,,293.13,,370.51,,,299.15,304.88,300.56,301.04,,293.26,289.2,300.93,L7
2001-09-25 21:54:04+00:00,347.33,246.75,289.8066666666667,284.4533333333333,,233.78,214.32,205.31,263.36,341.46,326.91,333.15999999999997,,,293.13,,375.54499999999996,,,299.15,304.88,300.56,337.13,,295.515,295.34000000000003,296.57,L7
2001-10-11 21:53:46+00:00,347.33,246.75,287.23,284.4533333333333,251.95,247.51999999999998,233.54,216.39,263.1766666666667,341.46,320.4525,322.3666666666666,316.16,361.12,294.05,253.69,341.64333333333326,273.7,275.57,292.07,296.3,295.64,343.16,,295.515,295.34000000000003,296.57,L7
2002-01-15 21:54:23+00:00,337.96500000000003,245.26999999999998,285.5525,286.0799999999999,251.54,253.13,239.87,232.92000000000002,262.65333333333336,341.46,320.78000000000003,318.8075,319.895,355.695,297.89,255.21,325.9175,275.855,277.82,291.31333333333333,292.70666666666665,294.57,343.16,,295.515,295.34000000000003,296.57,L7
2002-03-20 21:54:48+00:00,331.87333333333333,245.26999999999998,284.12,291.82,251.54,262.805,252.645,232.92000000000002,273.0725,346.96,320.4275,320.995,325.32,352.5,311.76666666666665,255.21,308.9075,275.855,277.82,287.39500000000004,286.62,291.57500000000005,369.78333333333336,382.53,297.77,301.48,292.21,L7
2002-08-27 21:53:36+00:00,329.16499999999996,,,303.17,,,,,301.80499999999995,343.515,331.97,335.86,336.17,352.145,344.83,,313.75,317.41,308.81,,,,374.78,369.29499999999996,,,,L7
2002-10-14 21:53:19+00:00,338.64,,278.59,303.17,252.11,260.87,252.69,225.33,282.17999999999995,340.07,322.86,304.85,312.93,339.23,350.14,254.16,325.03,294.29,290.855,283.3,283.56,290.73,368.65,356.06,,,,L7
2002-12-01 21:53:52+00:00,338.64,240.34,280.405,303.17,254.74,267.125,258.46000000000004,233.465,281.0433333333333,321.13,318.90999999999997,310.92,318.985,336.96666666666664,362.265,255.19,325.03,286.32666666666665,285.0566666666667,284.265,283.56,290.73,368.65,356.06,,,,L7
2003-01-18 21:54:06+00:00,338.64,240.34,280.405,303.17,253.63333333333333,265.06666666666666,256.46,231.00666666666666,278.53249999999997,313.96,313.62333333333333,307.91333333333336,315.38000000000005,333.18,340.21999999999997,255.19,325.03,286.32666666666665,285.0566666666667,284.265,283.56,290.73,368.65,356.06,,,,L7
2003-05-26 21:54:19+00:00,338.63,240.34,294.75,310.35,254.39499999999998,267.165,258.345,233.84499999999997,279.93333333333334,298.57,320.32666666666665,319.1766666666667,324.77,327.13,335.26,256.22,359.15,270.4,273.46,285.23,,,317.49,307.02,306.81,310.01,305.33,L7
2003-07-21 21:42:09+00:00,315.18,248.45,307.28,284.865,259.82,211.82,261.2,273.58,248.14,251.04999999999998,319.41,316.555,320.67,310.47,289.24,257.58,315.875,266.54,266.27,279.31,276.85,279.76,302.53499999999997,295.19,297.11,298.105,292.17999999999995,L5
2003-08-06 21:42:27+00:00,315.18,248.45,307.28,276.70666666666665,259.61,225.69,261.27500000000003,273.725,233.62,236.74666666666667,309.85333333333335,309.55333333333334,313.7866666666667,311.625,287.14,257.58,315.875,264.69500000000005,267.385,278.655,279.305,280.515,297.4866666666667,291.8566666666666,292.4533333333333,293.6466666666667,286.74666666666667,L5
2003-09-07 21:43:00+00:00,315.18,248.45,307.28,269.865,253.5,221.35,254.11,268.3233333333333,229.065,232.67749999999998,305.39,306.0425,311.6,311.8866666666667,286.56333333333333,257.58,315.875,264.69500000000005,267.385,278.655,279.305,280.515,297.4866666666667,291.8566666666666,292.4533333333333,293.6466666666667,286.74666666666667,L5
2003-10-25 21:43:40+00:00,315.18,248.45,307.28,264.214,250.07500000000002,218.45,254.11,268.3233333333333,222.87600000000003,225.984,300.50600000000003,302.524,307.61,309.755,286.07,257.58,315.875,264.69500000000005,267.385,278.655,279.305,280.515,297.4866666666667,291.8566666666666,292.4533333333333,293.6466666666667,286.74666666666667,L5
2004-02-14 21:44:33+00:00,,,,241.59666666666666,234.0333333333334,211.35999999999999,233.63000000000002,257.52,207.39333333333332,208.27666666666667,284.75333333333333,288.21999999999997,298.34499999999997,307.885,285.0,,,,,,,,,,,,,L5
2004-03-01 21:44:38+00:00,,,,244.8825,235.70000000000002,213.225,237.4266666666667,251.00500000000002,208.135,207.8875,284.355,288.4325,297.67,308.0,285.0,,,,,,,,,,,,,L5
2004-04-02 21:44:54+00:00,,,,242.2775,233.84000000000003,209.2775,236.25000000000006,244.49,207.82,203.245,280.725,284.66499999999996,292.4666666666667,305.18666666666667,284.59,,,,,,,,,,,,,L5
2004-04-18 21:45:25+00:00,,,,243.836,233.84000000000003,208.724,236.25000000000006,244.49,208.81,203.498,282.15600000000006,286.018,293.8175,306.79,282.265,,,,,,,,,,,,,L5
2004-05-04 21:45:52+00:00,,,,244.46599999999998,233.76333333333332,208.132,235.09000000000003,230.02500000000003,208.12600000000003,203.92199999999997,281.434,285.61199999999997,294.24,307.83000000000004,279.94,,,,,,,,,,,,,L5
2004-05-20 21:46:20+00:00,,,,244.51999999999998,234.465,208.02166666666668,235.09000000000003,230.02500000000003,207.165,203.81499999999997,283.04833333333335,286.3333333333333,294.49399999999997,308.93600000000004,278.675,,,,,,,,,,,,,L5
2004-07-07 21:47:45+00:00,,,268.75,246.85714285714286,239.27200000000002,209.14142857142858,241.245,230.02500000000003,207.70000000000002,204.8657142857143,283.41,287.0142857142857,294.31166666666667,308.88500000000005,281.28000000000003,,,,,,279.92,276.25,281.98,279.91,281.5,280.32,272.58,L5
