dates,satname,nzd0369-0001,nzd0369-0002,nzd0369-0003,nzd0369-0004,nzd0369-0005,nzd0369-0006,nzd0369-0007,nzd0369-0008,nzd0369-0009,nzd0369-0010,nzd0369-0011,nzd0369-0012,nzd0369-0013,nzd0369-0014,nzd0369-0015,nzd0369-0016,nzd0369-0017,nzd0369-0018,nzd0369-0019,nzd0369-0020,nzd0369-0021,nzd0369-0022,nzd0369-0023,nzd0369-0024,nzd0369-0132,nzd0369-0133,nzd0369-0134,nzd0369-0135,nzd0369-0136,nzd0369-0137,nzd0369-0138,nzd0369-0139,nzd0369-0140,nzd0369-0141,nzd0369-0142,nzd0369-0143,nzd0369-0144,nzd0369-0145,nzd0369-0146,nzd0369-0147,nzd0369-0148,nzd0369-0149,nzd0369-0150,nzd0369-0151,nzd0369-0152,nzd0369-0063,nzd0369-0064,nzd0369-0065,nzd0369-0131,nzd0369-0025,nzd0369-0038,nzd0369-0039,nzd0369-0040,nzd0369-0041,nzd0369-0043,nzd0369-0044,nzd0369-0045,nzd0369-0046,nzd0369-0047,nzd0369-0048,nzd0369-0049,nzd0369-0101,nzd0369-0102,nzd0369-0103,nzd0369-0104,nzd0369-0105,nzd0369-0106,nzd0369-0130,nzd0369-0033,nzd0369-0034,nzd0369-0035,nzd0369-0036,nzd0369-0075,nzd0369-0076,nzd0369-0077,nzd0369-0078,nzd0369-0026,nzd0369-0027,nzd0369-0028,nzd0369-0029,nzd0369-0087,nzd0369-0088,nzd0369-0089,nzd0369-0118,nzd0369-0119,nzd0369-0124,nzd0369-0125,nzd0369-0126,nzd0369-0127,nzd0369-0128,nzd0369-0129,nzd0369-0112,nzd0369-0113,nzd0369-0114,nzd0369-0115,nzd0369-0116,nzd0369-0117,nzd0369-0091,nzd0369-0092,nzd0369-0093,nzd0369-0094,nzd0369-0095,nzd0369-0120,nzd0369-0121,nzd0369-0122,nzd0369-0123,nzd0369-0100,nzd0369-0107,nzd0369-0108,nzd0369-0109,nzd0369-0110,nzd0369-0111,nzd0369-0090,nzd0369-0096,nzd0369-0097,nzd0369-0098,nzd0369-0081,nzd0369-0082,nzd0369-0085,nzd0369-0086,nzd0369-0030,nzd0369-0031,nzd0369-0057,nzd0369-0058,nzd0369-0059,nzd0369-0060,nzd0369-0061,nzd0369-0099,nzd0369-0071,nzd0369-0072,nzd0369-0073,nzd0369-0083,nzd0369-0032,nzd0369-0042,nzd0369-0084,nzd0369-0050,nzd0369-0051,nzd0369-0052,nzd0369-0055,nzd0369-0056,nzd0369-0053,nzd0369-0054,nzd0369-0074,nzd0369-0079,nzd0369-0080
2000-03-30 21:59:45.397000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.62,374.14,360.46,350.66,384.16,387.88,311.25,,,,,,,,,,,,,,,,410.97,417.12,376.65,389.24,363.45,339.94,335.38,322.80,,,,,,,,,,,,410.75,416.67,396.73,390.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-15 21:59:31.785000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.83,393.12,384.43,355.64,363.15,388.70,,,,,,,,,,,,,,,,,,,350.72,362.54,349.98,336.93,306.98,313.11,,,,,,,,,,,,,,410.58,363.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:30.586000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.44,413.48,382.15,371.85,353.76,322.44,311.98,310.53,,,,,,,,,,,,420.40,408.89,398.26,387.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-17 21:59:19.400000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.12,352.85,355.25,330.97,334.88,331.37,,,,,,,,,,,,,,,,,421.78,375.71,366.44,361.06,,,,,,,,,,,,,,,,416.70,401.21,383.92,373.16,403.25,367.18,414.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-18 21:59:03.789000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.87,306.31,,,,,,,,,,,,,,,,,,,,,,,,,352.42,,,,,,377.69,366.95,352.33,368.41,384.86,,,,,,337.13,374.24,388.66,376.62,364.81,400.11,365.13,363.43,401.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:58:20.584000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.09,338.49,322.06,310.65,309.24,316.00,,,,,,,,,,,,,,,,,326.24,,307.28,,,,,,398.93,392.35,,360.15,385.32,357.42,,,,,,,331.09,330.17,311.07,389.49,357.38,391.44,405.64,394.51,398.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-06 21:57:58.861000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.99,357.37,,,,,369.79,354.84,341.44,359.87,363.50,,,,,,309.11,361.48,382.66,380.10,369.65,385.43,357.33,356.45,387.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-24 21:57:29.684000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.36,,,,,,,,,,,,,377.25,365.81,363.33,335.92,338.58,362.64,341.54,,,,,,,,,,,,,,,,,,308.59,329.66,339.96,396.05,391.99,409.58,,,,,,,,,,,,,,347.55,335.50,,402.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25 21:57:34.931000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.02,378.65,364.51,348.33,359.33,386.41,296.04,,,,,,,,,,,,,,,,,,373.21,361.02,349.87,329.37,326.45,305.79,,,,,,,,,,,,441.86,394.49,395.80,375.17,,420.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-11 21:57:36.803000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.20,,,,,,,,,,,,,403.41,368.89,364.38,347.71,354.48,387.32,334.23,,,,,,,,,,,,,,,,,,364.00,381.65,379.29,341.19,322.98,337.30,,,,,,,,,,,,,434.39,388.35,377.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
