dates,nzd0361-0000,nzd0361-0001,nzd0361-0002,nzd0361-0003,nzd0361-0004,nzd0361-0005,nzd0361-0006,nzd0361-0007,nzd0361-0008,nzd0361-0009,nzd0361-0010,nzd0361-0011,nzd0361-0012,nzd0361-0013,nzd0361-0014,nzd0361-0015,nzd0361-0016,nzd0361-0017,nzd0361-0018,nzd0361-0019,nzd0361-0020,nzd0361-0021,nzd0361-0022,nzd0361-0023,nzd0361-0024,nzd0361-0025,nzd0361-0026,nzd0361-0027,nzd0361-0028,nzd0361-0029,nzd0361-0030,nzd0361-0031,nzd0361-0032,nzd0361-0033,nzd0361-0034,nzd0361-0035,nzd0361-0036,nzd0361-0037,nzd0361-0038,nzd0361-0039,nzd0361-0040,nzd0361-0041,nzd0361-0042,nzd0361-0043,nzd0361-0044,nzd0361-0045,nzd0361-0046,nzd0361-0047,nzd0361-0048,nzd0361-0049,nzd0361-0050,nzd0361-0051,nzd0361-0052,nzd0361-0053,nzd0361-0054,nzd0361-0055,nzd0361-0056,nzd0361-0057,nzd0361-0058,nzd0361-0059,nzd0361-0060,nzd0361-0061,nzd0361-0062,nzd0361-0063,nzd0361-0064,nzd0361-0065,nzd0361-0066,nzd0361-0067,nzd0361-0068,nzd0361-0069,nzd0361-0070,nzd0361-0071,nzd0361-0072,nzd0361-0073,nzd0361-0074,nzd0361-0075,nzd0361-0076,nzd0361-0077,nzd0361-0078,nzd0361-0079,nzd0361-0080,nzd0361-0081,nzd0361-0082,nzd0361-0083,nzd0361-0084,nzd0361-0085,nzd0361-0086,nzd0361-0087,nzd0361-0088,nzd0361-0089,nzd0361-0090,nzd0361-0091,nzd0361-0092,nzd0361-0093,nzd0361-0094,nzd0361-0095,nzd0361-0096,nzd0361-0097,nzd0361-0098,nzd0361-0099,nzd0361-0100,nzd0361-0101,nzd0361-0102,nzd0361-0103,nzd0361-0104,nzd0361-0105,nzd0361-0106,nzd0361-0107,nzd0361-0108,nzd0361-0109,nzd0361-0110,nzd0361-0111,nzd0361-0112,nzd0361-0113,nzd0361-0114,nzd0361-0115,nzd0361-0116,nzd0361-0117,nzd0361-0118,nzd0361-0119,nzd0361-0120,nzd0361-0121,nzd0361-0122,nzd0361-0123,nzd0361-0124,nzd0361-0125,nzd0361-0126,nzd0361-0127,nzd0361-0128,nzd0361-0129,nzd0361-0130,nzd0361-0131,nzd0361-0132,nzd0361-0133,nzd0361-0134,nzd0361-0135,nzd0361-0136,nzd0361-0137,nzd0361-0138,nzd0361-0139,nzd0361-0140,nzd0361-0141,nzd0361-0142,nzd0361-0143,nzd0361-0144,nzd0361-0145,nzd0361-0146,nzd0361-0147,nzd0361-0148,nzd0361-0149,nzd0361-0150,nzd0361-0151,nzd0361-0152,nzd0361-0153,nzd0361-0154,nzd0361-0155,nzd0361-0156,nzd0361-0157,nzd0361-0158,nzd0361-0159,nzd0361-0160,nzd0361-0161,nzd0361-0162,nzd0361-0163,nzd0361-0164,nzd0361-0165,nzd0361-0166,nzd0361-0167,nzd0361-0168,nzd0361-0169
1999-08-17 22:12:26+00:00,,,,,,355.68,,380.51,303.8,,,344.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.29,279.71,291.16,,,,,,,,,,,,,291.88,287.76,303.34,285.6,283.45,295.06,296.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.88,257.73,256.47,233.19,239.41,250.01,261.32,237.56,266.86,252.48,274.55,258.27,,240.32,248.28,253.5,257.57,258.75,260.89,267.15,262.89,,,,257.06,252.04,261.98,264.08,,,,,,,,,,,,,,,,,269.46,259.02,255.77,267.12,,,246.44,246.18,239.55,245.4,240.86,250.82,247.12,247.96,,,,,,,,,,,,,,
1999-08-26 22:06:20+00:00,,,,,,355.68,,380.51,292.85,,,344.56,,,,,300.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.68,,251.49,262.96999999999997,271.185,,,,,,,,,,,,,291.88,287.76,303.34,285.6,283.45,295.06,296.45,,,,,,,,,,,,,,,,,213.01,236.61,218.61,,,,,227.72,219.35,238.2,232.49,252.21,253.77,274.88,257.73,256.47,233.19,239.41,250.01,261.32,237.56,266.86,252.48,274.55,258.27,,240.32,248.28,253.5,257.57,258.75,260.89,267.15,262.89,,,213.05,238.14499999999998,237.11,258.93,244.58499999999998,222.2,216.87,,221.92,223.4,,218.56,,210.21,,,219.22,,,,,251.815,261.49,252.86,252.24,,194.74,246.44,246.18,239.55,245.4,240.86,235.245,239.32999999999998,240.62,206.18,203.92,,,,,,,,,,,,
1999-10-13 22:06:24+00:00,,,,,,355.68,,369.705,292.85,354.23,358.65,349.41499999999996,351.93,356.53,358.45,348.6,318.455,353.5,,359.61,363.07,325.58,315.66,325.87,328.42,318.52,309.39,301.47,283.69,286.83,286.11,,,,,,,,,,,,,,,234.68,,251.49,262.96999999999997,271.185,,,,,,,,,,,,,291.88,287.76,283.80499999999995,276.655,276.575,282.845,281.525,,,268.76,282.89,290.98,297.84,310.71,309.6,313.71,,,,,,243.39,,228.79,241.245,229.64,,,,277.06,245.79500000000002,234.965,242.765,246.225,253.21,248.445,256.895,250.10500000000002,244.085,224.515,229.70999999999998,237.08999999999997,242.825,232.5,254.32,246.0,266.53999999999996,257.03,265.12,235.35,245.8,245.115,250.215,250.6,260.89,267.15,262.89,,,230.73000000000002,244.16333333333333,242.93999999999997,259.86,244.58499999999998,241.25,234.51999999999998,,237.495,241.67000000000002,,236.575,,229.75,,,237.225,283.73,285.47,,273.33,253.31666666666663,262.21999999999997,263.3533333333333,252.24,,206.65,230.765,233.935,237.53,235.81,231.865,241.55999999999997,243.03,243.98666666666668,223.515,218.75,,,,,,,,,,,,
1999-11-21 22:12:24+00:00,,,,,,357.86,,373.8033333333333,292.85,354.23,358.65,349.41499999999996,348.135,351.255,352.89,349.605,333.25333333333333,360.08000000000004,353.09,352.505,349.275,332.04999999999995,328.37,337.78,329.28499999999997,321.105,318.365,313.92,293.48,287.17999999999995,281.35,,,273.24,,248.64,250.91,231.59,232.48,238.09,,,,,,234.68,,251.49,277.37333333333333,280.49666666666667,,,,,,,,318.83,326.87,324.63,324.66,325.1,308.47,303.94,283.80499999999995,276.655,292.57666666666665,298.81,294.4266666666667,318.31,,268.76,282.89,301.70000000000005,304.5,320.33,313.905,311.22,,,,,,243.39,,228.79,252.73000000000002,229.64,,,,288.765,261.34,253.03,242.765,261.42,266.40000000000003,261.84,256.895,250.10500000000002,244.085,224.515,229.70999999999998,237.08999999999997,242.825,232.5,254.32,246.0,276.25666666666666,265.9866666666666,279.565,235.35,245.8,245.115,250.215,250.6,275.485,278.03999999999996,282.385,,,230.73000000000002,244.16333333333333,242.93999999999997,259.86,244.58499999999998,241.25,234.51999999999998,,237.495,241.67000000000002,,236.575,,229.75,,,237.225,303.52,302.84000000000003,,285.95,256.635,274.475,276.23249999999996,252.24,,206.65,230.765,233.935,237.53,235.81,231.865,252.73,253.425,243.98666666666668,242.41666666666666,218.75,,,289.67,,,,,290.74,289.08,284.73,312.74,
2000-03-21 22:06:01+00:00,,,242.06,,281.55,329.5,318.85,370.44999999999993,,364.45500000000004,365.82,345.42499999999995,348.135,351.255,352.89,337.32666666666665,340.21666666666664,353.55,353.09,352.505,330.5466666666667,320.6433333333333,314.67333333333335,319.47333333333336,307.13,321.105,298.6233333333333,295.49333333333334,279.8933333333333,287.17999999999995,268.1433333333333,232.84,,285.31,,248.64,250.91,231.59,232.48,238.09,211.55,,224.8,232.39,254.01,,266.97,267.65,293.345,294.21000000000004,248.25,245.91,252.42,252.74,248.63,240.62,270.66,303.905,324.5,318.53499999999997,314.495,315.165,320.725,291.68,265.56,269.9,295.45666666666665,300.49333333333334,300.00333333333333,321.95500000000004,,268.76,282.89,294.00333333333333,302.25333333333333,317.24333333333334,313.905,311.22,,,223.96,221.43,223.3,231.445,214.8,234.115,249.5666666666667,233.255,229.35,,240.06,283.9533333333333,276.93333333333334,258.58,240.275,261.37,261.71,263.54,232.375,230.5,215.575,215.84,220.01,215.055,208.93,222.215,230.82999999999998,232.91000000000003,260.68,254.67333333333332,279.565,230.38,232.97,229.21499999999997,235.54000000000002,233.42,253.435,257.945,259.78499999999997,221.4,230.19,243.475,249.22000000000003,247.26,253.51500000000001,250.75,254.655,248.32999999999998,242.84,244.01,250.08499999999998,243.24,244.715,237.64,245.67000000000002,240.08,249.29,252.45,285.6066666666667,283.5733333333333,262.15,283.31,268.78,286.21666666666664,294.7033333333333,235.8,223.04,217.175,215.065,219.22,233.765,230.48000000000002,228.35500000000002,263.8666666666666,261.6466666666667,256.04,247.2933333333333,228.84500000000003,229.91,217.5,271.975,252.37,254.3,254.38,244.04,270.805,275.4,276.44,299.645,237.98
2000-05-24 22:05:22+00:00,308.28,315.97,247.69,314.61,283.315,295.12,314.35,,303.47,374.68,344.115,322.47,309.91,309.82,321.75,318.31,323.04999999999995,339.9,330.44,330.33,304.095,295.53499999999997,287.71,285.70500000000004,270.78499999999997,,265.865,264.56,262.0,256.03,247.19,245.375,249.46,297.38,246.24,214.03,235.48,213.87,229.87,244.78,220.88,,233.85000000000002,239.38,252.05,265.83,260.21000000000004,272.69,274.145,280.5,260.555,258.41,265.59,272.57,263.01,257.875,285.055,273.98,322.13,312.44,288.21500000000003,286.765,316.39,270.555,273.615,274.625,295.235,292.06,300.78499999999997,325.6,274.28,284.81,273.96,278.61,297.76,311.07,,,,,223.96,221.43,223.3,219.5,214.8,223.66,227.12,225.84,229.35,,240.06,274.33,274.5,236.0,233.22,232.34,238.14,258.87,225.84,218.52,199.45,,220.57,228.81,224.45999999999998,241.45000000000002,242.57,239.57,241.915,242.36,249.13,247.92,226.735,227.495,239.95,234.595,232.14499999999998,238.60000000000002,230.925,239.625,244.295,246.91,251.85500000000002,251.885,255.505,258.84000000000003,268.31,255.28500000000003,256.665,251.515,250.14999999999998,249.615,248.33999999999997,241.515,247.315,241.33,255.39499999999998,265.175,263.625,257.745,266.565,273.03999999999996,274.275,274.3,269.935,245.255,235.35,225.08499999999998,217.12,220.8,236.28,237.65,232.265,245.325,248.72,253.0,225.51999999999998,228.075,220.175,226.825,247.45999999999998,245.78,241.09,247.94,238.29500000000002,241.24,250.615,253.85999999999999,286.55,237.98
2000-08-03 22:10:43+00:00,308.28,315.97,247.69,314.61,283.315,294.0566666666667,314.35,,303.47,374.68,331.28333333333336,321.6566666666667,328.295,324.93,321.75,318.31,323.04999999999995,339.9,330.44,330.33,304.095,295.53499999999997,287.71,284.7366666666667,274.07,310.09,271.31,269.39000000000004,265.52,252.95,259.1066666666666,257.0366666666667,265.91,293.15,246.24,214.03,228.28,215.215,215.98000000000002,234.11,219.15,,239.87333333333333,239.67999999999998,246.59,269.03,266.69,278.27,282.44,290.59666666666664,277.18333333333334,258.0833333333333,265.2366666666666,280.92333333333335,280.51,259.25333333333333,287.92333333333335,266.5133333333334,301.805,306.40999999999997,293.49,282.4166666666667,316.25,270.44,269.54333333333335,277.26666666666665,283.98333333333335,284.43333333333334,289.97333333333336,325.6,267.565,268.3,269.78499999999997,271.005,299.255,293.2,258.18,274.66,254.09,246.59,236.315,233.09,227.87,230.5,214.8,223.66,227.12,240.22,239.77499999999998,275.73,253.72,263.08,272.69,236.0,233.22,232.34,238.14,258.87,225.84,218.52,199.45,,220.57,228.81,224.45999999999998,241.45000000000002,242.57,239.57,241.915,242.36,249.13,235.05,230.97,227.07333333333335,239.79333333333332,236.98333333333335,234.97,239.27,233.02666666666664,242.7266666666667,244.22333333333333,246.81000000000003,251.72000000000003,256.00666666666666,257.4633333333333,259.17,266.5233333333333,259.7366666666667,255.58,250.5333333333333,251.90666666666664,251.01666666666665,252.77666666666664,240.17666666666665,249.87666666666667,241.39333333333335,254.66666666666666,268.8833333333333,263.94,259.1033333333333,261.7866666666667,271.16,270.5133333333333,272.54333333333335,268.9266666666667,251.67666666666665,241.05666666666664,225.93999999999997,219.69666666666663,218.9,235.40666666666667,237.34333333333333,230.29333333333332,246.35999999999999,245.91333333333333,249.63666666666666,228.83333333333334,225.68999999999997,223.04333333333332,226.92,242.6833333333333,241.39333333333335,237.90666666666667,242.65333333333334,234.57000000000002,237.1,242.03333333333333,248.05999999999997,264.285,245.42000000000002
2000-08-19 22:10:38+00:00,308.28,315.97,247.69,314.61,283.315,294.0566666666667,308.3933333333334,,303.47,374.68,330.155,321.6566666666667,328.295,324.93,321.75,318.31,323.04999999999995,339.9,330.44,330.33,309.7033333333333,306.23,300.6233333333333,291.6775,280.8775,303.17999999999995,273.7025,271.99,267.335,255.42666666666665,258.2075,256.83000000000004,269.2166666666667,290.5,265.52,214.03,228.28,215.215,215.98000000000002,234.11,219.15,,239.87333333333333,236.6575,254.3775,269.03,277.995,286.3275,288.1475,295.935,286.0175,258.0833333333333,273.35249999999996,284.425,288.7375,259.25333333333333,294.9275,265.71000000000004,286.6466666666667,303.90333333333336,293.4375,284.445,311.07,280.315,268.25,275.2275,281.5475,284.43333333333334,289.97333333333336,330.58000000000004,267.565,268.3,269.78499999999997,271.005,306.74333333333334,281.1066666666666,256.15,261.76,249.70499999999998,246.835,238.57333333333335,234.36666666666667,233.99,236.36,220.81,233.13,241.65,246.49666666666667,245.95000000000002,266.115,257.75,260.8,267.49333333333334,243.44,246.01,242.715,250.26999999999998,260.155,243.56,222.60000000000002,209.04,202.24,211.13,226.44333333333336,224.04666666666665,237.70333333333335,240.75333333333333,238.0666666666667,243.69666666666663,243.12,240.20499999999998,234.08333333333334,233.6175,228.6,242.4525,237.535,236.04,238.3125,232.005,241.5275,245.7625,246.29250000000002,251.60750000000002,256.57,259.905,259.5575,264.095,258.7025,255.7525,251.925,252.075,252.575,252.38,242.03,251.2525,244.095,255.04749999999999,266.5675,262.845,259.47249999999997,261.68,269.245,269.7625,268.1625,265.7575,250.64249999999998,240.7625,226.21,224.21249999999998,218.545,234.03,234.24,229.32999999999998,245.1925,245.835,249.63666666666666,228.83333333333334,225.9025,224.415,227.7225,242.6833333333333,245.47,241.7275,242.65333333333334,234.57000000000002,237.1,242.03333333333333,248.05999999999997,264.285,245.42000000000002
2000-09-04 22:10:22+00:00,300.67499999999995,301.855,257.7366666666667,317.67,283.315,295.755,308.755,353.14,302.06500000000005,374.68,330.155,321.6566666666667,328.295,324.93,321.75,318.31,323.04999999999995,339.9,330.44,330.33,309.7033333333333,306.23,300.6233333333333,291.6775,280.8775,303.17999999999995,273.7025,271.99,267.335,255.42666666666665,258.2075,256.83000000000004,269.2166666666667,290.5,265.52,214.03,228.28,215.215,215.98000000000002,234.11,219.15,,239.87333333333333,236.6575,254.3775,269.03,277.995,286.3275,288.1475,295.935,286.0175,258.0833333333333,273.35249999999996,284.425,288.7375,259.25333333333333,294.9275,265.994,281.23,294.655,291.826,282.77200000000005,303.1275,280.512,268.25,281.446,285.698,289.38,289.97333333333336,330.58000000000004,267.565,269.21999999999997,273.9266666666667,268.93666666666667,306.74333333333334,281.1066666666666,256.15,261.76,249.70499999999998,246.835,238.57333333333335,234.36666666666667,233.99,236.36,220.81,233.13,241.65,246.49666666666667,245.95000000000002,266.115,257.75,260.8,267.49333333333334,243.44,246.01,242.715,250.26999999999998,260.155,243.56,222.60000000000002,209.04,202.24,211.13,217.0375,224.845,237.1925,240.75333333333333,238.0666666666667,249.14499999999998,249.6325,239.14666666666668,232.755,235.08800000000002,230.262,247.942,236.804,236.1,238.654,231.56199999999998,240.72200000000004,245.378,246.906,256.57,258.04,264.04,265.116,265.854,261.934,257.68,257.0,253.70999999999998,254.11599999999999,255.18,244.334,252.51999999999998,247.68199999999996,257.91999999999996,266.322,263.756,260.63399999999996,262.65999999999997,268.43199999999996,265.85,263.548,261.072,247.14600000000002,235.17,222.914,221.712,216.904,231.93200000000002,231.39600000000002,227.32199999999997,241.58,244.15,245.075,227.42000000000002,224.33800000000002,223.888,226.45,237.605,240.11399999999998,237.93200000000002,236.525,230.98000000000002,231.625,237.7,243.8075,254.48333333333335,243.41333333333333
2000-09-13 22:04:02+00:00,290.05,301.855,257.7366666666667,317.67,284.6466666666667,294.68600000000004,306.136,334.49,309.74,374.68,318.054,321.6566666666667,328.295,324.93,301.8,318.31,323.04999999999995,323.02,314.145,310.91499999999996,305.6125,296.17,292.61,289.682,277.76599999999996,303.17999999999995,273.7025,271.99,261.38599999999997,255.42666666666665,258.2075,256.83000000000004,269.2166666666667,290.5,265.52,214.03,228.28,215.215,215.98000000000002,234.11,219.15,,239.87333333333333,236.6575,254.3775,269.03,277.995,286.3275,288.1475,295.935,281.09000000000003,256.29,268.33399999999995,278.77799999999996,283.73400000000004,251.3425,294.9275,265.994,275.202,285.416,283.81333333333333,275.68,290.938,275.14166666666665,266.152,279.735,285.698,289.38,289.97333333333336,330.58000000000004,267.565,269.21999999999997,273.9266666666667,253.255,306.74333333333334,266.69,240.35333333333332,261.76,249.70499999999998,241.33333333333334,236.7275,238.5475,241.1475,227.935,219.86,230.71,233.5666666666667,242.415,245.1875,262.5366666666667,252.55,255.64499999999998,260.1825,241.9466666666667,243.3166666666667,241.8166666666667,249.5633333333333,260.155,243.56,222.60000000000002,209.04,202.24,211.13,217.0375,224.845,237.1925,240.75333333333333,238.0666666666667,249.14499999999998,249.6325,239.14666666666668,232.755,235.08800000000002,230.262,247.942,236.804,229.74,234.43500000000003,226.1916666666667,240.72200000000004,248.115,245.4416666666667,255.34833333333336,257.09666666666664,262.1766666666667,261.80833333333334,261.67833333333334,262.50666666666666,254.62166666666667,257.0,251.82333333333335,256.9816666666666,250.3166666666667,240.37833333333333,252.51999999999998,245.01166666666666,255.29166666666666,263.5983333333333,262.97333333333336,260.63399999999996,261.5883333333333,265.2,264.2083333333333,261.745,258.71166666666664,245.81666666666663,235.14666666666668,223.1483333333333,222.21,218.72166666666666,230.5583333333333,232.035,229.09666666666666,240.95166666666668,241.84,241.956,224.78000000000003,222.23833333333334,223.04,223.475,236.654,234.22,232.79166666666666,230.44,225.67399999999998,226.76,233.166,241.24200000000002,250.0325,241.6575
