dates,satname,nzd0361-0000,nzd0361-0001,nzd0361-0002,nzd0361-0003,nzd0361-0004,nzd0361-0005,nzd0361-0006,nzd0361-0007,nzd0361-0008,nzd0361-0009,nzd0361-0010,nzd0361-0011,nzd0361-0012,nzd0361-0013,nzd0361-0014,nzd0361-0015,nzd0361-0016,nzd0361-0017,nzd0361-0018,nzd0361-0019,nzd0361-0020,nzd0361-0021,nzd0361-0022,nzd0361-0023,nzd0361-0024,nzd0361-0025,nzd0361-0026,nzd0361-0027,nzd0361-0028,nzd0361-0029,nzd0361-0030,nzd0361-0031,nzd0361-0032,nzd0361-0033,nzd0361-0034,nzd0361-0035,nzd0361-0036,nzd0361-0037,nzd0361-0038,nzd0361-0039,nzd0361-0040,nzd0361-0041,nzd0361-0042,nzd0361-0043,nzd0361-0044,nzd0361-0045,nzd0361-0046,nzd0361-0047,nzd0361-0048,nzd0361-0049,nzd0361-0050,nzd0361-0051,nzd0361-0052,nzd0361-0053,nzd0361-0054,nzd0361-0055,nzd0361-0056,nzd0361-0057,nzd0361-0058,nzd0361-0059,nzd0361-0060,nzd0361-0061,nzd0361-0062,nzd0361-0063,nzd0361-0064,nzd0361-0065,nzd0361-0066,nzd0361-0067,nzd0361-0068,nzd0361-0069,nzd0361-0070,nzd0361-0071,nzd0361-0072,nzd0361-0073,nzd0361-0074,nzd0361-0075,nzd0361-0076,nzd0361-0077,nzd0361-0078,nzd0361-0079,nzd0361-0080,nzd0361-0081,nzd0361-0082,nzd0361-0083,nzd0361-0084,nzd0361-0085,nzd0361-0086,nzd0361-0087,nzd0361-0088,nzd0361-0089,nzd0361-0090,nzd0361-0091,nzd0361-0092,nzd0361-0093,nzd0361-0094,nzd0361-0095,nzd0361-0096,nzd0361-0097,nzd0361-0098,nzd0361-0099,nzd0361-0100,nzd0361-0101,nzd0361-0102,nzd0361-0103,nzd0361-0104,nzd0361-0105,nzd0361-0106,nzd0361-0107,nzd0361-0108,nzd0361-0109,nzd0361-0110,nzd0361-0111,nzd0361-0112,nzd0361-0113,nzd0361-0114,nzd0361-0115,nzd0361-0116,nzd0361-0117,nzd0361-0118,nzd0361-0119,nzd0361-0120,nzd0361-0121,nzd0361-0122,nzd0361-0123,nzd0361-0124,nzd0361-0125,nzd0361-0126,nzd0361-0127,nzd0361-0128,nzd0361-0129,nzd0361-0130,nzd0361-0131,nzd0361-0132,nzd0361-0133,nzd0361-0134,nzd0361-0135,nzd0361-0136,nzd0361-0137,nzd0361-0138,nzd0361-0139,nzd0361-0140,nzd0361-0141,nzd0361-0142,nzd0361-0143,nzd0361-0144,nzd0361-0145,nzd0361-0146,nzd0361-0147,nzd0361-0148,nzd0361-0149,nzd0361-0150,nzd0361-0151,nzd0361-0152,nzd0361-0153,nzd0361-0154,nzd0361-0155,nzd0361-0156,nzd0361-0157,nzd0361-0158,nzd0361-0159,nzd0361-0160,nzd0361-0161,nzd0361-0162,nzd0361-0163,nzd0361-0164,nzd0361-0165,nzd0361-0166,nzd0361-0167,nzd0361-0168,nzd0361-0169
1999-08-17 22:12:26.065000,L7,317.28,312.62,255.93,201.70,283.71,326.47,358.62,378.80,303.09,343.65,343.32,343.48,359.10,365.74,368.63,378.42,380.41,378.53,387.45,378.06,470.46,475.65,481.46,461.74,457.45,441.89,439.49,443.60,452.89,327.45,386.31,402.65,467.11,296.97,391.77,223.52,180.80,223.09,203.25,210.73,223.16,227.53,230.37,237.53,247.67,248.17,254.17,269.99,275.65,287.30,278.23,273.16,277.35,292.91,289.89,266.38,282.23,278.88,278.08,289.43,279.95,273.87,284.68,284.95,301.64,282.57,281.83,291.62,289.13,326.63,267.38,283.12,270.82,365.54,376.28,450.22,458.66,449.36,437.38,429.59,445.84,456.24,465.08,467.99,473.44,473.28,498.34,379.62,374.37,303.12,298.03,347.90,362.93,340.78,377.91,382.60,377.78,266.20,272.50,254.66,251.56,229.96,236.78,238.72,252.77,234.05,254.32,250.99,272.86,253.38,250.05,239.00,247.03,251.41,255.21,255.51,259.26,261.73,259.63,257.74,247.41,253.32,255.43,250.62,260.25,262.45,271.79,278.39,266.79,271.52,281.76,276.08,270.22,259.15,258.29,253.98,265.40,269.84,288.39,267.52,264.47,273.85,265.96,257.38,254.18,264.54,241.87,253.33,243.05,244.31,238.22,243.40,238.15,242.14,245.92,245.98,248.14,460.59,451.88,446.15,451.75,447.86,461.79,474.60,480.23,474.67,482.58,476.16,501.05,401.49
1999-08-26 22:06:20.800000,L7,,,206.45,191.18,286.24,299.86,308.15,311.48,304.05,300.61,292.98,278.34,281.64,289.85,293.69,302.73,301.44,299.40,295.93,305.42,298.28,243.15,231.46,268.19,263.27,265.51,257.66,245.26,227.45,219.62,221.08,229.71,,,,,,,,,,179.87,220.47,226.82,234.08,243.05,232.63,242.13,248.18,255.65,265.39,264.03,274.86,260.33,236.94,226.19,205.96,193.85,171.11,,,,,,,,,,,174.41,189.21,188.63,196.78,200.12,223.82,216.44,209.56,177.08,183.61,198.84,193.49,196.23,205.73,197.05,210.86,222.79,241.25,251.43,260.01,267.70,244.01,258.97,247.87,271.70,245.38,242.94,257.82,257.91,216.35,208.52,,,,,,,,,,,,,,,,,,,,187.76,208.55,226.04,241.30,235.08,258.15,239.20,228.84,226.65,226.80,228.23,231.05,233.65,227.93,214.62,219.12,224.40,228.42,233.76,243.71,234.43,225.91,235.83,242.96,266.12,255.57,258.92,255.86,259.72,190.65,183.38,213.18,204.64,194.54,226.07,237.03,239.58,242.74,242.27,204.14,222.23,220.19,193.22,201.15,202.80,200.92,200.73,199.10,215.73,245.68,245.95
1999-10-13 22:06:24.714000,L7,397.39,397.50,372.90,415.52,407.21,397.29,380.32,358.21,327.09,317.92,324.28,315.75,351.71,356.09,358.31,348.34,335.89,353.32,383.78,359.39,360.09,325.38,315.50,325.72,327.98,318.38,309.23,301.23,283.54,286.68,285.96,294.54,305.25,315.78,320.20,315.09,304.87,299.33,266.78,166.71,203.21,210.97,216.38,260.09,279.49,291.46,295.12,324.50,374.01,331.11,351.83,360.93,352.83,352.01,352.99,368.67,390.40,437.22,392.89,301.82,397.21,400.98,383.50,441.56,262.58,265.88,267.88,265.86,264.69,263.67,261.77,263.90,279.94,290.07,297.07,310.11,308.81,312.96,340.82,364.54,233.06,230.11,235.54,231.37,241.37,332.35,337.07,342.39,331.56,344.55,364.12,380.47,372.06,347.73,354.25,365.61,350.34,367.71,368.77,359.51,367.18,376.56,378.36,344.38,356.32,363.07,373.85,390.15,399.29,397.20,396.71,402.48,407.56,407.68,241.08,239.48,240.92,247.64,242.49,238.83,243.47,247.59,253.82,252.02,257.65,276.44,258.59,251.10,256.37,251.48,254.90,258.43,252.25,247.07,248.63,251.00,256.92,254.17,279.79,282.09,264.84,271.63,252.07,261.44,264.49,287.41,220.42,217.83,213.79,220.59,233.97,224.57,221.55,249.48,248.56,248.09,239.29,231.61,229.92,372.11,372.48,373.20,359.12,399.31,375.76,370.79,384.55,389.32,374.55,390.99
1999-11-21 22:12:24.026000,L7,312.28,318.48,347.26,343.14,357.41,360.04,415.67,382.00,396.54,413.97,394.55,404.59,344.34,345.98,347.33,350.61,362.85,366.66,353.09,345.40,335.48,338.52,341.08,349.69,330.15,323.69,327.34,326.37,303.27,287.53,276.59,285.06,290.63,273.24,265.21,248.64,250.91,231.59,232.48,238.09,284.93,270.71,285.56,290.04,299.37,335.35,308.98,395.88,306.18,299.12,300.16,304.82,309.09,305.56,304.91,311.28,330.29,318.83,326.87,324.63,324.66,325.10,325.06,320.12,384.42,328.63,324.58,330.74,320.23,318.31,329.19,344.96,343.44,312.42,311.16,329.95,318.21,308.73,309.41,310.52,304.14,309.81,306.34,312.14,305.33,293.92,275.70,283.49,290.78,305.27,305.36,300.47,292.43,289.16,319.60,291.81,292.78,288.63,284.27,287.78,281.40,288.06,294.05,283.60,274.85,279.30,294.91,300.74,295.69,283.90,294.01,314.13,306.58,301.97,303.57,295.38,290.08,288.93,301.88,306.95,311.75,309.31,321.61,301.92,302.41,296.18,308.66,312.81,310.42,315.25,344.02,319.29,321.14,322.08,332.26,321.01,332.36,316.82,323.31,320.21,331.29,298.57,266.59,311.24,314.87,306.05,295.26,285.92,272.13,279.84,305.20,293.15,299.70,286.24,284.61,365.91,280.22,287.34,300.71,277.37,289.67,299.85,300.43,297.77,305.26,290.74,289.08,284.73,312.74,307.04
2000-01-17 22:06:11.705000,L7,485.42,440.68,494.39,451.11,491.46,429.62,485.74,492.04,512.07,,,,,,,,,,,,,,,540.36,504.75,427.10,449.92,456.61,425.56,399.34,378.51,410.99,429.71,385.93,399.99,367.65,352.18,310.17,290.38,338.71,342.50,384.56,380.50,400.13,388.46,353.53,372.22,364.67,364.36,375.34,415.30,403.95,412.26,389.05,356.98,406.94,462.24,444.56,448.52,409.31,444.37,419.83,390.25,376.00,375.81,367.86,425.98,438.71,403.49,399.39,426.33,419.10,403.20,416.92,411.80,401.06,393.87,428.07,384.65,399.35,376.40,362.86,344.92,373.33,345.83,356.24,381.26,415.36,392.56,376.46,365.08,340.03,384.22,360.51,393.57,396.18,400.76,398.18,362.66,361.29,359.70,374.03,416.44,387.77,384.93,415.40,404.20,416.34,404.21,422.58,424.52,416.82,429.25,405.83,395.12,430.51,443.68,380.91,380.10,391.23,354.90,366.94,396.01,393.32,364.37,354.81,371.67,405.64,413.24,412.12,420.05,440.44,405.74,423.53,402.67,420.23,439.98,443.29,430.88,447.39,382.66,372.32,370.65,395.32,391.53,476.37,451.06,482.08,,,,,,,,,,,479.57,496.26,347.02,360.70,324.44,348.81,373.94,409.98,419.93,378.82,399.62,419.90
2000-03-21 22:06:01.097000,L7,417.34,417.38,249.71,244.79,283.65,299.43,319.29,329.68,379.57,361.54,373.30,337.89,372.95,362.29,300.45,313.09,322.11,340.75,381.88,379.70,380.57,383.26,398.04,283.14,263.17,263.70,259.58,258.91,254.41,233.17,242.30,233.47,318.62,329.77,336.13,350.92,,,,,212.33,216.74,225.26,233.80,255.24,376.56,268.05,269.78,281.33,289.82,293.16,248.40,255.29,255.47,250.74,243.31,271.74,289.99,323.40,291.29,305.71,305.55,293.29,319.02,271.44,273.27,292.41,272.52,314.56,253.00,257.69,251.96,281.84,278.92,298.14,335.42,315.40,322.25,330.55,342.48,366.09,380.26,225.81,222.62,218.37,226.94,229.36,229.64,232.40,232.75,242.67,276.05,289.94,238.65,235.51,330.10,335.52,335.74,335.49,262.89,211.73,,167.00,209.15,198.42,219.25,224.14,228.78,230.22,227.43,215.65,214.48,224.93,223.40,231.24,227.32,219.04,228.10,220.42,225.05,233.70,242.97,244.55,242.76,247.04,252.88,251.58,247.00,245.48,237.19,242.47,246.15,236.70,239.85,244.11,242.37,251.61,251.30,253.59,297.75,286.77,341.34,293.57,284.22,286.11,238.06,225.13,217.48,218.61,220.18,234.39,237.69,237.31,252.66,250.15,262.33,223.81,228.51,232.21,224.80,257.12,252.89,254.70,257.12,245.68,251.52,262.04,380.14,388.55,403.87
2000-05-24 22:05:22.488000,L7,321.80,325.24,323.91,325.46,312.49,313.01,317.28,313.47,324.88,349.11,346.13,317.07,333.03,336.59,341.80,339.95,340.16,347.98,345.66,344.05,350.61,348.64,316.42,307.14,307.61,276.53,314.98,284.85,280.18,266.32,264.73,265.72,267.20,275.18,273.69,285.61,245.85,252.00,248.93,284.14,251.91,272.59,283.84,274.09,282.32,283.05,266.99,291.80,282.82,282.20,288.30,281.41,299.19,307.83,295.30,293.13,313.02,290.05,301.77,302.15,284.81,286.91,286.97,287.30,307.59,343.34,315.12,297.20,436.73,432.63,431.70,431.32,427.80,421.04,430.84,436.44,434.05,433.92,429.51,425.46,383.98,414.81,423.05,428.44,434.16,441.67,441.18,426.98,441.80,445.22,446.38,447.55,445.46,408.20,446.88,455.22,463.19,458.60,459.83,424.85,443.76,453.06,463.03,466.75,429.29,430.63,441.07,450.21,454.01,458.68,463.19,428.26,438.30,442.71,453.08,455.54,452.69,449.95,460.68,468.91,471.33,479.71,484.10,495.92,497.33,493.79,510.26,513.01,527.06,504.19,487.71,505.55,509.59,513.33,527.30,531.74,539.39,545.00,289.00,284.20,284.46,276.40,273.16,277.62,263.06,259.40,253.36,250.68,228.63,239.81,251.67,249.07,245.62,247.08,400.31,402.65,396.17,406.13,403.19,410.34,402.62,380.67,425.74,421.88,410.82,447.50,441.64,460.20,507.43,477.98
2000-08-03 22:10:43.917000,L7,444.13,439.83,410.02,446.20,326.97,291.93,413.77,451.26,446.32,438.97,305.62,320.03,346.68,340.04,367.17,407.33,432.30,440.92,437.04,399.07,403.00,395.96,385.02,282.80,280.64,310.09,282.20,279.05,272.56,249.87,282.94,280.36,282.36,288.92,216.35,204.26,221.08,216.56,202.09,223.44,215.69,215.73,251.92,240.28,235.67,272.23,279.65,289.43,299.03,310.79,310.44,257.43,264.53,297.63,315.51,262.01,293.66,251.58,281.48,300.38,304.04,273.72,316.11,270.21,261.40,282.55,261.48,269.18,268.35,260.30,260.85,251.79,265.61,263.40,300.75,275.33,258.18,274.66,254.09,246.59,248.67,244.75,232.44,241.50,336.76,301.75,325.87,254.60,250.20,275.73,267.38,315.53,341.52,435.32,406.14,444.26,453.53,376.85,390.86,226.41,217.76,203.46,208.33,232.43,237.96,234.72,230.26,328.80,353.02,368.95,414.71,222.18,239.44,226.23,239.48,241.76,240.62,240.61,237.23,248.93,244.08,246.61,251.45,264.25,261.38,259.83,262.95,268.64,253.41,248.57,255.42,253.82,261.65,237.50,255.00,241.52,253.21,276.30,264.57,261.82,252.23,267.40,262.99,269.03,266.91,264.52,252.47,227.65,224.85,215.10,233.66,236.73,226.35,248.43,240.30,242.91,235.46,220.92,228.78,227.11,233.13,232.62,231.54,232.08,227.12,228.82,224.87,236.46,242.02,252.86
2000-08-19 22:10:38.028000,L7,461.01,430.85,471.60,436.77,396.52,456.70,296.48,412.68,404.97,410.11,326.77,419.64,416.58,418.45,433.29,434.39,431.68,418.86,425.16,433.87,320.92,327.62,326.45,312.50,301.30,296.27,280.88,279.79,272.78,260.38,255.51,256.21,275.83,285.20,284.80,285.84,288.70,299.68,284.45,269.84,276.81,288.25,306.65,227.59,277.74,344.06,311.91,310.50,305.27,311.95,312.52,306.36,297.70,294.93,313.42,311.67,315.94,263.30,256.33,298.89,293.28,290.53,300.71,309.94,264.37,269.11,274.24,336.76,352.72,335.56,334.63,340.98,347.19,306.38,321.72,256.92,254.12,421.11,411.24,408.47,417.10,236.92,246.23,248.08,226.82,242.60,256.18,259.05,258.30,256.50,265.81,367.69,361.03,346.57,352.04,375.41,365.26,261.44,261.28,226.68,218.63,202.24,201.69,221.71,223.22,230.21,307.64,334.74,339.93,333.42,327.72,232.15,241.56,233.18,250.43,239.19,239.25,235.44,228.94,237.93,250.38,244.74,251.27,258.26,267.23,260.72,256.81,255.60,256.27,256.10,252.58,352.98,473.06,479.96,483.07,475.11,405.30,400.84,388.84,381.16,376.76,373.20,370.13,348.07,376.09,352.02,333.66,334.99,283.64,420.00,399.91,400.96,382.65,377.98,383.19,298.13,312.97,226.54,228.53,230.13,387.51,393.13,381.40,291.20,299.49,308.48,309.11,310.13,321.17,311.03
2000-09-04 22:10:22.552000,L7,288.57,285.54,272.68,282.93,320.73,293.87,306.72,346.67,298.96,301.16,303.73,425.68,423.95,412.41,408.44,477.22,463.01,356.76,406.54,442.34,402.56,533.34,510.58,495.60,480.08,485.04,471.42,474.00,468.06,440.65,451.05,473.52,452.53,427.92,438.83,502.17,496.02,466.96,453.71,455.71,490.42,529.58,525.41,522.40,512.35,541.76,528.92,441.52,444.40,292.27,303.17,282.96,291.67,293.80,301.56,264.73,264.58,261.80,261.79,387.60,389.70,394.09,461.83,394.73,404.96,430.09,438.01,440.51,465.41,466.08,466.58,438.54,441.54,443.21,466.41,483.10,465.83,405.57,417.77,391.88,431.65,443.74,457.88,440.12,432.63,440.28,449.22,450.92,450.98,463.87,466.99,437.90,476.75,479.06,489.83,493.34,467.36,465.07,466.98,454.92,425.78,444.30,439.77,438.62,429.89,403.25,258.90,237.52,259.76,247.27,233.51,226.00,237.29,233.71,252.38,231.71,232.08,237.54,228.00,235.40,241.22,247.85,267.98,255.99,277.05,279.10,269.04,253.39,263.10,255.59,255.87,255.57,254.99,251.67,255.47,255.54,260.39,262.35,261.63,261.57,262.48,261.20,247.94,243.28,239.57,230.94,208.58,207.37,207.34,205.92,221.44,218.01,216.93,225.51,236.06,229.41,219.97,215.63,220.39,219.03,220.55,216.62,221.00,215.82,218.18,213.48,222.15,228.96,232.87,237.28
