dates,satname,nzd0039-0000,nzd0039-0001,nzd0039-0002,nzd0039-0003,nzd0039-0004,nzd0039-0005
1999-07-25 22:04:15.362000,L7,392.79,384.30,333.29,337.17,342.66,360.56
1999-09-27 22:04:25.056000,L7,440.77,401.96,405.42,409.16,404.99,394.11
1999-10-04 22:10:38.131000,L7,390.00,,,332.66,333.65,337.98
1999-11-14 22:04:18.343000,L7,396.39,380.63,393.31,390.41,381.19,384.50
1999-11-21 22:10:24.244000,L7,423.98,377.13,331.18,332.18,348.54,344.90
1999-12-07 22:10:30.042000,L7,411.79,403.12,,,337.82,333.66
2000-02-09 22:10:19.398000,L7,421.14,386.96,333.03,340.00,341.92,337.32
2000-03-28 22:10:07.233000,L7,427.44,398.80,328.74,336.37,345.68,340.01
2000-04-29 22:09:53.797000,L7,440.73,404.19,332.57,337.71,338.19,339.25
2000-05-15 22:09:42.527000,L7,337.42,353.74,,,,
2000-05-24 22:03:22.722000,L7,333.02,330.52,333.50,341.03,348.14,357.67
2000-08-03 22:08:44.137000,L7,419.78,390.90,331.55,333.29,343.88,340.47
2000-09-04 22:08:22.800000,L7,,411.38,413.41,404.89,393.63,380.96
2000-10-15 22:01:32.252000,L7,388.96,369.59,381.88,376.97,374.99,374.91
2000-11-07 22:07:53.532000,L7,338.37,,,,,
2001-02-27 22:07:54.461000,L7,385.79,,,,,
2001-03-24 22:01:35.778000,L7,386.90,375.66,377.90,378.90,365.33,383.19
2001-06-03 22:07:16.736000,L7,,411.95,405.70,393.56,379.76,363.49
2001-06-12 22:01:01.040000,L7,388.83,387.42,397.26,410.01,408.14,390.23
2001-06-19 22:07:05.722000,L7,405.68,,,,,
2001-08-15 22:00:14.727000,L7,393.46,333.57,319.43,325.75,332.83,343.59
2001-09-07 22:06:11.116000,L7,327.06,342.39,344.68,348.21,352.83,344.25
2001-10-02 21:59:40.713000,L7,330.30,327.95,314.61,,,
2001-11-03 21:59:47.008000,L7,440.54,396.36,402.39,409.56,407.03,395.99
2001-11-19 21:59:56.393000,L7,330.00,334.04,316.40,,,
2001-12-05 21:59:55.034000,L7,448.96,378.36,409.74,418.19,,
2001-12-12 22:06:14.960000,L7,,423.02,424.57,410.60,421.68,385.62
2001-12-28 22:06:14.106000,L7,,,418.54,415.23,412.11,380.42
2002-01-22 22:00:16.971000,L7,384.26,357.55,319.76,333.59,352.12,367.29
2002-02-14 22:06:29.522000,L7,406.96,385.15,329.56,338.89,343.11,345.48
2002-02-23 22:00:19.685000,L7,330.71,369.56,389.01,390.40,375.66,509.33
2002-03-27 22:00:13.634000,L7,394.92,384.03,393.72,387.53,385.05,387.27
2002-06-22 22:06:03.573000,L7,415.43,392.17,343.61,342.88,338.46,355.98
2002-07-24 22:05:50.655000,L7,417.71,390.39,344.60,344.89,349.02,345.77
2002-08-09 22:05:46.029000,L7,397.60,368.05,327.66,329.00,314.26,339.75
2002-08-18 21:59:33.737000,L7,405.25,396.07,396.63,392.23,379.39,383.91
2002-10-12 22:05:14.598000,L7,,,393.38,395.25,400.15,381.16
2002-10-21 21:59:12.494000,L7,384.63,364.66,327.08,380.27,377.32,384.06
2002-10-28 22:05:22.323000,L7,419.38,376.65,318.17,341.46,345.27,351.07
2002-11-06 21:59:17.708000,L7,,404.23,413.12,364.62,376.16,421.50
2002-11-22 21:59:33.639000,L7,,423.12,364.62,381.22,378.07,388.97
2002-12-08 21:59:39.665000,L7,417.62,386.29,404.85,,,
2002-12-24 21:59:45.194000,L7,443.88,347.89,341.14,337.79,360.65,364.93
2002-12-31 22:05:56.221000,L7,,419.45,428.18,421.27,393.62,378.46
2003-01-09 21:59:45.950000,L7,334.26,348.29,320.05,336.60,347.68,349.71
2003-01-16 22:06:02.914000,L7,402.87,369.62,327.53,335.66,344.23,341.17
2003-03-21 22:06:15.912000,L7,,,,420.31,359.98,374.05
2003-03-30 22:00:07.079000,L7,443.73,348.12,337.78,346.53,428.02,
2003-04-06 22:06:21.012000,L7,373.18,367.02,,,,
2003-04-22 22:06:19.091000,L7,407.17,383.90,,,,
2003-05-08 22:06:20.773000,L7,410.09,393.63,340.55,346.06,343.22,345.23
2003-05-24 22:06:17.162000,L7,422.40,392.00,350.53,346.44,342.11,345.12
2003-07-28 21:48:04.987000,L5,347.26,321.38,318.31,316.89,329.90,337.38
2003-08-13 21:48:21.150000,L5,382.19,352.42,351.36,345.99,350.07,358.88
2003-08-29 21:48:38.429000,L5,336.22,304.26,318.48,329.87,321.26,341.00
2003-09-30 21:49:06.317000,L5,,375.97,374.93,365.63,370.50,368.91
2003-12-26 21:56:18.593000,L5,347.18,328.41,323.33,308.03,310.44,307.16
2004-05-18 21:58:14.785000,L5,388.76,342.13,335.25,323.15,317.56,310.22
2004-06-12 21:52:47.645000,L5,357.53,342.84,337.70,337.25,336.79,344.87
2004-07-21 22:00:04.249000,L5,360.18,319.04,314.17,307.57,303.31,310.02
2004-07-30 21:54:04.170000,L5,391.48,361.43,363.14,354.77,357.74,359.28
2004-08-06 22:00:22.463000,L5,352.75,317.10,315.71,,,
2004-09-16 21:55:17.605000,L5,356.94,338.02,335.97,342.67,346.93,356.42
2004-10-18 21:55:59.918000,L5,400.85,351.81,353.77,346.96,350.79,356.83
2004-11-19 21:56:31.297000,L5,368.47,341.02,342.19,335.84,333.94,340.82
2005-01-13 22:03:41.143000,L5,,390.22,383.62,364.69,353.07,349.64
2005-02-23 21:58:07.648000,L5,357.85,343.58,336.33,335.26,337.83,346.32
2005-03-02 22:04:24.338000,L5,347.17,337.25,331.25,315.07,299.67,297.25
2005-03-27 21:58:27.646000,L5,373.42,382.60,365.14,355.85,361.28,363.74
2005-04-03 22:04:40.528000,L5,476.35,341.63,337.18,313.06,309.20,312.35
2005-04-19 22:04:43.597000,L5,451.88,364.67,356.91,330.08,325.65,324.22
2005-06-06 22:05:05.724000,L5,413.70,365.43,355.53,333.76,331.61,331.03
2005-07-08 22:05:15.796000,L5,379.47,339.38,327.40,317.77,310.55,313.13
2005-08-25 22:05:41.221000,L5,365.15,318.14,318.73,311.79,307.77,308.64
