dates,nzd0446-0000,nzd0446-0001,nzd0446-0002,nzd0446-0003,nzd0446-0004,nzd0446-0005,nzd0446-0006,nzd0446-0007,nzd0446-0008,nzd0446-0009,nzd0446-0010,nzd0446-0011,nzd0446-0012,nzd0446-0013,nzd0446-0014,nzd0446-0015,nzd0446-0016,nzd0446-0017,nzd0446-0018,nzd0446-0019,nzd0446-0020,nzd0446-0021,nzd0446-0022,nzd0446-0023,nzd0446-0024,nzd0446-0025,nzd0446-0026,nzd0446-0027,nzd0446-0028,nzd0446-0029,nzd0446-0030,nzd0446-0031,nzd0446-0032,nzd0446-0033,nzd0446-0034,nzd0446-0035,nzd0446-0036,nzd0446-0037,nzd0446-0038,nzd0446-0039,nzd0446-0040,nzd0446-0041,nzd0446-0042,nzd0446-0043,nzd0446-0044,nzd0446-0045,nzd0446-0046,nzd0446-0047,nzd0446-0048,nzd0446-0049,nzd0446-0050,nzd0446-0051,nzd0446-0052,nzd0446-0053,nzd0446-0054,nzd0446-0055,nzd0446-0056,nzd0446-0057,nzd0446-0058,nzd0446-0059,nzd0446-0060,nzd0446-0061,nzd0446-0062,nzd0446-0063,nzd0446-0064,nzd0446-0065,nzd0446-0066,nzd0446-0067,nzd0446-0068,nzd0446-0069,nzd0446-0070,nzd0446-0071,nzd0446-0072,nzd0446-0073,nzd0446-0074,nzd0446-0075,nzd0446-0076,nzd0446-0077,nzd0446-0078,nzd0446-0079,nzd0446-0080,nzd0446-0081,nzd0446-0082,nzd0446-0083,nzd0446-0084,nzd0446-0085,nzd0446-0086,nzd0446-0087,nzd0446-0088,nzd0446-0089,nzd0446-0090,nzd0446-0091,nzd0446-0092,nzd0446-0093,nzd0446-0094,nzd0446-0095,nzd0446-0096,nzd0446-0097,nzd0446-0098,nzd0446-0099,nzd0446-0100,nzd0446-0101,nzd0446-0102,nzd0446-0103,nzd0446-0104,nzd0446-0105,nzd0446-0106,nzd0446-0107,nzd0446-0108,nzd0446-0109,nzd0446-0110,nzd0446-0111,nzd0446-0112,nzd0446-0113,nzd0446-0114,nzd0446-0115,nzd0446-0116,nzd0446-0117,nzd0446-0118,nzd0446-0119,nzd0446-0120,nzd0446-0121,nzd0446-0122,nzd0446-0123,nzd0446-0124,nzd0446-0125,nzd0446-0126,nzd0446-0127,nzd0446-0128,nzd0446-0129,nzd0446-0130,nzd0446-0131,nzd0446-0132,nzd0446-0133,nzd0446-0134,nzd0446-0135,nzd0446-0136,nzd0446-0137,nzd0446-0138,nzd0446-0139,nzd0446-0140,nzd0446-0141,nzd0446-0142,nzd0446-0143,nzd0446-0144,nzd0446-0145,nzd0446-0146,nzd0446-0147,nzd0446-0148,nzd0446-0149,nzd0446-0150,nzd0446-0151,nzd0446-0152,nzd0446-0153,nzd0446-0154,nzd0446-0155,nzd0446-0156,nzd0446-0157,nzd0446-0158,nzd0446-0159,nzd0446-0160,nzd0446-0161,nzd0446-0162,nzd0446-0163,nzd0446-0164,satname
1999-11-28 22:18:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.6,261.79,246.05,,,,,,,,,,181.21,182.07,179.77,186.02,183.16,178.78,186.71,190.8,187.25,183.62,175.65,180.09,185.21,180.67,188.1,197.0,180.62,193.79,183.43,189.95,,256.86,259.2,254.18,,,,,,,254.65,250.61,255.07,250.56,,,,,,242.02,223.61,233.5,221.85,,,,,206.89,272.17,L7
1999-12-14 22:19:07+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.6,261.79,246.05,,,,,,,,,,181.21,182.07,179.77,186.02,183.16,178.78,186.71,190.8,187.25,183.62,175.65,180.09,185.21,175.945,182.445,190.69,177.3,188.26,180.99,186.055,,256.86,259.2,254.18,,,,,,,254.65,250.61,255.07,250.56,,,,,,242.02,223.61,233.5,221.85,,,,,206.89,272.17,L7
2000-09-20 22:10:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.94,251.21,,,245.89,249.86,256.12,255.98,,,,,,,,,,191.51,195.14,185.29,189.7,186.58,185.3,189.38,199.42,200.47,193.22,186.22,190.04,195.95,197.18,202.5,,,,,,,249.18,247.7,245.79,247.87,,,,,,258.08,238.01,256.84,258.56,,,,,,244.24,235.47,221.27,222.72,,,,,230.58,253.75,L7
2000-09-27 22:16:36+00:00,,,,,,,,,,,,,254.48,,253.36,,,259.67,,,281.03,,289.94,274.5,277.23,284.59,289.4,298.44,277.14,269.45,285.03,287.72,,298.5,312.19,294.46,271.87,264.1,273.66,,280.94,271.26,301.4,299.55,296.83,305.36,,269.44,,,,,298.01,279.32,265.58,274.9,269.03,279.03,238.13,241.99,221.89,239.71,,285.84,284.18,,,,315.88,,310.75,283.55,247.96,247.37,245.19,251.24,,322.39,302.54,,274.41,299.92,291.07,,,,,,297.34,,,,,,287.06,286.85,271.9,258.79,249.73,247.54,251.52,,,255.405,257.98,256.40999999999997,261.955,275.53,276.14,283.14,,,,,,,191.51,195.14,185.29,189.7,186.58,185.3,189.38,199.42,200.47,193.22,186.22,190.04,195.95,197.18,202.5,,,,,,303.73,249.18,247.7,245.79,264.51,,298.65,,,,258.08,238.01,256.84,258.56,,,,,,244.24,235.47,221.27,222.72,304.82,250.4,,,264.6,271.995,L7
2000-11-14 22:16:30+00:00,,,,,,,,,,,,,254.48,,253.36,,,259.67,,,281.03,,289.94,274.5,277.23,284.59,289.4,298.44,277.14,269.45,285.03,287.72,,298.5,312.19,294.46,271.87,264.1,273.66,,280.94,271.26,301.4,299.55,296.83,305.36,,269.44,,,,,298.01,279.32,265.58,274.9,269.03,279.03,238.13,241.99,221.89,239.71,,285.84,284.18,,,,315.88,,310.75,283.55,247.96,247.37,245.19,251.24,,322.39,302.54,,274.41,299.92,291.07,,,,254.27,,297.34,,230.72,,,,287.06,286.85,271.9,258.79,249.73,247.54,251.52,,,255.405,257.98,256.40999999999997,261.955,275.53,263.445,273.815,,,,192.42,191.96,185.41,185.285,188.05,179.33499999999998,186.175,182.565,181.78500000000003,188.755,194.62,194.55,189.625,183.62,187.975,191.155,190.465,196.5,193.76,183.6,191.66,188.97,187.13,319.46000000000004,249.18,247.7,245.79,264.51,,298.65,,,,258.08,238.01,256.84,258.56,,240.4,239.65,,,229.41500000000002,235.47,203.10000000000002,222.72,304.82,250.4,,,268.74666666666667,264.87666666666667,L7
2000-12-16 22:16:35+00:00,,,,,,,,,,,,,254.48,,253.36,,,259.67,,,281.03,,289.94,274.5,277.23,284.59,289.4,298.44,277.14,269.45,285.03,287.72,,298.5,312.19,294.46,271.87,264.1,273.66,,280.94,271.26,301.4,299.55,296.83,305.36,,269.44,,,,,298.01,279.32,265.58,274.9,269.03,279.03,238.13,241.99,221.89,239.71,,285.84,284.18,,,,315.88,,310.75,283.55,247.96,247.37,245.19,251.24,,322.39,302.54,,274.41,299.92,291.07,,,,254.27,,297.34,,230.72,,,,287.06,286.85,271.9,258.79,249.73,247.54,251.52,,,255.405,257.98,256.40999999999997,261.955,275.53,263.445,273.815,,,,192.51,190.22,183.13,183.64333333333335,185.34666666666666,176.48666666666668,185.4,180.54666666666665,179.66666666666666,187.54333333333332,192.45000000000002,192.74,187.36,181.58,186.8166666666667,190.32666666666668,187.63333333333333,194.45000000000002,195.03,182.635,191.19,188.29000000000002,187.04,319.46000000000004,249.18,247.7,245.79,264.51,,298.65,,,,258.08,238.01,256.84,258.56,,240.4,239.65,,,229.41500000000002,235.47,203.10000000000002,222.72,304.82,250.4,,,268.74666666666667,264.87666666666667,L7
2001-01-01 22:16:33+00:00,,,,,,,,,225.34,232.93,,304.1,273.725,301.16,265.23,,221.4,271.975,,,281.03,,273.38,262.305,272.57500000000005,273.67499999999995,276.28,283.21500000000003,269.5,254.975,273.66999999999996,277.845,258.98,284.975,296.445,280.53999999999996,273.59000000000003,266.81,267.69500000000005,257.16,275.675,272.935,286.16999999999996,289.34000000000003,291.515,292.79,238.39,257.265,244.3,237.98,233.69,238.26,286.03,280.975,268.44,255.32999999999998,272.725,259.32,251.99,256.78499999999997,227.925,236.52,275.82,278.575,275.905,239.62,,,297.83500000000004,,296.13,266.345,244.235,243.95499999999998,250.66,255.53,,306.92499999999995,295.65999999999997,,271.75,287.315,284.895,,333.36,308.96,256.3,254.65,277.86,287.23,248.435,,284.47,271.52,272.655,269.55,265.685,257.49,258.475,255.9433333333333,258.36,271.24,276.34,265.6933333333333,266.6166666666667,267.55,272.50333333333333,283.92499999999995,263.445,273.815,317.99,320.41,317.9,192.51,190.22,183.13,183.64333333333335,185.34666666666666,176.48666666666668,185.4,180.54666666666665,179.66666666666666,187.54333333333332,192.45000000000002,192.74,187.36,181.58,186.8166666666667,190.32666666666668,187.63333333333333,194.45000000000002,195.03,182.635,191.19,188.29000000000002,187.04,319.46000000000004,256.85,253.465,251.57,262.46666666666664,261.2,279.765,258.5,262.39,267.3,261.31,250.07999999999998,260.5,259.95500000000004,264.37,245.37,249.40500000000003,305.0,,229.41500000000002,235.47,203.10000000000002,222.72,304.82,257.035,,,268.74666666666667,264.87666666666667,L7
2001-01-26 22:10:30+00:00,,,,,,,,,225.34,232.93,,304.1,273.725,301.16,265.23,197.97,214.93,251.31333333333336,,,281.03,,273.38,252.78333333333333,272.57500000000005,273.67499999999995,276.28,283.21500000000003,259.43666666666667,247.47666666666666,273.66999999999996,277.845,250.255,272.79333333333335,278.05,280.53999999999996,261.41,258.37333333333333,260.5166666666667,253.3,275.675,262.44666666666666,273.99,277.43,277.37333333333333,277.11,243.12,256.46,246.99,245.345,237.95499999999998,241.6,274.56,272.90333333333336,263.32,255.92,271.38666666666666,262.00666666666666,251.99,256.78499999999997,227.925,239.03,264.815,265.41333333333336,265.7766666666667,238.59,346.58,,297.83500000000004,360.69,296.13,266.345,244.235,243.95499999999998,250.66,255.53,,314.81666666666666,304.99666666666667,346.18,271.75,287.315,284.2733333333333,287.73,313.90999999999997,299.46,256.3,269.355,274.3666666666666,284.19500000000005,260.03333333333336,,278.74,269.565,275.54333333333335,275.99666666666667,270.55333333333334,267.71333333333337,270.86,266.22,268.85,283.27,283.57,271.5425,271.9975,275.365,279.6075,293.23333333333335,263.445,273.815,331.01,333.265,333.66999999999996,192.51,190.22,183.13,183.64333333333335,185.34666666666666,176.48666666666668,185.4,180.54666666666665,179.66666666666666,187.54333333333332,192.45000000000002,192.74,187.36,181.58,186.8166666666667,190.32666666666668,187.63333333333333,194.45000000000002,195.03,182.635,191.19,188.29000000000002,187.04,319.46000000000004,267.35999999999996,263.43666666666667,258.82666666666665,268.3975,255.675,277.94,268.875,272.375,276.82,271.3966666666667,253.69666666666663,265.45666666666665,266.5833333333333,273.985,256.2633333333333,248.29999999999998,292.495,255.21,246.76,235.47,203.10000000000002,222.72,293.75,257.035,,,268.74666666666667,264.87666666666667,L7
2001-02-27 22:10:42+00:00,,,,,,,,,242.21499999999997,247.79,,305.34000000000003,284.09,298.05,265.23,197.97,214.93,251.31333333333336,,,283.40999999999997,,273.38,252.78333333333333,272.57500000000005,273.67499999999995,276.28,283.21500000000003,259.43666666666667,247.47666666666666,273.66999999999996,277.845,250.255,272.79333333333335,278.05,280.53999999999996,261.41,258.37333333333333,260.5166666666667,253.3,275.675,262.44666666666666,273.99,277.43,277.37333333333333,277.11,243.12,256.46,246.99,245.345,237.95499999999998,241.6,274.56,272.90333333333336,263.32,255.92,271.38666666666666,262.00666666666666,251.99,256.78499999999997,227.925,239.03,264.815,265.41333333333336,265.7766666666667,238.59,335.24,,293.9066666666667,347.905,292.81,266.345,264.62666666666667,258.32666666666665,265.25,255.53,351.23,327.9675,319.3225,357.69,271.75,287.315,293.5675,301.56,317.1566666666667,307.56,256.3,269.355,274.3666666666666,284.19500000000005,260.03333333333336,,278.74,269.565,275.54333333333335,275.99666666666667,270.55333333333334,267.71333333333337,270.86,266.22,268.85,283.27,283.57,271.5425,271.9975,275.365,279.6075,293.23333333333335,263.445,273.815,331.01,333.265,333.66999999999996,192.51,190.22,183.13,183.64333333333335,185.34666666666666,176.48666666666668,185.4,180.54666666666665,179.66666666666666,187.54333333333332,192.45000000000002,192.74,187.36,181.58,186.8166666666667,190.32666666666668,187.63333333333333,194.45000000000002,195.03,182.635,191.19,188.29000000000002,187.04,320.6666666666667,279.98,263.43666666666667,258.82666666666665,268.3975,255.675,285.9275,281.43333333333334,284.6933333333333,290.1666666666667,271.3966666666667,253.69666666666663,265.45666666666665,266.5833333333333,273.985,256.2633333333333,248.29999999999998,292.495,255.21,246.76,235.47,203.10000000000002,222.72,293.75,257.035,,,268.74666666666667,264.87666666666667,L7
2001-03-31 22:10:31+00:00,,,,,,,,,242.21499999999997,247.79,,305.34000000000003,298.895,298.05,277.1,194.095,206.03,231.74666666666667,214.74,212.77,252.65,219.98,227.88,236.86333333333334,247.69,249.62,249.26500000000001,247.57999999999998,250.58499999999998,236.48999999999998,262.31,267.97,250.255,259.94,260.98,266.62,256.18,255.51,253.94500000000002,253.3,270.41,258.04,260.285,266.37,267.645,262.985,243.12,249.97,246.99,245.345,237.95499999999998,241.6,262.83500000000004,269.69500000000005,262.19000000000005,246.43,272.565,253.495,251.99,271.58,238.71,237.95666666666668,253.77666666666664,248.15666666666667,251.85333333333335,228.46666666666667,335.24,,282.92,347.905,283.84000000000003,249.14,272.96,263.805,275.28,259.82,351.23,329.82666666666665,324.9166666666667,357.69,249.945,269.54499999999996,294.40000000000003,301.56,317.1566666666667,307.56,258.5466666666667,269.3633333333333,264.0266666666667,281.1566666666667,260.03333333333336,,278.74,269.565,269.78499999999997,270.57,269.88000000000005,272.17500000000007,281.425,284.9000000000001,286.18000000000006,283.27,283.57,287.68000000000006,286.015,294.32000000000005,297.26000000000005,302.08500000000004,250.75,264.49,331.01,333.265,333.66999999999996,192.51,197.96333333333334,190.21333333333334,183.89000000000001,188.6966666666667,178.21,188.46666666666667,177.52999999999997,176.85,197.97333333333333,188.96500000000003,188.875,184.43,179.26,190.81333333333336,190.98333333333335,187.34666666666666,196.18666666666664,199.10666666666665,189.02999999999997,195.95333333333335,194.59333333333333,192.41333333333333,329.135,290.24666666666667,271.30499999999995,265.345,272.28499999999997,255.675,281.68666666666667,281.43333333333334,284.6933333333333,290.1666666666667,254.72333333333336,243.18999999999997,269.765,270.595,273.985,256.2633333333333,248.29999999999998,292.495,251.35500000000002,252.14,264.76,184.93,,271.885,266.21000000000004,,270.54,284.385,264.365,L7
