dates,satname,nzd0446-0000,nzd0446-0001,nzd0446-0002,nzd0446-0003,nzd0446-0004,nzd0446-0005,nzd0446-0006,nzd0446-0007,nzd0446-0008,nzd0446-0009,nzd0446-0010,nzd0446-0011,nzd0446-0012,nzd0446-0013,nzd0446-0014,nzd0446-0015,nzd0446-0016,nzd0446-0017,nzd0446-0018,nzd0446-0019,nzd0446-0020,nzd0446-0021,nzd0446-0022,nzd0446-0023,nzd0446-0024,nzd0446-0025,nzd0446-0026,nzd0446-0027,nzd0446-0028,nzd0446-0029,nzd0446-0030,nzd0446-0031,nzd0446-0032,nzd0446-0033,nzd0446-0034,nzd0446-0035,nzd0446-0036,nzd0446-0037,nzd0446-0038,nzd0446-0039,nzd0446-0040,nzd0446-0041,nzd0446-0042,nzd0446-0043,nzd0446-0044,nzd0446-0045,nzd0446-0046,nzd0446-0047,nzd0446-0048,nzd0446-0049,nzd0446-0050,nzd0446-0051,nzd0446-0052,nzd0446-0053,nzd0446-0054,nzd0446-0055,nzd0446-0056,nzd0446-0057,nzd0446-0058,nzd0446-0059,nzd0446-0060,nzd0446-0061,nzd0446-0062,nzd0446-0063,nzd0446-0064,nzd0446-0065,nzd0446-0066,nzd0446-0067,nzd0446-0068,nzd0446-0069,nzd0446-0070,nzd0446-0071,nzd0446-0072,nzd0446-0073,nzd0446-0074,nzd0446-0075,nzd0446-0076,nzd0446-0077,nzd0446-0078,nzd0446-0079,nzd0446-0080,nzd0446-0081,nzd0446-0082,nzd0446-0083,nzd0446-0084,nzd0446-0085,nzd0446-0086,nzd0446-0087,nzd0446-0088,nzd0446-0089,nzd0446-0090,nzd0446-0091,nzd0446-0092,nzd0446-0093,nzd0446-0094,nzd0446-0095,nzd0446-0096,nzd0446-0097,nzd0446-0098,nzd0446-0099,nzd0446-0100,nzd0446-0101,nzd0446-0102,nzd0446-0103,nzd0446-0104,nzd0446-0105,nzd0446-0106,nzd0446-0107,nzd0446-0108,nzd0446-0109,nzd0446-0110,nzd0446-0111,nzd0446-0112,nzd0446-0113,nzd0446-0114,nzd0446-0115,nzd0446-0116,nzd0446-0117,nzd0446-0118,nzd0446-0119,nzd0446-0120,nzd0446-0121,nzd0446-0122,nzd0446-0123,nzd0446-0124,nzd0446-0125,nzd0446-0126,nzd0446-0127,nzd0446-0128,nzd0446-0129,nzd0446-0130,nzd0446-0131,nzd0446-0132,nzd0446-0133,nzd0446-0134,nzd0446-0135,nzd0446-0136,nzd0446-0137,nzd0446-0138,nzd0446-0139,nzd0446-0140,nzd0446-0141,nzd0446-0142,nzd0446-0143,nzd0446-0144,nzd0446-0145,nzd0446-0146,nzd0446-0147,nzd0446-0148,nzd0446-0149,nzd0446-0150,nzd0446-0151,nzd0446-0152,nzd0446-0153,nzd0446-0154,nzd0446-0155,nzd0446-0156,nzd0446-0157,nzd0446-0158,nzd0446-0159,nzd0446-0160,nzd0446-0161,nzd0446-0162,nzd0446-0163,nzd0446-0164
2001-01-26 22:10:30.842000,L7,,,,189.29,236.28,222.17,252.30,302.63,279.92,328.28,335.78,351.30,340.57,337.25,179.00,197.97,208.46,209.99,395.85,347.46,371.37,370.86,396.96,233.74,390.74,375.66,366.87,393.11,239.31,232.48,219.86,405.74,241.53,248.43,241.26,437.64,237.05,241.50,246.16,249.44,454.74,241.47,249.63,253.61,249.09,245.75,247.85,254.85,249.68,252.71,242.22,244.94,251.62,256.76,253.08,257.10,268.71,267.38,310.20,336.02,298.28,244.05,253.81,239.09,245.52,237.56,346.58,398.67,455.95,360.69,383.41,423.48,402.12,400.86,414.43,312.21,418.56,330.60,323.67,346.18,496.71,522.62,283.03,287.73,294.46,289.96,311.94,284.06,267.38,281.16,283.23,251.43,273.01,267.61,281.32,288.89,280.29,288.16,295.63,297.05,300.32,295.30,290.80,289.09,288.14,298.81,300.92,311.85,329.34,325.36,344.03,346.12,349.44,336.97,332.21,303.47,276.72,382.46,391.65,367.37,384.81,359.24,264.77,302.24,290.06,290.76,283.37,286.15,288.69,289.17,299.87,301.70,295.48,287.59,302.65,284.57,281.92,288.38,283.38,273.34,286.19,250.15,274.29,279.25,282.36,286.34,291.57,260.93,275.37,279.84,283.60,278.05,246.09,279.99,255.21,281.45,286.66,284.07,281.74,282.68,445.16,456.36,478.16,481.83,453.18
2001-01-26 22:10:54.748000,L7,,,,,218.17,220.20,245.42,294.64,277.53,317.88,330.78,337.77,339.51,338.52,323.16,305.17,385.74,315.06,387.74,375.45,344.94,365.23,378.84,369.80,357.89,374.10,379.32,318.87,309.68,415.68,379.34,406.02,388.40,392.45,385.05,437.54,227.44,401.16,400.71,451.16,211.08,226.54,241.64,204.17,206.40,233.89,233.34,236.06,226.94,223.28,222.55,177.90,180.41,177.68,179.99,183.99,183.13,185.86,184.39,183.02,184.39,226.01,228.94,231.56,230.34,234.45,237.86,224.02,234.27,235.84,240.87,244.32,246.70,254.48,260.80,257.63,263.10,262.77,276.90,264.37,254.43,257.45,264.14,262.21,266.30,271.29,210.21,261.58,247.34,263.01,260.13,248.67,255.07,252.40,265.37,270.06,256.49,270.97,276.15,280.02,273.63,260.53,260.40,262.54,263.56,272.73,278.82,283.52,282.13,285.48,288.58,297.52,277.55,285.34,274.03,273.73,271.75,280.56,273.29,260.79,263.04,253.23,255.35,256.10,262.52,255.26,271.65,275.77,276.00,271.97,282.17,285.82,280.96,270.47,272.15,268.36,267.90,268.85,259.93,265.81,262.48,252.18,262.52,258.72,269.35,265.78,273.02,263.99,258.28,270.64,261.14,256.66,243.23,263.53,264.82,263.64,262.40,268.61,268.14,269.36,427.78,391.29,447.13,423.28,431.48
2001-02-27 22:10:42.180000,L7,,,,,,,234.18,240.76,259.09,262.65,345.23,306.58,304.82,294.94,411.95,428.37,437.31,430.32,427.52,383.26,285.79,301.87,449.70,450.25,489.77,497.82,459.63,421.54,393.94,316.70,348.41,368.11,380.66,400.12,400.16,406.96,367.29,437.08,355.24,328.54,353.30,393.34,372.05,397.30,397.38,394.12,396.50,340.57,346.51,380.73,330.89,373.28,383.32,407.62,374.42,443.08,351.20,359.67,338.91,365.84,414.04,383.21,387.64,397.37,348.99,370.83,323.90,324.09,286.05,335.12,286.17,311.01,305.41,287.07,294.43,348.86,351.23,367.42,362.30,369.20,325.06,316.85,321.45,315.39,323.65,323.76,304.18,327.66,314.82,302.32,308.40,310.52,366.94,347.13,352.85,371.14,308.49,316.50,317.98,300.05,335.16,350.24,340.99,365.13,333.88,368.89,352.14,377.16,352.27,402.44,370.69,373.82,321.48,320.97,317.95,329.14,341.48,319.83,320.30,323.90,315.67,327.99,322.51,307.18,336.78,336.91,348.92,315.02,307.42,311.74,309.54,327.91,332.21,343.41,333.07,333.76,323.08,317.84,333.41,320.17,328.14,317.18,309.89,306.55,309.33,316.86,332.74,331.47,314.68,319.09,327.99,319.53,347.11,316.64,340.52,324.52,325.55,317.31,344.46,345.57,352.98,327.55,327.08,346.83,355.33
2001-03-31 22:10:31.555000,L7,,,,,,,,,,,,,172.40,177.40,179.04,190.22,188.23,200.97,214.74,212.77,219.51,219.98,198.94,226.74,227.46,236.48,235.37,227.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.13,211.44,243.46,236.49,231.70,234.07,242.41,208.22,244.35,,,,,,,,,,,,,,230.80,264.38,268.53,270.52,271.60,263.19,263.04,269.38,266.32,275.08,181.78,172.32,180.27,181.68,187.93,188.64,181.22,179.10,174.49,169.67,174.38,191.94,197.72,196.94,190.85,190.90,192.30,182.66,184.28,183.89,187.50,193.64,241.11,274.99,213.45,204.38,192.25,205.19,190.46,198.90,252.63,244.60,220.67,253.24,256.69,253.03,258.29,202.03,197.92,196.32,207.71,207.26,201.82,205.48,207.20,203.16,200.85,200.43,202.12,186.81,177.28,183.11,197.24,194.92,179.88,199.76,208.06,206.49,209.86,199.37,195.80,191.77,189.86,188.01,247.50,260.38,264.76,267.45,262.77,261.09,268.75,259.35,270.54,291.73,278.09
2001-08-29 22:14:52.879000,L7,,,,,,,,,,,,,,,,,,,,194.32,197.63,196.77,212.10,206.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.20,184.59,174.64,194.83,187.05,181.29,192.92,198.75,194.80,191.86,182.70,186.92,188.22,188.66,194.53,195.41,187.41,188.05,221.99,191.12,184.31,186.75,175.87,169.68,165.38,,,,159.37,182.36,232.79,192.76,192.42,190.19,199.42,235.65,230.48,184.24,184.62,238.63,189.23,197.19,177.72,,,,,275.74,232.93
2001-09-07 22:08:34.815000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.64,223.22
2001-09-07 22:08:58.783000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.10,225.25
2001-09-23 22:08:26.958000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.91,328.97,302.14,333.52,320.79,297.18,,,,,,,,321.14,338.67,331.26,322.62,305.93,345.64,,,,,,,,,,,,,,,,,,,180.85,196.05,190.40,184.60,186.73,181.34,186.41,181.84,179.27,188.93,193.14,192.17,183.79,180.25,183.26,187.16,185.97,194.40,192.88,194.83,197.51,189.89,190.03,188.08,,,,,,,,,,179.51,181.46,182.81,175.60,186.93,182.70,176.02,182.55,252.65,201.88,,,,,,,274.67,296.37,278.78
2001-09-23 22:08:50.923000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.09,243.04,245.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.56,300.90,310.98,315.72,317.13,318.61,317.74,326.17,319.47,332.43,318.01,323.22,,,,,,,,,,328.58,320.11,329.65,334.18,,,,,,,,,,,,,,,,,,,164.94,193.04,185.03,180.18,179.45,175.03,178.48,177.77,172.31,184.96,186.85,188.33,173.38,173.83,176.86,170.53,179.98,190.86,185.80,180.27,190.99,178.28,180.90,,,,,,,,,,,,,,,,,,,,,,,,,,,270.13,291.05,225.54
2002-01-20 22:15:01.686000,L7,,,,,,,,181.26,184.74,193.43,214.20,211.02,241.82,253.43,275.00,257.44,167.51,168.40,176.87,183.36,187.88,193.99,201.06,202.08,211.69,213.65,210.12,213.94,213.17,210.41,211.29,211.09,210.09,207.58,211.72,262.82,251.95,207.93,209.49,210.66,207.90,204.95,201.40,203.70,205.44,202.56,199.48,202.56,207.05,202.85,206.85,203.60,204.57,204.71,210.89,210.95,209.96,214.41,212.36,212.01,218.61,206.47,211.52,211.72,215.97,219.85,218.30,212.61,253.45,255.52,253.26,261.04,272.02,251.91,285.88,234.78,237.77,236.75,241.03,240.37,242.62,237.75,237.68,238.27,233.24,225.20,223.16,221.77,211.68,185.91,210.23,216.91,222.15,195.16,276.91,307.49,286.70,258.72,301.03,310.08,303.79,310.83,261.83,237.53,272.90,266.93,182.33,174.29,184.37,317.87,302.56,331.78,273.58,272.86,326.06,335.82,395.89,321.81,277.37,277.87,288.90,281.01,300.76,302.15,311.87,296.33,275.56,336.64,208.27,359.06,358.41,356.14,331.68,312.81,311.90,311.28,306.08,306.90,296.04,304.46,299.59,299.31,286.37,351.79,337.08,352.48,238.70,334.80,309.18,303.18,302.29,296.32,304.90,301.32,293.25,295.86,223.22,225.80,221.06,230.68,211.33,199.77,220.31,293.34,287.03
