dates,nzd0431-0000,nzd0431-0001,nzd0431-0002,nzd0431-0006,nzd0431-0007,nzd0431-0008,nzd0431-0009,nzd0431-0010,nzd0431-0011,nzd0431-0012,nzd0431-0013,nzd0431-0014,nzd0431-0015,nzd0431-0016,nzd0431-0017,nzd0431-0018,nzd0431-0019,nzd0431-0020,nzd0431-0021,nzd0431-0022,nzd0431-0023,nzd0431-0024,nzd0431-0025,nzd0431-0026,nzd0431-0027,nzd0431-0028,nzd0431-0029,nzd0431-0030,nzd0431-0031,nzd0431-0032,nzd0431-0033,nzd0431-0034,nzd0431-0035,nzd0431-0036,nzd0431-0037,nzd0431-0038,nzd0431-0039,nzd0431-0040,nzd0431-0041,nzd0431-0042,nzd0431-0043,nzd0431-0044,nzd0431-0045,nzd0431-0046,nzd0431-0047,nzd0431-0048,nzd0431-0049,nzd0431-0050,nzd0431-0051,nzd0431-0052,nzd0431-0053,nzd0431-0054,nzd0431-0055,nzd0431-0056,nzd0431-0057,nzd0431-0058,nzd0431-0059,nzd0431-0060,nzd0431-0061,nzd0431-0062,nzd0431-0063,nzd0431-0064,nzd0431-0065,nzd0431-0066,nzd0431-0067,nzd0431-0068,nzd0431-0069,nzd0431-0070,nzd0431-0071,nzd0431-0072,nzd0431-0073,nzd0431-0074,nzd0431-0075,nzd0431-0076,nzd0431-0077,nzd0431-0078,nzd0431-0079,nzd0431-0080,nzd0431-0081,nzd0431-0082,nzd0431-0083,nzd0431-0084,nzd0431-0085,nzd0431-0086,nzd0431-0087,nzd0431-0088,nzd0431-0089,nzd0431-0090,nzd0431-0091,nzd0431-0092,nzd0431-0093,nzd0431-0094,nzd0431-0095,nzd0431-0096,nzd0431-0097,nzd0431-0098,nzd0431-0099,nzd0431-0100,nzd0431-0101,nzd0431-0102,nzd0431-0103,nzd0431-0104,nzd0431-0105,nzd0431-0106,nzd0431-0107,nzd0431-0108,nzd0431-0109,nzd0431-0110,nzd0431-0111,nzd0431-0112,nzd0431-0113,nzd0431-0114,nzd0431-0115,nzd0431-0116,nzd0431-0117,nzd0431-0118,nzd0431-0119,nzd0431-0120,nzd0431-0121,nzd0431-0122,nzd0431-0123,nzd0431-0124,nzd0431-0125,nzd0431-0126,nzd0431-0127,nzd0431-0128,nzd0431-0129,nzd0431-0130,nzd0431-0131,nzd0431-0132,nzd0431-0133,nzd0431-0134,nzd0431-0135,nzd0431-0136,nzd0431-0137,nzd0431-0003,nzd0431-0004,nzd0431-0005,nzd0431-0138,nzd0431-0139,satname
2004-05-18 22:00:38.480,,,,,,,,,,,,174.79,184.0,184.14,180.05,176.72,179.86,181.75,186.81,196.76,203.44,199.31,190.56,201.58499999999998,182.95499999999998,183.94,194.99333333333334,201.82333333333335,195.96333333333334,195.65,187.5,211.83,209.93,195.36,207.64,194.155,201.92000000000002,,178.76,180.77,194.17,166.77,255.76,244.18,241.95,230.9,231.23,228.69,227.57,234.95,233.92,230.47,237.11,,241.79,243.76,242.5,247.47,242.67,242.09,240.26,241.4,241.47,226.87,196.97,192.05,240.04,244.72,240.23,236.88,228.0,238.66,233.34,244.15,249.98,242.89,245.08,248.62,244.16,234.64,225.28,212.81,200.31,210.51,191.335,195.825,205.64999999999998,213.72,218.45999999999998,227.39,227.105,205.52,216.54000000000002,194.29500000000002,221.65,227.88,228.43,225.87,225.69,220.61,208.3,217.02,210.5,,252.335,256.70500000000004,256.57,257.125,253.955,255.06,220.9,216.18,232.11666666666667,223.17666666666665,231.90666666666667,218.96666666666667,237.20999999999998,237.51,231.6225,220.91,216.69,264.9,232.83,218.0,227.79333333333332,267.92,268.19,176.015,175.0,185.92,,,,,,,,,,,L5
2004-08-22 22:03:12.259,,,,,,,,,,,,,,,,,,,,,,,174.07999999999998,182.83499999999998,191.385,191.61,189.51,196.745,191.405,188.555,178.28,,,,,178.73,185.71,,178.76,180.77,194.17,166.77,,,,,,,,,,,,,218.69,212.97,206.41,218.35,211.58,,,,,,,,,,,,,,,,,,,,,,,,,,185.43,182.67,198.0,200.7,210.33,219.29,219.15,221.42,208.69,190.59,182.2,,,183.69,196.18,193.62,181.57,181.55,190.92,,241.465,239.89,237.70500000000004,239.84,236.53500000000003,237.01,225.145,217.09,217.82,208.29,219.595,215.07999999999998,218.91,222.05,228.37,192.45,213.175,,203.39499999999998,,198.91,,,171.37,,,,,,,,,,,,,L5
2004-10-09 22:04:22.371,,,,,,,,,,,,175.41,177.52,175.71,174.47,175.02,175.68,171.9,177.38,193.63,198.76,200.46,185.01,192.0533333333333,201.56333333333336,202.34,199.7266666666667,204.15,198.15,196.09333333333333,188.82333333333335,212.8,213.06,197.45,210.03,195.535,199.35000000000002,218.63,197.325,198.185,215.51999999999998,166.77,248.8,240.81,232.96,232.1,231.01,224.37,216.82,222.49,230.54,227.02,243.08,238.93,227.4,217.55,216.215,223.26,215.53,,,,,,,,,,,,,,,,,,,,,,,,,,185.43,182.67,198.0,200.7,210.33,219.29,219.15,221.42,208.69,190.59,182.2,,,187.825,205.87,201.285,194.745,195.185,194.64499999999998,203.86,246.92666666666665,246.84333333333333,246.01666666666668,248.07333333333335,245.06333333333336,245.93999999999997,235.59666666666666,228.37,228.07666666666668,219.09333333333333,226.25333333333333,224.79999999999998,228.38,233.625,233.89,210.28333333333333,224.9,258.29,203.39499999999998,260.33,218.1,255.74,255.18,190.935,177.65,,,,,,,,,,,,L5
2004-11-10 22:04:59.688,,,,,,,,,,,,172.18,179.54000000000002,180.60000000000002,176.935,178.565,177.675,173.595,178.325,191.78,198.27499999999998,197.335,187.2275,194.25,203.59,203.9125,201.9875,205.97750000000002,200.225,199.0575,192.46,210.44,213.39,196.82999999999998,211.91500000000002,201.53666666666666,203.99,221.39499999999998,202.32666666666668,202.63,221.04333333333332,166.77,242.395,234.435,227.54500000000002,229.365,230.43,224.73000000000002,219.18,225.60000000000002,234.73,230.905,243.04500000000002,240.79000000000002,231.51333333333332,224.41,222.62666666666667,229.57000000000002,221.82000000000002,228.02,222.96,230.78,235.27,223.66,191.79,,234.11,243.08,242.82,227.86,230.61,228.51,222.85,231.25,235.95,225.85,,,,,,,,,185.43,182.67,198.0,200.7,210.33,219.29,219.15,221.42,208.69,190.59,182.2,,,187.825,205.87,201.285,188.85333333333332,197.60333333333332,201.46333333333334,196.72000000000003,244.03,244.62,249.305,247.4975,245.06333333333336,245.93999999999997,235.59666666666666,228.37,228.07666666666668,219.09333333333333,226.25333333333333,224.79999999999998,228.38,233.625,233.89,221.8975,233.29500000000002,257.77,203.39499999999998,257.29499999999996,223.64,242.145,245.425,191.13333333333333,177.65,,,,,,,,,,,,L5
2004-11-26 22:05:17.306,,,,,,,,,,,,172.18,179.54000000000002,180.60000000000002,176.935,178.565,177.675,173.595,178.325,191.78,198.27499999999998,197.335,192.15333333333334,197.42666666666665,203.2425,204.22500000000002,201.83249999999998,203.91750000000002,198.4875,198.70749999999998,191.01000000000002,201.75333333333333,200.4766666666667,196.82999999999998,211.91500000000002,212.94,213.13,221.39499999999998,214.11,213.56,234.48000000000002,,230.03,222.59666666666666,216.54999999999998,218.91666666666666,218.20666666666668,215.83,209.37,216.74333333333334,224.89333333333332,230.905,243.04500000000002,240.79000000000002,231.51333333333332,224.41,222.62666666666667,229.57000000000002,221.82000000000002,228.02,222.96,230.78,235.27,223.66,191.79,,234.11,243.08,242.82,227.86,230.61,228.51,222.85,231.25,235.95,225.85,,,,,,,164.27,181.64,185.645,186.46499999999997,197.945,197.96499999999997,207.10000000000002,209.56,211.495,212.99,198.66,180.585,182.2,,,189.70666666666668,206.92666666666665,199.73333333333335,188.04,197.16750000000002,199.45749999999998,196.72000000000003,241.08,240.75,245.77750000000003,243.59500000000003,240.78333333333333,249.77999999999997,239.71499999999997,227.61333333333334,227.88666666666666,221.57666666666668,227.79,228.28666666666666,233.33,240.915,231.745,225.5825,233.37,244.41,203.325,244.57000000000002,224.535,227.45333333333335,237.18666666666664,193.81333333333336,177.65,,,,,,,,,,,,L5
2005-02-14 22:06:33.160,,,,,219.46,,,223.04,247.49,,,195.10999999999999,195.23000000000002,195.05333333333337,188.36,191.6966666666667,188.83,187.91333333333333,189.82666666666668,202.67666666666665,209.92666666666665,211.51666666666665,192.15333333333334,207.88,203.2425,204.22500000000002,206.206,208.86599999999999,198.4875,203.724,191.01000000000002,207.1425,200.4766666666667,196.82999999999998,215.81000000000003,220.04,221.68666666666664,234.5233333333333,225.60333333333332,226.12666666666667,246.25666666666666,,230.03,222.59666666666666,216.54999999999998,218.91666666666666,224.74,215.83,209.37,216.74333333333334,224.89333333333332,234.61666666666667,244.68999999999997,247.89666666666668,237.10000000000002,232.20499999999998,230.615,235.39249999999998,230.4275,239.23000000000002,237.055,239.025,240.245,230.51999999999998,191.79,207.82,240.195,246.395,243.865,235.085,244.13,242.525,234.415,244.64,250.275,244.10500000000002,264.71,264.91,264.56,244.01,230.3,234.14,191.78,202.195,199.88333333333335,199.47666666666666,210.00666666666666,212.34333333333333,207.10000000000002,209.56,211.495,212.99,198.66,180.585,182.2,246.05,239.37,197.92000000000002,213.9175,205.97,195.298,202.85399999999998,203.748,218.06000000000003,241.08,240.75,245.77750000000003,243.59500000000003,240.78333333333333,261.94,253.52666666666664,239.0275,235.555,231.95999999999998,235.21,236.9025,239.87,249.59,242.87,225.5825,233.37,244.41,203.325,244.57000000000002,224.535,227.45333333333335,237.18666666666664,193.81333333333336,197.0,218.91,252.49,259.08,264.68,264.35,266.84,,,,,,L5
2005-03-02 22:06:47.890,,,,,219.46,,,223.04,247.49,,,195.10999999999999,195.23000000000002,195.05333333333337,188.36,191.6966666666667,188.83,187.91333333333333,189.82666666666668,202.67666666666665,209.92666666666665,211.51666666666665,200.375,216.85666666666668,206.3166666666667,207.74,210.055,211.95999999999998,201.2166666666667,207.54999999999998,196.50666666666666,207.1425,200.4766666666667,196.82999999999998,215.81000000000003,220.04,221.68666666666664,234.5233333333333,225.60333333333332,226.12666666666667,246.25666666666666,,230.03,222.59666666666666,210.95499999999998,215.6525,221.01,213.0075,206.5325,213.5025,217.6375,234.61666666666667,244.68999999999997,247.89666666666668,243.23666666666668,238.61666666666665,238.68333333333337,241.0733333333333,236.71,230.90333333333334,230.34333333333333,232.07000000000002,234.03666666666666,222.30666666666664,178.695,207.82,240.195,246.395,243.865,235.085,244.13,242.525,234.415,244.64,250.275,244.10500000000002,264.71,264.91,264.56,229.87,218.42000000000002,214.235,188.06000000000003,198.00666666666666,203.79,203.37,210.74333333333334,214.71666666666667,208.35000000000002,209.755,210.91,212.32999999999998,199.365,179.33,193.34,246.05,239.37,202.0375,219.235,209.245,198.442,205.88000000000002,203.856,218.06000000000003,240.7925,241.1025,246.6725,243.9925,241.92,265.51,258.88333333333327,244.73749999999998,241.7975,239.6875,241.985,244.94,249.10250000000002,247.89,241.535,240.34250000000003,240.9175,242.555,223.275,242.99,236.1325,227.45333333333335,238.235,192.9625,197.0,218.91,252.49,259.08,264.68,264.35,266.84,,,,,,L5
2005-09-10 22:08:07.620,,,,,,,,,,,,,,,,,,,,,,,,,179.55,178.76,,,179.07,,163.15,,,,,,,,,,,,,,,197.29,193.55,199.54,178.93,204.68,196.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.17,181.58,175.65,192.2,199.32,199.81,209.97,205.59,205.05,179.72,172.5,,,,,,,,,,,232.9,230.17,224.34,221.97,221.88,219.22,203.71,205.24,,,216.45,216.34,213.34,219.94,211.48,,,,,,,,,,,,,,,,,,,,,,L5
2005-11-13 22:08:20.468,,,,,,,,,,,,,,,,,,,,,,,,,182.315,181.91,,,178.26999999999998,,163.79500000000002,,,,,,,,,,,,,,,197.29,193.55,199.54,178.93,204.68,196.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.17,181.58,175.65,192.2,199.32,199.81,209.97,205.59,205.05,179.72,172.5,,,,,,,,,,,228.285,226.865,224.37,225.155,228.19,220.76,199.4,201.835,217.92,,217.725,217.385,217.565,221.435,215.625,207.72,218.13,221.82,,,,,,,,,,,,,,,,,,,L5
2006-02-01 22:10:13.684,251.86,241.73,237.19,242.04,235.31,241.91,237.09,229.32,224.73,219.85,223.22,225.81,234.82,236.67,233.7,230.18,234.65,232.15,230.15,238.73,248.92,247.82,,261.19,182.315,181.91,,,178.26999999999998,,163.79500000000002,,,,,,,299.16,,,,,,,,197.29,249.535,247.65999999999997,178.93,257.77,245.56,291.08,285.74,285.62,278.89,274.03,276.31,280.32,274.16,,,,,,,274.65,281.61,274.71,283.06,267.41,265.03,264.89,259.29,268.58,274.34,275.2,270.71,281.36,276.35,269.91,265.4,258.87,260.47,179.17,181.58,175.65,192.2,199.32,199.81,209.97,205.59,205.05,179.72,172.5,,284.43,,,,,,,,305.4,228.285,226.865,224.37,225.155,228.19,220.76,199.4,201.835,217.92,,217.725,217.385,217.565,221.435,215.625,207.72,218.13,221.82,,,,,,,,,291.1,287.29,286.91,287.72,281.35,239.44,245.82,247.18,269.41,288.53,L5
