dates,nzd0302-0000,nzd0302-0001,nzd0302-0002,nzd0302-0003,nzd0302-0004,nzd0302-0005,nzd0302-0006,nzd0302-0007,nzd0302-0008,nzd0302-0009,nzd0302-0010,nzd0302-0011,nzd0302-0012,nzd0302-0013,nzd0302-0014,nzd0302-0015,nzd0302-0016,nzd0302-0017,nzd0302-0018,nzd0302-0019,nzd0302-0020,nzd0302-0021,nzd0302-0022,nzd0302-0023,nzd0302-0024,nzd0302-0025,nzd0302-0026,nzd0302-0027,nzd0302-0031,nzd0302-0032,nzd0302-0033,nzd0302-0034,nzd0302-0035,nzd0302-0036,nzd0302-0037,nzd0302-0038,nzd0302-0039,nzd0302-0040,nzd0302-0041,nzd0302-0028,nzd0302-0029,nzd0302-0030,satname
1999-08-05 21:47:23+00:00,283.6,286.6,,,,261.97,,,298.35,,304.15,,,285.4,,,,251.12,,,347.96,346.93,345.48,341.78,334.53,,,,,,,,355.51,369.41,,,,,,,,,L7
1999-09-22 21:47:24+00:00,283.6,286.6,,,,261.97,,,298.35,,314.80499999999995,,,285.4,,,,251.12,,,363.7,346.93,345.48,341.78,344.075,,,,,,,,364.44,376.265,,367.41,,,,,,,L7
1999-09-29 21:53:40+00:00,296.78,299.97,,,,276.625,304.63,300.57,286.905,268.22,314.80499999999995,,,275.23,,,,251.48000000000002,,,363.7,329.26,328.76,322.975,344.075,304.53,,,,321.73,311.25,314.44,349.9666666666667,376.265,337.07,355.025,,,,,,,L7
1999-11-16 21:53:32+00:00,296.78,330.7966666666667,401.69,398.39,,276.625,304.63,300.57,286.905,268.22,314.80499999999995,,,275.23,,,,251.48000000000002,,,363.7,329.26,328.76,322.975,344.075,304.53,,,,321.73,311.25,314.44,349.9666666666667,376.265,337.07,355.025,,,,,,,L7
2000-04-01 21:46:58+00:00,,392.45,401.69,398.39,,279.82,296.44,287.41,240.68,268.66,321.22,,,,,,,,,,,,,,,331.76,349.98,,356.52,340.6,334.9,327.14,337.18,,,,,,,373.85,,,L7
2000-05-26 21:52:36+00:00,355.36,364.19,377.47,376.44,361.2,323.83500000000004,334.08500000000004,327.83500000000004,240.68,268.66,321.22,347.37,348.25,311.7,,,,,,,373.67,375.71,356.3,353.46,347.92,343.75,349.26,356.25,352.325,352.795,351.55499999999995,346.755,337.18,,,,,,,366.185,353.62,341.07,L7
2000-07-13 21:52:07+00:00,355.36,364.19,377.47,376.44,361.2,335.41333333333336,340.0,337.46333333333337,240.68,293.78,319.83500000000004,338.9,338.03,315.91499999999996,298.09,305.21,302.71,297.67,328.0,339.82,370.165,375.71,359.24,349.245,350.62,346.83666666666664,349.26,351.655,347.83666666666664,352.75,347.46,346.07666666666665,341.755,366.86,362.03,,,,368.94,364.3733333333333,356.495,341.78,L7
2000-07-29 21:51:50+00:00,355.36,364.19,377.47,376.44,361.2,335.41333333333336,340.0,337.46333333333337,304.675,308.7966666666667,324.8066666666667,338.9,338.03,315.91499999999996,298.09,305.21,302.71,297.67,328.0,339.82,370.165,375.71,359.24,349.245,350.62,346.83666666666664,349.26,351.655,347.83666666666664,352.75,347.46,346.07666666666665,341.755,366.86,362.03,,,,368.94,364.3733333333333,356.495,341.78,L7
2000-08-07 21:45:32+00:00,346.685,357.375,371.185,368.63,358.815,338.2275,341.695,339.77250000000004,315.58,312.58,324.2675,335.7,337.01666666666665,318.0133333333333,302.115,306.155,307.405,304.325,329.41999999999996,339.82,371.75,376.29499999999996,359.3633333333334,349.08666666666664,348.51666666666665,346.2025,347.72333333333336,350.01666666666665,346.87,354.1625,348.04499999999996,348.0625,345.3833333333334,365.275,359.71,,365.49,371.59,367.27,361.72249999999997,353.2266666666667,340.95666666666665,L7
2000-08-14 21:51:44+00:00,349.1933333333333,359.12999999999994,373.45,368.63,359.8566666666666,340.382,344.06,342.072,321.53,314.366,321.706,331.8875,333.925,316.4125,302.13666666666666,303.83,307.405,304.325,329.41999999999996,339.82,372.0325,376.28,360.39250000000004,349.01,347.765,346.81399999999996,346.49,351.21000000000004,345.052,353.524,347.306,348.694,348.485,366.6766666666667,363.09666666666664,,366.515,374.355,367.27,360.896,351.1625,339.2175,L7
