dates,satname,nzd0302-0000,nzd0302-0001,nzd0302-0002,nzd0302-0003,nzd0302-0004,nzd0302-0005,nzd0302-0006,nzd0302-0007,nzd0302-0008,nzd0302-0009,nzd0302-0017,nzd0302-0018,nzd0302-0019,nzd0302-0020,nzd0302-0021,nzd0302-0022,nzd0302-0023,nzd0302-0024,nzd0302-0025,nzd0302-0026,nzd0302-0027,nzd0302-0028,nzd0302-0029,nzd0302-0030,nzd0302-0031,nzd0302-0032,nzd0302-0033,nzd0302-0034,nzd0302-0035,nzd0302-0036,nzd0302-0037,nzd0302-0038,nzd0302-0039,nzd0302-0040,nzd0302-0041,nzd0302-0010,nzd0302-0011,nzd0302-0012,nzd0302-0013,nzd0302-0014,nzd0302-0016,nzd0302-0015
1999-08-05 21:47:23.016000,L7,,,,,,,,304.88,294.78,280.46,249.61,270.25,285.89,327.52,339.54,342.71,338.27,336.24,347.04,362.86,379.43,402.48,419.98,,,363.22,379.82,405.22,354.41,366.58,368.47,362.22,364.16,367.18,363.05,296.97,297.88,303.67,280.18,276.28,244.11,268.66
1999-08-21 21:47:20.968000,L7,369.32,381.82,395.56,385.52,379.77,376.22,372.76,376.83,385.12,369.49,352.11,341.72,367.12,383.92,389.29,376.50,362.83,358.53,365.31,372.67,369.98,380.20,377.43,366.45,367.73,388.13,388.10,374.83,384.13,389.84,398.44,410.01,374.30,395.47,379.94,,,,,,,
1999-08-28 21:53:35.950000,L7,371.69,390.87,391.51,396.03,400.64,411.10,408.54,,,,,,,388.13,395.70,391.81,370.88,367.93,373.59,367.54,381.37,396.57,375.46,355.12,366.31,404.40,370.15,369.61,366.31,375.40,364.48,364.18,372.99,391.90,389.64,,,,,,,
1999-09-22 21:47:24.746000,L7,,,,,,,,,,,,,,,,,,,,,,,,,371.50,377.91,378.82,375.90,381.15,393.87,387.41,368.81,371.85,393.31,399.53,,,,,,,
1999-09-29 21:53:40.155000,L7,346.54,352.70,362.59,367.60,363.64,353.23,350.33,350.03,343.15,319.70,316.44,351.70,343.83,362.47,370.49,354.81,342.53,338.81,361.77,355.18,355.30,366.03,360.21,355.51,342.67,359.33,355.58,397.88,373.93,381.09,370.34,374.22,374.07,375.10,360.93,328.03,330.52,333.79,318.17,359.13,333.80,
1999-10-24 21:47:20.173000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.96,405.27,397.85,406.70,410.73,402.76,,,,,,,
1999-11-16 21:53:32.114000,L7,384.41,394.81,405.02,402.19,399.70,397.89,399.44,406.57,402.81,,,,394.49,405.44,408.17,390.69,379.84,374.20,380.89,382.34,389.01,393.11,379.70,372.41,378.04,398.41,400.36,401.54,,411.65,416.36,410.75,418.38,410.78,393.36,,,,,,,
2000-04-01 21:46:58.583000,L7,305.26,317.65,344.29,323.30,320.70,297.39,316.92,330.21,357.46,308.78,346.31,361.90,376.49,392.71,409.05,388.18,374.81,367.53,372.95,379.28,385.53,399.32,,381.16,381.63,387.63,392.75,391.96,388.96,402.58,390.88,401.69,,,,340.57,365.37,,,,338.93,
2000-05-19 21:46:31.829000,L7,368.08,375.49,385.64,386.14,380.35,376.38,376.04,367.50,370.13,344.80,349.31,354.47,382.55,392.28,383.54,378.34,357.65,356.96,361.32,365.64,360.00,379.07,369.26,357.80,359.00,375.19,388.75,376.29,381.10,385.66,374.46,375.40,380.19,381.09,367.03,340.96,353.94,349.68,332.73,332.47,331.56,333.04
2000-05-26 21:52:36.566000,L7,359.85,372.22,384.24,385.99,385.05,377.84,379.74,381.80,382.10,367.53,345.54,355.27,366.92,378.10,380.84,371.46,359.05,352.98,362.14,359.32,365.69,371.28,368.84,355.24,359.11,382.57,379.73,375.90,387.60,388.86,384.76,396.02,382.40,383.96,373.11,383.74,354.68,357.56,345.65,338.61,332.90,334.60
2000-07-13 21:52:07.753000,L7,,,,,,381.62,362.57,363.80,364.30,338.89,312.06,332.80,344.19,368.30,396.05,371.65,349.44,360.39,357.58,397.30,356.83,369.57,368.29,354.45,349.62,356.99,351.63,348.17,355.96,372.10,366.55,369.19,368.49,381.36,375.04,322.28,334.50,340.87,325.07,305.40,301.86,310.70
2000-07-29 21:51:50.349000,L7,398.29,430.87,421.53,412.95,423.92,401.77,415.44,359.48,357.76,331.39,314.67,332.65,349.46,370.18,,,363.53,349.65,352.61,352.79,366.37,366.83,357.90,352.40,351.10,370.63,356.38,348.80,356.05,369.45,367.35,360.52,361.55,377.77,371.62,314.36,328.35,333.41,333.69,311.21,310.00,316.24
2000-08-07 21:45:32.940000,L7,343.39,355.25,370.48,369.45,362.83,354.23,351.91,352.73,346.37,328.00,314.93,334.10,367.11,375.86,381.92,364.61,353.40,347.57,348.52,350.01,351.48,359.94,353.77,345.52,349.54,360.74,354.52,355.09,357.17,366.60,361.47,367.42,365.86,372.24,366.99,323.67,330.98,340.39,326.61,311.43,315.37,310.33
2000-08-14 21:51:44.223000,L7,361.65,372.51,386.84,379.47,371.71,357.71,361.62,360.31,348.32,330.88,312.91,337.54,350.97,376.82,380.81,369.91,356.44,350.30,356.41,351.60,361.94,365.07,354.38,345.95,348.02,360.25,353.83,356.68,365.68,376.70,376.00,367.08,370.89,378.39,367.29,321.72,328.29,336.38,320.94,311.52,308.17,306.08
