dates,satname,nzd0270-0000,nzd0270-0001,nzd0270-0002,nzd0270-0003,nzd0270-0004,nzd0270-0005,nzd0270-0006,nzd0270-0007,nzd0270-0008,nzd0270-0009,nzd0270-0010,nzd0270-0011,nzd0270-0012,nzd0270-0013,nzd0270-0014,nzd0270-0015,nzd0270-0016,nzd0270-0017,nzd0270-0018,nzd0270-0019,nzd0270-0020,nzd0270-0021,nzd0270-0022,nzd0270-0023,nzd0270-0024,nzd0270-0025,nzd0270-0026,nzd0270-0027,nzd0270-0028,nzd0270-0029,nzd0270-0030,nzd0270-0031,nzd0270-0032,nzd0270-0033,nzd0270-0034,nzd0270-0035,nzd0270-0036,nzd0270-0037,nzd0270-0038,nzd0270-0039,nzd0270-0040,nzd0270-0041,nzd0270-0042,nzd0270-0043,nzd0270-0044,nzd0270-0045,nzd0270-0046,nzd0270-0047,nzd0270-0048,nzd0270-0049,nzd0270-0050,nzd0270-0051,nzd0270-0052,nzd0270-0053
2001-01-14 21:44:33.150000,L7,290.46,284.87,474.80,454.01,471.40,453.42,473.35,449.63,456.22,251.49,245.14,235.22,260.02,472.23,481.86,473.23,452.24,296.09,282.37,301.15,313.72,305.48,295.80,313.29,249.82,480.22,476.01,479.81,473.94,458.39,249.29,275.38,230.50,213.27,247.69,286.58,266.19,286.10,272.66,265.27,369.01,374.04,358.44,369.61,275.31,253.14,283.27,277.79,301.31,303.97,362.17,354.70,372.31,369.63
2001-04-04 21:44:06.948000,L7,299.45,293.15,341.12,306.94,305.83,299.81,299.66,294.10,309.54,313.61,297.31,300.59,292.50,283.63,295.01,292.02,302.07,317.21,336.75,337.50,345.89,345.60,337.46,339.18,310.83,340.86,319.29,275.30,298.58,261.61,248.71,287.25,282.25,298.89,310.16,321.55,331.64,332.41,339.46,336.18,331.15,334.90,349.76,370.79,339.23,360.87,360.24,365.12,370.10,368.07,373.32,378.03,317.37,297.11
2001-04-20 21:44:10.657000,L7,289.36,290.32,297.59,288.05,307.28,302.31,301.37,296.15,309.76,317.51,297.75,300.59,293.44,284.82,291.06,292.53,302.55,315.83,337.28,340.54,346.87,345.69,345.29,334.68,320.83,336.26,317.50,272.82,301.60,264.86,263.56,287.04,294.04,455.23,459.35,463.44,331.20,337.92,339.01,286.55,335.01,327.18,318.40,310.07,331.27,325.19,344.91,305.37,312.20,332.96,369.55,402.18,325.47,423.21
2001-05-22 21:43:54.652000,L7,,282.77,406.47,509.79,307.30,299.45,307.43,438.62,432.70,492.92,535.57,501.55,463.94,429.69,394.08,301.32,317.50,434.19,477.74,464.50,348.95,351.13,346.10,448.65,492.87,451.62,322.08,321.15,493.54,527.74,504.14,458.41,438.49,451.82,456.90,438.19,346.34,353.70,355.06,370.92,348.22,368.97,355.25,370.69,342.91,341.60,511.00,500.03,490.79,537.22,344.63,315.47,362.21,373.96
2001-07-25 21:43:18.753000,L7,,242.95,301.25,276.92,269.71,237.46,234.04,253.60,255.79,262.19,240.38,304.17,299.10,292.74,292.05,298.05,300.85,276.80,337.42,335.72,346.39,341.04,325.03,324.44,324.09,324.07,188.60,273.91,220.98,278.38,292.18,303.60,258.85,323.76,321.29,344.07,341.62,340.84,351.90,365.82,369.24,354.53,344.68,217.13,205.83,199.20,348.35,354.77,363.28,291.57,355.29,362.30,361.70,381.85
2001-08-10 21:43:00.495000,L7,,277.45,301.38,297.89,304.17,297.91,300.21,303.71,307.97,316.99,304.15,308.76,300.39,295.50,295.46,295.79,305.54,317.67,438.96,452.90,439.96,347.84,342.30,334.73,318.90,332.79,316.10,289.57,279.07,261.04,267.32,403.10,413.23,385.06,427.16,337.88,335.70,347.73,347.69,363.93,368.93,375.84,512.83,506.54,527.10,517.76,486.34,500.43,310.42,310.94,354.82,372.00,337.22,351.69
2001-09-11 21:42:38.257000,L7,325.38,295.00,299.12,315.50,310.05,309.99,309.97,306.00,317.22,319.19,304.40,307.51,309.97,289.51,292.11,295.84,299.62,317.14,330.57,335.20,346.45,373.19,345.20,346.70,325.01,336.61,322.16,306.53,292.76,261.72,278.20,299.63,320.27,316.81,316.14,324.44,332.11,343.24,336.38,336.96,373.43,352.07,363.48,367.29,361.84,354.95,360.80,366.65,376.05,341.20,364.07,376.08,377.64,392.45
2001-09-27 21:42:29.269000,L7,304.28,292.78,288.74,275.73,298.81,292.58,286.80,288.26,294.19,306.72,245.31,237.93,288.92,221.13,279.17,289.45,485.66,496.12,473.29,507.68,493.59,430.93,475.34,456.48,253.12,325.43,313.99,255.19,248.63,384.17,401.15,408.34,408.56,396.79,408.52,405.36,431.55,512.16,520.16,515.35,504.23,247.63,307.73,283.48,277.62,414.13,412.49,417.14,417.31,418.78,331.26,287.16,401.57,419.63
2001-10-13 21:42:15.922000,L7,340.28,324.27,352.39,351.95,371.03,403.47,509.31,503.86,483.42,377.53,372.93,370.26,383.88,400.46,381.92,401.57,381.41,397.24,408.73,404.25,392.86,391.42,405.53,389.22,411.45,396.06,399.72,379.67,374.39,390.34,452.41,430.73,392.00,456.20,393.52,426.64,400.29,417.67,454.18,409.10,402.85,399.88,399.94,395.01,377.80,377.29,387.40,387.89,399.90,380.36,413.76,396.45,402.48,411.25
2001-10-29 21:42:21.289000,L7,327.61,425.15,469.76,466.10,432.50,448.95,500.90,495.52,386.25,381.76,332.81,299.05,376.76,373.89,466.87,486.39,464.78,390.90,405.23,333.87,398.18,404.16,406.27,376.80,432.47,477.06,408.82,348.96,472.78,451.75,481.47,349.40,392.12,381.43,381.30,387.74,404.57,335.30,407.67,408.49,415.00,343.65,350.65,348.38,322.37,376.70,379.15,419.72,424.87,429.03,419.13,389.97,393.31,393.63
