dates,nzd0312-0000,nzd0312-0001,nzd0312-0002,nzd0312-0003,nzd0312-0004,nzd0312-0005,nzd0312-0006,nzd0312-0007,nzd0312-0008,nzd0312-0009,nzd0312-0010,nzd0312-0011,nzd0312-0012,nzd0312-0013,nzd0312-0014,nzd0312-0015,nzd0312-0016,nzd0312-0017,nzd0312-0018,nzd0312-0019,nzd0312-0020,nzd0312-0021,nzd0312-0022,nzd0312-0023,nzd0312-0024,nzd0312-0025,nzd0312-0026,nzd0312-0027,nzd0312-0028,nzd0312-0029,nzd0312-0030,nzd0312-0031,nzd0312-0032,nzd0312-0033,nzd0312-0034,nzd0312-0035,nzd0312-0036,nzd0312-0037,nzd0312-0038,nzd0312-0039,nzd0312-0040,nzd0312-0041,nzd0312-0042,nzd0312-0043,nzd0312-0044,nzd0312-0045,nzd0312-0046,nzd0312-0047,nzd0312-0048,nzd0312-0049,nzd0312-0050,nzd0312-0051,nzd0312-0052,nzd0312-0053,nzd0312-0054,nzd0312-0055,nzd0312-0056,nzd0312-0057,nzd0312-0058,nzd0312-0059,nzd0312-0060,nzd0312-0061,nzd0312-0062,nzd0312-0063,nzd0312-0064,nzd0312-0065,nzd0312-0066,nzd0312-0067,nzd0312-0068,nzd0312-0072,nzd0312-0073,nzd0312-0074,nzd0312-0088,nzd0312-0089,nzd0312-0090,nzd0312-0091,nzd0312-0092,nzd0312-0093,nzd0312-0094,nzd0312-0095,nzd0312-0096,nzd0312-0097,nzd0312-0098,nzd0312-0099,nzd0312-0100,nzd0312-0101,nzd0312-0102,nzd0312-0103,nzd0312-0104,nzd0312-0105,nzd0312-0106,nzd0312-0107,nzd0312-0108,nzd0312-0109,nzd0312-0110,nzd0312-0111,nzd0312-0112,nzd0312-0124,nzd0312-0125,nzd0312-0126,nzd0312-0127,nzd0312-0128,nzd0312-0129,nzd0312-0130,nzd0312-0131,nzd0312-0132,nzd0312-0069,nzd0312-0070,nzd0312-0071,nzd0312-0075,nzd0312-0076,nzd0312-0077,nzd0312-0078,nzd0312-0079,nzd0312-0080,nzd0312-0081,nzd0312-0082,nzd0312-0083,nzd0312-0084,nzd0312-0085,nzd0312-0086,nzd0312-0087,nzd0312-0113,nzd0312-0114,nzd0312-0115,nzd0312-0116,nzd0312-0117,nzd0312-0118,nzd0312-0119,nzd0312-0120,nzd0312-0121,nzd0312-0122,nzd0312-0123,nzd0312-0133,nzd0312-0134,nzd0312-0135,nzd0312-0136,satname
1999-08-21 21:47:20.968,477.19,504.9,508.56,490.99,,521.15,,467.03,423.78,446.44,447.25,,,409.26,445.7,467.1,436.11,449.56,,,,,,,,,,,426.32,439.13,461.24,,440.81,,,,,,,,,513.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.33,503.31,498.84,505.41,505.03,,,492.99,,510.68,528.79,506.3,482.2,496.79,489.8,,502.76,496.78,485.51,412.76,423.54,402.42,,,502.06,460.42,,,,,,,,517.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-22 21:47:24.746,495.95000000000005,508.95,511.16499999999996,509.2,,522.575,,483.05999999999995,409.865,427.945,443.37,,395.61,389.97,454.995,479.23,446.73,453.655,,,,,,,,242.86,250.08,230.89,426.275,423.865,465.805,,428.53999999999996,431.41,435.41,,448.98,502.37,,,494.95,508.345,419.02,,,,,,,,,,,,,506.2,448.05,439.71,440.9,442.51,436.86,,,,,,,,,,,,519.985,511.345,498.67999999999995,498.48,505.005,,,495.99,,509.24,520.865,504.425,494.72,501.38,491.115,,512.785,497.74,480.095,427.155,437.1,415.735,,,489.04499999999996,476.69,493.38,,464.61,,,,,512.64,,,,,,,,,,,,,,,,,,,,370.73,,,476.5,512.51,,519.37,,,,,,L7
1999-09-29 21:53:40.155,495.95000000000005,508.95,511.16499999999996,509.2,,522.575,,483.05999999999995,409.865,427.945,443.37,,406.32,402.25333333333333,451.49666666666667,479.23,446.73,453.655,,,,,,,,242.86,250.08,230.89,426.275,423.865,477.14000000000004,,423.81,432.05,431.71500000000003,,447.82500000000005,489.53,,,501.52,510.65000000000003,420.87,,,,474.47,,,498.5,485.11,,,,,500.185,457.005,441.88,458.58,455.475,439.92,,,,,,,,,,,,519.985,511.345,498.67999999999995,498.48,505.005,,,495.99,,509.24,520.865,504.425,494.72,501.38,491.115,,512.785,497.74,480.095,427.155,437.1,415.735,,,489.04499999999996,476.69,475.11,,479.8,405.88,,,393.39,512.64,,,,,,,,,,,,,,,,,,,,354.84000000000003,,,463.03,512.51,,519.37,,488.27,473.47,,,L7
1999-10-24 21:47:20.173,495.95000000000005,508.95,511.16499999999996,509.2,339.76,522.575,313.96,483.05999999999995,409.865,427.945,443.37,,406.32,405.4675,451.49666666666667,479.23,453.77333333333337,465.3066666666667,,,,,,,361.25,240.97000000000003,244.985,225.33999999999997,426.275,423.865,477.14000000000004,366.57,423.81,432.05,431.71500000000003,,429.7966666666667,489.53,,,501.52,510.65000000000003,420.87,,417.59,410.79,458.985,424.2,,500.15999999999997,499.18,391.52,,,,500.185,457.005,441.88,458.58,455.475,439.92,,380.18,,,,,,,,,,508.24333333333334,511.345,498.67999999999995,477.80333333333334,505.005,,,495.5466666666667,,502.40000000000003,515.2166666666667,495.77666666666664,491.83666666666664,499.52666666666664,494.00666666666666,509.38,508.4266666666667,485.31666666666666,473.1233333333333,432.41,437.1,418.51,,,489.04499999999996,476.69,481.3533333333333,,479.8,405.88,,,407.9,512.64,,,,,,,,,,483.83,,487.81,476.94,,,,,,,354.84000000000003,395.99,,463.03,498.435,393.62,501.41499999999996,,470.55499999999995,457.475,,401.92,L7
1999-11-16 21:53:32.114,495.95000000000005,508.95,511.16499999999996,509.2,359.235,522.575,325.80499999999995,483.05999999999995,409.865,427.945,443.37,,405.8233333333333,403.336,451.7175,479.23,453.77333333333337,465.3066666666667,,,,401.87,,,370.16999999999996,240.97000000000003,244.985,225.33999999999997,416.49333333333334,417.53999999999996,477.14000000000004,376.125,419.655,420.33666666666664,419.6466666666667,,426.3675,489.53,435.47,,501.52,510.65000000000003,426.28000000000003,,423.615,420.53,441.0733333333333,414.07,,500.15999999999997,499.18,406.245,,,,490.7166666666667,457.005,430.1033333333333,458.58,459.3066666666667,449.8,454.67,399.87,,463.85,,,,,,,,508.24333333333334,511.345,498.67999999999995,462.105,505.005,,,487.4425,,490.78000000000003,515.2166666666667,482.305,491.83666666666664,499.52666666666664,494.00666666666666,508.2,508.4266666666667,485.31666666666666,473.1233333333333,432.41,437.1,418.51,,,489.04499999999996,476.69,481.3533333333333,,479.8,405.88,,,407.9,512.64,,,,,,,,,,466.185,,468.55,467.46000000000004,,,,,,,354.84000000000003,395.99,,463.03,498.435,393.62,501.41499999999996,,470.55499999999995,457.475,,401.92,L7
2000-01-12 21:47:18.340,495.95000000000005,508.95,506.0333333333333,509.2,367.8233333333333,522.575,335.8333333333333,483.05999999999995,409.865,427.945,443.37,,405.8233333333333,403.336,451.7175,479.23,453.77333333333337,465.3066666666667,513.97,,,401.87,,,370.16999999999996,247.4766666666667,233.32666666666668,225.33999999999997,416.49333333333334,417.53999999999996,477.14000000000004,376.125,419.655,420.33666666666664,419.6466666666667,,426.3675,489.53,435.055,,505.28,505.5875,434.7025,,423.615,420.53,441.0733333333333,414.07,,500.15999999999997,499.18,406.245,,,,490.7166666666667,457.005,430.1033333333333,454.7366666666667,459.3066666666667,454.775,470.515,418.22333333333336,,481.18,,,,,,,,508.24333333333334,511.345,498.67999999999995,462.105,505.005,,,487.4425,,490.78000000000003,515.2166666666667,482.305,491.83666666666664,499.52666666666664,494.00666666666666,508.2,508.4266666666667,485.31666666666666,473.1233333333333,432.41,437.1,418.51,,,489.04499999999996,476.69,481.3533333333333,,453.96333333333337,404.98,408.89,,407.9,512.64,,,,,,,,,,466.185,,468.55,467.46000000000004,,,,,,,354.84000000000003,397.20000000000005,391.72,463.03,498.435,393.62,501.41499999999996,,455.16,438.23333333333335,,388.20000000000005,L7
2000-01-19 21:53:25.812,495.9666666666667,506.58666666666664,502.48499999999996,502.40333333333336,367.8233333333333,522.575,335.8333333333333,481.18666666666667,409.865,427.945,443.37,478.38,405.8233333333333,403.336,451.7175,464.9766666666667,453.77333333333337,480.5175,512.065,507.75,,407.245,,,401.34999999999997,247.4766666666667,233.32666666666668,248.33333333333334,416.49333333333334,417.53999999999996,487.46750000000003,376.125,419.655,420.33666666666664,419.6466666666667,,426.3675,489.53,435.055,,505.28,505.5875,434.7025,345.18,423.615,420.53,441.0733333333333,414.07,,500.15999999999997,499.18,406.245,,,,490.7166666666667,457.005,430.1033333333333,454.7366666666667,459.3066666666667,454.775,470.515,418.22333333333336,,481.18,,,,,,,,508.24333333333334,511.345,498.67999999999995,462.105,505.005,,,476.17600000000004,502.43,478.046,515.2166666666667,485.87,490.8775,490.1575,488.3075,497.87999999999994,508.4266666666667,485.31666666666666,473.1233333333333,432.41,437.1,418.51,,,489.04499999999996,476.69,481.3533333333333,389.1,444.725,414.93,417.27,413.93,411.5733333333333,512.64,,,,,,,,,,466.185,,468.55,467.46000000000004,,,377.77,,,,357.7733333333333,391.58666666666664,401.15,451.68,498.435,391.14,501.41499999999996,,447.19,432.685,402.65,386.41333333333336,L7
2000-05-03 21:46:43.127,496.0,501.86,493.80499999999995,488.81,381.855,,338.5533333333333,477.44,,,,489.83500000000004,404.83,394.81,355.685,324.16,,526.15,512.065,514.0350000000001,,407.245,,,452.75666666666666,260.49,210.01,390.89,440.345,404.89,501.225,385.68,407.19,396.91,395.51,472.1,416.08,514.97,435.055,512.36,520.88,507.3,448.53499999999997,335.095,429.64,430.27,405.25,403.94,253.89,,,446.32000000000005,,,,486.29499999999996,488.6,406.55,447.05,466.97,469.62999999999994,470.515,439.47333333333336,,481.18,463.84,,,,,,,486.4,491.22,493.02,397.76,484.77,467.34,466.75,455.5333333333333,501.065,441.515,,471.1133333333333,468.98,460.08000000000004,468.28999999999996,485.6366666666666,,471.09,475.23,,474.7,474.69,,496.07,510.63,525.11,499.38,391.365,410.6966666666667,421.7166666666667,418.22333333333336,416.72,422.58500000000004,,510.26,,,474.3,479.43,,495.25,,,463.775,490.66,464.07000000000005,473.125,,,392.97,463.3,452.79,,363.64,389.385,401.15,428.98,491.52,389.95000000000005,499.09,,428.7066666666667,411.3933333333334,404.86,384.3666666666666,L7
2000-05-19 21:46:31.829,503.28499999999997,511.645,493.80499999999995,488.81,385.0,,339.005,477.44,,,440.07,489.83500000000004,,,257.525,285.22333333333336,,493.5199999999999,497.83,514.0350000000001,461.53,412.62,,464.89,487.09,355.84000000000003,338.96,412.14000000000004,467.63,444.55,501.225,,431.46,431.99,,459.17,455.87,514.97,450.655,493.805,508.7133333333333,507.3,468.485,335.095,454.99,455.18,440.98,,254.635,,,468.65,,,,500.81,488.6,,447.05,,469.7,486.36,449.43000000000006,,488.935,461.605,,,,,,,486.4,491.22,493.02,380.51,492.21,476.63,469.78,462.0133333333333,482.50666666666666,427.11,513.81,492.75666666666666,468.98,469.99666666666667,474.4266666666667,483.8,505.67,486.88,475.23,459.12,466.985,469.145,458.94,508.19500000000005,510.63,525.11,499.38,390.78999999999996,411.535,420.425,418.22333333333336,416.72,422.58500000000004,525.38,495.775,,,472.885,482.905,496.26,486.615,519.84,518.45,504.69000000000005,486.22,478.85,488.27,,390.39,395.08666666666664,472.33000000000004,462.94500000000005,,363.64,389.385,401.15,428.98,491.52,389.95000000000005,499.09,,427.635,408.4375,398.6766666666667,382.09749999999997,L7
2000-05-26 21:52:36.566,503.28499999999997,511.645,493.80499999999995,496.49,432.815,,339.005,472.23,,452.85,449.41499999999996,489.83500000000004,,,255.07666666666668,262.9175,,482.99999999999994,498.0975,514.49,469.245,412.62,,473.03999999999996,488.985,397.75,383.17333333333335,428.3575,463.37000000000006,444.55,485.40333333333336,,431.46,431.99,,459.17,455.87,514.97,450.655,492.1166666666666,508.7,507.3,468.485,335.095,463.255,455.18,440.98,,254.635,,,456.67333333333335,436.8,,,500.81,488.6,422.48,430.78499999999997,410.33,462.57,486.36,449.43000000000006,,488.935,461.605,,,,,,,486.4,491.22,473.475,380.51,492.21,476.63,457.55,461.755,482.245,425.815,513.81,492.75666666666666,458.5533333333333,469.99666666666667,468.0625,478.385,499.92,486.88,475.23,459.12,460.7966666666666,463.92,468.62,504.24666666666667,510.63,525.11,484.075,394.3775,411.535,420.425,418.22333333333336,416.72,422.58500000000004,525.38,495.775,,,472.885,482.905,483.91499999999996,486.615,503.86,505.66,501.5833333333333,487.34999999999997,478.85,491.65,,379.405,395.08666666666664,472.33000000000004,462.94500000000005,389.89,363.64,389.385,401.15,428.98,491.52,389.95000000000005,499.09,,418.308,399.246,389.2175,374.302,L7
