dates,satname,nzd0312-0000,nzd0312-0001,nzd0312-0002,nzd0312-0003,nzd0312-0004,nzd0312-0005,nzd0312-0006,nzd0312-0007,nzd0312-0008,nzd0312-0009,nzd0312-0010,nzd0312-0011,nzd0312-0021,nzd0312-0022,nzd0312-0023,nzd0312-0024,nzd0312-0025,nzd0312-0026,nzd0312-0027,nzd0312-0028,nzd0312-0120,nzd0312-0121,nzd0312-0122,nzd0312-0123,nzd0312-0124,nzd0312-0125,nzd0312-0092,nzd0312-0093,nzd0312-0094,nzd0312-0095,nzd0312-0096,nzd0312-0097,nzd0312-0098,nzd0312-0128,nzd0312-0129,nzd0312-0130,nzd0312-0044,nzd0312-0045,nzd0312-0046,nzd0312-0047,nzd0312-0048,nzd0312-0035,nzd0312-0036,nzd0312-0037,nzd0312-0038,nzd0312-0126,nzd0312-0127,nzd0312-0131,nzd0312-0117,nzd0312-0118,nzd0312-0029,nzd0312-0030,nzd0312-0090,nzd0312-0091,nzd0312-0031,nzd0312-0032,nzd0312-0119,nzd0312-0099,nzd0312-0110,nzd0312-0111,nzd0312-0112,nzd0312-0113,nzd0312-0114,nzd0312-0018,nzd0312-0019,nzd0312-0020,nzd0312-0012,nzd0312-0070,nzd0312-0071,nzd0312-0072,nzd0312-0073,nzd0312-0074,nzd0312-0075,nzd0312-0013,nzd0312-0014,nzd0312-0079,nzd0312-0080,nzd0312-0081,nzd0312-0082,nzd0312-0083,nzd0312-0084,nzd0312-0085,nzd0312-0086,nzd0312-0087,nzd0312-0088,nzd0312-0089,nzd0312-0100,nzd0312-0101,nzd0312-0102,nzd0312-0103,nzd0312-0104,nzd0312-0115,nzd0312-0116,nzd0312-0132,nzd0312-0015,nzd0312-0016,nzd0312-0017,nzd0312-0043,nzd0312-0107,nzd0312-0108,nzd0312-0109,nzd0312-0105,nzd0312-0039,nzd0312-0040,nzd0312-0041,nzd0312-0133,nzd0312-0134,nzd0312-0135,nzd0312-0136,nzd0312-0033,nzd0312-0106,nzd0312-0034,nzd0312-0078,nzd0312-0076,nzd0312-0077
1999-08-21 21:47:20.968000,L7,245.35,254.68,205.26,189.69,164.63,193.40,156.51,189.88,185.83,167.63,200.89,230.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-29 21:53:40.155000,L7,248.55,243.62,199.41,192.94,185.31,166.41,154.58,200.05,214.52,162.66,275.59,,269.63,250.43,210.24,165.49,147.92,114.09,129.21,108.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-12 21:47:18.340000,L7,,,,,,,,,,,,,,,,,,,,,,242.98,246.84,252.64,270.70,,,,,,,,,338.04,334.06,353.20,,,,,,,,,,,338.02,,,,,,,,,,,,,,,,,162.38,213.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-19 21:53:25.812000,L7,298.31,265.22,,,,,,,,,,,,,,,,,,,315.36,216.28,210.37,234.61,204.46,268.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-03 21:46:43.127000,L7,,,333.35,191.02,197.44,224.32,161.88,177.84,186.62,166.25,206.56,228.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-19 21:46:31.829000,L7,,,190.81,184.58,181.67,203.85,155.70,173.76,183.17,162.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-13 21:52:07.753000,L7,,,,,,,,,,,,194.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.04,,,,,,,,,,,,,,,,,,,,,,278.47,,,,,,,289.36,256.05,,,,,,,,,,,,,,,,,,,,176.19,,,,,,,,82.92,35.23,14.02,,,,,,,,,,
2000-07-29 21:51:50.349000,L7,,260.41,211.03,189.86,189.36,221.26,160.49,189.43,183.74,163.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-07 21:45:32.940000,L7,240.87,259.74,203.24,188.06,181.83,196.70,155.94,185.29,178.80,158.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-14 21:51:44.223000,L7,351.61,317.43,213.65,192.06,203.45,219.98,161.95,185.59,182.67,161.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-15 21:51:13.624000,L7,252.67,249.58,247.12,213.28,215.81,206.13,189.70,,,,,,,,,,,,,,,,,,,,316.78,322.65,354.18,355.19,363.72,362.78,373.41,255.60,308.73,354.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-04 21:50:58.069000,L7,,,,,,,,,,,,,,,,,,,,,259.01,203.28,221.18,205.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-05 21:51:04.492000,L7,,,,,,,,,,,,,,,,,,,,,,,,225.87,261.39,331.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-14 21:44:57.122000,L7,315.28,303.92,281.25,249.40,233.79,210.69,,,,,,,,,,,,,,,,275.75,263.04,248.26,271.06,,,,,,,,,,,,139.60,158.13,170.72,180.92,173.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-21 21:51:10.359000,L7,,,,,,,,,,,,,,,,,,,,,312.08,257.50,253.61,242.05,276.42,312.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
