dates,nzd0050-0000,nzd0050-0001,nzd0050-0002,satname
1999-11-14 22:04:18+00:00,,382.8,361.12,L7
2000-04-29 22:09:53+00:00,,382.8,358.1,L7
2000-05-24 22:03:22+00:00,,385.91,357.98,L7
2000-08-03 22:08:44+00:00,308.26,385.91,357.98,L7
2000-08-12 22:02:30+00:00,308.26,376.06500000000005,359.41333333333336,L7
2000-08-19 22:08:38+00:00,308.26,376.06500000000005,366.98249999999996,L7
2001-03-08 22:01:45+00:00,274.8,,,L7
2001-03-24 22:01:35+00:00,274.8,351.96,350.08,L7
2001-06-19 22:07:05+00:00,267.27,351.96,350.08,L7
2001-08-15 22:00:14+00:00,267.27,351.96,355.515,L7
2001-11-19 21:59:56+00:00,259.74,353.54,356.695,L7
2001-12-05 21:59:55+00:00,249.8,353.54,356.695,L7
2001-12-21 22:00:05+00:00,232.815,353.54,355.33,L7
2002-01-22 22:00:16+00:00,232.815,353.54,356.6725,L7
2002-02-23 22:00:19+00:00,232.815,353.72,355.90999999999997,L7
2002-03-27 22:00:13+00:00,232.815,353.72,355.604,L7
2002-07-17 21:59:44+00:00,,354.245,355.255,L7
2002-09-19 21:59:11+00:00,,361.965,354.48333333333335,L7
2002-10-12 22:05:14+00:00,,359.0733333333333,357.53666666666663,L7
2002-11-22 21:59:33+00:00,,358.26,358.765,L7
2003-03-30 22:00:07+00:00,,356.2266666666667,361.34,L7
2003-04-06 22:06:21+00:00,,356.2266666666667,362.7875,L7
2003-04-22 22:06:19+00:00,,357.69500000000005,362.38,L7
2003-05-24 22:06:17+00:00,241.85,359.57,362.3566666666666,L7
2003-08-29 21:48:38+00:00,302.675,357.85,357.0125,L5
2004-04-16 21:57:19+00:00,369.17,361.96,352.65,L5
2004-05-18 21:58:14+00:00,369.265,358.635,349.03499999999997,L5
2004-06-12 21:52:47+00:00,366.43333333333334,356.0933333333333,343.6266666666667,L5
2004-07-21 22:00:04+00:00,368.65250000000003,360.08,347.4675,L5
2004-07-30 21:54:04+00:00,366.47200000000004,358.496,344.622,L5
2004-10-18 21:55:59+00:00,364.53599999999994,357.466,341.15,L5
2005-01-13 22:03:41+00:00,366.885,362.3125,346.30499999999995,L5
2005-02-23 21:58:07+00:00,367.23999999999995,362.525,342.76,L5
2005-03-02 22:04:24+00:00,367.23999999999995,362.525,340.6175,L5
2005-03-27 21:58:27+00:00,361.50333333333333,355.99666666666667,338.448,L5
2005-04-03 22:04:40+00:00,363.1825,357.145,339.57,L5
2005-04-12 21:58:31+00:00,363.1825,355.534,338.75,L5
2005-06-06 22:05:05+00:00,365.67,356.07,340.34999999999997,L5
2005-08-25 22:05:41+00:00,362.8775,353.952,340.18333333333334,L5
2005-09-26 22:05:42+00:00,366.41,356.93199999999996,344.98400000000004,L5
2005-10-05 21:59:29+00:00,365.2025,356.396,344.854,L5
2005-11-13 22:05:57+00:00,364.65999999999997,357.20799999999997,347.196,L5
2006-02-10 22:01:51+00:00,361.946,355.324,345.128,L5
2006-03-14 22:02:31+00:00,358.21,352.33000000000004,341.06000000000006,L5
2006-04-06 22:09:08+00:00,356.855,348.6333333333334,340.0125,L5
2006-05-17 22:03:33+00:00,356.51,339.71666666666664,335.0625,L5
2006-06-25 22:10:20+00:00,358.35600000000005,344.685,337.48,L5
2006-08-12 22:10:59+00:00,361.05,346.86,340.098,L5
2006-09-13 22:11:23+00:00,365.16400000000004,349.8225,342.156,L5
