dates,satname,nzd0351-0000,nzd0351-0001,nzd0351-0002,nzd0351-0003,nzd0351-0004,nzd0351-0005,nzd0351-0006,nzd0351-0007,nzd0351-0008,nzd0351-0009,nzd0351-0010,nzd0351-0011,nzd0351-0012,nzd0351-0013,nzd0351-0014,nzd0351-0015,nzd0351-0016,nzd0351-0017,nzd0351-0018,nzd0351-0019,nzd0351-0020,nzd0351-0021,nzd0351-0022,nzd0351-0023,nzd0351-0024,nzd0351-0025,nzd0351-0026,nzd0351-0027,nzd0351-0028,nzd0351-0029,nzd0351-0030,nzd0351-0031,nzd0351-0032,nzd0351-0033,nzd0351-0034,nzd0351-0035,nzd0351-0036,nzd0351-0037,nzd0351-0038,nzd0351-0039,nzd0351-0040,nzd0351-0041,nzd0351-0042,nzd0351-0043,nzd0351-0044,nzd0351-0045,nzd0351-0046,nzd0351-0047,nzd0351-0048,nzd0351-0049,nzd0351-0050,nzd0351-0051,nzd0351-0052,nzd0351-0053,nzd0351-0054,nzd0351-0055,nzd0351-0056,nzd0351-0057,nzd0351-0058,nzd0351-0059,nzd0351-0060,nzd0351-0061,nzd0351-0062,nzd0351-0063,nzd0351-0064,nzd0351-0065,nzd0351-0066,nzd0351-0067,nzd0351-0068,nzd0351-0069,nzd0351-0070,nzd0351-0071,nzd0351-0072,nzd0351-0073,nzd0351-0074,nzd0351-0075,nzd0351-0076,nzd0351-0077,nzd0351-0078,nzd0351-0079,nzd0351-0080,nzd0351-0081,nzd0351-0082,nzd0351-0083,nzd0351-0084,nzd0351-0085,nzd0351-0086,nzd0351-0087,nzd0351-0088,nzd0351-0089,nzd0351-0090,nzd0351-0091,nzd0351-0092,nzd0351-0093,nzd0351-0094,nzd0351-0095,nzd0351-0096,nzd0351-0097,nzd0351-0098,nzd0351-0099,nzd0351-0100,nzd0351-0101,nzd0351-0102,nzd0351-0103,nzd0351-0104,nzd0351-0105,nzd0351-0106,nzd0351-0107,nzd0351-0108,nzd0351-0109,nzd0351-0110,nzd0351-0111,nzd0351-0112,nzd0351-0113,nzd0351-0114,nzd0351-0115,nzd0351-0116,nzd0351-0117,nzd0351-0118,nzd0351-0119,nzd0351-0120,nzd0351-0121,nzd0351-0122,nzd0351-0123,nzd0351-0124,nzd0351-0125,nzd0351-0126,nzd0351-0127,nzd0351-0128,nzd0351-0129,nzd0351-0130,nzd0351-0131,nzd0351-0132,nzd0351-0133,nzd0351-0134,nzd0351-0135,nzd0351-0136,nzd0351-0137,nzd0351-0138,nzd0351-0139,nzd0351-0140,nzd0351-0141,nzd0351-0142,nzd0351-0143,nzd0351-0144,nzd0351-0145,nzd0351-0146,nzd0351-0147,nzd0351-0148,nzd0351-0149,nzd0351-0150,nzd0351-0151,nzd0351-0152,nzd0351-0153,nzd0351-0154,nzd0351-0155,nzd0351-0156,nzd0351-0157,nzd0351-0158,nzd0351-0159,nzd0351-0160,nzd0351-0161,nzd0351-0162,nzd0351-0163,nzd0351-0164,nzd0351-0165,nzd0351-0166,nzd0351-0167,nzd0351-0168,nzd0351-0169,nzd0351-0170,nzd0351-0171,nzd0351-0172
1999-08-17 22:12:26.065000,L7,400.26,370.23,260.52,232.09,226.56,309.55,332.43,383.55,349.78,418.74,428.70,451.63,462.36,483.72,431.49,469.75,474.48,467.13,456.38,444.86,460.69,430.91,411.08,447.66,461.33,485.69,488.43,506.08,517.56,491.35,464.19,456.69,475.95,520.83,552.97,498.81,490.32,507.27,543.42,506.68,488.43,474.20,471.63,421.76,411.39,416.10,399.01,367.85,374.53,390.83,377.94,380.02,375.59,359.66,361.78,378.72,385.00,394.03,380.55,340.27,385.01,373.34,384.13,393.44,387.91,379.37,422.41,436.36,422.25,416.73,344.46,353.61,342.32,348.17,355.18,367.26,366.70,366.86,357.41,365.38,356.33,362.41,383.13,382.03,385.07,389.66,419.77,412.23,511.46,522.89,502.11,530.63,535.32,530.58,532.85,535.57,393.33,390.67,403.65,402.78,415.54,417.24,416.29,386.09,384.05,369.41,380.07,378.62,389.55,392.24,403.46,424.07,440.83,448.23,429.61,405.74,392.84,404.95,406.16,397.74,397.43,402.08,398.06,407.30,405.12,392.62,383.20,387.99,374.80,397.25,404.59,383.95,395.70,426.55,450.14,445.61,387.37,379.90,390.26,387.33,401.21,408.15,405.02,414.96,412.74,421.26,416.55,409.53,377.83,378.62,369.72,390.04,397.60,410.60,415.07,415.13,458.89,434.95,414.95,379.88,387.78,375.78,367.60,356.12,365.21,326.84,322.72,335.86,349.52,373.07,395.68,400.55,430.08
1999-08-26 22:06:20.800000,L7,479.08,309.76,215.97,181.25,,,,,,,,,,,195.29,202.65,239.51,233.81,233.76,228.45,232.68,,,204.29,202.41,197.93,205.75,256.13,202.31,196.15,220.74,199.55,205.13,216.39,228.60,306.16,223.61,221.42,210.41,213.81,216.48,328.59,224.75,285.98,200.05,187.05,189.93,194.97,195.91,249.61,259.05,268.28,195.73,200.25,204.99,205.40,212.48,246.91,190.85,189.91,195.04,197.18,197.49,197.08,202.21,194.02,207.97,190.11,255.55,172.92,171.26,171.27,188.29,194.67,197.69,200.56,263.10,274.84,274.38,290.97,,,,,,171.40,169.95,167.60,183.92,185.21,196.79,192.22,,,,,,157.01,171.63,170.26,183.92,193.71,183.67,167.01,179.17,178.36,177.14,,,248.23,248.84,260.16,199.47,262.98,246.04,362.99,359.64,175.08,182.50,177.83,188.01,246.98,195.41,190.69,190.49,172.93,191.76,219.94,221.93,242.47,199.22,294.58,334.86,322.10,340.14,,,,,,,,,,,325.22,289.79,284.77,,187.06,231.21,189.56,180.63,,,,,,,,,,,,,,180.47,192.31,188.98,259.65,296.96,305.37,
1999-09-18 22:12:27.821000,L7,346.31,351.28,281.84,250.69,219.00,216.70,226.25,228.44,480.96,467.97,413.08,458.20,464.91,262.49,507.55,439.15,287.38,512.69,502.72,521.51,514.21,512.67,508.68,488.04,506.16,416.40,439.78,437.80,417.75,390.31,330.88,317.95,335.70,344.58,428.93,516.17,524.27,495.00,496.73,514.02,425.49,422.80,418.81,416.71,413.36,436.10,430.52,447.31,455.57,440.31,440.76,428.43,437.14,424.36,420.54,403.71,415.43,244.69,410.06,428.20,431.04,398.78,316.76,451.03,303.27,446.72,380.76,427.71,379.11,418.34,414.68,546.85,533.97,539.15,524.59,515.00,529.36,515.20,538.74,206.92,211.28,196.97,432.58,183.95,191.74,430.85,201.39,424.87,269.69,274.35,412.56,411.62,362.26,401.66,398.11,366.46,206.26,434.49,208.96,212.68,433.34,441.73,449.59,433.80,414.76,431.34,214.23,430.12,344.28,437.01,224.40,304.88,465.81,466.86,480.41,485.09,463.09,452.46,447.21,445.43,310.89,435.75,436.58,438.41,434.64,431.56,433.99,435.01,445.86,451.83,440.51,421.61,313.13,444.34,443.25,326.11,461.10,467.77,320.94,305.77,453.31,450.88,451.62,465.46,453.72,452.01,451.16,211.44,455.29,421.84,466.09,462.01,319.15,348.99,193.56,442.09,404.74,416.70,449.61,443.15,426.39,362.35,383.40,415.77,392.01,386.70,374.08,388.05,174.87,193.94,202.60,204.57,212.69
1999-10-13 22:06:24.714000,L7,273.49,247.56,238.24,484.66,318.37,455.80,478.17,489.74,357.22,357.19,369.03,304.88,286.62,295.83,300.15,209.35,194.16,192.03,198.27,184.06,189.19,185.22,180.52,193.24,183.30,191.76,189.90,193.89,190.05,178.16,190.86,190.08,192.65,188.78,191.65,178.50,197.89,193.32,193.35,193.93,192.70,236.09,181.35,181.14,299.78,320.79,306.62,385.09,386.09,391.03,393.91,349.72,311.12,276.70,256.20,265.96,307.31,249.23,257.34,296.06,421.12,280.89,400.75,411.93,320.73,335.11,352.99,245.94,229.22,223.06,272.95,321.18,372.20,268.74,249.42,282.33,317.78,232.59,292.72,235.06,237.80,373.95,248.61,246.39,289.13,396.77,390.82,399.11,408.12,298.39,289.05,291.21,289.60,317.85,328.07,344.03,290.71,417.81,406.60,398.01,373.89,316.73,369.95,372.99,398.37,375.86,381.52,378.20,387.49,400.41,355.24,376.83,413.41,399.87,404.97,404.43,457.78,454.07,431.87,448.32,437.18,434.07,424.71,464.63,404.23,188.47,355.27,403.14,416.36,412.28,336.66,216.92,386.14,278.16,286.84,288.95,347.33,373.14,250.11,211.70,261.67,263.04,343.16,413.87,232.01,480.51,258.44,255.70,303.38,466.39,376.70,287.35,307.65,377.07,299.58,305.99,384.48,202.80,313.24,438.64,442.72,498.82,381.28,445.88,394.76,191.24,211.45,186.91,223.44,239.88,251.10,495.01,512.97
1999-11-21 22:12:24.026000,L7,,,,,,,197.43,192.54,192.67,211.50,275.37,,,208.18,211.07,221.05,178.52,227.30,217.69,229.36,,,,201.94,191.13,198.62,188.93,,217.12,212.02,206.63,215.08,210.65,224.36,226.70,208.19,,,,,228.24,236.50,299.69,297.15,245.71,225.85,257.00,226.18,229.41,232.45,249.50,252.82,229.35,219.07,213.94,223.35,222.84,211.70,217.12,234.94,226.15,222.11,287.20,287.49,268.56,191.94,223.65,176.20,174.73,180.90,184.35,180.19,187.32,198.44,203.17,186.44,167.59,176.88,194.88,195.66,207.70,215.17,231.97,234.52,222.77,230.23,275.63,243.84,226.47,181.50,171.57,186.83,178.13,191.60,197.83,185.30,181.92,181.65,170.03,218.42,172.43,199.41,197.49,200.10,244.94,199.22,197.25,196.05,205.66,215.84,200.49,217.20,203.75,204.27,215.10,225.31,208.92,269.23,214.34,224.49,222.27,229.66,206.48,161.32,172.03,173.68,195.14,190.29,199.37,196.56,232.21,193.99,198.42,197.18,206.62,202.37,212.47,210.03,207.27,191.19,301.83,327.75,339.08,347.88,,,216.89,240.66,237.69,186.61,180.65,179.35,178.59,,,,,,,,,,,,,,,,,,,,
2000-01-17 22:06:11.705000,L7,358.35,413.36,409.69,340.15,298.87,276.74,279.78,383.34,390.70,399.50,416.10,431.17,259.46,347.08,371.49,309.35,335.36,334.45,343.55,362.97,350.84,360.48,370.65,347.52,358.98,320.78,230.92,393.16,382.54,385.02,385.53,378.22,354.45,332.85,370.42,243.26,260.62,265.48,241.70,229.87,231.36,229.56,215.54,212.74,209.43,221.80,217.80,231.34,223.79,217.51,212.20,204.00,200.87,203.71,214.52,207.65,203.79,193.55,194.49,200.71,205.76,208.08,203.82,196.28,193.40,198.55,206.99,204.08,199.24,196.62,193.51,192.09,190.64,188.96,200.88,194.25,204.81,200.73,189.32,181.05,187.20,182.73,192.05,182.62,179.57,177.33,179.39,172.26,178.84,175.62,176.67,174.77,177.22,225.15,251.99,279.84,271.36,282.58,285.06,301.83,318.93,270.25,194.42,192.31,187.33,181.65,263.25,260.27,279.22,301.03,409.85,227.09,253.06,258.29,273.84,300.67,282.93,370.08,352.40,308.58,266.48,276.19,321.00,314.87,345.74,390.42,409.35,372.85,373.33,407.47,356.60,363.60,409.19,412.42,418.46,268.22,174.89,179.34,177.65,180.48,185.91,200.80,184.89,174.46,180.03,237.83,182.12,186.10,183.90,183.63,257.51,252.52,403.67,371.74,344.35,,,,,,273.08,319.25,331.77,323.60,273.45,209.52,200.95,222.46,222.12,167.32,180.69,194.74,212.93
2000-02-18 22:06:05.064000,L7,545.29,307.89,281.41,276.03,296.15,244.16,243.27,252.44,264.67,268.25,256.82,271.15,318.76,321.85,315.37,291.06,281.84,276.42,258.83,284.04,244.31,252.44,257.69,251.19,260.14,276.84,254.82,277.25,279.82,269.89,291.22,300.14,282.09,297.65,267.95,259.29,274.91,276.72,267.65,282.88,296.18,313.47,267.94,269.34,263.46,266.74,268.32,271.63,280.02,271.67,277.97,288.03,283.84,290.44,258.11,260.72,254.05,255.04,267.54,260.51,264.41,267.73,279.27,266.43,247.50,244.77,248.64,255.42,246.54,257.01,250.58,267.76,238.09,249.89,277.74,247.71,267.75,253.14,233.26,244.72,251.50,259.50,255.95,254.13,259.41,242.50,253.54,239.57,220.21,248.38,254.55,237.40,270.22,336.29,229.02,240.12,238.79,230.04,216.58,252.94,261.54,282.60,266.37,344.52,400.96,279.06,302.28,273.96,257.52,238.44,248.10,280.65,408.74,290.62,243.19,252.80,258.47,257.21,278.17,266.84,263.27,257.48,283.97,239.99,264.25,259.74,262.44,241.63,241.36,252.24,247.54,245.07,241.90,219.51,258.07,244.48,234.71,222.91,238.27,258.05,238.04,250.39,259.89,270.20,282.23,261.63,257.73,271.10,244.69,254.97,264.28,261.25,269.41,374.91,357.67,212.17,199.69,298.21,208.75,207.90,226.92,204.45,192.83,187.51,196.01,197.59,195.40,221.16,247.62,254.36,262.63,229.72,256.64
2000-02-25 22:12:13.451000,L7,333.80,298.55,287.28,257.80,238.86,237.81,219.62,225.58,224.10,218.55,216.18,229.43,228.79,244.22,246.11,243.17,236.54,239.65,223.70,224.41,239.63,234.67,237.32,234.18,234.33,233.89,233.30,238.08,262.63,273.12,273.63,266.04,243.73,246.67,242.00,235.83,230.92,244.44,270.13,277.49,313.62,273.66,247.61,246.96,245.83,254.92,248.78,258.19,241.61,269.65,286.38,289.56,288.96,263.63,253.30,240.24,253.45,245.73,259.27,230.54,259.60,257.52,256.25,242.80,224.63,235.66,216.05,226.12,230.40,239.56,223.36,244.99,237.17,224.29,210.48,230.26,218.68,205.43,221.37,226.95,216.93,229.53,222.42,233.80,223.19,203.96,202.32,206.00,205.86,212.62,209.79,214.89,217.49,214.60,225.10,210.56,227.32,221.28,205.08,217.66,229.34,217.06,215.58,214.75,236.45,227.74,220.86,237.59,222.82,243.50,237.26,224.71,221.30,224.65,216.36,219.01,216.25,228.09,234.83,218.70,247.94,260.34,253.72,254.14,239.84,239.90,250.03,289.44,240.45,241.54,234.42,233.75,223.67,435.16,492.26,477.30,446.59,442.93,445.28,483.46,359.07,474.96,433.84,417.29,422.87,420.84,434.93,364.56,428.64,423.70,428.95,421.38,363.79,362.44,351.51,411.26,425.64,449.87,432.86,380.34,418.56,436.81,434.73,450.72,396.58,436.24,450.09,459.16,224.04,451.19,476.86,527.57,545.18
2000-03-21 22:06:01.097000,L7,,237.23,236.53,234.73,269.15,250.86,207.74,213.22,212.89,280.78,280.70,312.72,341.21,327.44,350.94,369.95,395.66,287.31,289.82,265.00,273.37,274.94,285.75,288.18,283.17,244.30,252.00,243.28,279.73,322.85,333.69,492.73,516.33,512.19,527.06,345.26,351.70,325.12,364.96,367.50,,,,209.86,199.74,193.47,362.49,382.15,,377.57,377.60,391.91,215.54,229.70,231.33,212.58,223.70,231.89,421.31,403.14,317.18,336.63,318.19,254.52,255.24,267.66,,,254.60,251.81,510.33,510.64,523.93,503.86,276.07,273.44,272.44,286.87,181.13,191.58,192.60,201.08,227.31,234.56,262.99,217.73,269.09,307.18,232.57,243.76,242.45,245.99,332.34,330.65,318.19,373.44,345.90,358.56,402.13,186.80,168.50,186.17,206.99,210.77,163.88,223.40,208.47,191.67,191.23,339.33,340.06,341.89,357.75,274.22,262.61,257.59,267.13,263.79,259.66,268.54,281.30,291.64,381.73,389.82,256.75,380.21,208.20,204.22,185.92,226.42,237.66,338.97,382.96,377.69,389.68,401.21,397.14,269.30,264.88,274.75,287.28,266.50,292.89,289.12,206.57,388.08,401.35,424.73,420.57,403.12,428.36,421.90,411.81,231.83,223.67,246.43,219.39,224.47,293.78,211.00,204.33,220.58,230.07,235.71,228.31,211.04,288.16,308.92,330.20,368.79,,222.66,228.44
2000-05-24 22:05:22.488000,L7,301.89,257.73,400.01,377.83,363.90,380.01,201.82,196.39,195.48,187.07,199.65,259.51,290.44,334.68,360.39,387.76,393.25,412.77,222.30,377.59,380.93,378.66,388.27,367.30,377.29,344.62,360.31,354.31,324.37,287.41,295.80,293.10,286.98,316.23,315.19,214.14,212.51,377.61,388.22,390.03,398.88,392.76,354.68,393.83,335.52,333.58,337.40,327.55,323.05,339.41,333.64,338.55,418.35,417.66,198.91,384.50,448.59,455.62,416.78,450.03,462.81,203.80,429.29,467.10,475.65,198.20,475.13,471.84,445.48,463.33,467.63,467.09,469.37,477.13,468.89,475.93,481.72,360.25,375.04,349.01,364.47,347.79,361.04,372.94,378.55,397.63,394.87,433.02,271.46,277.37,476.00,429.96,359.45,488.97,476.79,470.39,460.85,485.56,506.14,174.97,190.09,182.16,179.92,183.59,184.40,187.20,177.98,184.16,183.06,186.43,181.97,193.69,188.77,190.05,199.01,252.79,287.15,282.56,286.76,181.89,187.67,177.33,178.90,179.84,178.90,175.20,188.19,182.78,181.03,188.23,189.83,187.64,177.50,185.37,192.01,178.23,181.55,171.92,185.70,174.11,184.31,193.13,186.83,537.72,523.67,516.94,508.43,506.87,494.48,492.99,497.09,479.80,482.49,485.18,500.15,502.10,490.92,478.74,481.59,504.25,524.89,363.88,373.18,358.40,410.68,313.01,368.12,504.87,537.22,519.32,434.00,449.40,485.20
