dates,satname,nzd0332-0000,nzd0332-0001,nzd0332-0002,nzd0332-0003,nzd0332-0004,nzd0332-0005,nzd0332-0006,nzd0332-0007,nzd0332-0008,nzd0332-0009,nzd0332-0010,nzd0332-0011,nzd0332-0012,nzd0332-0013,nzd0332-0014,nzd0332-0015,nzd0332-0016,nzd0332-0017,nzd0332-0018,nzd0332-0019,nzd0332-0020,nzd0332-0021,nzd0332-0022,nzd0332-0023,nzd0332-0024,nzd0332-0025,nzd0332-0026,nzd0332-0027,nzd0332-0028,nzd0332-0029,nzd0332-0030,nzd0332-0031,nzd0332-0032,nzd0332-0033,nzd0332-0034,nzd0332-0035,nzd0332-0036,nzd0332-0037,nzd0332-0038,nzd0332-0039,nzd0332-0040,nzd0332-0041,nzd0332-0042,nzd0332-0043,nzd0332-0044,nzd0332-0045,nzd0332-0046,nzd0332-0047,nzd0332-0048,nzd0332-0049,nzd0332-0050,nzd0332-0051,nzd0332-0052,nzd0332-0053,nzd0332-0054,nzd0332-0055,nzd0332-0056,nzd0332-0057,nzd0332-0058,nzd0332-0059,nzd0332-0060,nzd0332-0061,nzd0332-0062,nzd0332-0063,nzd0332-0064,nzd0332-0065,nzd0332-0066,nzd0332-0067,nzd0332-0068,nzd0332-0069,nzd0332-0070,nzd0332-0071,nzd0332-0072,nzd0332-0073,nzd0332-0074,nzd0332-0075,nzd0332-0076,nzd0332-0077,nzd0332-0078,nzd0332-0079,nzd0332-0080,nzd0332-0081,nzd0332-0082,nzd0332-0083,nzd0332-0084,nzd0332-0085,nzd0332-0086
1999-08-28 21:53:35.950000,L7,348.10,348.70,345.93,341.69,347.56,342.71,359.03,361.26,353.34,348.41,350.19,346.96,347.33,348.70,351.93,345.98,353.51,350.56,352.01,349.94,352.53,352.45,355.81,355.54,356.79,352.16,353.21,345.72,346.42,341.81,346.71,350.20,348.42,353.50,351.93,355.68,354.69,364.37,358.79,355.07,358.52,359.57,353.45,346.39,359.16,366.71,350.05,361.93,364.71,364.39,369.05,365.88,371.27,375.61,376.47,371.23,379.49,380.70,375.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-29 21:54:04.102000,L7,332.34,334.46,336.45,318.39,322.57,322.32,315.67,348.66,338.71,,,,,394.25,383.93,379.69,330.46,328.36,332.03,346.97,398.73,347.37,349.55,327.75,329.77,329.15,397.25,396.73,320.71,315.68,308.93,325.80,323.26,320.28,313.89,390.49,394.96,380.91,372.37,371.56,383.19,363.85,356.86,303.97,309.39,318.72,315.71,315.21,316.05,315.36,319.86,325.48,333.22,327.16,330.50,321.86,318.27,317.32,318.56,310.22,319.10,316.17,378.99,374.06,380.93,372.84,371.73,360.12,370.08,372.81,304.86,318.09,316.80,317.35,315.19,324.66,325.87,327.04,394.48,397.43,363.01,394.54,389.52,318.61,316.30,311.13,332.08
1999-11-16 21:53:32.114000,L7,331.76,339.73,328.25,326.78,344.59,335.14,340.72,345.80,357.34,340.54,340.44,336.95,325.06,327.08,320.72,331.15,339.07,332.95,328.40,335.09,328.44,333.07,332.77,342.45,339.25,338.27,332.73,328.79,333.15,313.06,300.80,308.78,305.82,296.05,297.52,313.05,298.68,290.64,318.04,,,,268.18,286.42,319.98,324.35,310.75,,,,,336.78,332.11,327.19,335.72,322.88,326.94,322.10,319.07,320.24,324.94,335.34,330.78,343.81,331.47,326.55,323.14,330.65,303.91,286.60,302.29,322.41,324.28,325.13,323.85,331.95,327.89,330.82,325.66,319.38,315.27,317.97,318.10,318.01,313.85,311.10,344.37
2000-01-19 21:53:49.771000,L7,,399.98,351.77,314.77,304.56,293.71,314.25,325.00,339.56,339.41,352.93,368.43,389.78,405.42,385.32,353.46,342.52,335.51,328.36,325.41,317.22,323.19,313.23,316.55,309.11,317.95,,,,,,315.93,321.81,309.90,299.10,302.20,314.77,317.10,305.24,318.46,296.62,308.24,281.16,278.04,310.89,318.65,312.84,309.70,309.70,309.74,308.90,320.81,326.86,326.29,321.63,323.37,319.58,318.07,323.28,314.82,307.52,311.50,320.47,324.49,317.64,319.64,317.94,319.82,289.90,288.65,287.53,315.61,313.50,307.92,308.83,310.18,312.58,322.03,294.86,307.76,312.68,321.30,318.97,312.35,310.30,301.89,330.09
2000-01-26 21:59:38.265000,L7,332.37,338.92,305.96,300.63,315.20,309.58,315.86,344.16,338.19,333.10,341.92,341.23,335.33,335.78,330.39,337.19,343.53,340.23,342.92,344.77,343.95,351.64,,,,,,,,,,,342.81,344.38,353.41,350.22,358.29,328.19,299.20,300.38,296.61,273.20,241.23,272.18,299.36,326.39,325.43,330.17,336.36,344.30,350.83,356.76,361.52,351.44,335.47,361.45,,,371.01,343.02,311.36,308.01,309.98,317.45,,,,,,,,,,,,,,,,,,,,,,,
2000-02-27 21:59:28.435000,L7,,,,285.50,289.02,282.88,284.90,296.91,292.07,301.46,290.76,295.94,303.12,304.07,300.94,292.43,315.27,311.12,291.24,303.01,300.45,312.12,303.92,308.27,304.58,312.04,314.47,315.90,303.95,296.46,294.95,313.73,309.83,307.29,310.38,306.21,315.09,310.02,305.09,314.93,319.84,373.11,287.12,306.29,361.02,376.92,324.21,339.68,317.20,310.74,301.57,308.72,321.76,319.93,329.09,316.03,318.73,309.98,318.66,316.82,323.05,307.11,307.73,312.19,312.26,310.77,312.28,318.73,370.95,366.56,,381.62,388.99,324.43,379.01,386.55,382.43,383.92,373.28,334.71,382.11,388.71,379.78,373.75,384.20,369.73,345.87
2000-03-14 21:59:23.204000,L7,322.56,330.78,299.39,311.47,322.23,319.40,333.08,335.44,309.94,332.65,321.62,331.00,324.06,323.80,356.47,333.45,350.88,334.38,331.68,336.56,309.05,337.22,335.51,328.66,341.33,335.60,338.56,337.68,312.29,,,,308.28,305.58,312.81,323.06,336.05,332.88,345.42,385.95,330.23,338.84,307.49,286.49,310.42,327.90,327.37,325.40,318.09,312.38,320.91,333.87,324.25,333.38,330.43,332.01,324.30,320.23,320.87,322.99,326.26,327.09,322.30,329.94,335.49,332.76,331.46,320.21,289.83,316.53,290.96,305.01,324.81,312.38,320.17,325.29,346.76,337.50,327.30,315.38,310.24,307.92,302.71,301.57,308.61,282.22,331.52
2000-05-01 21:59:06.644000,L7,320.25,314.01,292.98,313.50,311.75,318.94,329.84,322.85,317.57,329.26,327.79,323.93,322.34,324.25,329.20,277.03,322.51,326.70,,,,314.80,330.63,323.15,334.92,327.01,332.43,323.84,296.88,298.66,294.59,351.98,323.42,294.21,290.40,296.23,302.95,298.04,291.52,300.32,303.58,288.63,262.54,285.92,289.74,305.22,294.53,288.21,290.04,296.90,296.10,309.41,321.84,308.13,315.82,302.95,296.44,314.13,296.11,294.32,303.47,297.51,300.91,298.81,298.15,301.95,305.21,305.80,286.02,266.91,278.48,297.27,299.84,290.50,288.50,302.15,307.50,307.10,307.91,297.40,293.33,300.88,302.79,278.50,300.67,284.23,307.44
2000-05-17 21:58:55.442000,L7,305.83,312.06,303.96,305.89,313.02,312.19,318.17,312.27,356.89,347.58,341.30,333.44,318.58,312.04,309.85,311.77,363.75,321.86,319.83,321.90,319.68,325.85,334.12,330.55,330.30,317.15,323.23,326.80,296.29,311.20,339.06,320.35,321.33,346.39,308.82,351.57,342.65,351.15,347.47,297.97,297.37,282.14,237.92,263.00,287.70,322.10,299.79,276.68,285.20,322.80,304.00,291.40,295.18,294.88,329.20,340.99,279.61,292.02,,,,,,,312.28,312.14,310.61,311.61,265.52,,,,,,,,,,,,,,,,,,
2000-05-26 21:53:00.524000,L7,,,,274.00,273.69,283.22,284.86,299.38,292.83,290.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
