dates,nzd0332-0000,nzd0332-0001,nzd0332-0002,nzd0332-0003,nzd0332-0004,nzd0332-0005,nzd0332-0006,nzd0332-0007,nzd0332-0008,nzd0332-0009,nzd0332-0010,nzd0332-0011,nzd0332-0012,nzd0332-0013,nzd0332-0014,nzd0332-0015,nzd0332-0016,nzd0332-0017,nzd0332-0018,nzd0332-0019,nzd0332-0020,nzd0332-0021,nzd0332-0022,nzd0332-0023,nzd0332-0024,nzd0332-0025,nzd0332-0026,nzd0332-0027,nzd0332-0028,nzd0332-0029,nzd0332-0030,nzd0332-0031,nzd0332-0032,nzd0332-0033,nzd0332-0034,nzd0332-0035,nzd0332-0036,nzd0332-0037,nzd0332-0038,nzd0332-0039,nzd0332-0040,nzd0332-0041,nzd0332-0042,nzd0332-0043,nzd0332-0044,nzd0332-0045,nzd0332-0046,nzd0332-0047,nzd0332-0048,nzd0332-0049,nzd0332-0050,nzd0332-0051,nzd0332-0052,nzd0332-0053,nzd0332-0054,nzd0332-0055,nzd0332-0056,nzd0332-0057,nzd0332-0058,nzd0332-0059,nzd0332-0060,nzd0332-0061,nzd0332-0062,nzd0332-0063,nzd0332-0064,nzd0332-0065,nzd0332-0066,nzd0332-0067,nzd0332-0068,nzd0332-0069,nzd0332-0070,nzd0332-0071,nzd0332-0072,nzd0332-0073,nzd0332-0074,nzd0332-0075,nzd0332-0076,nzd0332-0077,nzd0332-0078,nzd0332-0079,nzd0332-0080,nzd0332-0081,nzd0332-0082,nzd0332-0083,nzd0332-0084,nzd0332-0085,nzd0332-0086,satname
1999-08-28 21:53:59.920,332.12,334.24,332.05,328.18,333.97,327.18,,352.68,,,,,,,341.38,337.32,345.12,,342.2,342.42,346.64,347.45,351.5,355.35,347.47,346.49,346.67,,342.7,337.04,342.3,346.92,348.68,356.02,,,357.25,,,,,364.37,,347.76,363.42,,,,,,375.15,374.04,383.05,,,,,,,,,391.93,415.9,425.27,401.09,398.2,400.89,443.5,386.06,386.5,396.68,,,,,,,,375.81,400.44,420.99,383.78,,,,,,L7
1999-09-29 21:54:04.102,322.44,325.49,331.03499999999997,315.805,324.69000000000005,319.27,299.18,349.185,,,,,,,361.275,328.28,364.005,,334.11,343.49,356.91999999999996,343.26,350.03999999999996,337.785,332.045,333.96000000000004,364.89,,328.725,323.36,323.16499999999996,334.295,330.91499999999996,336.16999999999996,305.85,,375.805,,409.67,404.22,411.48,377.725,,363.865,381.71000000000004,,,,,,390.15999999999997,392.07500000000005,398.07,328.64,327.22,320.18,317.16,321.25,319.28,316.44,320.06,391.82,411.57,419.725,406.69,400.36,402.455,429.825,392.975,382.26,387.85,325.89,323.74,320.78,320.7,334.31,332.43,337.4,394.015,399.495,423.86,389.715,326.98,324.33,325.65,320.36,349.39,L7
1999-11-16 21:53:32.114,318.66,322.62666666666667,322.6766666666667,313.78000000000003,325.99666666666667,318.74,308.8,341.6066666666666,,,,,,,361.275,324.70666666666665,364.005,,327.75,334.49,356.91999999999996,336.15333333333336,341.23333333333335,337.6466666666667,330.98,332.18,364.89,320.27,323.0733333333333,317.6433333333334,312.0233333333333,323.2633333333333,320.0,319.54333333333335,301.14,304.55,375.805,,411.15999999999997,422.87,423.505,377.725,,363.865,381.71000000000004,,314.13,,,,400.06666666666666,372.65000000000003,398.07,328.945,327.58000000000004,319.855,321.515,321.51,319.875,319.365,322.065,391.82,411.57,394.2833333333333,382.42,400.36,402.455,429.825,392.975,382.26,387.85,327.06,325.92,323.395,323.83500000000004,336.40999999999997,332.545,337.89,394.015,399.495,423.86,389.715,325.555,323.405,324.105,319.125,352.84000000000003,L7
2000-01-19 21:53:25.812,318.66,322.62666666666667,322.6766666666667,313.78000000000003,325.99666666666667,318.74,308.8,341.6066666666666,,,,,,,361.275,324.70666666666665,364.005,,327.75,337.8225,354.52,338.0025,342.8425,339.5725,336.855,336.89750000000004,371.8966666666667,333.33,323.0733333333333,317.6433333333334,312.0233333333333,323.2633333333333,330.4325,325.6425,301.14,322.365,367.52,,389.08,405.0366666666667,401.26,375.25333333333333,,366.07,377.94,,332.62,363.82,343.02,351.84,387.96,372.1025,389.93,348.95,345.0833333333333,319.855,321.515,321.51,344.76,330.8333333333333,333.29333333333335,387.6666666666667,399.46000000000004,389.4675,377.75,390.33666666666664,398.64333333333326,429.825,386.9433333333333,376.1766666666667,388.49666666666667,327.06,337.61333333333334,340.6266666666666,337.93666666666667,349.4066666666667,350.08,345.80999999999995,394.015,391.0466666666666,423.86,392.49666666666667,325.555,323.405,349.31333333333333,319.125,367.31333333333333,L7
2000-01-26 21:59:38.265,312.045,317.6325,313.03999999999996,307.3725,317.49,312.26,306.8566666666667,338.42,,317.85,,320.5,309.9,320.71,361.275,324.49,364.005,329.85,329.91499999999996,337.8225,354.52,338.0025,342.8425,344.25200000000007,343.88,336.89750000000004,385.20500000000004,333.33,323.0733333333333,317.6433333333334,312.0233333333333,323.2633333333333,331.648,328.73400000000004,301.14,332.0466666666667,364.195,308.14,365.1425,378.81,373.215,375.25333333333333,,343.4,377.94,,330.01,347.955,341.98,349.44,381.096,370.116,383.4925,349.19,344.085,319.855,321.515,321.51,349.5125,331.735,328.03,368.6875,378.2325,375.866,377.75,390.33666666666664,398.64333333333326,429.825,393.7725,379.98249999999996,398.2625,327.06,337.61333333333334,346.815,337.93666666666667,349.4066666666667,361.36,340.7975,394.015,391.0466666666666,423.86,392.49666666666667,325.555,323.405,361.3925,319.125,367.31333333333333,L7
2000-02-27 21:59:28.435,296.65250000000003,300.855,295.38,292.96999999999997,302.59250000000003,297.65749999999997,298.245,320.3225,275.79,301.935,,301.16499999999996,299.605,304.91999999999996,381.17,311.48,382.89,312.54,314.89,326.2425,336.0833333333333,325.9225,328.59000000000003,333.6940000000001,342.9825,326.3675,374.9875,333.33,308.47999999999996,302.08,293.2766666666667,310.2366666666666,321.91999999999996,318.51800000000003,301.3866666666667,325.0575,352.2175,305.19,352.816,365.148,362.944,380.17,296.82,333.125,378.30999999999995,,328.805,346.7366666666667,334.61999999999995,335.0733333333333,366.48999999999995,357.636,369.31,344.72200000000004,340.492,318.8066666666667,320.8233333333333,319.03,344.418,330.33000000000004,326.702,348.5875,352.73750000000007,354.248,356.83250000000004,364.08666666666664,370.59999999999997,372.395,394.65250000000003,375.04999999999995,396.93,327.06,338.4875,344.548,350.525,359.23249999999996,366.212,340.7975,423.33500000000004,386.3499999999999,431.135,407.96999999999997,325.555,323.405,366.23,327.09666666666664,365.2175,L7
2000-03-14 21:59:23.204,293.764,295.28999999999996,294.044,290.61199999999997,300.932,296.404,300.608,316.666,287.115,301.935,317.77,303.86999999999995,303.38666666666666,299.8,355.06,314.232,382.89,310.58666666666664,314.962,319.878,327.6575,319.656,322.026,330.08500000000004,342.9825,323.43,356.78000000000003,333.33,307.5175,298.4975,295.5725,310.2366666666666,313.8,315.17833333333334,301.89250000000004,322.662,340.12399999999997,308.0366666666667,345.46166666666664,359.84999999999997,347.0333333333333,380.17,306.7,324.066,360.8925,,328.25,342.0575,331.255,328.635,359.66499999999996,353.67333333333335,360.54200000000003,342.5566666666667,338.605,322.635,322.93,320.02,340.65333333333336,329.82666666666665,327.04,345.318,350.43,351.855,353.286,357.125,362.695,360.28,382.158,366.63199999999995,396.93,329.7133333333333,338.84000000000003,344.855,348.764,357.544,364.4866666666667,341.662,396.43666666666667,372.25666666666666,431.135,390.4275,333.8566666666666,326.56,361.7416666666666,330.6575,363.088,L7
2000-03-30 21:59:21.444,289.015,289.92749999999995,285.05,287.4075,288.87,285.944,300.965,309.40999999999997,287.115,287.81,317.77,303.86999999999995,303.38666666666666,299.8,328.95,312.98,,310.58666666666664,312.1975,313.7075,314.4766666666667,314.8025,315.38750000000005,332.058,351.77,323.93,350.19750000000005,333.33,305.1066666666666,294.77,292.75333333333333,304.52,303.87,314.95000000000005,300.5733333333334,322.662,326.56499999999994,308.0366666666667,332.62,337.40500000000003,320.97999999999996,374.71500000000003,275.8,310.09,325.9525,264.13,328.25,342.0575,331.255,328.635,350.56399999999996,332.5516666666667,347.405,336.5866666666667,340.882,323.4533333333333,312.895,304.945,330.36333333333334,322.12833333333333,328.43600000000004,333.72,336.22749999999996,339.39,325.24399999999997,325.3425,331.985,332.34499999999997,377.72499999999997,363.78499999999997,402.90000000000003,331.625,342.615,349.67,355.78000000000003,363.3525,370.898,342.72749999999996,388.54499999999996,359.11,435.54,362.5275,315.11999999999995,310.6933333333334,356.03666666666663,312.4575,356.98,L7
2000-05-01 21:59:06.644,288.382,289.92749999999995,278.42600000000004,280.746,284.46,282.6983333333333,300.965,303.154,280.66,286.3575,316.945,302.87,303.38666666666666,296.46,324.525,312.98,,310.58666666666664,312.1975,301.998,314.4766666666667,308.492,315.38750000000005,323.26,351.77,323.93,333.66600000000005,333.33,305.1066666666666,294.77,285.3125,300.97999999999996,301.1228571428572,307.05833333333334,300.5733333333334,322.662,313.59,308.0366666666667,317.07,329.92428571428576,315.4842857142857,339.05,267.38,302.13,325.9525,272.205,319.36,327.11199999999997,315.04200000000003,318.44,338.215,326.29571428571427,347.405,330.65000000000003,333.35999999999996,313.8225,306.604,299.148,322.1985714285714,316.5428571428571,320.18,333.72,327.51,339.39,319.2583333333333,314.68199999999996,323.044,319.31,355.82599999999996,330.606,402.90000000000003,318.67,329.47200000000004,335.85166666666663,341.308,348.554,356.0133333333333,333.562,356.24,359.11,435.54,349.12399999999997,309.58,299.115,347.36571428571426,297.972,349.3116666666667,L7
2000-05-17 21:58:55.442,286.45799999999997,287.84,271.5425,273.5,275.63,277.945,300.915,299.822,280.66,286.3575,324.6133333333333,307.412,306.315,298.23,320.4166666666667,312.13,336.97,312.3725,314.1825,298.375,314.5175,308.364,313.84499999999997,320.438,363.23,319.15250000000003,333.66600000000005,337.41499999999996,302.59999999999997,294.83666666666664,283.83666666666664,305.5366666666667,304.3142857142857,311.212,303.6366666666667,329.872,313.59,310.6,291.97166666666664,308.3328571428571,294.09999999999997,321.605,261.456,293.94666666666666,317.12199999999996,287.45666666666665,314.13000000000005,318.22166666666664,309.65333333333336,315.27833333333336,317.45,320.51714285714286,336.388,326.57142857142856,332.4066666666667,306.47499999999997,296.528,291.812,317.11285714285714,311.99285714285713,314.1483333333333,330.142,326.65166666666664,338.38750000000005,316.07166666666666,307.24,317.2183333333333,316.9125,340.0883333333333,311.0233333333333,372.0175,311.28,325.228,326.00333333333333,332.8,342.61,349.52833333333336,329.238,347.625,359.11,435.54,340.95166666666665,304.19,284.14,343.7757142857143,283.48199999999997,344.575,L7
