dates,satname,nzd0365-0000,nzd0365-0001,nzd0365-0002,nzd0365-0003,nzd0365-0004,nzd0365-0005,nzd0365-0006,nzd0365-0007,nzd0365-0008,nzd0365-0009,nzd0365-0010,nzd0365-0011,nzd0365-0012,nzd0365-0013,nzd0365-0014,nzd0365-0015,nzd0365-0016,nzd0365-0017,nzd0365-0018,nzd0365-0019,nzd0365-0020,nzd0365-0021,nzd0365-0022,nzd0365-0023,nzd0365-0024
1999-09-04 22:00:09.953000,L7,,344.43,345.67,348.67,344.16,331.55,325.78,347.50,363.72,348.35,330.04,,,,,,,,,,,,,,
1999-09-20 22:00:08.403000,L7,318.22,361.11,351.43,348.50,339.67,325.42,331.36,326.23,314.50,,,,,,,,,,,,,,,,
1999-12-09 22:00:09.551000,L7,313.36,349.23,352.95,345.52,331.18,331.35,355.83,350.32,333.10,322.85,346.09,308.18,,,,,,,,,,,,,
1999-12-25 22:00:04.067000,L7,365.99,391.93,390.48,387.58,376.06,369.14,360.56,350.02,345.51,348.02,337.27,336.90,315.99,318.64,308.44,319.62,303.74,,,,,,,,
2000-01-26 22:00:02.226000,L7,,356.25,350.40,335.66,326.43,327.84,319.16,312.72,,,,,,,,,,,,,,,,,
2000-02-11 21:59:57.866000,L7,,351.31,341.72,332.06,326.67,319.73,319.01,302.86,299.96,,,,,,,,,,,,,,,,
2000-03-30 21:59:45.397000,L7,,351.31,348.08,344.62,332.80,328.64,321.22,323.46,321.70,313.94,,,,,,,,,,,,,,,
2000-04-15 21:59:31.785000,L7,,342.48,335.19,334.94,332.92,320.37,321.33,304.43,,,,,,,,,,,,,,,,,
2000-05-01 21:59:30.586000,L7,339.44,353.39,345.11,346.56,332.55,325.09,321.74,316.55,333.88,322.39,,,,,,,,,,,,,,,
2000-05-17 21:59:19.400000,L7,330.19,357.59,350.15,351.26,353.09,346.26,358.03,345.94,333.48,333.74,,,,,,,,,,,,,,,
2000-06-18 21:59:03.789000,L7,,345.38,344.93,345.13,334.41,322.02,320.25,321.54,313.09,,,,,,,,,,,,,,,,
2000-08-05 21:58:20.584000,L7,,346.09,342.77,338.31,327.52,324.27,314.43,307.93,312.77,,,,,,,,,,,,,,,,
2000-10-24 21:57:29.684000,L7,382.89,365.37,367.34,355.57,358.30,349.70,344.69,337.60,338.28,332.97,327.71,317.87,313.04,307.51,295.58,292.07,,,,,,,,,
