dates,nzd0547-0000,nzd0547-0001,nzd0547-0002,nzd0547-0003,nzd0547-0004,nzd0547-0005,nzd0547-0006,nzd0547-0007,nzd0547-0008,nzd0547-0009,nzd0547-0010,nzd0547-0011,nzd0547-0012,nzd0547-0013,nzd0547-0014,nzd0547-0015,nzd0547-0016,nzd0547-0017,nzd0547-0018,nzd0547-0019,nzd0547-0020,nzd0547-0021,nzd0547-0022,nzd0547-0023,nzd0547-0024,nzd0547-0025,nzd0547-0026,nzd0547-0027,nzd0547-0028,nzd0547-0029,nzd0547-0030,nzd0547-0031,nzd0547-0032,nzd0547-0033,nzd0547-0034,nzd0547-0035,nzd0547-0036,nzd0547-0037,nzd0547-0038,nzd0547-0039,nzd0547-0040,nzd0547-0041,nzd0547-0042,nzd0547-0043,nzd0547-0044,nzd0547-0045,nzd0547-0046,nzd0547-0047,satname
1999-11-05 22:13:40+00:00,316.82,275.18,282.67,318.15,261.46,277.6,323.29,348.49,357.11,374.3,376.49,358.57,359.99,358.35,349.35,333.45,332.5,325.16,320.62,314.62,327.52,327.28,315.41,316.66,317.26,323.69,318.47,315.54,,,,,,,,,,,,,,,,,,,,,L7
1999-12-07 22:13:41+00:00,314.595,274.41499999999996,289.48,306.41499999999996,256.085,280.44500000000005,324.35,348.39,357.99,375.445,379.07500000000005,362.15,362.11,359.70500000000004,350.67,335.68,334.34000000000003,326.495,325.135,319.525,330.31,327.76,316.89,316.92,317.735,323.675,318.38,316.265,315.37,317.38,325.25,329.67,335.67,,330.39,329.78,326.56,332.01,329.36,331.87,333.24,338.84,334.23,328.29,322.96,317.35,309.26,,L7
1999-12-16 22:07:33+00:00,314.595,274.41499999999996,289.48,306.41499999999996,253.71666666666667,280.44500000000005,318.1466666666667,346.76666666666665,354.93,373.0366666666667,376.13000000000005,361.3766666666667,360.1566666666667,354.03999999999996,348.31333333333333,329.95666666666665,330.56333333333333,324.15333333333336,322.05,311.93333333333334,330.31,324.25333333333333,313.8,315.60333333333335,316.05333333333334,319.54333333333335,316.14000000000004,315.18333333333334,312.515,314.7,319.345,323.99,328.06,,321.015,321.235,322.75,327.28999999999996,324.62,328.64,331.28,320.885,334.23,328.29,322.96,317.35,309.26,,L7
2000-09-20 22:11:14+00:00,,,,,,,,,,,,,,,,,,,,,344.2,,,,,,,,,,,,,337.82,334.1,336.87,336.85,336.58,333.52,334.48,334.21,337.52,333.64,328.48,321.67,311.69,310.42,281.17,L7
2001-02-11 22:11:12+00:00,,,,,,292.0,334.94,351.36,363.29,,385.27,371.7,367.45,364.62,356.23,335.61,339.89,334.09,330.29,330.01,339.85,330.63,315.99,312.46,318.35,322.76,320.8,318.14,316.02,324.85,325.77,332.15,333.0,337.25,331.93,334.555,334.93,336.0,331.36,333.07500000000005,334.36,337.395,333.635,328.22,306.44,311.69,310.42,281.17,L7
2001-02-27 22:11:06+00:00,325.65,291.49,292.81,,,292.0,334.94,351.36,363.29,,385.595,372.33,368.57,365.145,356.78,339.28,340.445,335.15999999999997,332.82000000000005,328.305,337.42,331.65,318.815,315.53999999999996,320.66,324.185,320.92,317.865,314.44,323.15,324.5,331.07,333.04499999999996,336.18,332.01,333.39000000000004,333.49666666666667,334.8566666666666,331.55333333333334,331.8066666666667,333.19,337.19,334.94666666666666,328.13,302.75,311.69,310.42,281.17,L7
2001-11-26 22:09:21+00:00,,,,,,,,,,,,383.62,380.11,375.95,367.39,361.06,,,,341.01,345.08,,,,,,,,,,,,,342.29,337.45,334.63,335.62,339.3,337.45,338.75,340.81,347.09,343.21,338.94,333.56,332.54,319.53,293.05,L7
2002-01-29 22:09:33+00:00,317.88,290.63,290.87,303.54,,286.72,327.95,347.88,360.41,375.86,379.85,376.225,373.06,369.485,361.325,352.685,340.12,333.66,332.29,334.54999999999995,345.08,332.22,319.22,314.81,314.24,314.08,310.09,312.89,312.54,313.18,318.73,324.74,331.16,337.72,333.17499999999995,330.075,331.695,333.84000000000003,337.45,338.75,335.20500000000004,340.89,335.76,331.95500000000004,322.03999999999996,332.54,319.53,293.05,L7
2002-11-29 22:09:01+00:00,,,,324.2,,,,,,,385.59,373.12,367.64,365.74,354.43,342.39,337.85,328.48,327.47,322.78,328.45,326.47,318.42,315.5,317.2,318.41,315.27,313.95,312.8,317.82,324.9,325.72,330.12,333.19,326.96,324.6,325.98,331.69,327.81,330.53,334.72,342.15,336.05,327.31,317.8,312.22,306.55,,L7
2003-03-21 22:09:27+00:00,332.29,289.3,280.45,298.28999999999996,257.83,292.96,329.73,350.23,362.05,376.08,383.96,372.125,367.62,366.155,354.28999999999996,343.04999999999995,337.315,328.51,328.395,324.26,328.57,326.68,318.40999999999997,315.84000000000003,316.89,317.555,314.605,314.055,312.78499999999997,313.485,322.03999999999996,324.885,330.81,335.41999999999996,328.87,326.745,327.95000000000005,333.40999999999997,330.72,332.03,335.005,341.085,337.295,327.28499999999997,317.25,312.22,306.55,,L7
2003-08-13 21:51:32+00:00,332.29,289.3,280.45,272.38,257.83,292.96,329.73,350.23,362.05,376.08,382.33,371.13,367.6,366.57,354.15,343.71,336.78,328.54,329.32,325.74,328.69,326.89,318.4,316.18,316.58,316.7,313.94,314.16,312.77,309.15,319.18,324.05,331.5,337.65,346.07,328.89,348.92,351.4,348.315,346.7,352.69500000000005,352.075,354.795,327.26,336.66499999999996,345.45,340.26,304.08,L5
2003-10-07 21:58:35+00:00,298.8,300.43,309.53,294.09,268.63,,,,,,,,,,,,,,,,,,,,,,,,352.42,364.08,365.19,368.71,361.55,366.17,361.06,358.25,366.01,365.02,359.68,364.075,371.28,369.27,373.03999999999996,364.26,355.855,350.07,339.145,299.905,L5
