dates,satname,nzd0547-0000,nzd0547-0001,nzd0547-0002,nzd0547-0003,nzd0547-0004,nzd0547-0005,nzd0547-0006,nzd0547-0007,nzd0547-0008,nzd0547-0009,nzd0547-0010,nzd0547-0011,nzd0547-0012,nzd0547-0013,nzd0547-0014,nzd0547-0015,nzd0547-0016,nzd0547-0017,nzd0547-0018,nzd0547-0019,nzd0547-0020,nzd0547-0021,nzd0547-0022,nzd0547-0023,nzd0547-0024,nzd0547-0025,nzd0547-0026,nzd0547-0027,nzd0547-0028,nzd0547-0029,nzd0547-0030,nzd0547-0031,nzd0547-0032,nzd0547-0033,nzd0547-0034,nzd0547-0035,nzd0547-0036,nzd0547-0037,nzd0547-0038,nzd0547-0039,nzd0547-0040,nzd0547-0041,nzd0547-0042,nzd0547-0043,nzd0547-0044,nzd0547-0045,nzd0547-0046,nzd0547-0047
1999-11-05 22:13:40.966000,L7,316.82,275.18,282.67,318.15,261.46,277.60,323.29,348.49,357.11,374.30,376.49,358.57,359.99,358.35,349.35,333.45,332.50,325.16,320.62,314.62,327.52,327.28,315.41,316.66,317.26,323.69,318.47,315.54,386.88,375.48,375.57,381.88,381.96,376.30,371.36,381.19,378.78,379.40,374.52,370.28,379.67,379.28,378.32,376.92,276.60,,,
1999-12-07 22:13:41.663000,L7,312.37,273.65,296.29,294.68,250.71,283.29,325.41,348.29,358.87,376.59,381.66,365.73,364.23,361.06,351.99,337.91,336.18,327.83,329.65,324.43,333.10,328.24,318.37,317.18,318.21,323.66,318.29,316.99,315.37,317.38,325.25,329.67,335.67,335.73,330.39,329.78,326.56,332.01,329.36,331.87,333.24,338.84,334.23,328.29,322.96,317.35,309.26,
1999-12-16 22:07:33.708000,L7,,,,,248.98,231.52,305.74,343.52,348.81,368.22,370.24,359.83,356.25,342.71,343.60,318.51,323.01,319.47,315.88,296.75,290.64,317.24,307.62,312.97,312.69,311.28,311.66,313.02,309.66,312.02,313.44,318.31,320.45,291.50,311.64,312.69,318.94,322.57,319.88,325.41,329.32,302.93,,,,,,
2000-09-20 22:11:14.930000,L7,343.14,346.69,338.81,,,,,,,,,,,,,,,,,348.31,344.20,374.79,365.87,365.06,365.01,363.11,363.63,364.53,360.06,366.59,365.74,370.83,384.66,337.82,334.10,336.87,336.85,336.58,333.52,334.48,334.21,337.52,333.64,328.48,321.67,311.69,310.42,281.17
2001-01-03 22:05:00.181000,L7,,,,,,,,,,,382.43,373.55,369.82,367.11,357.79,343.99,342.61,336.14,386.43,383.66,380.79,376.01,380.08,380.97,381.98,381.32,379.34,379.87,380.31,385.62,386.23,332.12,335.54,389.35,388.27,389.76,384.64,380.33,373.17,371.87,371.01,379.94,380.86,378.82,383.79,377.65,369.45,
2001-02-11 22:11:12.788000,L7,,,,,295.14,292.00,334.94,351.36,363.29,,385.27,371.70,367.45,364.62,356.23,335.61,339.89,334.09,330.29,330.01,335.50,330.63,315.99,312.46,318.35,322.76,320.80,318.14,316.02,324.85,325.77,332.15,333.00,336.68,329.76,332.24,333.01,335.42,329.20,331.67,334.51,337.27,333.63,327.96,291.21,,,
2001-02-27 22:11:06.137000,L7,325.65,291.49,292.81,,,,,,,,385.92,372.96,369.69,365.67,357.33,342.95,341.00,336.23,335.35,326.60,332.56,332.67,321.64,318.62,322.97,325.61,321.04,317.59,312.86,321.45,323.23,329.99,333.09,334.04,332.17,331.06,330.63,332.57,331.94,329.27,330.85,336.78,337.57,327.95,295.37,,,
2001-11-26 22:09:21.320000,L7,,,,,,,,,,,,383.62,380.11,375.95,367.39,361.06,351.02,345.04,344.98,341.01,345.08,386.84,380.70,379.97,382.41,377.50,364.21,358.61,359.06,377.40,376.49,380.03,385.37,342.29,337.45,334.63,335.62,339.30,337.45,338.75,340.81,347.09,343.21,338.94,333.56,332.54,319.53,293.05
2002-01-29 22:09:33.112000,L7,317.88,290.63,290.87,303.54,317.27,286.72,327.95,347.88,360.41,375.86,379.85,368.83,366.01,363.02,355.26,344.31,340.12,333.66,332.29,328.09,335.26,332.22,319.22,314.81,314.24,314.08,310.09,312.89,312.54,313.18,318.73,324.74,331.16,333.15,328.90,325.52,327.77,328.38,326.10,326.30,329.60,334.69,328.31,324.97,310.52,,,
2002-03-11 22:03:55.334000,L7,,,,,,,,,,,384.36,375.13,368.61,367.11,356.39,343.20,341.37,335.18,333.64,332.16,339.75,334.98,322.72,317.83,319.54,317.86,314.72,315.13,312.60,318.72,324.91,333.10,334.81,335.82,331.07,329.99,332.35,334.39,332.21,327.69,332.87,337.13,335.61,328.57,321.87,312.75,309.50,277.68
