dates,nzd0407-0000,nzd0407-0001,nzd0407-0004,nzd0407-0005,nzd0407-0006,nzd0407-0007,nzd0407-0008,nzd0407-0009,nzd0407-0010,nzd0407-0011,nzd0407-0012,nzd0407-0013,nzd0407-0014,nzd0407-0017,nzd0407-0018,nzd0407-0019,nzd0407-0020,nzd0407-0021,nzd0407-0022,nzd0407-0023,nzd0407-0024,nzd0407-0025,nzd0407-0026,nzd0407-0027,nzd0407-0028,nzd0407-0029,nzd0407-0030,nzd0407-0031,nzd0407-0032,nzd0407-0033,nzd0407-0034,nzd0407-0035,nzd0407-0036,nzd0407-0037,nzd0407-0038,nzd0407-0039,nzd0407-0040,nzd0407-0041,nzd0407-0042,nzd0407-0043,nzd0407-0044,nzd0407-0002,nzd0407-0003,nzd0407-0015,nzd0407-0016,satname
2000-10-08 21:58:00.300,420.81999999999994,430.82500000000005,425.645,425.52,434.635,411.97499999999997,289.05,436.93499999999995,428.095,299.67,443.46000000000004,460.14500000000004,457.54499999999996,224.94,386.31999999999994,387.8066666666666,373.36600000000004,407.9050000000001,338.02,308.73,451.11499999999995,443.28499999999997,351.36,448.78499999999997,309.08666666666664,436.18499999999995,320.7633333333333,312.95,368.88,349.38,435.82000000000005,431.5700000000001,435.24000000000007,432.5400000000001,435.69499999999994,410.685,434.90999999999997,440.4599999999999,441.5849999999999,443.5949999999999,460.465,430.5450000000001,434.18,,,L7
2000-11-09 21:57:57.236,407.53,428.55,417.07,422.77,439.03,437.365,339.84999999999997,437.55,416.76,318.345,443.99,474.1,464.52,224.94,382.68,384.83500000000004,369.005,391.47,371.765,363.11,465.44,443.91,367.79,437.095,309.08666666666664,436.20000000000005,317.48,309.115,368.88,349.38,444.185,427.86,444.26,437.62,445.245,402.52666666666664,442.66999999999996,445.185,444.12,443.355,457.12,422.22,422.18,,271.36,L7
2000-11-25 21:57:58.896,427.01,433.59000000000003,429.92499999999995,432.885,441.365,438.53999999999996,373.54999999999995,441.0,433.095,318.345,451.475,464.8,461.25,224.94,382.68,384.83500000000004,369.005,391.47,394.5733333333333,388.47666666666663,454.65,445.165,367.79,441.2266666666667,309.08666666666664,438.9666666666667,317.48,309.115,368.88,349.38,444.70666666666665,435.005,443.11999999999995,438.68,443.00666666666666,402.52666666666664,441.8333333333333,441.3666666666666,442.25,442.77,453.1266666666667,431.295,431.77,,271.36,L7
2001-06-05 21:57:16.389,,,,,,,,,,,,,411.55,,,,,,,,,,353.03,,,,370.14,333.39,392.39,351.56,,,,,,391.78,,,,,,,,,,L7
2001-07-07 21:57:00.006,,,,422.23,420.15,421.05,419.42,430.75,421.05,,441.05,446.11,431.03499999999997,,382.33,402.45,409.26,427.05,439.58,436.89,438.25,444.16,399.015,446.55,449.54,444.32,406.985,386.35,418.32,402.345,442.5,441.26,451.88,440.22,444.98,391.78,439.02,439.8,439.98,442.0,450.41,,,,,L7
2001-08-24 21:56:24.380,403.39,406.07,412.93,418.69,406.645,413.05,407.42,409.04499999999996,407.51,340.4,430.96500000000003,433.855,428.31666666666666,318.61,376.52,390.15999999999997,394.92499999999995,420.745,427.41999999999996,425.57,427.655,431.44500000000005,406.2033333333333,431.065,430.40999999999997,430.28999999999996,409.61999999999995,394.8,417.8633333333333,406.02,428.53,423.78999999999996,433.8,422.265,424.885,396.495,417.655,439.8,408.19500000000005,442.0,450.41,415.48,376.7,186.49,,L7
2001-09-25 21:56:04.528,411.66999999999996,415.145,416.275,417.84999999999997,407.1233333333333,409.43666666666667,404.91,406.94666666666666,404.76,364.84,428.56333333333333,435.7633333333333,432.045,336.635,377.17333333333335,390.3833333333334,395.15000000000003,412.43666666666667,421.26,423.43666666666667,429.41333333333336,432.0,411.385,432.90000000000003,433.2033333333334,429.83,414.5125,403.455,420.3275,412.28499999999997,427.93666666666667,423.2,432.2266666666667,422.46333333333337,426.32,405.6166666666666,420.1266666666667,431.08000000000004,410.81666666666666,438.265,443.49,419.39,386.99,278.315,285.76,L7
2001-12-14 21:56:17.682,422.23333333333335,424.09666666666664,420.58666666666664,421.9175,410.9,411.9625,408.255,410.41999999999996,409.6,386.11999999999995,430.975,439.325,440.8825,356.72,384.905,396.8425,402.6325,413.485,422.51,426.4075,431.4775,433.99,432.8575,435.595,433.7875,431.18,431.89,430.03,431.94750000000005,433.99,430.1925,426.3675,432.89,424.01250000000005,426.51,418.8766666666667,423.63,430.68666666666667,414.83000000000004,437.54333333333335,442.21333333333337,424.8733333333333,401.73,332.7966666666667,285.76,L7
2001-12-30 21:56:13.010,424.63,426.2625,421.835,423.47799999999995,414.262,415.014,411.678,414.602,415.03999999999996,398.23249999999996,432.838,440.28599999999994,441.492,362.565,388.26,399.628,405.026,414.738,423.756,427.794,432.084,434.942,434.27799999999996,436.342,433.896,431.496,431.95799999999997,430.11800000000005,432.17800000000005,434.438,431.058,427.558,433.628,425.31000000000006,427.158,422.4575,425.28999999999996,429.0,417.178,436.585,441.0325,426.4275,408.3125,359.21,285.76,L7
2002-03-20 21:56:24.055,435.90250000000003,430.9275,418.455,415.97749999999996,409.22,416.32333333333344,414.5166666666666,418.3066666666666,420.05999999999995,417.50999999999993,433.39,440.435,441.23,373.25000000000006,391.3475,399.59250000000003,408.06500000000005,406.28999999999996,417.65500000000003,426.1675,431.9325,433.755,435.1675,436.19499999999994,435.0975,428.6575,430.15500000000003,430.70750000000004,425.1175,433.20500000000004,430.91,428.02250000000004,433.5975,424.7225,427.945,429.765,429.4425,422.26250000000005,422.83,433.88,437.6525,425.505,410.5725,417.8775,288.31,L7
