dates,satname,nzd0233-0000,nzd0233-0001,nzd0233-0002,nzd0233-0003,nzd0233-0004,nzd0233-0005,nzd0233-0006,nzd0233-0007,nzd0233-0008,nzd0233-0009,nzd0233-0010,nzd0233-0011,nzd0233-0012,nzd0233-0013,nzd0233-0014,nzd0233-0015,nzd0233-0016,nzd0233-0017,nzd0233-0018,nzd0233-0019,nzd0233-0020,nzd0233-0021,nzd0233-0022,nzd0233-0023,nzd0233-0024
1999-09-22 21:46:36.849000,L7,381.43,370.98,370.28,373.57,372.92,369.80,361.70,354.93,355.93,346.85,348.26,341.31,340.72,341.04,340.75,339.65,332.23,321.40,320.51,325.54,315.79,324.40,313.15,320.70,
1999-09-29 21:52:52.243000,L7,340.27,321.13,308.90,311.59,310.45,304.78,309.43,305.57,308.05,312.33,311.92,305.16,308.81,306.48,306.30,300.25,293.39,280.18,276.86,270.30,273.44,278.29,279.85,268.68,295.97
1999-10-24 21:46:32.266000,L7,,,,393.83,381.47,371.35,380.64,385.68,384.31,374.93,363.61,370.53,,,,,,,,,341.07,341.08,331.04,328.83,333.75
2000-03-16 21:46:15.139000,L7,,,,,,,,,,,,,,,253.24,248.93,250.22,239.51,235.62,236.76,,,,,
2000-05-03 21:45:55.224000,L7,,,,,,,,,,,,279.33,273.49,263.18,266.46,260.34,245.29,,,,,,,,
2000-05-26 21:51:48.668000,L7,386.40,393.03,387.26,384.78,379.69,,,385.58,377.64,374.49,366.99,359.22,361.20,351.89,358.28,353.56,347.98,331.53,320.21,325.72,331.03,322.90,314.87,287.05,251.89
2000-08-07 21:44:45.034000,L7,381.11,378.55,385.98,376.36,366.37,370.94,374.26,362.27,361.82,364.23,361.69,349.99,350.88,340.41,337.52,335.34,350.41,323.05,312.09,316.03,320.12,319.86,314.83,292.12,280.82
2000-08-14 21:50:56.232000,L7,306.18,296.67,293.93,285.81,276.46,287.40,281.65,278.84,,292.66,281.36,281.91,277.76,270.84,280.28,272.34,258.93,251.69,240.00,248.42,224.56,,,,
2000-09-15 21:50:25.712000,L7,,,,,,,,,,287.78,279.01,278.49,275.21,277.13,282.60,276.86,259.94,258.30,238.48,252.93,238.92,240.25,,,
2001-03-10 21:50:10.732000,L7,,,,,,,,,,,,270.69,269.31,266.87,264.41,266.57,264.47,252.64,251.12,238.19,,,,,
2001-04-04 21:43:43.008000,L7,,,,,,,,,,,,,265.32,271.22,265.89,259.61,257.55,244.29,243.51,251.96,243.73,,,,
2001-07-25 21:42:54.824000,L7,380.08,370.79,363.83,360.89,359.81,368.42,359.97,358.76,356.76,350.86,343.18,342.25,341.15,343.20,345.00,338.41,338.09,315.89,309.89,314.40,322.03,315.38,313.17,291.21,
2001-08-26 21:42:25.671000,L7,,292.20,281.96,283.13,270.23,280.26,284.62,279.27,,276.16,272.27,273.80,266.46,262.21,273.38,258.94,,,,,,,,,
2001-09-27 21:42:05.338000,L7,,,,,,,,,,,,,,,,,,,,,,,244.39,228.33,274.49
2001-10-13 21:41:51.963000,L7,356.87,346.31,343.54,340.26,335.74,337.89,336.18,330.34,326.75,327.84,322.58,317.55,320.26,320.79,318.73,315.52,309.03,299.71,293.84,299.48,297.83,306.71,307.47,312.13,325.07
2002-05-16 21:48:34.178000,L7,378.99,371.63,359.59,368.36,355.64,354.49,355.87,346.54,349.20,347.07,374.57,351.05,346.37,336.23,333.80,337.39,328.84,322.62,318.85,323.64,313.27,323.72,319.59,301.87,252.05
2002-06-01 21:48:28.245000,L7,378.67,373.45,387.32,372.51,365.74,370.35,359.65,361.95,362.81,362.94,361.26,354.89,366.16,347.05,343.62,347.88,344.95,331.05,333.20,339.57,336.27,334.96,323.93,315.63,323.62
2002-08-20 21:47:58.545000,L7,,,,,276.89,280.10,276.19,283.44,276.29,291.20,282.63,281.49,277.41,266.37,274.23,269.97,243.55,244.17,,,,,,,
2002-08-29 21:41:39.340000,L7,376.15,364.96,358.73,357.37,358.54,350.49,350.74,346.07,355.43,353.66,341.50,339.61,351.46,342.42,344.17,339.52,345.95,326.13,329.80,328.02,326.25,330.73,342.26,330.41,324.40
2002-09-14 21:41:31.043000,L7,326.20,313.21,307.60,309.19,310.51,301.24,303.07,293.75,320.08,308.38,301.75,309.37,309.31,304.75,312.08,297.16,287.74,286.99,282.86,296.73,300.45,283.14,268.66,267.94,323.36
2002-10-23 21:47:39.211000,L7,,,,,,,,,,,,,,,,,,,,,,,,,280.21
2002-11-08 21:47:44.401000,L7,,,,,,,,,,,,,,,,,,,,,,,237.30,247.15,281.93
2003-04-26 21:42:25.606000,L7,,,,,,,,,,,,279.99,270.08,269.08,260.91,259.34,229.75,,,,,,,,
2003-05-28 21:42:22.600000,L7,390.81,387.62,384.50,405.54,378.39,367.13,363.90,366.54,368.37,360.37,365.06,352.79,368.20,,,,,,,,344.62,356.40,348.25,332.22,285.90
2003-07-23 21:30:14.355000,L5,326.30,316.94,301.18,293.82,297.60,300.29,305.93,295.04,282.45,297.98,280.67,293.41,284.81,286.18,283.27,275.32,270.13,263.84,246.07,252.90,244.64,,,,
2003-08-15 21:36:48.503000,L5,,,,,,,,,,,264.38,271.49,265.54,266.30,265.84,265.59,,,,,,,,,
