dates,nzd0233-0000,nzd0233-0001,nzd0233-0002,nzd0233-0003,nzd0233-0004,nzd0233-0005,nzd0233-0006,nzd0233-0007,nzd0233-0008,nzd0233-0009,nzd0233-0010,nzd0233-0011,nzd0233-0012,nzd0233-0013,nzd0233-0014,nzd0233-0015,nzd0233-0016,nzd0233-0017,nzd0233-0018,nzd0233-0019,nzd0233-0020,nzd0233-0021,nzd0233-0022,nzd0233-0023,nzd0233-0024,satname
1999-09-22 21:46:36+00:00,,,,,,,,,,346.85,348.26,341.31,340.72,341.04,340.75,339.65,332.23,,,,,,313.15,,,L7
1999-09-29 21:52:52+00:00,,,308.9,311.59,,304.78,309.43,305.57,308.05,329.59000000000003,330.09000000000003,323.235,324.765,323.76,323.525,319.95,312.81,,,270.3,,,296.5,268.68,,L7
2000-03-16 21:46:15+00:00,,,308.9,311.59,,304.78,309.43,305.57,308.05,329.59000000000003,330.09000000000003,323.235,324.765,323.76,323.525,296.27666666666664,291.94666666666666,239.51,,253.53,,,296.5,268.68,,L7
2000-05-03 21:45:55+00:00,,,,,,,,,,,,279.33,273.49,,266.46,254.635,247.755,239.51,,236.76,,,,,,L7
2000-05-26 21:51:48+00:00,,,,,,,,,,,,279.33,273.49,,266.46,254.635,247.755,239.51,,236.76,,,314.87,287.05,251.89,L7
2000-08-07 21:44:45+00:00,,,,,,,,,,,,279.33,273.49,340.41,266.46,254.635,247.755,239.51,,236.76,,,314.85,289.58500000000004,251.89,L7
2000-08-14 21:50:56+00:00,,,293.93,285.81,,287.4,281.65,278.84,,292.66,281.36,280.62,275.625,305.625,273.37,260.53666666666663,251.48000000000002,245.6,240.0,242.58999999999997,224.56,,314.85,289.58500000000004,251.89,L7
2000-09-15 21:50:25+00:00,,,293.93,285.81,,287.4,281.65,278.84,,290.22,280.185,279.91,275.4866666666667,296.12666666666667,276.44666666666666,269.84666666666664,254.72,254.995,239.24,250.675,231.74,,314.85,289.58500000000004,251.89,L7
2001-03-10 21:50:10+00:00,,,,,,,,,,287.78,279.01,274.59000000000003,272.26,272.0,273.505,271.71500000000003,262.20500000000004,255.47,244.8,245.56,238.92,,,,,L7
2001-04-04 21:43:43+00:00,,,,,,,,,,,,270.69,267.315,269.045,265.15,263.09000000000003,261.01,248.46499999999997,247.315,245.075,243.73,,,,,L7
2001-07-25 21:42:54+00:00,380.08,,,,,,,,,,,270.69,267.315,269.045,265.15,263.09000000000003,261.01,270.94,268.17333333333335,268.18333333333334,243.73,315.38,313.17,291.21,,L7
2001-08-26 21:42:25+00:00,380.08,,281.96,283.13,,280.26,284.62,279.27,,276.16,272.27,272.245,267.03,266.76666666666665,267.8933333333334,261.70666666666665,261.01,270.94,268.17333333333335,268.18333333333334,243.73,315.38,313.17,291.21,,L7
2001-09-27 21:42:05+00:00,380.08,,281.96,283.13,,280.26,284.62,279.27,,276.16,272.27,273.8,265.89,266.715,269.635,259.275,257.55,280.09,276.7,283.17999999999995,243.73,315.38,313.17,291.21,274.49,L7
2001-10-13 21:41:51+00:00,368.475,346.31,312.75,311.695,335.74,280.26,310.4,279.27,326.75,276.16,297.42499999999995,273.8,266.46,291.5,296.055,258.94,,307.79999999999995,301.865,306.94,297.83,311.04499999999996,310.32000000000005,301.66999999999996,274.49,L7
2002-05-16 21:48:34+00:00,,371.63,359.59,368.36,355.64,,355.87,,349.2,,,,,336.23,333.8,,,322.62,318.85,323.64,313.27,323.72,319.59,301.87,,L7
2002-06-01 21:48:28+00:00,378.67,372.53999999999996,359.59,368.36,360.69,,357.76,,349.2,,,,,341.64,338.71000000000004,,,326.83500000000004,326.025,323.64,313.27,329.34000000000003,321.76,308.75,,L7
2002-08-20 21:47:58+00:00,378.67,372.53999999999996,359.59,368.36,360.69,280.1,357.76,283.44,312.745,291.2,282.63,281.49,277.41,341.64,338.71000000000004,269.97,243.55,326.83500000000004,326.025,323.64,313.27,329.34000000000003,321.76,308.75,,L7
2002-08-29 21:41:39+00:00,377.40999999999997,370.0133333333333,359.15999999999997,362.865,359.97333333333336,280.1,355.42,283.44,312.745,291.2,282.63,281.49,277.41,341.90000000000003,340.53000000000003,269.97,243.55,326.59999999999997,327.28333333333336,325.83,319.76,329.80333333333334,328.5933333333333,315.97,,L7
2002-10-23 21:47:39+00:00,377.40999999999997,370.0133333333333,359.15999999999997,362.865,359.97333333333336,280.1,355.42,283.44,312.745,291.2,282.63,281.49,277.41,341.90000000000003,340.53000000000003,269.97,243.55,326.59999999999997,327.28333333333336,325.83,319.76,329.80333333333334,328.5933333333333,315.97,280.21,L7
2002-11-08 21:47:44+00:00,377.40999999999997,370.0133333333333,359.15999999999997,362.865,359.97333333333336,280.1,355.42,283.44,312.745,291.2,282.63,281.49,277.41,341.90000000000003,340.53000000000003,269.97,243.55,326.59999999999997,327.28333333333336,325.83,319.76,329.80333333333334,328.5933333333333,315.97,281.07,L7
2003-04-26 21:42:25+00:00,,,,,,,,,,,,279.99,270.08,269.08,260.91,259.34,229.75,,,,,,,,281.93,L7
2003-05-28 21:42:22+00:00,390.81,387.62,,,,,363.9,,,,,279.99,270.08,269.08,260.91,259.34,229.75,,,,344.62,356.4,348.25,332.22,285.9,L7
2003-07-23 21:30:14+00:00,358.555,352.28,301.18,293.82,297.6,300.29,334.91499999999996,295.04,282.45,297.98,280.67,286.70000000000005,277.445,277.63,272.09000000000003,267.33,249.94,263.84,,,344.62,356.4,348.25,332.22,285.9,L5
2003-08-15 21:36:48+00:00,358.555,352.28,301.18,293.82,297.6,300.29,334.91499999999996,295.04,282.45,297.98,272.525,281.63000000000005,273.4766666666667,273.8533333333333,270.00666666666666,266.75,249.94,263.84,,,344.62,356.4,348.25,332.22,285.9,L5
2003-08-24 21:30:48+00:00,353.59999999999997,345.98,311.92,307.855,306.96500000000003,309.5,330.3666666666666,303.415,293.385,304.45500000000004,272.525,287.02750000000003,280.6775,280.915,276.8625,273.185,262.58666666666664,274.36,,,344.62,356.4,348.25,332.22,286.41999999999996,L5
2003-11-19 21:38:14+00:00,352.5075,344.545,323.87,320.62333333333333,320.34,320.3533333333333,333.775,315.42333333333335,307.7033333333333,315.4266666666667,272.525,296.63750000000005,294.64250000000004,293.475,292.155,287.48,292.18666666666667,290.09,325.21,328.29,335.71500000000003,342.62,341.475,329.345,298.97666666666663,L5
2003-11-28 21:32:10+00:00,339.74,338.46500000000003,323.87,320.62333333333333,320.34,328.045,323.7333333333333,324.36,316.69,324.5375,272.525,296.63750000000005,294.64250000000004,303.15,292.155,298.86,304.6975,299.365,326.485,324.96500000000003,328.755,336.885,338.805,332.27,317.15333333333336,L5
2003-12-30 21:32:24+00:00,339.74,338.46500000000003,316.7125,320.62333333333333,320.34,328.045,316.7375,316.468,308.296,314.6,272.0233333333333,291.412,290.034,298.26500000000004,292.155,298.86,304.6975,299.365,326.485,324.96500000000003,328.755,310.59999999999997,338.805,304.9166666666667,308.425,L5
2004-01-22 21:38:40+00:00,348.17,345.76,323.7725,334.78666666666663,332.55333333333334,336.6075,318.59499999999997,321.092,313.092,316.226,279.7466666666666,294.224,294.48400000000004,302.45666666666665,299.3175,307.49,315.555,310.1775,318.55333333333334,318.84999999999997,321.15333333333336,306.69,324.06,300.885,308.054,L5
2004-04-04 21:33:01+00:00,339.93666666666667,349.8866666666667,314.6825,341.235,340.66499999999996,342.5733333333333,313.205,315.57800000000003,309.018,311.97200000000004,287.5033333333333,296.005,297.625,305.608,304.8433333333333,313.585,311.5125,305.46999999999997,302.6,303.5125,321.15333333333336,296.62399999999997,306.0175,300.885,307.36,L5
2004-06-07 21:34:54+00:00,341.03666666666663,344.985,309.225,328.6,327.92,329.595,308.575,295.76,294.6325,297.08,293.98249999999996,295.0425,294.375,293.3975,299.6333333333333,300.0133333333334,296.13000000000005,290.21,281.4533333333333,285.2733333333333,295.655,275.0825,278.74666666666667,269.5,290.76,L5
2004-06-30 21:41:46+00:00,341.03666666666663,344.985,313.8866666666667,328.6,327.92,329.595,312.84999999999997,301.19,301.27,304.49,301.6366666666666,296.1275,301.96666666666664,299.9166666666667,299.6333333333333,300.0133333333334,296.13000000000005,290.21,281.4533333333333,285.2733333333333,295.655,280.76666666666665,278.74666666666667,288.79,295.02,L5
2004-07-25 21:36:14+00:00,346.51,349.555,318.36999999999995,329.93,331.23,330.44,322.8566666666667,308.70500000000004,298.69,312.7633333333333,300.53499999999997,292.34666666666664,309.50333333333333,306.2266666666667,303.51666666666665,304.69000000000005,302.6166666666666,296.15000000000003,286.07,274.6,285.36,287.0933333333333,287.5133333333333,,283.47,L5
2004-08-26 21:36:59+00:00,353.825,353.2266666666667,326.21999999999997,337.96,339.88000000000005,341.48,329.84000000000003,322.2966666666667,314.71,320.78999999999996,316.53,292.34666666666664,318.5175,314.5575,313.6925,317.34250000000003,316.175,307.65500000000003,297.8175,293.5833333333333,307.295,296.09749999999997,298.0775,322.4,283.47,L5
2004-09-18 21:43:46+00:00,353.825,353.2266666666667,326.21999999999997,337.96,339.88000000000005,341.48,329.84000000000003,322.2966666666667,314.71,320.78999999999996,316.53,283.5475,318.5175,314.5575,313.6925,317.34250000000003,316.175,307.65500000000003,297.8175,293.5833333333333,307.295,296.09749999999997,298.0775,322.4,283.47,L5
2004-10-20 21:44:28+00:00,365.41499999999996,351.3225,338.7825,338.7975,339.5525,340.4875,338.51,338.6366666666667,330.82,331.65,332.92,282.1933333333333,330.51,327.8775,327.135,333.64250000000004,334.02,322.31500000000005,313.76750000000004,314.8,311.69,314.83000000000004,316.85999999999996,329.735,,L5
2004-12-07 21:45:24+00:00,369.71,356.5525,343.06333333333333,344.7666666666667,342.4875,341.7375,339.345,335.725,335.42,333.76,336.9133333333333,266.0,339.9075,338.7675,337.58000000000004,344.0125,346.34000000000003,334.2975,322.71333333333337,326.80333333333334,320.43666666666667,323.50750000000005,324.71,327.59,,L5
2004-12-23 21:45:40+00:00,369.71,356.5525,343.06333333333333,344.7666666666667,342.4875,341.7375,339.345,335.725,335.42,333.76,336.9133333333333,262.7366666666666,339.9075,338.7675,337.58000000000004,328.356,329.604,319.56000000000006,322.71333333333337,326.80333333333334,302.2525,323.50750000000005,324.71,327.59,253.08,L5
2005-02-18 21:40:18+00:00,360.28000000000003,350.41999999999996,336.3933333333334,338.7133333333333,337.11,337.14,333.6675,330.705,328.955,328.3925,329.8975,256.67999999999995,335.5725,334.11,332.77000000000004,322.076,322.68600000000004,314.48400000000004,315.24333333333334,318.78999999999996,298.946,319.2575,320.59000000000003,319.7775,279.8,L5
2005-05-09 21:40:56+00:00,348.495,346.1833333333334,327.06,324.9,326.54,324.49999999999994,325.53999999999996,319.2833333333333,318.15000000000003,318.0433333333333,315.4766666666667,256.21,325.55,323.92333333333335,319.75333333333333,305.345,303.015,300.6575,288.495,301.28666666666663,281.52,302.75,304.17,309.81999999999994,279.8,L5
2005-06-01 21:47:18+00:00,348.495,346.1833333333334,327.06,324.9,326.54,324.49999999999994,325.53999999999996,319.2833333333333,318.15000000000003,318.0433333333333,315.4766666666667,262.595,325.55,323.92333333333335,319.75333333333333,305.345,303.015,300.6575,288.495,301.28666666666663,281.52,302.75,304.17,309.81999999999994,279.8,L5
2005-06-10 21:41:12+00:00,356.09999999999997,343.9566666666667,333.8533333333333,331.3,329.5333333333333,328.23999999999995,329.2266666666667,322.21,320.33,321.80333333333334,319.47,287.44,321.17,321.8,319.00666666666666,291.1000000000001,299.2075,297.6325,288.495,288.075,271.4933333333333,291.28000000000003,302.81666666666666,296.34,279.8,L5
2005-06-26 21:41:16+00:00,354.83,342.49,331.35,329.29,327.03999999999996,325.83,327.1325,320.395,317.6675,320.7,318.6225,306.4733333333333,319.97249999999997,319.6275,317.8025,305.18333333333334,310.005,309.97333333333336,286.6166666666667,288.33,283.2166666666667,291.42333333333335,298.385,296.34,306.52,L5
2005-07-12 21:41:23+00:00,348.414,337.4,322.08599999999996,321.672,320.026,319.62,321.07800000000003,313.538,310.702,315.194,312.662,301.3225,311.872,308.72200000000004,307.668,293.6625,299.116,309.97333333333336,276.5875,280.3925,283.2166666666667,291.42333333333335,298.385,296.34,306.52,L5
2005-08-29 21:41:46+00:00,349.356,337.706,319.96399999999994,320.608,319.35600000000005,320.188,322.02,314.238,310.338,316.508,313.182,302.618,309.85200000000003,306.274,307.3,290.9725,297.458,305.05333333333334,271.9,276.455,278.6933333333333,286.69666666666666,293.0375,264.3,285.46,L5
