dates,satname,nzd0104-0000,nzd0104-0001,nzd0104-0035,nzd0104-0036,nzd0104-0037,nzd0104-0038,nzd0104-0039,nzd0104-0040,nzd0104-0041,nzd0104-0042,nzd0104-0043,nzd0104-0044,nzd0104-0045,nzd0104-0046,nzd0104-0047,nzd0104-0048,nzd0104-0049,nzd0104-0050,nzd0104-0051,nzd0104-0052,nzd0104-0053,nzd0104-0054,nzd0104-0055,nzd0104-0056,nzd0104-0057,nzd0104-0058,nzd0104-0059,nzd0104-0060,nzd0104-0061,nzd0104-0062,nzd0104-0063,nzd0104-0064,nzd0104-0065,nzd0104-0066,nzd0104-0067,nzd0104-0068,nzd0104-0069,nzd0104-0070,nzd0104-0071,nzd0104-0072,nzd0104-0073,nzd0104-0074,nzd0104-0075,nzd0104-0076,nzd0104-0077,nzd0104-0078,nzd0104-0079,nzd0104-0080,nzd0104-0081,nzd0104-0082,nzd0104-0083,nzd0104-0084,nzd0104-0085,nzd0104-0086,nzd0104-0087,nzd0104-0088,nzd0104-0089,nzd0104-0090,nzd0104-0091,nzd0104-0092,nzd0104-0093,nzd0104-0094,nzd0104-0002,nzd0104-0003,nzd0104-0030,nzd0104-0031,nzd0104-0032,nzd0104-0033,nzd0104-0034,nzd0104-0026,nzd0104-0027,nzd0104-0028,nzd0104-0029,nzd0104-0004,nzd0104-0021,nzd0104-0022,nzd0104-0023,nzd0104-0024,nzd0104-0025,nzd0104-0005,nzd0104-0006,nzd0104-0007,nzd0104-0008,nzd0104-0009,nzd0104-0010,nzd0104-0011,nzd0104-0012,nzd0104-0013,nzd0104-0014,nzd0104-0015,nzd0104-0016,nzd0104-0017,nzd0104-0018,nzd0104-0019,nzd0104-0020
1999-08-26 22:04:44.971000,L7,298.47,389.38,392.27,392.79,385.40,380.67,373.45,371.16,367.30,369.00,369.82,365.80,366.73,359.51,358.71,360.74,362.69,363.81,394.68,390.22,382.92,373.86,375.04,365.68,362.64,372.64,371.29,350.06,346.93,348.03,350.33,347.97,344.90,375.00,376.04,361.36,357.41,347.21,341.22,342.22,348.71,350.77,353.52,347.98,349.96,345.70,345.97,349.09,350.01,348.81,355.92,350.99,341.09,339.95,344.58,347.99,357.48,362.82,356.22,369.99,376.00,336.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-27 22:04:48.949000,L7,281.40,334.34,392.65,386.13,384.88,374.69,372.90,370.98,368.75,371.39,370.86,368.48,367.97,360.66,357.36,360.69,384.83,385.21,380.50,374.50,368.14,363.53,361.57,352.24,358.57,356.99,364.38,366.11,347.64,370.12,373.33,371.79,366.90,364.67,360.55,348.66,344.16,339.38,327.90,331.59,342.40,336.60,336.08,339.73,336.62,331.69,335.10,336.32,335.19,338.84,348.86,347.76,337.48,331.67,335.75,337.93,348.05,351.68,345.08,356.26,365.54,336.99,398.01,381.22,393.55,389.47,393.77,394.61,389.57,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-14 22:04:42.286000,L7,285.34,383.73,391.32,385.27,384.56,373.62,370.94,366.02,356.87,366.46,369.07,364.30,369.46,367.12,358.57,361.04,362.04,362.53,355.57,351.31,346.14,344.17,339.95,306.25,337.82,334.96,346.57,345.92,346.14,347.22,346.66,341.14,341.87,341.73,339.92,325.35,319.52,307.87,302.43,307.89,322.22,313.90,310.24,316.33,313.38,297.74,334.75,336.31,335.35,337.23,347.74,348.99,336.19,338.86,339.67,348.17,360.85,360.32,356.83,365.38,375.34,337.24,408.78,,391.14,389.42,392.89,393.16,389.44,393.18,386.95,391.14,393.36,,,,,,,,,,,,,,,,,,,,,,
2000-01-01 22:04:37.439000,L7,,,381.07,378.07,377.68,369.86,365.64,357.90,351.94,360.95,358.79,358.27,361.09,355.67,346.84,354.52,353.20,350.04,342.06,338.45,338.10,333.42,328.45,291.17,328.53,326.58,339.42,335.50,336.90,337.30,334.96,331.06,327.13,333.04,381.71,367.83,362.29,352.36,349.61,355.41,355.87,357.02,360.21,358.39,351.45,345.81,296.46,305.47,292.15,293.59,300.75,293.82,295.05,296.46,278.01,300.28,302.21,297.91,275.39,,,,,309.61,381.81,378.41,384.50,383.58,382.13,382.73,381.35,380.73,384.24,330.20,376.65,378.12,387.40,376.05,379.79,309.64,286.34,319.42,,,,,,,,,,,,,396.70
2000-02-18 22:04:29.218000,L7,,348.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.69,382.13,375.18,,,,,,,,,332.22,344.36,342.36,342.75,331.65,328.38,329.60,334.47,340.23,347.32,339.83,338.02,335.61,337.29,344.67,351.77,359.46,350.14,361.02,374.73,265.00,411.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-12 22:02:54.094000,L7,,,,,,,375.33,373.97,377.88,374.73,368.29,367.00,363.82,,,,,,,,,375.83,383.56,317.59,365.10,376.79,385.43,342.20,352.25,349.41,350.75,378.79,367.49,368.57,367.94,367.83,352.63,349.70,345.43,348.51,353.10,357.21,353.12,337.91,351.12,346.81,336.79,302.96,,,,,,,,,358.49,384.86,297.05,310.39,314.31,329.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-15 22:01:56.204000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.97,352.92,359.88,359.09,322.97,338.22,352.64,,,,,,,,,,,,,,,,,,,,,,,,,337.94,347.32,332.17,337.69,,,,,
2001-01-03 22:02:12.432000,L7,261.62,369.76,391.15,385.12,381.56,373.53,371.74,369.06,361.01,368.38,367.38,362.34,366.80,359.73,354.41,355.45,351.62,352.91,345.23,348.63,344.62,343.91,339.71,315.24,333.92,333.90,345.14,342.87,344.82,347.39,346.61,373.04,369.52,370.55,369.68,,318.39,341.66,338.61,334.28,335.18,344.59,342.55,351.86,348.91,349.32,352.98,314.10,349.40,348.10,349.06,342.83,336.65,338.69,339.60,346.24,360.90,359.22,356.62,320.14,323.53,336.50,,,391.01,388.04,392.86,393.40,388.10,,,,393.81,,,,,,,,,,,,,,,,,,,,,,
2001-08-15 22:00:38.680000,L7,,,379.76,378.29,375.92,369.38,363.47,356.63,349.91,355.12,365.22,371.51,325.26,268.90,341.42,350.85,346.99,354.40,343.20,341.83,339.30,340.60,332.54,318.86,330.61,331.16,340.80,338.59,340.31,340.32,342.06,341.44,341.63,348.66,355.82,328.70,315.74,301.55,291.82,304.07,358.97,362.28,359.86,364.29,354.41,358.97,350.69,357.43,357.41,360.18,356.63,367.03,346.73,347.40,348.74,358.30,367.03,305.80,279.86,,,,,,381.52,381.40,388.44,389.79,381.89,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-02 22:00:04.650000,L7,,297.07,361.28,344.78,357.49,362.51,370.01,325.33,287.27,,,,,,,,,,355.42,329.32,327.92,343.62,334.04,305.70,315.72,317.50,257.97,338.29,329.19,300.04,,,,,,,,,,,,339.06,379.85,326.52,303.06,284.08,254.28,291.23,285.60,290.68,293.63,289.50,292.10,293.16,268.86,291.84,289.70,287.91,264.48,,,,355.89,375.14,386.07,378.57,340.37,378.55,356.43,,,,385.85,356.58,,,,,,,327.96,361.05,351.76,372.28,349.85,350.30,339.91,343.09,402.57,,,,,,
2001-11-03 22:00:10.954000,L7,,,,,,,,,,,359.92,358.19,358.05,356.79,385.18,378.60,379.27,379.23,376.43,366.20,369.78,357.08,350.12,350.59,348.00,358.72,367.08,369.05,369.98,372.77,374.82,369.04,368.39,365.36,362.82,347.04,330.35,346.68,342.31,343.01,312.20,312.79,301.72,310.90,308.03,286.77,301.56,311.83,299.15,307.97,309.46,299.13,301.56,302.08,294.89,309.76,311.98,307.56,287.64,314.02,324.39,331.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-05 22:00:18.987000,L7,263.69,371.10,384.22,386.14,382.09,375.41,372.01,369.36,361.14,366.55,364.14,381.60,381.51,378.68,366.43,370.96,371.51,369.80,368.20,367.99,365.61,358.04,348.78,329.51,350.83,357.38,358.24,359.20,350.79,370.10,348.67,355.62,,,,,,,,,329.50,314.26,335.55,325.56,326.31,322.44,345.99,314.82,301.66,310.96,311.38,378.62,333.78,326.58,328.15,335.17,346.40,346.63,343.02,361.01,361.10,339.55,371.30,377.58,389.79,387.98,393.46,390.21,386.87,,,,393.99,393.45,,,,,,,,,,,,,,,,,,,,,
2001-12-21 22:00:29.925000,L7,,,378.84,378.48,373.62,368.89,363.33,361.55,360.97,364.67,357.70,356.80,358.49,355.47,345.73,347.94,349.33,393.23,385.51,384.29,383.54,375.83,368.07,369.08,363.99,376.57,376.20,339.51,342.39,343.52,344.90,341.17,338.78,374.53,340.30,363.66,350.88,344.96,338.28,345.94,350.50,354.61,357.03,353.99,342.90,337.55,340.59,340.80,341.19,354.44,354.31,339.84,337.60,330.98,337.28,347.03,354.95,358.00,346.71,,,,,,,,368.09,380.96,374.91,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-22 22:00:40.906000,L7,261.65,406.10,383.04,384.44,377.18,373.89,372.17,368.55,361.12,366.53,368.35,362.56,365.46,359.38,355.47,353.63,349.29,351.19,345.33,343.77,345.06,337.09,337.39,329.34,333.25,334.89,342.51,341.78,344.52,345.90,346.23,344.33,342.50,342.23,381.67,374.93,356.87,348.05,341.45,342.12,353.02,365.62,363.67,351.16,345.55,336.63,337.51,337.94,342.86,346.29,347.19,338.04,334.48,330.17,335.92,343.61,351.61,359.47,350.59,361.39,375.61,,,,386.74,384.99,393.37,386.88,386.14,384.81,386.87,389.32,393.28,,400.91,396.97,391.42,382.04,383.73,,,,,,,,,,,,,,,,
2002-02-23 22:00:43.620000,L7,,,,392.33,380.96,373.30,369.69,364.70,360.49,363.65,362.21,359.00,360.29,357.66,352.54,356.42,350.71,350.51,394.45,357.27,346.63,387.64,379.10,,,,,,,345.26,345.37,260.06,336.96,339.88,,,248.36,308.41,296.08,305.58,309.98,310.42,305.50,310.51,310.27,291.84,300.52,309.43,300.36,311.01,309.05,302.07,300.44,302.09,293.57,308.34,312.43,309.52,287.78,315.11,324.45,249.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-27 22:00:37.575000,L7,,,388.75,385.67,383.61,373.57,371.93,379.88,,,368.06,363.44,365.91,360.26,384.01,379.39,370.95,380.49,376.30,374.87,368.07,364.10,362.33,353.00,358.69,360.31,358.45,364.76,359.69,361.34,347.83,344.94,375.49,366.91,360.78,346.83,344.40,332.53,326.80,330.83,342.07,345.61,347.09,343.02,337.57,325.31,328.06,335.34,335.33,335.41,338.38,334.22,327.08,328.23,329.31,337.18,348.29,348.36,343.87,356.22,372.36,337.01,,,,,392.11,392.78,382.36,,,,,,,,,,,,,,,,,,,,,,,,,,
