dates,satname,nzd0256-0000,nzd0256-0001,nzd0256-0002,nzd0256-0003,nzd0256-0004,nzd0256-0005,nzd0256-0006,nzd0256-0007,nzd0256-0008,nzd0256-0009,nzd0256-0010,nzd0256-0011,nzd0256-0012,nzd0256-0013,nzd0256-0016,nzd0256-0017,nzd0256-0018,nzd0256-0019,nzd0256-0020,nzd0256-0021,nzd0256-0022,nzd0256-0023,nzd0256-0024,nzd0256-0025,nzd0256-0026,nzd0256-0027,nzd0256-0028,nzd0256-0029,nzd0256-0030,nzd0256-0015,nzd0256-0014
1999-08-21 21:46:56.985000,L7,307.41,300.18,296.47,301.38,305.25,314.77,323.67,328.29,344.48,355.21,342.38,309.81,289.75,267.19,303.05,353.99,379.44,380.54,380.79,346.53,344.33,356.63,345.81,336.41,318.21,309.28,287.12,274.66,268.49,,
1999-09-22 21:47:00.785000,L7,313.84,304.49,231.12,305.73,266.63,332.85,490.26,525.82,525.31,195.34,203.79,434.40,,,,209.14,284.56,354.70,366.99,350.24,336.84,340.50,336.32,329.79,314.04,323.12,286.47,292.24,254.16,,
1999-10-24 21:46:56.203000,L7,233.11,227.49,224.38,192.39,215.95,196.82,,,278.31,272.23,246.88,218.15,191.78,,,,,,314.25,272.80,,,283.99,210.96,228.71,211.48,184.62,236.93,230.33,,
2000-02-13 21:46:48.016000,L7,188.52,192.20,189.98,,,,,,,,,,,,,,187.66,285.60,304.91,,,,,,,,,,,,
2000-04-01 21:46:34.573000,L7,300.74,297.75,299.77,297.54,305.20,316.49,326.32,332.70,346.61,349.23,366.61,342.69,312.59,220.25,,231.17,287.56,359.74,378.37,344.38,345.75,347.52,333.61,330.87,312.66,302.16,288.35,273.92,263.06,,
2000-05-19 21:46:07.873000,L7,351.10,318.14,319.31,318.12,323.78,327.37,335.09,298.69,328.29,329.72,314.01,297.30,275.36,288.58,,249.18,371.05,395.75,374.22,363.60,207.37,227.67,220.18,191.94,317.84,304.53,294.64,292.13,278.83,,
2001-04-04 21:44:06.948000,L7,306.79,298.16,299.82,298.54,311.03,319.95,324.02,328.71,329.55,336.13,332.51,314.57,261.70,187.59,207.42,359.24,338.16,380.26,407.42,390.58,227.70,203.88,212.94,177.43,315.19,306.34,292.83,284.67,266.17,,
2001-05-22 21:43:54.652000,L7,417.21,417.06,385.90,412.32,413.24,308.46,306.83,308.17,322.61,313.45,311.02,299.96,237.65,,,296.17,318.45,386.29,385.11,363.72,354.92,353.07,341.25,339.66,324.88,318.99,295.50,286.80,267.83,,
2001-07-25 21:43:18.753000,L7,254.15,247.46,238.18,160.76,167.13,162.55,208.80,204.17,170.52,168.24,283.95,262.13,225.84,,,,272.35,337.57,313.84,282.57,,307.79,312.68,300.31,302.55,271.54,273.35,267.39,253.73,,
2001-09-27 21:42:29.269000,L7,337.03,354.98,334.27,337.16,332.65,346.70,342.83,358.42,360.94,354.27,344.89,336.90,303.84,262.31,270.18,359.43,425.45,429.16,378.76,360.80,357.36,352.34,405.37,402.45,381.07,306.85,293.10,279.50,268.42,155.12,
2001-10-13 21:42:15.922000,L7,324.04,315.00,322.53,329.20,321.99,333.97,333.57,355.45,358.69,353.48,333.72,325.19,287.95,268.51,221.25,324.10,422.98,430.85,377.51,349.19,351.02,353.10,347.87,334.68,321.14,312.08,294.53,289.25,269.18,,
2001-10-29 21:42:21.289000,L7,324.28,324.09,319.60,323.94,327.93,329.95,336.38,351.36,357.10,357.04,328.04,307.64,279.03,248.05,185.92,337.78,425.12,438.33,394.46,374.61,386.69,390.10,356.06,346.25,325.96,311.40,294.04,285.10,277.52,,
2002-01-17 21:42:52.816000,L7,324.02,314.20,316.53,318.07,325.13,333.54,333.83,336.97,345.68,376.57,335.25,322.95,268.35,201.26,320.52,411.48,410.52,442.82,429.42,416.83,407.33,392.76,374.75,368.88,340.05,313.65,306.90,283.00,272.65,,
2002-02-18 21:42:54.191000,L7,304.54,301.76,236.74,245.09,281.88,287.68,283.73,295.38,338.95,349.66,325.43,310.34,251.50,171.40,,208.71,286.41,358.23,370.03,355.91,345.95,349.64,336.69,332.48,314.66,299.43,290.47,274.79,266.84,,
2002-04-07 21:42:52.870000,L7,371.70,268.50,274.76,277.01,294.83,359.65,356.20,364.96,361.34,358.02,350.74,328.42,290.03,154.49,,224.27,349.83,362.23,374.59,348.23,351.34,351.56,345.25,337.19,319.88,306.72,294.72,280.73,272.99,,
2002-09-14 21:41:55.072000,L7,329.96,328.29,326.20,327.69,328.87,334.70,339.17,359.15,380.37,385.58,345.93,325.23,306.80,238.98,303.38,343.93,383.84,401.16,386.00,368.17,362.92,352.68,351.03,346.80,329.01,308.23,300.36,281.13,269.01,,
2002-09-30 21:41:47.719000,L7,237.61,227.13,224.44,224.79,220.64,166.46,215.60,220.98,173.13,276.56,263.30,223.12,184.68,,,,,,,,,294.18,289.86,205.66,,,,,,,
2002-11-01 21:41:54.382000,L7,334.49,330.75,330.29,330.18,332.42,342.67,343.03,348.63,353.30,353.21,331.75,314.23,295.48,290.86,310.46,331.20,366.73,386.01,375.53,364.51,356.44,353.42,345.99,339.06,330.10,310.60,306.96,287.43,275.62,,
2003-01-20 21:42:33.373000,L7,318.80,315.02,328.10,334.75,324.87,313.24,319.02,317.62,326.41,326.13,308.06,281.57,283.12,270.01,,214.66,291.10,360.07,375.28,395.75,356.56,354.45,343.23,335.05,323.94,310.50,320.28,285.21,278.06,,194.13
