dates,satname,nzd0574-0000,nzd0574-0001,nzd0574-0002,nzd0574-0003,nzd0574-0004,nzd0574-0005,nzd0574-0006,nzd0574-0007,nzd0574-0008,nzd0574-0009,nzd0574-0010,nzd0574-0011,nzd0574-0012,nzd0574-0013,nzd0574-0014,nzd0574-0015,nzd0574-0016
2003-08-29 21:50:14.179000,L5,191.03,201.07,190.73,203.08,187.95,207.71,217.07,207.01,205.37,209.99,151.65,172.47,206.13,209.31,208.80,212.15,209.87
2003-09-14 21:50:30.542000,L5,181.06,183.22,103.15,115.90,,,208.79,208.06,197.70,205.23,148.99,175.95,207.85,210.53,209.02,212.87,211.09
2003-09-30 21:50:42.209000,L5,236.33,239.55,249.63,250.13,249.54,247.46,245.77,246.88,249.27,245.91,250.77,246.18,256.80,253.78,250.96,247.90,246.33
2003-10-16 21:50:55.996000,L5,232.93,238.00,243.46,244.38,242.67,246.00,244.36,243.12,245.64,245.72,256.76,257.97,259.26,256.18,251.86,248.34,238.26
2004-01-04 21:51:46.048000,L5,232.84,247.07,264.07,264.18,262.31,265.15,273.28,272.44,257.21,251.77,255.18,263.39,260.89,255.08,255.62,254.86,246.38
2004-04-09 21:52:31.725000,L5,209.72,211.20,211.43,217.79,204.12,219.27,222.15,220.18,209.21,214.42,211.85,190.51,217.67,220.93,215.82,222.77,215.25
2004-07-14 21:55:18.989000,L5,191.83,198.49,196.50,97.15,,,,,,183.33,142.01,138.42,82.75,31.57,159.36,207.66,203.06
2004-07-30 21:55:39.919000,L5,193.47,196.13,190.65,198.21,,,,,,174.66,147.15,153.03,48.97,115.67,174.38,174.47,
2004-08-15 21:56:01.630000,L5,198.66,198.53,200.94,210.63,58.68,218.61,220.49,215.13,205.00,205.83,158.17,160.79,92.70,212.38,175.61,,
2004-10-02 21:57:14.880000,L5,182.88,193.99,197.15,207.27,,,,,,196.47,155.30,179.08,87.88,200.28,160.32,187.25,
2004-10-18 21:57:35.668000,L5,229.39,234.32,250.73,251.04,247.40,250.87,244.91,241.38,242.67,238.59,243.18,242.60,244.88,249.82,245.27,246.97,242.79
2005-01-06 21:59:00.856000,L5,226.22,230.65,249.38,246.15,240.86,242.06,238.22,242.28,240.89,235.36,244.25,251.35,252.78,248.62,243.10,246.03,240.60
2005-02-23 21:59:43.397000,L5,248.54,252.73,271.38,267.97,271.99,276.91,279.24,274.27,289.78,272.49,270.79,269.02,273.08,269.88,265.70,257.87,250.67
2005-03-11 21:59:55.791000,L5,199.43,193.99,191.91,206.16,69.09,215.64,205.79,215.23,193.48,207.06,184.31,170.64,128.61,203.92,199.51,209.83,205.38
2005-03-27 22:00:03.252000,L5,201.77,200.86,202.31,209.41,191.49,216.42,209.19,216.31,197.75,212.74,167.37,177.61,213.43,223.38,213.54,222.45,213.61
2005-04-28 22:00:11.734000,L5,230.05,231.79,245.57,248.40,248.76,253.10,249.66,248.67,252.39,250.97,256.64,254.77,259.34,247.99,244.71,239.49,238.83
2005-05-30 22:00:27.276000,L5,195.28,198.98,198.64,206.68,,215.63,211.77,208.45,,206.46,161.65,147.47,105.04,208.86,54.92,108.25,108.16
2005-06-15 22:00:34.314000,L5,237.72,238.47,254.00,256.52,253.92,252.26,253.09,248.10,251.65,250.13,256.14,251.64,256.42,245.62,247.42,241.41,255.43
2005-09-19 22:01:08.704000,L5,199.93,193.26,193.98,6.07,141.27,143.09,129.26,122.89,91.70,220.52,177.81,180.03,208.84,207.37,204.32,213.31,208.63
2005-10-05 22:01:05.133000,L5,198.45,195.88,190.13,192.46,195.64,208.39,194.68,199.56,150.67,143.83,30.32,22.18,,,,211.32,102.23
2005-11-22 22:01:34.747000,L5,219.77,224.04,239.75,237.94,237.16,242.15,251.03,252.21,254.82,249.96,257.04,254.58,252.79,237.49,234.64,232.47,230.06
2006-01-25 22:03:05.026000,L5,219.00,223.46,238.16,238.11,238.16,250.81,248.79,252.91,249.82,249.73,255.04,251.37,245.96,241.18,234.98,231.68,230.98
2006-02-10 22:03:27.081000,L5,187.60,181.68,174.52,174.30,,,,,,143.00,107.59,32.61,0.06,,,,
2006-02-26 22:03:47.179000,L5,197.55,191.52,185.47,194.69,182.08,206.22,207.52,210.22,162.07,210.34,176.59,174.18,149.91,204.80,202.12,203.29,199.63
2006-05-17 22:05:09.745000,L5,201.15,203.61,211.03,217.84,207.98,218.81,218.97,220.61,209.36,222.98,177.18,173.99,156.57,212.30,219.10,218.06,214.84
2006-08-21 22:06:31.405000,L5,198.16,200.08,198.76,214.18,,222.01,220.38,210.06,,195.66,159.19,104.44,133.58,208.18,46.50,114.12,117.50
2006-09-06 22:06:43.491000,L5,178.47,175.21,178.28,182.00,,192.85,207.22,206.40,148.19,195.00,150.36,96.47,124.06,195.36,184.69,199.47,189.98
2006-09-22 22:06:54.827000,L5,193.69,195.65,192.81,203.24,191.44,208.00,211.09,211.16,125.84,209.11,169.42,172.55,213.46,215.19,211.53,217.62,210.73
2006-12-11 22:08:04.096000,L5,233.03,240.87,255.83,252.49,252.99,254.50,254.74,255.98,244.36,237.12,247.41,239.91,245.17,239.86,240.00,248.81,243.91
2007-09-09 22:06:09.271000,L5,198.00,193.60,198.65,126.73,152.64,127.60,136.94,133.70,98.35,203.57,168.20,130.61,141.68,206.60,208.05,213.39,209.41
2008-03-03 22:03:15.875000,L5,194.55,189.69,185.83,194.88,,,,,,130.64,131.50,86.69,51.88,,,199.26,190.12
2008-10-29 21:56:36.227000,L5,245.71,247.82,268.46,265.28,262.96,262.18,249.73,259.97,258.30,255.61,257.75,259.20,270.98,270.08,267.16,271.56,265.95
2009-02-02 21:58:34.187000,L5,229.78,231.70,249.72,243.06,245.21,248.29,247.91,250.50,255.94,254.82,256.59,253.24,255.69,255.77,249.14,242.55,236.80
2010-02-05 22:03:53.684000,L5,227.28,226.81,242.02,243.80,243.36,247.25,250.57,255.45,260.09,251.81,257.59,252.64,254.98,249.41,249.30,243.02,236.90
2010-02-21 22:03:56.549000,L5,223.00,224.74,247.96,242.05,241.40,247.58,243.00,248.72,257.73,253.00,260.98,251.30,255.89,253.93,251.75,240.54,240.36
2010-10-03 22:03:04.727000,L5,189.91,179.86,98.79,62.86,127.36,91.59,133.80,123.79,88.63,222.64,221.74,184.55,217.54,221.33,214.23,212.33,205.06
2010-11-04 22:02:50.090000,L5,233.12,239.35,260.20,259.56,261.69,263.13,271.82,275.30,279.11,276.88,274.07,264.93,268.83,272.25,267.68,263.34,276.60
2010-12-22 22:02:53.389000,L5,226.30,225.55,250.32,249.05,248.66,253.33,247.41,257.48,261.48,261.48,259.12,254.79,255.98,256.67,251.75,243.83,242.11
2011-01-07 22:02:56.182000,L5,217.54,220.85,239.51,236.34,235.97,241.71,242.06,243.21,247.95,244.58,252.53,249.55,250.73,251.46,253.44,249.41,240.87
2011-01-23 22:02:56.734000,L5,214.84,216.12,236.88,234.82,233.86,242.50,242.25,245.89,251.05,246.90,250.45,244.49,246.61,247.42,247.19,243.83,236.40
2011-02-08 22:02:59.125000,L5,364.84,373.61,256.10,244.78,249.87,252.04,256.25,248.30,255.53,253.46,257.05,257.05,263.90,255.32,255.23,250.12,243.87
2011-03-12 22:02:55.330000,L5,225.31,226.68,246.96,245.59,245.54,245.71,248.80,243.76,253.51,251.55,251.66,250.75,254.19,250.55,251.85,249.27,239.91
2011-03-28 22:02:50.009000,L5,232.46,232.19,251.83,250.39,250.06,252.80,248.47,247.71,255.20,257.17,254.58,250.14,259.64,254.91,254.68,253.14,244.99
2013-06-05 22:15:03.120000,L8,209.73,193.05,200.77,204.55,,,181.07,195.71,221.06,180.69,183.51,145.02,130.45,151.44,55.84,217.07,215.39
2013-07-07 22:15:00.081000,L8,245.09,242.41,258.16,249.78,251.29,254.25,246.61,244.38,246.85,263.19,246.87,261.32,255.49,242.51,243.71,244.46,236.15
2013-07-23 22:14:58.777000,L8,211.07,201.20,204.99,206.52,,219.43,,,225.33,184.62,175.54,141.65,141.14,165.66,220.79,217.71,
2013-09-25 22:14:53.099000,L8,234.73,233.54,248.74,246.82,245.68,246.90,244.78,243.10,251.32,246.83,250.03,242.98,251.24,246.13,251.25,243.54,232.63
2013-10-27 22:14:43.714000,L8,241.75,241.11,259.28,255.44,251.24,254.21,250.33,253.57,259.93,262.45,261.03,268.43,265.40,274.81,267.72,276.65,249.65
2013-11-28 22:14:37.848000,L8,217.46,214.48,230.69,229.66,232.34,236.20,226.04,227.86,237.67,233.26,238.31,221.11,236.65,234.95,235.30,232.44,229.37
2013-12-14 22:14:33.459000,L8,200.78,190.25,193.54,207.41,90.89,48.38,106.62,113.98,79.84,216.40,177.11,176.99,213.79,218.28,27.04,99.22,79.11
2013-12-30 22:14:25.215000,L8,199.26,186.03,190.69,196.71,180.94,190.87,154.49,205.85,214.30,213.41,165.12,161.67,121.01,133.39,30.08,100.39,93.82
2014-01-31 22:14:04.661000,L8,200.78,188.64,193.43,204.26,190.04,195.61,115.87,209.51,219.23,218.46,169.85,174.17,130.11,157.78,37.61,100.38,104.14
2014-02-16 22:13:50.683000,L8,,,,,332.67,253.28,256.15,238.95,265.20,259.45,270.43,272.56,256.12,261.65,255.61,268.75,268.07
2014-03-20 22:13:25.653000,L8,196.04,186.85,190.11,193.06,48.60,188.60,195.24,189.58,129.33,178.26,164.78,138.58,121.55,141.26,177.17,,
2014-04-05 22:13:10.561000,L8,226.27,230.31,246.51,243.94,244.46,246.95,243.01,242.45,248.71,254.31,247.58,238.31,248.70,243.40,244.87,239.08,236.08
2014-04-21 22:12:54.038000,L8,245.60,237.38,258.75,244.04,245.80,250.25,248.84,247.17,253.32,253.16,248.11,245.68,256.13,252.62,251.64,249.03,243.59
2014-05-07 22:12:37.911000,L8,203.23,186.79,198.48,191.46,84.71,205.58,202.33,152.05,,154.06,154.28,78.09,,,,,
2014-07-26 22:12:55.043000,L8,209.07,198.76,206.04,206.24,93.23,218.05,203.15,201.11,199.80,207.81,189.56,186.08,138.91,156.81,218.37,203.79,
2014-08-11 22:13:03.844000,L8,207.18,197.39,199.96,204.37,197.82,133.14,210.27,202.35,221.86,207.95,187.12,177.55,165.54,188.60,219.53,210.20,
2014-08-27 22:13:05.288000,L8,214.44,211.32,220.18,226.80,251.13,225.05,223.27,263.85,250.69,275.49,243.25,259.91,242.92,236.08,237.87,232.23,232.16
2014-09-28 22:13:08.778000,L8,199.20,184.00,189.09,152.49,142.57,194.21,198.85,204.24,213.08,212.89,167.42,176.71,169.61,163.11,30.57,101.01,101.13
2014-10-14 22:13:14.573000,L8,216.16,202.24,211.56,216.69,218.61,231.40,221.10,223.10,232.39,229.21,227.98,222.86,226.44,231.40,224.78,227.17,222.34
2014-11-15 22:13:13.466000,L8,199.69,186.44,190.24,201.57,12.31,58.96,111.07,119.02,86.74,213.06,174.87,179.26,191.84,213.85,210.52,210.67,209.11
2014-12-01 22:13:12.181000,L8,214.01,208.60,220.69,226.38,225.73,235.54,227.32,231.16,245.18,236.54,235.92,234.74,235.65,236.99,230.18,231.73,228.48
2015-02-19 22:12:49.582000,L8,192.47,186.22,189.52,191.97,184.27,188.29,196.67,192.34,140.78,179.01,161.34,146.12,121.41,139.13,80.23,164.15,
2015-03-07 22:12:42.077000,L8,196.61,188.37,191.53,193.67,15.62,189.36,115.35,197.91,212.80,196.40,170.09,150.35,124.40,142.01,81.31,101.40,104.80
2015-05-26 22:12:05.002000,L8,209.10,196.07,200.13,24.61,95.81,206.12,210.96,199.50,220.06,213.50,182.39,134.35,121.28,149.75,26.86,104.83,116.14
2015-06-27 22:12:22.174000,L8,248.43,256.41,260.37,257.13,260.72,263.65,260.18,262.49,265.02,265.84,260.21,265.37,268.89,271.46,265.12,266.31,268.21
2015-12-04 22:13:09.054000,L8,195.36,180.04,186.39,184.17,181.55,192.25,198.25,203.05,128.86,208.54,155.33,117.38,124.80,127.05,81.71,108.90,98.51
2015-12-20 22:13:09.373000,L8,211.52,206.52,218.65,218.09,228.80,232.88,223.41,228.12,234.91,232.21,232.90,228.22,231.41,232.63,229.77,232.20,229.14
2016-01-05 22:13:05.152000,L8,210.36,203.94,217.30,215.75,226.49,230.94,222.44,227.51,233.87,229.04,230.85,227.36,228.41,231.92,227.85,229.59,229.83
2016-01-21 22:13:05.936000,L8,194.31,183.56,189.59,113.44,,,,,,122.55,82.89,72.12,72.78,65.19,,,
2016-02-06 22:13:01.784000,L8,194.56,184.94,189.92,186.36,18.68,56.77,112.37,120.19,85.55,208.40,158.84,166.36,126.94,140.89,37.72,100.18,99.80
2016-02-22 22:12:54.448000,L8,210.49,204.84,217.93,216.21,220.22,42.22,76.44,43.52,233.85,227.81,226.59,224.25,226.78,226.53,229.23,228.30,226.83
2016-03-09 22:12:52.770000,L8,202.67,195.28,203.03,206.00,205.48,210.04,211.20,211.01,218.87,217.47,208.30,183.85,203.33,215.03,23.65,91.05,101.09
