dates,nzd0514-0000,nzd0514-0001,nzd0514-0002,nzd0514-0003,nzd0514-0004,nzd0514-0005,nzd0514-0006,nzd0514-0007,nzd0514-0008,nzd0514-0009,nzd0514-0010,nzd0514-0011,nzd0514-0012,nzd0514-0013,nzd0514-0014,nzd0514-0015,nzd0514-0016,nzd0514-0017,nzd0514-0018,nzd0514-0019,nzd0514-0020,nzd0514-0021,nzd0514-0022,nzd0514-0023,nzd0514-0024,nzd0514-0025,nzd0514-0026,nzd0514-0027,nzd0514-0028,nzd0514-0029,nzd0514-0030,nzd0514-0031,nzd0514-0032,nzd0514-0033,nzd0514-0034,nzd0514-0035,nzd0514-0036,nzd0514-0037,nzd0514-0038,nzd0514-0039,nzd0514-0040,nzd0514-0041,nzd0514-0042,nzd0514-0043,nzd0514-0045,nzd0514-0046,nzd0514-0047,nzd0514-0048,nzd0514-0049,nzd0514-0044
1999-12-07 22:13:41+00:00,,,,,,,,,,,329.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-13 22:13:06+00:00,,,,,,297.49,303.36,313.83,313.48,316.47,323.045,310.52,308.79,,316.92,318.09,316.54,314.61,315.94,321.24,321.62,325.05,334.28,331.97,,,,,,334.33,328.11,,320.66,,,,318.73,,,,,,,,,,,,306.4,
2000-05-08 22:06:44+00:00,,,320.24,,328.12,305.66499999999996,309.17,317.96,319.405,320.03,323.53333333333336,311.73,314.33000000000004,,316.92,322.03,322.98,322.06,323.645,321.24,327.23,328.53999999999996,336.645,336.415,342.54,344.45,,,,338.1,328.11,,320.66,,,,318.73,,,,,312.28,313.64,317.22,318.32,316.55,301.51,295.69,306.4,326.0
2000-05-15 22:12:54+00:00,,317.32,311.87,160.63,322.88,290.1933333333333,314.1366666666667,322.33,317.06333333333333,325.46666666666664,325.03,316.15333333333336,315.26666666666665,333.68,319.64,325.4433333333333,325.67,324.81,326.51,330.15,329.5833333333333,330.8333333333333,337.8,339.31666666666666,343.295,347.895,,,,341.03,333.67,,320.66,,,,323.235,320.96,,,,312.195,313.03,318.03,318.9,317.06,306.41999999999996,298.08000000000004,306.895,325.38
2000-06-25 22:06:19+00:00,303.56,312.87,311.87,160.63,322.88,290.1933333333333,314.1366666666667,322.33,317.06333333333333,325.46666666666664,323.56999999999994,316.15333333333336,315.26666666666665,317.065,319.64,315.5875,325.67,324.81,326.51,330.15,329.5833333333333,330.8333333333333,337.8,339.31666666666666,343.295,325.9733333333333,283.74,,,341.03,333.67,,310.41,,297.79,,306.24,303.825,,,272.24,303.3066666666667,299.81,318.03,308.0366666666667,311.56,301.53,298.08000000000004,304.6166666666666,325.38
2000-07-27 22:05:48+00:00,303.56,312.87,311.87,154.64,316.05333333333334,287.9825,314.1025,319.1175,315.03499999999997,323.525,322.80999999999995,314.1075,314.8425,320.1766666666667,316.25333333333333,317.236,321.43,323.145,327.6625,330.15,327.83,327.03,335.5875,338.2825,337.75333333333333,325.9733333333333,283.74,355.8,,341.03,332.9766666666667,327.69,310.41,323.97,297.79,323.75,306.24,303.825,298.18,282.56,272.24,304.99,301.6,318.20666666666665,310.345,313.665,304.8175,296.55333333333334,307.9525,324.43666666666667
2000-09-20 22:11:14+00:00,296.745,312.87,311.87,154.64,316.635,290.584,311.24,316.752,312.094,316.87199999999996,320.70199999999994,314.1075,309.5,318.5125,310.6625,315.41,319.172,318.424,327.6625,325.2,325.368,324.156,332.88599999999997,333.038,334.05,319.65749999999997,298.895,343.33500000000004,328.99,330.7175,325.265,315.15,309.7766666666667,313.07000000000005,303.635,318.005,303.75,300.86999999999995,292.865,283.695,270.81,303.07399999999996,299.832,313.2525,310.37399999999997,311.762,303.034,297.865,306.788,320.8225
2001-01-03 22:05:00+00:00,303.98,318.76,321.56,148.65,312.93333333333334,294.23,306.895,308.385,306.77,305.25333333333333,315.52,302.45500000000004,303.54,318.57666666666665,304.18,313.14000000000004,310.36333333333334,310.19666666666666,331.12,315.3,319.04499999999996,314.14,325.04333333333335,324.7266666666667,325.45,317.225,329.20500000000004,343.4166666666667,334.08500000000004,299.78,316.85999999999996,315.15,308.74,313.07666666666665,309.855,315.50666666666666,300.125,295.635,291.72333333333336,284.51666666666665,268.94,299.75666666666666,299.5433333333333,307.24333333333334,313.87999999999994,312.06499999999994,305.2900000000001,297.65,310.0450000000001,316.265
2001-02-27 22:11:06+00:00,303.98,318.76,321.56,,318.2,304.38666666666666,303.19,311.405,305.68,299.03,314.52666666666664,304.71500000000003,302.70666666666665,317.15333333333336,307.1166666666666,309.7366666666667,312.46,306.22,,315.3,315.52,312.66,323.09000000000003,319.5,324.84000000000003,317.225,329.20500000000004,337.225,334.08500000000004,299.78,302.13,302.61,308.74,307.63,309.855,311.385,300.125,295.635,288.495,288.92,269.28333333333336,297.93666666666667,299.3066666666666,306.08,311.83000000000004,306.25,302.56,297.58500000000004,302.54499999999996,313.185
2001-04-16 22:10:54+00:00,321.78499999999997,318.75,304.74,,306.095,301.66333333333336,304.13,314.865,310.48,307.32500000000005,314.5733333333333,305.18666666666667,298.36333333333334,318.05333333333334,311.1333333333334,311.12666666666667,313.7733333333333,310.815,314.6,,,319.45,325.9,328.185,328.63,329.435,343.855,338.96,342.25,326.22,320.53,314.75,310.785,313.03,314.63,310.905,307.305,291.36,294.54499999999996,293.36333333333334,272.1466666666667,300.9633333333333,304.84999999999997,309.89,312.115,307.165,304.85,292.405,299.29499999999996,314.57
