dates,satname,nzd0514-0000,nzd0514-0001,nzd0514-0002,nzd0514-0003,nzd0514-0004,nzd0514-0005,nzd0514-0006,nzd0514-0007,nzd0514-0008,nzd0514-0009,nzd0514-0010,nzd0514-0011,nzd0514-0012,nzd0514-0013,nzd0514-0014,nzd0514-0015,nzd0514-0016,nzd0514-0017,nzd0514-0018,nzd0514-0019,nzd0514-0020,nzd0514-0021,nzd0514-0022,nzd0514-0023,nzd0514-0024,nzd0514-0025,nzd0514-0026,nzd0514-0027,nzd0514-0028,nzd0514-0029,nzd0514-0030,nzd0514-0031,nzd0514-0032,nzd0514-0033,nzd0514-0034,nzd0514-0035,nzd0514-0036,nzd0514-0037,nzd0514-0038,nzd0514-0039,nzd0514-0040,nzd0514-0041,nzd0514-0042,nzd0514-0043,nzd0514-0045,nzd0514-0046,nzd0514-0047,nzd0514-0048,nzd0514-0049,nzd0514-0044
1999-12-07 22:13:41.663000,L7,346.67,361.80,367.75,329.90,375.21,370.05,362.68,361.24,369.58,329.40,368.43,356.07,357.34,502.40,486.48,516.16,485.19,483.67,469.67,504.66,366.93,356.69,359.84,365.07,372.57,351.30,379.52,367.89,365.98,360.25,352.88,355.59,351.71,346.19,336.07,331.53,352.33,337.27,332.82,308.75,288.26,334.29,317.64,349.32,343.53,348.01,342.56,336.91,344.26,
1999-12-16 22:07:33.708000,L7,319.11,314.25,317.76,318.66,317.72,299.56,297.92,310.00,311.02,309.16,314.40,299.87,307.18,316.79,313.21,312.51,311.57,313.18,314.75,316.65,318.13,324.42,164.62,206.71,245.85,228.07,253.38,248.11,344.06,330.29,325.25,323.44,326.71,324.49,330.09,320.99,313.68,305.66,301.89,296.82,284.72,309.87,341.62,319.88,242.73,267.35,266.29,294.40,306.11,256.23
2000-04-13 22:13:06.040000,L7,319.70,315.85,300.97,,299.62,292.17,298.43,311.29,311.34,315.44,314.35,309.45,306.28,327.96,315.92,314.39,312.97,313.59,314.91,319.20,319.13,322.99,331.39,329.91,199.43,202.11,198.46,348.76,345.49,329.70,322.05,320.24,318.33,323.77,324.46,325.52,317.40,312.17,298.64,302.47,281.46,315.00,311.90,292.69,315.38,313.81,304.34,306.20,304.23,318.43
2000-05-08 22:06:44.900000,L7,329.64,320.61,305.86,318.79,323.90,310.00,313.49,320.29,322.00,321.18,321.03,310.63,317.49,328.48,319.69,323.20,327.51,327.80,329.32,330.29,331.11,330.08,337.81,337.59,341.26,343.09,348.66,357.72,351.03,338.91,334.67,333.26,333.23,333.67,326.28,330.00,327.35,317.65,309.62,307.49,331.10,310.71,312.05,311.31,316.28,314.73,299.36,293.57,301.13,323.70
2000-05-15 22:12:54.183000,L7,329.78,323.47,338.32,169.59,335.60,312.78,464.38,445.64,443.14,343.52,334.64,331.21,320.47,338.00,326.84,336.44,334.58,334.50,334.30,343.04,336.18,337.56,341.81,347.04,346.31,354.93,362.87,365.18,358.04,351.42,342.94,339.53,356.02,339.49,343.94,365.99,365.98,354.43,320.00,313.98,350.81,314.28,316.03,324.68,321.90,318.80,312.97,305.78,309.88,326.02
2000-06-25 22:06:19.852000,L7,315.63,312.60,,,,,,,,,196.40,222.48,280.09,306.95,275.92,292.76,288.56,264.40,268.43,326.34,268.63,264.57,265.43,250.46,283.27,288.15,345.07,349.78,324.68,203.04,287.75,325.65,304.95,293.77,311.19,209.25,310.67,312.24,279.33,178.44,288.58,308.84,283.81,260.51,292.39,306.18,295.49,220.94,307.68,252.96
2000-07-27 22:05:48.258000,L7,345.97,334.89,304.23,,,,309.43,303.74,298.61,167.07,314.95,300.70,311.27,317.34,303.56,317.39,300.72,277.17,328.56,329.88,265.53,305.66,322.06,267.06,313.21,316.73,358.69,339.82,343.04,351.51,282.34,325.38,318.88,318.65,325.44,317.16,316.00,320.89,291.42,274.60,316.58,306.49,303.63,270.79,310.66,315.08,307.52,289.45,313.64,313.10
2000-09-20 22:11:14.930000,L7,332.28,325.40,314.58,311.07,318.38,300.99,299.79,307.29,300.33,290.26,312.27,310.42,288.13,313.52,293.89,306.28,310.14,299.54,278.81,315.30,315.52,312.66,322.08,312.06,322.94,300.71,314.05,330.87,328.99,299.78,302.13,302.61,308.51,302.17,309.48,312.26,296.28,294.96,287.55,284.83,269.38,295.41,292.76,298.39,310.49,304.15,295.90,301.80,302.13,309.98
2000-12-18 22:05:01.704000,L7,461.33,436.77,427.59,491.45,436.04,432.51,416.76,444.18,438.85,458.76,427.68,446.77,484.28,467.67,413.25,398.08,413.96,407.78,407.40,420.66,419.45,395.06,411.04,425.34,423.64,422.53,440.92,428.92,422.30,359.96,344.06,332.17,336.58,339.10,341.36,405.35,392.52,383.80,379.35,384.02,393.68,401.58,428.27,419.72,383.16,387.26,415.71,414.09,397.47,384.27
2001-01-03 22:05:00.181000,L7,318.03,318.76,321.56,318.93,318.02,300.35,298.03,304.95,311.03,307.80,313.76,296.94,308.92,315.81,309.17,309.31,312.24,312.90,220.05,177.16,232.00,243.65,324.10,326.94,326.74,333.74,344.36,343.58,339.18,327.63,317.26,310.73,308.97,313.09,310.23,310.51,303.97,296.31,289.44,286.16,268.50,293.82,298.90,304.78,306.29,306.29,299.79,291.91,295.99,312.59
2001-02-20 22:05:00.525000,L7,330.32,322.24,323.92,320.80,320.24,301.47,301.38,308.99,313.52,309.80,463.44,464.76,488.40,459.41,315.85,311.67,313.55,314.15,315.44,196.92,234.02,242.64,328.58,330.34,331.67,334.98,340.82,344.63,341.85,329.37,320.13,461.85,498.37,494.52,471.93,315.13,307.38,300.57,294.16,288.01,272.58,300.18,308.88,314.39,313.86,309.27,307.36,366.79,364.33,316.71
2001-02-27 22:11:06.137000,L7,303.81,297.48,,,,,,,,,153.57,259.21,225.81,213.27,216.21,273.25,270.99,267.54,262.64,254.93,272.62,317.53,275.79,283.42,284.71,284.49,210.64,319.05,257.77,240.03,265.88,204.59,253.00,276.10,308.43,220.84,271.66,269.88,218.32,256.92,258.52,292.06,292.22,291.68,274.29,158.49,296.40,287.33,287.17,255.90
2001-04-09 22:04:41.882000,L7,339.44,336.73,343.90,329.29,333.17,313.74,309.55,321.58,322.96,312.35,319.57,314.64,291.43,322.75,319.56,323.08,319.28,316.70,321.79,324.58,326.97,328.70,330.32,334.21,334.95,341.24,346.09,348.58,393.95,386.49,380.56,355.90,318.96,315.32,380.96,376.01,374.16,372.54,338.25,366.03,372.23,365.78,371.07,379.16,379.46,495.12,431.56,337.93,496.12,384.28
2001-04-16 22:10:54.636000,L7,327.27,319.90,308.16,324.68,271.46,296.11,302.85,315.19,310.83,309.42,313.24,307.83,276.88,317.03,308.42,312.24,314.81,311.14,315.22,206.82,235.87,320.20,328.61,330.72,331.81,334.14,343.77,342.37,346.24,326.82,321.96,316.07,313.72,313.39,319.30,311.62,310.88,286.93,300.06,299.05,278.39,304.75,309.65,310.61,311.90,306.26,301.77,291.72,296.93,313.13
2001-07-05 22:10:09.496000,L7,332.62,310.45,315.78,302.81,294.04,285.51,311.72,200.85,199.25,176.52,323.59,324.62,271.65,294.10,305.03,320.67,315.43,296.66,324.50,313.85,333.14,308.68,324.28,344.83,335.37,342.27,339.46,357.15,338.18,318.31,302.67,315.28,276.07,250.59,296.33,303.95,307.76,299.37,304.86,296.65,265.45,301.26,310.89,314.88,313.24,309.17,302.76,291.06,297.98,317.54
2001-08-15 22:03:26.328000,L7,324.76,320.77,312.73,,268.05,262.16,301.45,240.18,308.06,272.03,284.03,307.83,289.91,300.09,276.53,301.08,299.71,273.71,314.84,272.92,262.60,259.95,263.24,263.37,293.76,306.07,280.66,301.89,314.89,223.48,276.31,292.70,297.81,293.12,271.25,302.67,254.43,296.85,261.21,266.98,267.67,290.17,303.13,295.92,300.04,304.75,297.97,287.17,299.98,305.91
2001-11-03 22:02:58.699000,L7,326.33,324.11,310.94,361.70,260.22,362.74,329.03,318.51,320.98,324.98,314.50,317.04,411.44,352.30,364.23,353.56,357.96,392.66,420.63,429.84,410.92,422.06,412.06,398.41,489.74,471.71,430.41,442.11,463.56,491.75,283.40,230.43,210.02,193.18,150.33,,,468.08,447.53,219.80,,,,496.26,411.63,443.94,364.22,475.81,,424.87
2001-11-26 22:09:21.320000,L7,447.18,461.76,471.51,465.71,462.04,470.24,462.66,445.07,461.52,,454.11,422.63,449.88,432.21,416.57,396.02,418.39,,,434.86,392.38,423.47,410.81,467.91,431.15,360.88,384.54,381.51,375.92,357.37,351.12,348.64,351.39,356.36,359.95,355.30,503.72,393.00,423.96,453.56,436.26,422.34,443.43,420.85,400.48,390.66,393.83,490.90,485.80,410.13
2001-12-12 22:09:26.650000,L7,423.08,436.08,439.03,429.30,317.21,396.14,397.07,484.70,421.23,314.48,317.04,303.62,305.78,323.14,316.96,316.40,320.05,317.36,323.78,320.24,311.30,325.50,327.65,328.96,334.31,327.01,328.09,336.38,328.98,334.09,314.26,311.26,307.43,313.56,312.81,301.46,304.61,301.83,303.42,290.68,275.82,295.74,299.27,304.51,307.60,307.58,308.18,292.43,294.40,305.50
2002-01-29 22:09:33.112000,L7,465.96,377.64,377.98,399.29,453.33,386.46,376.51,313.08,312.68,318.16,316.60,310.77,310.62,317.71,317.39,314.58,314.97,315.42,315.48,315.45,314.74,321.51,326.66,331.63,333.74,327.86,326.15,330.93,397.54,396.41,387.08,381.10,375.37,373.28,311.54,304.62,304.52,297.98,292.13,288.84,272.70,296.81,297.43,306.27,304.31,301.21,300.44,292.20,293.53,307.37
2002-02-23 22:03:31.354000,L7,338.59,326.77,324.44,322.64,323.03,310.37,308.43,318.58,321.24,320.27,320.01,310.98,313.38,331.66,319.14,323.39,321.55,319.54,322.86,319.95,316.22,414.27,417.63,400.93,424.76,328.27,328.37,335.42,339.03,332.91,317.92,314.68,316.99,315.00,316.57,308.95,308.97,299.62,296.89,291.84,274.77,295.88,300.16,308.32,314.42,311.93,309.71,302.17,304.03,313.94
2002-03-11 22:03:31.366000,L7,327.49,323.16,322.81,320.72,320.26,312.89,305.77,319.35,319.28,319.86,319.81,309.92,310.93,324.95,320.08,321.19,323.31,324.55,319.48,318.22,315.90,326.40,327.93,332.56,331.92,327.35,327.69,332.18,335.46,327.14,313.77,312.45,316.49,315.45,317.54,307.36,310.45,298.45,295.51,293.23,270.95,295.88,299.27,310.01,312.40,307.62,305.80,292.96,301.88,314.55
2002-04-12 22:03:25.302000,L7,330.92,321.79,323.56,321.10,319.33,309.30,307.95,319.51,326.01,323.02,322.80,313.71,312.02,323.55,322.42,325.13,327.35,484.64,496.31,510.79,459.66,328.72,333.81,339.76,342.38,334.04,329.26,333.94,337.11,335.89,317.71,313.35,318.84,316.83,320.51,311.71,311.50,306.21,300.54,295.53,271.27,302.62,302.99,311.23,312.43,303.76,303.39,292.58,303.27,314.48
2002-05-05 22:09:37.985000,L7,326.79,323.70,322.18,316.00,307.09,270.82,309.36,320.66,313.50,322.96,326.72,306.97,309.19,326.70,316.25,320.92,322.35,325.41,332.89,321.49,316.91,327.38,330.56,336.04,333.47,341.27,331.83,337.59,337.78,320.88,315.60,321.54,318.49,322.46,322.86,313.51,315.16,306.42,300.43,301.12,286.32,308.63,301.67,287.42,315.99,327.59,303.63,302.64,288.79,326.72
2002-05-14 22:03:19.418000,L7,323.18,322.07,304.64,259.99,295.01,302.64,294.70,317.22,302.01,177.46,307.83,305.80,276.85,317.50,314.53,309.52,297.34,280.95,266.97,314.36,293.77,314.51,325.76,324.65,318.04,294.25,308.38,337.58,335.30,223.06,259.56,160.51,206.18,245.48,263.56,202.19,199.00,285.47,298.41,254.77,138.21,248.54,183.30,211.18,273.22,291.53,,,,255.57
