dates,nzd0155-0000,nzd0155-0006,nzd0155-0007,nzd0155-0008,nzd0155-0001,nzd0155-0002,nzd0155-0003,nzd0155-0004,nzd0155-0005,satname
1999-09-27 22:04:48+00:00,281.62,311.57,294.73,257.45,,,,,,L7
2000-02-18 22:04:29+00:00,292.755,311.57,294.73,269.485,273.52,252.06,266.01,,,L7
2001-01-03 22:02:12+00:00,289.35,,,,251.52,,,,,L7
2001-01-12 21:56:06+00:00,289.35,297.54,287.72,,251.52,,,310.32,299.46,L7
2002-02-16 21:54:54+00:00,282.7,292.54,,,,,,307.43,300.1,L7
2003-01-25 22:00:18+00:00,303.08,,,,,,,,,L7
2003-08-13 21:48:45+00:00,,304.36,288.35,,,,,308.34,297.6,L5
2003-10-25 21:44:04+00:00,,309.4,293.45000000000005,,,,,288.92499999999995,305.885,L5
2003-11-17 21:50:09+00:00,,302.6066666666666,285.90000000000003,,,,,288.92499999999995,298.94666666666666,L5
2004-02-14 21:44:57+00:00,,303.53,281.82,,,,,269.51,300.19,L5
2004-02-21 21:50:47+00:00,,304.6475,284.17,260.46,,,,289.125,301.06,L5
2004-04-18 21:45:49+00:00,,303.73400000000004,277.212,260.46,,,,293.42,300.674,L5
2004-07-23 21:48:33+00:00,,306.1775,276.365,260.46,,,,296.5833333333333,303.22749999999996,L5
2004-09-25 21:49:43+00:00,285.29,304.7066666666667,269.065,,,,,291.76666666666665,303.77666666666664,L5
2004-11-03 21:56:42+00:00,285.29,308.74,289.75,,,,,297.62666666666667,308.3433333333333,L5
2005-01-15 21:52:09+00:00,280.81,308.74,289.75,,,,,297.62666666666667,308.3433333333333,L5
2005-03-11 21:58:44+00:00,281.99,308.36,290.75,,,,,306.94,308.125,L5
2005-10-30 21:53:39+00:00,,312.78,,,,,,321.03,308.8,L5
2006-02-03 21:56:19+00:00,287.23,303.97,,,,,,309.275,304.525,L5
2006-02-19 21:56:15+00:00,283.395,303.97,,,,,,309.275,304.525,L5
2009-11-26 21:56:28+00:00,,304.98,290.22,,,,,309.03,297.64,L5
2010-10-28 21:55:51+00:00,,310.43,286.61,265.05,,,,314.03,305.37,L5
2011-01-07 22:01:44+00:00,284.34,310.43,286.61,265.05,,,,314.03,305.37,L5
2011-02-17 21:55:37+00:00,284.34,310.82500000000005,288.015,265.05,,,,313.825,306.97,L5
2011-09-04 22:00:27+00:00,,305.34,289.63,,,,,301.89,302.7,L5
2013-11-21 22:07:37+00:00,,288.5,,,,,,271.29,271.79,L8
2013-12-14 22:13:21+00:00,,288.505,,,,,,273.65999999999997,270.78,L8
2014-11-08 22:06:16+00:00,,287.88,,,,,,276.3,271.07,L8
2016-12-15 22:06:18+00:00,,285.34,258.85,,,,,281.18,274.62,L8
2018-10-18 22:05:53+00:00,269.81,,,,,,,,,L8
2019-11-06 22:06:00+00:00,,291.56,270.58,257.0,,,,295.6,280.84,L8
2020-02-01 22:11:53+00:00,297.65,294.84000000000003,270.58,259.19,,,,295.6,285.205,L8
2022-01-22 22:06:18+00:00,264.89,,,,,,,,,L9
2023-01-16 22:12:10+00:00,266.58,,,,,,,,,L9
2023-02-18 22:05:50+00:00,267.09000000000003,,,,,,,,,L8
2023-02-25 22:11:52+00:00,267.09000000000003,291.24,,,,,,292.22,277.93,L8
2023-03-14 22:06:11+00:00,267.09000000000003,284.92,,,,,,286.69000000000005,276.32500000000005,L9
2023-03-22 22:05:28+00:00,267.09000000000003,286.1766666666667,271.12,,,,,287.9266666666667,275.75333333333333,L8
2023-12-19 22:06:15+00:00,264.06,245.95,,,,,,278.22,273.43,L8
2024-01-28 22:05:54+00:00,269.06,245.95,,,,,,278.22,273.43,L9
2024-11-03 22:06:00+00:00,,280.57,,,,,,289.3,271.72,L8
2024-11-18 22:11:59+00:00,285.79,287.54999999999995,271.48,,,,301.17,298.24,276.615,L9
2025-01-13 22:11:54+00:00,279.11,287.54999999999995,271.48,,,,301.17,298.24,276.615,L8
2025-01-22 22:05:37+00:00,276.67333333333335,287.54999999999995,271.48,,,,301.17,298.24,276.615,L8
2025-02-23 22:05:31+00:00,276.67333333333335,287.54999999999995,271.48,257.93,,,301.17,298.24,276.615,L8
2025-09-18 22:12:01+00:00,261.66,,,,,,,,,L9
