dates,satname,nzd0558-0000,nzd0558-0001,nzd0558-0002,nzd0558-0003,nzd0558-0004,nzd0558-0005,nzd0558-0006,nzd0558-0007,nzd0558-0008,nzd0558-0009,nzd0558-0010,nzd0558-0011,nzd0558-0012,nzd0558-0013,nzd0558-0014,nzd0558-0015,nzd0558-0016,nzd0558-0017,nzd0558-0018,nzd0558-0019,nzd0558-0020,nzd0558-0021,nzd0558-0022,nzd0558-0023,nzd0558-0024,nzd0558-0025,nzd0558-0026
1999-10-04 22:14:13.777000,L7,,,,,,,,,,,,,,188.80,290.70,291.59,301.93,282.64,269.15,258.66,249.76,228.14,268.54,309.84,309.44,309.78,313.82
1999-11-05 22:13:40.966000,L7,284.07,288.19,302.71,292.75,274.30,270.56,269.67,284.38,302.69,303.86,308.65,282.61,307.18,330.84,327.39,330.42,323.00,333.55,350.60,319.96,304.00,306.43,316.39,337.40,336.89,330.97,339.01
1999-12-07 22:13:41.663000,L7,293.24,303.39,313.83,318.98,326.94,329.80,330.78,343.65,355.13,354.50,357.36,375.44,357.04,380.51,367.31,350.06,359.14,348.23,360.31,332.85,320.97,324.79,341.59,355.32,366.18,359.72,361.69
1999-12-07 22:14:05.637000,L7,293.91,301.95,309.95,315.22,317.94,320.00,321.80,337.44,345.27,350.25,352.68,356.07,355.02,373.38,356.23,346.21,348.87,343.17,354.55,325.66,314.94,325.26,335.62,349.18,359.38,356.07,358.34
2000-04-20 22:19:15.385000,L7,348.63,355.42,390.77,390.03,401.15,416.07,407.14,408.40,404.70,412.17,410.81,408.59,406.10,377.97,289.78,293.50,288.99,284.05,177.89,196.79,181.54,222.72,197.79,142.13,216.31,197.17,187.31
2000-05-15 22:12:54.183000,L7,268.87,282.61,308.59,273.33,240.62,256.63,242.08,250.23,269.97,257.93,247.97,176.79,,,,,,,,,,,,,,,
2000-05-22 22:18:57.481000,L7,,,,237.10,236.57,258.28,265.89,289.68,299.19,243.37,,148.68,233.17,232.57,249.47,251.67,230.74,243.70,,,,,,,,,
2000-06-07 22:18:48.627000,L7,305.80,283.65,297.07,288.60,296.86,286.06,294.23,303.84,307.36,288.55,343.21,309.06,313.31,300.72,294.12,291.00,285.91,281.87,251.26,215.74,212.46,216.01,212.08,234.47,215.88,250.88,239.11
2000-09-04 22:11:34.434000,L7,275.55,287.12,297.34,301.05,270.57,333.55,321.47,316.98,323.88,332.19,315.06,290.48,259.95,252.88,332.67,326.26,320.74,318.77,334.98,316.10,298.72,305.73,310.75,353.40,342.97,375.03,162.01
2000-09-20 22:11:14.930000,L7,247.87,244.00,226.36,,,235.52,238.58,256.04,282.54,287.75,253.88,,,274.47,232.78,298.41,300.81,295.82,304.99,285.12,281.03,271.08,157.99,239.07,279.42,320.15,325.90
2000-09-20 22:11:38.892000,L7,261.25,270.80,273.45,254.56,262.45,266.29,259.13,268.57,299.61,298.06,291.43,239.88,273.11,300.14,194.50,252.56,253.97,307.32,316.67,328.25,313.85,303.27,154.48,233.39,276.58,326.87,331.02
2000-09-27 22:17:24.534000,L7,,,,268.41,267.24,262.90,280.30,292.27,300.11,293.65,270.90,282.75,298.97,290.99,299.75,163.56,,,,,,,,,,,
2000-10-06 22:11:35.303000,L7,268.56,276.04,284.55,300.00,276.35,276.21,314.49,316.31,319.18,330.61,325.01,313.41,370.23,358.30,358.15,368.17,390.11,397.90,447.79,421.25,316.68,320.01,310.11,325.34,397.99,407.14,363.55
2001-02-11 22:11:12.788000,L7,297.31,325.15,330.01,331.40,339.19,353.68,362.72,369.67,358.19,387.13,372.45,363.69,375.11,359.41,343.06,344.51,346.21,348.31,359.03,337.64,321.82,357.27,360.11,353.41,361.54,358.32,356.84
2001-02-11 22:11:36.766000,L7,286.17,309.49,316.93,313.26,315.01,350.87,342.17,352.31,346.34,344.78,354.06,336.18,345.79,340.35,331.50,330.73,329.54,335.96,345.46,319.99,307.20,313.22,319.56,335.05,339.29,341.99,340.30
2001-02-27 22:11:06.137000,L7,,,,,,,,,,,,,,,,,,,,505.85,314.26,324.16,332.71,405.33,,,
2001-03-22 22:17:09.568000,L7,,,,,,,,,,,,,,,,,387.07,385.81,465.63,436.12,332.52,342.90,347.75,347.38,361.12,343.19,379.89
2001-04-07 22:17:01.469000,L7,,,,302.63,303.03,292.96,303.40,305.55,308.79,367.53,399.39,400.61,394.39,304.51,262.34,246.77,252.19,280.54,254.23,220.36,214.52,219.52,186.22,231.15,231.03,,
2001-04-16 22:10:54.636000,L7,,,,,,,,,,,,,,,283.14,285.00,289.96,289.17,221.20,191.12,238.60,241.77,276.20,281.75,293.12,300.28,316.32
2001-07-05 22:10:09.496000,L7,201.91,228.36,242.65,225.66,244.90,259.88,244.57,256.42,274.27,293.14,277.17,289.40,299.78,281.23,295.49,296.92,301.81,303.77,293.78,270.91,273.81,247.00,293.40,290.27,307.71,307.66,318.95
2001-07-05 22:10:33.463000,L7,340.67,360.34,378.52,386.08,446.76,417.42,451.40,506.59,477.17,525.69,,466.90,459.35,435.22,423.95,400.55,516.01,468.77,,491.25,441.75,373.68,375.08,409.12,424.96,439.65,483.10
2001-11-26 22:09:21.320000,L7,350.71,362.24,365.24,365.90,370.86,373.38,378.69,402.14,375.74,395.90,392.08,411.26,415.82,396.71,399.98,397.36,393.19,395.81,400.89,457.52,368.04,379.83,393.75,410.05,413.87,413.60,440.73
2001-11-26 22:09:45.291000,L7,350.04,355.74,368.92,356.40,370.55,372.02,374.96,391.56,369.98,390.59,409.91,404.66,414.14,393.79,396.41,386.98,392.68,390.38,394.01,449.57,378.94,375.37,407.87,399.44,406.21,410.23,436.64
2002-01-29 22:09:33.112000,L7,294.83,295.01,311.29,308.51,316.28,307.78,305.80,310.06,318.01,327.16,350.29,346.44,359.38,355.22,354.17,356.59,374.73,405.13,498.58,478.56,332.72,355.69,393.82,403.80,439.17,458.78,
2002-02-14 22:09:41.178000,L7,300.50,338.73,329.84,333.08,344.90,319.75,352.07,352.96,361.61,364.09,367.51,395.38,404.15,383.25,377.99,379.45,381.43,382.46,479.40,466.33,336.03,355.20,357.02,378.71,393.91,404.74,449.10
2002-03-18 22:09:57.913000,L7,,,,,,,,,,234.11,225.65,223.57,219.90,270.79,164.90,260.08,241.82,246.46,298.19,266.92,260.64,177.00,,268.19,184.41,279.70,291.25
2002-05-21 22:09:53.053000,L7,275.11,283.58,288.16,285.10,272.89,275.36,265.24,275.56,302.71,345.96,295.18,347.16,371.03,309.39,342.20,317.90,329.22,319.40,319.84,302.40,287.46,300.34,305.82,313.42,334.24,376.74,342.30
2003-03-21 22:09:27.545000,L7,344.62,374.65,383.82,412.90,409.06,403.23,408.21,402.85,398.44,407.08,408.10,415.46,425.93,408.41,405.53,400.81,487.87,449.74,,494.71,382.40,385.26,400.47,411.24,422.12,439.25,482.51
2003-03-21 22:09:51.505000,L7,348.41,376.46,385.78,411.77,410.30,403.23,406.92,401.45,395.98,405.42,405.23,411.50,420.13,409.36,406.85,401.86,491.66,456.48,,491.70,376.27,385.64,394.99,406.67,420.84,435.50,479.14
2003-08-20 21:58:14.922000,L5,,,,,,,,,,,173.87,204.08,247.08,293.15,310.58,307.35,310.04,304.57,273.42,205.44,177.33,188.30,240.31,273.79,,,
2003-10-07 21:58:35.519000,L5,317.99,334.94,347.21,352.25,357.97,363.68,372.52,374.54,368.44,372.91,375.66,380.70,389.18,386.61,393.66,385.59,398.96,407.21,496.48,471.71,354.29,365.88,370.37,401.85,401.93,408.10,469.09
2003-10-07 21:58:59.492000,L5,304.68,329.93,339.29,345.72,346.60,356.96,364.54,368.02,359.75,367.57,368.87,374.70,383.82,379.33,387.32,383.11,391.04,400.50,492.85,460.87,347.39,357.25,363.93,396.53,397.17,403.08,467.28
2003-12-26 21:59:30.091000,L5,326.20,353.40,331.48,328.17,329.15,334.68,344.86,343.28,338.97,343.63,354.41,366.16,371.42,368.67,368.58,366.26,379.60,379.30,512.86,478.95,348.48,354.41,359.55,369.96,378.07,426.41,468.92
2003-12-26 21:59:54.064000,L5,315.72,350.71,325.59,324.18,323.44,329.64,339.87,334.10,333.71,335.26,346.81,357.82,365.23,362.08,360.70,359.11,372.61,370.70,508.34,471.87,343.12,348.29,353.58,360.78,371.49,417.63,466.92
2004-01-27 21:59:38.149000,L5,299.94,330.76,335.32,331.99,334.72,339.26,345.75,343.83,344.04,345.12,344.70,348.19,359.66,351.70,356.89,361.53,366.00,370.15,380.64,344.23,329.71,341.23,344.21,372.38,376.34,369.97,458.65
2004-03-31 21:59:59.745000,L5,,,,,,,,,,,,207.53,217.77,256.25,281.17,286.06,284.49,279.74,249.56,209.36,203.74,202.80,274.47,284.56,290.38,284.64,304.58
2004-03-31 22:00:23.718000,L5,,,,,,,202.35,239.42,253.25,164.37,,209.86,223.05,259.84,281.28,289.74,286.65,279.79,254.33,212.19,212.97,207.21,277.00,284.33,292.68,287.16,305.96
2004-05-02 22:00:57.398000,L5,287.53,324.77,321.42,314.11,321.70,341.12,352.37,361.44,342.41,357.51,351.16,363.97,366.17,375.71,367.37,350.46,348.63,359.57,380.60,343.09,329.37,332.95,328.36,356.57,363.44,366.38,361.80
2004-05-02 22:01:21.371000,L5,293.45,317.78,321.45,320.07,327.90,348.36,362.62,367.10,351.21,360.89,357.97,373.90,364.82,382.37,370.84,357.04,353.73,375.79,396.67,350.60,325.98,341.50,329.96,357.24,367.12,367.68,439.10
2004-05-18 22:01:26.569000,L5,324.67,356.89,345.21,359.81,348.89,363.02,362.37,365.91,362.62,373.06,373.66,380.31,388.23,376.66,382.89,444.61,453.84,522.08,508.02,484.19,337.80,332.37,357.14,321.20,393.66,416.74,498.01
2004-05-18 22:01:50.542000,L5,329.44,352.79,346.74,361.14,344.88,364.32,365.95,363.31,374.66,373.24,380.91,387.19,391.82,382.85,375.62,395.61,436.19,403.67,517.12,490.88,347.36,332.36,340.73,335.58,390.67,430.81,481.62
2004-07-05 22:03:15.165000,L5,320.16,339.29,325.26,285.75,289.00,351.20,294.74,301.71,312.90,351.30,365.48,374.84,386.58,327.65,342.08,331.83,523.03,482.60,524.16,491.87,309.68,312.71,331.49,327.45,353.43,435.69,487.28
2004-07-21 22:03:15.748000,L5,332.11,343.10,338.12,338.93,349.11,363.75,356.53,378.05,365.60,376.82,385.10,383.09,395.81,396.52,388.12,381.60,494.66,503.56,514.07,491.01,335.19,340.10,334.92,393.27,402.41,421.84,
2004-07-21 22:03:39.721000,L5,341.37,351.94,334.19,333.16,353.51,367.63,364.70,379.32,373.64,377.81,384.94,392.41,394.69,399.27,381.72,393.92,498.23,503.17,516.21,496.31,328.55,336.20,333.07,386.45,389.76,430.25,
2005-01-13 22:06:52.927000,L5,323.54,338.45,340.76,344.67,351.75,356.68,364.69,361.23,359.88,373.97,381.20,385.05,391.68,388.77,384.41,390.70,513.92,482.80,,500.62,461.67,377.03,384.57,393.70,408.04,436.43,520.78
2005-01-13 22:07:16.900000,L5,316.93,340.02,336.01,338.30,345.21,349.56,356.44,354.57,355.88,367.45,371.54,377.15,384.71,379.30,374.11,382.69,506.53,469.14,,493.71,464.39,370.44,378.12,383.16,398.39,525.91,475.92
2005-01-29 22:07:29.716000,L5,270.30,290.86,285.34,282.90,291.92,308.78,309.90,313.43,325.50,327.30,319.59,306.28,329.12,338.07,340.23,345.97,343.47,358.74,359.17,335.46,299.69,317.44,320.36,331.34,333.33,345.53,438.88
2005-02-14 22:07:21.106000,L5,290.16,317.62,311.26,312.60,318.34,332.91,345.50,346.45,346.70,349.38,348.68,346.33,360.95,354.64,361.17,355.71,363.97,373.01,379.03,366.91,338.61,342.17,347.99,357.44,363.98,402.41,462.34
2005-05-12 22:14:14.883000,L5,361.70,336.84,368.96,371.50,375.23,384.61,386.92,391.77,391.25,380.51,380.72,381.95,384.91,373.33,357.07,363.51,482.67,427.51,480.04,423.63,293.45,308.00,318.61,326.97,373.43,394.53,430.86
2005-06-22 22:08:22.866000,L5,,,,240.73,406.50,510.59,525.69,377.78,397.06,313.78,322.78,348.94,343.79,323.41,338.59,373.11,357.86,360.17,365.75,351.87,305.47,320.92,310.73,324.92,335.22,331.14,368.99
2005-06-22 22:08:46.839000,L5,,,,,,,,486.23,437.77,380.31,430.10,484.42,406.66,510.71,488.01,479.87,488.01,506.60,492.47,454.22,409.17,367.19,442.32,422.67,414.24,446.56,466.04
