dates,satname,nzd0200-0000,nzd0200-0001,nzd0200-0002,nzd0200-0003,nzd0200-0004,nzd0200-0005,nzd0200-0006,nzd0200-0007,nzd0200-0008,nzd0200-0009,nzd0200-0010,nzd0200-0011,nzd0200-0012,nzd0200-0013,nzd0200-0014,nzd0200-0015,nzd0200-0016,nzd0200-0017,nzd0200-0018,nzd0200-0019,nzd0200-0020,nzd0200-0021,nzd0200-0022,nzd0200-0023,nzd0200-0024,nzd0200-0025,nzd0200-0026,nzd0200-0027,nzd0200-0028,nzd0200-0029,nzd0200-0030,nzd0200-0031,nzd0200-0032,nzd0200-0033,nzd0200-0034,nzd0200-0035,nzd0200-0036,nzd0200-0049,nzd0200-0050,nzd0200-0051,nzd0200-0052,nzd0200-0053,nzd0200-0054,nzd0200-0055,nzd0200-0056,nzd0200-0057,nzd0200-0058,nzd0200-0059,nzd0200-0060,nzd0200-0061,nzd0200-0062,nzd0200-0063,nzd0200-0064,nzd0200-0065,nzd0200-0066,nzd0200-0087,nzd0200-0088,nzd0200-0089,nzd0200-0090,nzd0200-0091,nzd0200-0092,nzd0200-0093,nzd0200-0094,nzd0200-0095,nzd0200-0096,nzd0200-0037,nzd0200-0038,nzd0200-0039,nzd0200-0070,nzd0200-0071,nzd0200-0072,nzd0200-0073,nzd0200-0074,nzd0200-0075,nzd0200-0076,nzd0200-0077,nzd0200-0078,nzd0200-0079,nzd0200-0080,nzd0200-0081,nzd0200-0097,nzd0200-0098,nzd0200-0099,nzd0200-0040,nzd0200-0041,nzd0200-0042,nzd0200-0043,nzd0200-0044,nzd0200-0045,nzd0200-0046,nzd0200-0047,nzd0200-0048,nzd0200-0067,nzd0200-0068,nzd0200-0069,nzd0200-0082,nzd0200-0083,nzd0200-0084,nzd0200-0085,nzd0200-0086,nzd0200-0100,nzd0200-0101,nzd0200-0102,nzd0200-0103,nzd0200-0104,nzd0200-0105,nzd0200-0106,nzd0200-0107,nzd0200-0108,nzd0200-0109,nzd0200-0110,nzd0200-0111,nzd0200-0112,nzd0200-0113
2000-09-13 22:02:50.153000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.40,314.06,338.27,349.39,365.70,367.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.26,353.87,329.01,,,,,,,,,,,,,,,,318.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-22 21:56:29.431000,L7,391.93,350.66,337.72,318.50,296.46,317.39,341.06,348.23,353.84,356.71,362.93,371.67,372.15,369.80,368.18,366.20,365.09,359.46,349.58,363.31,362.36,336.89,338.47,345.24,339.64,355.43,347.67,339.33,328.46,300.30,330.88,347.28,,,311.52,356.95,357.50,356.51,343.85,312.73,,,,,,,,,,,,,,322.62,341.62,338.00,356.87,337.56,321.60,379.16,,,338.54,377.35,355.83,301.63,321.22,341.75,345.79,340.54,361.75,358.36,361.56,378.68,311.99,312.50,,,,,330.74,349.61,320.10,314.68,316.91,329.31,318.42,332.67,379.90,371.99,349.82,358.58,339.63,350.79,304.57,313.55,331.19,344.19,363.51,319.00,303.63,371.60,374.33,356.27,358.17,323.35,315.94,,,,,,,
2000-10-15 22:02:20.178000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,426.50,416.29,301.74,314.21,387.78,345.23,330.08,350.72,367.85,371.68,375.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.10,366.89,343.33,,,,,,,,,,,,,,,,329.97,337.93,322.70,319.04,359.74,379.82,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-09 21:56:21.390000,L7,,,,358.93,340.56,359.01,371.82,376.57,385.48,381.94,390.93,396.43,394.43,392.36,392.09,392.21,389.75,384.87,366.04,372.86,373.62,365.41,377.83,376.64,375.06,371.28,349.17,298.78,,,,,,,,,,435.94,418.76,371.44,407.46,380.90,402.67,,,,,,,,,,393.26,393.18,390.16,,,,,,,,,,,,,,404.23,398.70,399.66,408.01,407.49,401.02,383.92,387.61,400.28,366.87,381.91,394.04,,,,,,,,404.29,404.46,407.82,399.08,344.90,398.26,398.07,407.11,382.57,364.86,399.96,417.76,357.35,,,,,406.32,407.50,404.02,396.12,389.60,402.82,400.07,401.48,406.08,401.74
2001-01-03 22:02:36.401000,L7,,,,,,,,,,,,,303.50,371.70,348.27,408.24,377.16,392.00,,,,,,416.83,409.17,403.72,412.67,394.35,319.11,317.70,384.68,360.54,333.85,359.51,374.06,364.59,378.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.92,379.21,362.81,,,,,,,,,,,,,,,,358.93,342.79,353.07,332.01,373.64,387.39,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-12 21:56:30.696000,L7,,418.45,385.39,371.65,363.40,379.43,391.10,390.93,394.58,393.71,404.89,405.19,402.17,396.48,394.68,396.46,394.14,390.45,384.02,393.06,382.83,384.60,,,,420.65,372.31,399.72,408.47,339.80,356.28,371.27,345.96,353.96,366.66,379.83,394.00,395.21,432.12,,,,,,,,423.17,413.73,407.83,413.15,411.26,404.70,399.66,402.72,399.60,,,,421.04,424.03,422.41,414.78,405.31,415.87,414.38,377.09,399.61,376.91,414.11,418.08,405.90,416.58,415.56,411.82,395.91,396.45,410.14,381.36,394.98,406.88,427.12,409.13,398.20,376.82,371.07,368.85,376.08,400.28,412.19,420.00,411.14,395.84,406.93,410.74,421.18,404.15,385.70,408.61,429.09,,374.63,410.80,,415.51,405.62,414.53,411.74,405.37,405.73,410.80,413.54,411.76,,
2001-02-04 22:02:38.355000,L7,,,,,,,,,,,,,,350.72,361.04,382.26,403.64,357.93,395.76,407.21,,421.80,376.81,351.46,411.26,397.11,389.54,368.02,295.80,295.54,296.58,318.47,,300.91,338.24,316.71,358.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.56,356.72,334.66,,,,,,,,,,,,,,,,301.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-20 22:02:36.849000,L7,,,,,,,331.07,316.30,302.02,,,,,345.90,342.11,377.88,338.73,,,,,362.31,382.96,408.81,,,,,,284.88,287.38,315.40,295.19,321.27,351.58,359.70,366.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.72,354.02,336.12,,,,,,,,,,,,,,,,311.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01 21:56:21.596000,L7,,,,,,385.70,387.99,400.13,400.39,392.58,401.67,411.82,405.28,402.53,405.09,399.14,399.25,396.66,393.03,325.74,357.89,376.85,393.12,391.08,387.68,386.21,377.56,370.38,387.55,,,,,430.33,372.03,395.08,403.29,,,,,,,,,,420.04,408.59,402.73,401.23,406.76,403.48,399.04,397.54,391.44,,,,416.49,421.70,411.79,407.71,401.97,417.97,413.53,376.80,397.70,384.65,405.99,418.91,405.20,403.51,408.81,417.93,391.12,386.41,412.08,387.95,387.58,407.81,428.99,413.54,410.74,372.56,368.42,369.23,376.87,400.15,417.58,,,,401.75,399.42,424.42,392.72,368.28,401.59,429.94,,377.45,415.20,,412.10,399.49,413.06,400.42,400.49,388.26,406.50,402.42,403.23,401.75,409.65
2001-03-24 22:02:23.691000,L7,,,,,,,334.89,306.74,393.40,,,,,,,,,,,,,,,,,,,,,293.57,317.14,338.11,328.01,342.06,348.04,360.60,367.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.19,358.57,333.59,,,,,,,,,,,,,,,,319.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
