dates,satname,nzd0202-0000,nzd0202-0001,nzd0202-0002,nzd0202-0003,nzd0202-0004,nzd0202-0005,nzd0202-0006,nzd0202-0007,nzd0202-0008,nzd0202-0009,nzd0202-0010,nzd0202-0011,nzd0202-0012,nzd0202-0013,nzd0202-0014,nzd0202-0015,nzd0202-0016,nzd0202-0017,nzd0202-0018,nzd0202-0019,nzd0202-0020,nzd0202-0021,nzd0202-0022,nzd0202-0023,nzd0202-0024,nzd0202-0025,nzd0202-0028,nzd0202-0029,nzd0202-0030,nzd0202-0031,nzd0202-0032,nzd0202-0033,nzd0202-0034,nzd0202-0035,nzd0202-0036,nzd0202-0037,nzd0202-0026,nzd0202-0027
2000-07-11 22:03:41.691000,L7,,403.10,408.14,394.59,359.97,342.62,367.12,329.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01 21:56:21.596000,L7,405.85,412.26,427.72,429.26,427.09,423.73,424.39,427.82,422.85,426.84,410.37,408.86,401.31,403.99,420.50,405.13,403.77,399.80,401.90,428.99,440.45,427.21,409.30,334.58,336.21,338.47,385.45,450.81,379.59,314.13,360.22,329.64,351.86,327.87,298.31,242.18,,
2001-03-24 22:02:23.691000,L7,,462.81,456.03,478.24,435.46,400.52,423.80,408.56,411.22,423.91,414.43,399.95,391.53,392.87,382.25,371.84,362.98,352.67,325.32,,,,,,,,,,,,,,,,,,,
2001-09-09 21:54:36.880000,L7,375.83,388.52,395.61,395.87,370.55,360.34,385.35,399.02,408.83,417.05,427.11,396.97,402.14,389.91,393.96,396.20,384.36,364.96,356.62,345.04,,,,,,,,,,,,,,,236.57,176.02,,
2002-02-16 21:54:54.191000,L7,402.19,398.25,406.52,438.67,420.65,436.73,431.29,417.12,396.06,402.87,399.15,390.06,390.88,394.77,417.01,410.52,394.12,391.68,382.64,390.40,413.63,351.81,329.28,,,,,,,,,,,,,,,
2003-01-18 21:54:30.278000,L7,404.90,416.57,453.03,395.33,396.97,383.98,370.10,379.02,387.13,401.18,388.30,388.92,389.99,438.26,451.56,442.73,385.52,410.88,419.14,429.82,,,,,,,,,,,,,,,,,,
2003-03-23 21:54:40.711000,L7,383.68,392.95,389.94,394.51,384.36,382.75,370.07,382.86,384.90,420.76,401.55,385.66,381.09,379.86,371.06,373.28,374.97,377.01,364.42,362.29,358.55,343.29,333.85,,,,,,,,,,,,,,,
2003-08-06 21:42:51.203000,L5,359.74,375.04,374.02,379.90,368.87,363.53,366.04,375.55,368.04,388.11,384.93,363.74,365.63,369.93,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-13 21:49:09.096000,L5,454.69,457.16,446.11,447.53,439.70,430.30,435.88,439.62,442.26,443.27,439.25,429.39,422.92,407.27,403.86,387.43,381.21,372.26,352.59,,,,,,,,,,,,,,,,,,,
2003-09-14 21:49:42.739000,L5,436.78,434.75,434.26,430.20,423.79,405.06,410.36,405.87,387.90,414.72,407.15,397.09,376.52,352.53,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-25 21:44:04.226000,L5,365.21,380.91,380.42,390.47,390.16,381.50,392.61,402.83,408.78,413.31,417.01,407.48,394.55,384.47,382.69,378.76,374.56,376.76,366.19,325.61,,,,,,,,,,,,,,,,,,
2003-11-17 21:50:33.425000,L5,,,,477.00,464.94,450.84,454.68,461.73,444.06,439.26,429.70,417.90,413.82,400.15,399.88,410.83,396.98,389.40,375.23,,,,,,,,,,,,,,,,,,,
2004-01-04 21:50:58.245000,L5,459.72,458.37,460.39,464.85,457.94,452.85,454.24,461.68,469.37,464.91,455.88,438.42,425.56,419.49,413.44,401.34,391.63,379.78,360.02,358.41,355.93,334.31,,,,,,,,,,,,,,,,
2004-02-05 21:51:05.183000,L5,438.05,441.48,441.89,449.91,450.45,444.92,415.79,406.49,393.20,417.38,383.70,396.17,386.14,365.57,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-14 21:44:57.678000,L5,363.94,391.75,385.06,380.95,358.79,369.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-21 21:51:11.055000,L5,440.19,444.11,444.54,442.10,439.34,429.50,410.48,403.63,414.31,422.82,420.95,398.91,387.96,370.08,333.33,,,,,,,,,,,,,,,,,,,,,,,
2004-03-17 21:45:08.368000,L5,379.31,387.13,385.91,395.45,393.11,374.71,372.93,377.98,343.75,392.43,383.85,374.47,382.17,366.23,375.03,,,,,,,,,,,,,,,,,,,,,,,
2004-04-02 21:45:18.969000,L5,356.68,382.72,377.00,385.82,380.73,367.70,352.58,373.26,352.40,375.45,371.94,371.48,384.31,372.74,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-18 21:45:49.558000,L5,370.79,381.47,384.47,391.65,383.96,368.25,366.54,374.65,362.15,386.53,381.47,362.93,389.19,372.14,361.42,,,,,,,,,,,,,,,,,,,,,,,
2004-06-12 21:53:35.734000,L5,437.70,442.29,440.69,434.70,413.86,410.04,395.65,383.88,367.71,396.12,370.21,387.81,391.56,377.18,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-07 21:48:09.180000,L5,384.25,388.30,388.85,408.69,398.07,377.28,390.74,401.12,408.42,391.48,403.27,395.38,398.69,393.22,386.83,384.15,366.87,369.96,367.23,,,,,,,,,,,,,,,,,,,
2004-07-14 21:54:31.185000,L5,459.70,455.10,462.62,461.86,454.27,446.68,440.04,451.62,449.38,448.82,442.72,418.82,422.11,410.38,415.99,396.32,391.74,381.66,358.45,,,,,,,,,,,,,,,,,,,
2004-07-23 21:48:33.165000,L5,374.66,394.45,385.13,401.19,394.03,378.36,393.54,386.13,405.39,402.31,399.10,393.31,395.45,394.74,383.49,385.50,365.00,374.46,355.75,324.34,,,,,,,,,,,,,,,,,,
2004-07-30 21:54:52.116000,L5,456.25,460.01,454.40,465.93,448.03,447.50,446.92,455.88,454.77,444.63,439.17,424.92,418.88,415.91,396.45,398.24,391.43,379.29,370.68,352.61,330.75,,,,,,,,,,,,,,,,,
2004-08-24 21:49:18.016000,L5,391.49,395.92,391.34,392.82,387.17,370.34,368.48,394.70,395.45,407.05,407.45,390.27,390.52,379.73,383.04,384.63,363.93,362.45,353.05,,,,,,,,,,,,,,,,,,,
2004-09-25 21:50:07.312000,L5,388.11,385.75,381.01,395.50,384.84,376.16,370.17,395.83,400.94,411.66,406.66,397.38,398.93,380.33,368.70,370.69,360.27,360.82,349.38,,,,,,,,,,,,,,,,,,,
2004-10-02 21:56:26.934000,L5,473.26,459.42,460.77,457.50,446.07,437.03,440.21,439.23,443.28,441.99,431.38,414.12,416.19,413.63,397.42,393.92,374.18,370.08,351.98,,,,,,,,,,,,,,,,,,,
2004-10-18 21:56:47.864000,L5,465.83,460.31,454.73,460.72,440.78,433.85,431.53,434.82,442.64,437.40,427.69,396.99,404.05,397.92,384.85,388.80,372.55,354.30,341.20,,,,,,,,,,,,,,,,,,,
2004-10-27 21:50:47.740000,L5,374.80,375.47,370.62,379.39,368.20,356.07,357.68,384.82,380.57,405.75,383.24,374.96,388.17,374.32,350.25,,,,,,,,,,,,,,,,,,,,,,,
2004-11-03 21:57:06.950000,L5,463.96,463.81,460.20,462.11,431.61,419.57,425.84,429.92,433.35,432.82,421.56,423.60,425.42,413.96,403.40,387.63,380.97,365.15,323.30,,,,,,,,,,,,,,,,,,,
2005-01-22 21:58:26.454000,L5,460.26,456.56,462.43,470.18,466.56,455.55,455.38,455.02,464.36,468.53,447.62,425.18,423.44,418.72,412.65,394.43,326.25,,,,,,,,,,,,,,,,,,,,,
2005-03-04 21:52:52.217000,L5,382.73,396.02,396.46,406.59,397.04,387.75,380.10,384.17,399.47,404.64,394.30,385.99,399.38,395.08,394.82,398.48,393.78,389.62,373.64,360.90,353.62,337.13,,,,,,,,,,,,,,,,
2005-03-11 21:59:07.988000,L5,442.28,449.79,446.57,447.15,438.45,424.11,391.12,397.35,392.64,413.60,403.43,391.63,399.83,355.92,,,,,,,,,,,,,,,,,,,,,,,,
