dates,nzd0166-0000,nzd0166-0001,nzd0166-0002,nzd0166-0003
2019-11-22 22:05:57+00:00,246.18333333333337,247.985,267.8257142857143,288.69571428571425
2019-12-08 22:06:20+00:00,251.9925,248.34142857142857,267.92625,288.31125
2020-01-09 22:05:49+00:00,246.47000000000003,248.06428571428572,266.63125,286.8825
2020-01-25 22:05:45+00:00,241.27833333333334,248.11714285714285,265.1875,285.58000000000004
2020-02-10 22:05:40+00:00,237.56,244.2028571428571,262.26250000000005,282.85125
2020-03-13 22:05:30+00:00,235.99875,246.15375,263.09999999999997,281.8775
2020-09-21 22:05:54+00:00,255.73,254.77,273.19,289.7
2021-02-12 22:05:43+00:00,255.73,245.435,264.085,284.79999999999995
2021-04-01 22:05:48+00:00,,234.53,252.41,277.06
2021-05-03 22:05:08+00:00,,237.51999999999998,256.02666666666664,279.74
2021-05-19 22:05:40+00:00,,239.815,259.73,282.275
2021-07-22 22:05:36+00:00,,241.248,261.37399999999997,283.18
2021-09-24 22:06:20+00:00,,241.49,260.788,282.81
2021-12-29 22:05:53+00:00,299.07,249.70333333333335,266.58666666666664,282.425
2022-01-22 22:05:54+00:00,303.235,267.17,280.49333333333334,278.05
2022-02-15 22:06:06+00:00,299.09999999999997,268.985,281.9575,293.605
2022-02-23 22:06:08+00:00,280.315,263.31,275.964,288.31
2022-05-22 22:05:34+00:00,280.315,269.81,275.396,289.12000000000006
2022-06-07 22:06:07+00:00,280.315,263.746,273.3416666666667,288.245
2022-06-15 22:05:39+00:00,280.315,255.9,272.8457142857143,288.07000000000005
2022-08-10 22:06:08+00:00,257.395,240.416,262.4916666666667,287.2516666666667
2022-10-21 22:06:05+00:00,252.03,233.82750000000001,259.646,284.142
2023-02-18 22:05:50+00:00,237.185,246.445,257.87,282.28
2023-03-14 22:05:47+00:00,243.17,251.4366666666667,261.32,285.8933333333334
2023-03-22 22:05:28+00:00,245.25,251.97750000000002,262.0825,286.78
2023-03-30 22:05:35+00:00,253.642,256.0,267.92400000000004,294.6
2023-04-07 22:05:40+00:00,253.642,254.32666666666668,265.715,291.9633333333333
2023-04-23 22:05:33+00:00,254.04500000000002,253.97,265.09833333333336,292.48
2023-06-10 22:05:03+00:00,254.04500000000002,253.08571428571426,265.19714285714286,292.48
2023-06-18 22:04:57+00:00,254.04500000000002,250.15625,263.27625,291.35875
2023-07-12 22:05:20+00:00,254.04500000000002,248.88333333333333,262.65000000000003,290.95444444444445
2023-07-28 22:05:50+00:00,254.04500000000002,247.61100000000002,261.66400000000004,290.95444444444445
2023-08-05 22:05:47+00:00,254.04500000000002,247.9436363636364,262.5236363636364,291.226
2023-08-21 22:05:52+00:00,264.61333333333334,248.22818181818184,263.1,291.94500000000005
2023-09-30 22:05:45+00:00,251.89,244.53666666666666,259.6066666666667,287.6675
2023-10-08 22:06:10+00:00,252.88,245.31444444444443,260.18111111111114,288.7275
2023-10-16 22:05:47+00:00,264.14000000000004,248.408,261.851,290.3077777777778
2023-11-25 22:05:56+00:00,265.28,249.176,262.13599999999997,290.1088888888889
2024-01-12 22:05:54+00:00,265.28,253.51625,263.5425,290.33714285714285
2024-01-28 22:06:18+00:00,265.28,254.72750000000002,264.0925,289.54875
2024-02-21 22:05:41+00:00,265.28,249.63285714285715,262.62,288.59857142857146
2024-03-08 22:05:29+00:00,265.28,248.815,261.7075,287.74625
2024-03-16 22:05:47+00:00,265.28,249.26555555555555,261.32222222222225,287.5377777777778
2024-03-24 22:05:42+00:00,265.28,248.68200000000002,260.69,287.099
2024-04-25 22:05:28+00:00,272.0,246.21375,260.4475,286.5925
2024-05-03 22:05:14+00:00,272.0,246.09555555555556,260.53555555555556,286.6611111111111
2024-05-11 22:05:15+00:00,272.0,244.87000000000003,260.187,286.68600000000004
2024-05-27 22:04:41+00:00,275.3,243.27400000000003,260.382,287.257
