dates,satname,nzd0334-0000,nzd0334-0001,nzd0334-0002,nzd0334-0003,nzd0334-0004,nzd0334-0005,nzd0334-0006,nzd0334-0007,nzd0334-0008,nzd0334-0009,nzd0334-0010,nzd0334-0011,nzd0334-0012,nzd0334-0013,nzd0334-0014,nzd0334-0015,nzd0334-0016,nzd0334-0017,nzd0334-0018,nzd0334-0019,nzd0334-0020,nzd0334-0021,nzd0334-0022
1999-08-21 21:47:44.927000,L7,285.83,291.18,317.07,333.18,334.79,328.55,320.76,321.34,325.32,324.30,316.19,329.09,336.89,318.28,318.78,317.77,336.39,345.62,332.13,336.60,327.03,330.33,345.23
1999-08-28 21:53:35.950000,L7,280.90,297.71,323.10,329.02,365.84,350.12,349.79,352.77,361.32,349.06,358.71,373.17,383.25,347.47,340.15,329.46,342.58,352.19,365.96,364.39,367.24,,
1999-08-28 21:53:59.920000,L7,277.73,288.99,315.99,318.52,360.89,345.43,345.52,341.86,361.72,349.19,358.18,368.16,376.67,344.96,320.59,325.28,339.44,351.23,363.73,357.12,363.04,,
1999-09-22 21:47:48.716000,L7,304.22,323.99,344.98,362.07,361.28,354.53,351.56,354.87,343.25,344.14,335.67,341.22,349.64,342.91,398.01,,,,,,,,
1999-10-24 21:47:44.121000,L7,317.65,338.26,366.89,370.12,360.11,357.95,360.32,361.30,353.26,343.23,339.11,344.02,356.30,356.10,,,,,,,,,
1999-11-16 21:53:32.114000,L7,352.09,371.60,388.54,388.94,394.89,383.04,395.32,,,,,,,352.39,347.42,352.48,356.41,361.95,364.29,361.07,353.75,359.05,372.29
2000-01-12 21:47:42.353000,L7,,,,,,,,,,,,,312.82,303.67,295.38,300.58,296.72,300.70,,307.49,301.48,282.99,311.13
2000-01-19 21:53:25.812000,L7,324.35,346.91,383.70,392.17,387.36,374.02,358.97,358.31,361.48,364.68,353.75,350.15,362.57,361.54,,,,,,,,,
2000-01-19 21:53:49.771000,L7,324.73,347.96,386.59,395.64,391.56,375.97,361.67,360.38,363.77,366.66,356.65,349.19,363.17,363.01,,,,,,,,,
2000-05-03 21:47:07.085000,L7,311.85,340.07,350.76,355.27,357.56,358.94,357.57,355.86,355.84,353.72,352.53,340.79,340.57,340.81,348.51,343.27,339.10,356.17,360.45,348.26,345.84,344.59,357.09
2000-05-19 21:46:55.786000,L7,,,,,,,,,,,,,,,,,,,,376.27,367.14,359.92,373.79
2000-05-26 21:52:36.566000,L7,292.51,308.11,325.62,326.03,334.54,336.49,328.86,318.30,333.38,332.01,330.61,341.71,337.89,337.69,329.38,324.58,335.10,341.92,340.52,341.84,331.09,332.86,341.29
2000-05-26 21:53:00.524000,L7,297.01,312.78,327.11,328.30,336.75,339.91,333.93,316.81,337.23,340.51,334.95,341.97,339.61,338.96,330.69,325.81,334.49,340.78,340.43,341.08,331.39,331.76,340.29
2000-06-20 21:46:40.813000,L7,283.19,303.59,322.73,334.91,331.35,328.67,331.66,345.27,337.85,339.26,323.86,334.44,336.59,326.52,323.02,326.41,336.88,340.70,345.90,342.12,330.50,335.93,345.66
2000-07-13 21:52:07.753000,L7,311.43,333.90,352.38,359.22,366.48,348.22,361.08,357.20,348.40,348.45,342.43,347.66,351.63,350.27,354.81,355.64,349.28,361.70,358.03,354.66,340.87,382.54,378.71
2000-07-13 21:52:31.712000,L7,283.31,295.27,322.96,346.83,339.32,330.72,328.76,332.01,329.95,328.12,323.51,339.08,341.16,327.91,335.22,328.53,338.05,348.64,346.17,345.35,335.17,335.65,354.65
2000-07-29 21:51:50.349000,L7,312.93,332.75,344.04,355.42,357.81,346.30,349.89,349.81,346.99,354.56,348.92,352.49,364.98,380.27,,,,,,,,,
2000-08-14 21:51:44.223000,L7,298.72,323.05,337.96,350.03,353.25,346.02,345.14,352.07,355.76,348.92,343.38,346.08,345.23,338.75,336.44,342.26,341.49,352.85,355.22,346.89,340.20,344.92,351.58
2000-08-14 21:52:08.182000,L7,302.38,323.53,338.43,349.84,352.69,346.17,343.13,350.97,348.88,348.61,341.99,344.45,344.32,338.68,335.83,342.09,340.97,352.22,353.19,346.90,339.12,345.53,350.84
2000-09-15 21:51:13.624000,L7,325.00,337.70,363.63,374.80,372.07,360.35,356.82,365.18,370.45,372.13,363.64,356.80,360.24,353.56,341.54,349.11,351.55,367.47,367.99,358.22,355.92,355.90,363.70
