dates,nzd0275-0000,nzd0275-0001,nzd0275-0002,nzd0275-0003,nzd0275-0004,nzd0275-0005,nzd0275-0006,nzd0275-0007,nzd0275-0008,nzd0275-0009,nzd0275-0010,nzd0275-0011,nzd0275-0012,nzd0275-0013,nzd0275-0014,nzd0275-0015,nzd0275-0016,nzd0275-0017,nzd0275-0018,nzd0275-0019,nzd0275-0020,nzd0275-0021,nzd0275-0022,nzd0275-0023,nzd0275-0024,nzd0275-0025,nzd0275-0026,nzd0275-0027,nzd0275-0028,nzd0275-0029,nzd0275-0030,nzd0275-0031,nzd0275-0032,nzd0275-0033,nzd0275-0034,nzd0275-0035,nzd0275-0036,nzd0275-0037,nzd0275-0038,satname
1999-08-21 21:46:56+00:00,,177.61,202.3,,,,,209.31,215.95,248.22,300.06,298.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-22 21:47:00+00:00,,168.63,193.29000000000002,190.82,169.76,195.96,202.94,211.125,223.865,250.04000000000002,288.19,293.255,294.21,288.69,,,,,,,,304.51,,,,248.89,,310.15,282.03,,,,,,313.56,,,276.77,,L7
1999-10-24 21:46:56+00:00,,172.28333333333333,193.29000000000002,190.82,169.76,195.96,202.94,211.125,223.865,250.04000000000002,288.19,293.255,294.21,284.52,,,,,,,,304.51,,,,248.89,,310.15,282.03,,,,,,313.56,,,276.77,,L7
2000-02-13 21:46:48+00:00,,172.28333333333333,193.29000000000002,190.82,169.76,195.96,202.94,211.125,223.865,250.04000000000002,288.19,293.255,294.21,284.52,,,,,,,,304.51,,,,248.89,,310.15,282.03,,,,266.91,,295.99,,,272.575,265.55,L7
2000-05-03 21:46:19+00:00,,161.76,192.69,187.47,168.84,198.33,235.19,222.64,218.3,244.9,288.33,,,,,289.84,,264.14,284.66,,,,,,,,,311.93,274.0,,,320.57,266.91,,278.42,,,268.38,265.55,L7
2000-05-19 21:46:07+00:00,,168.01,192.69,187.47,168.84,198.33,235.19,222.64,218.3,244.9,288.33,,,,,289.84,,264.14,284.66,,,,,,,,,311.93,274.0,,,320.57,266.91,,278.42,,,249.51999999999998,249.22,L7
2000-08-07 21:45:08+00:00,,168.01,195.425,192.99,172.495,201.5,234.86,226.79,218.3,244.9,288.33,,,,,289.84,,264.14,284.66,,,,,,,,,311.93,274.0,,,320.57,266.91,,278.42,,,249.51999999999998,249.22,L7
2001-04-04 21:44:06+00:00,,,196.91,192.46,170.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.64,,L7
2001-05-22 21:43:54+00:00,,186.82,196.91,192.46,170.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.64,,L7
2001-08-10 21:43:00+00:00,,186.82,196.91,192.46,170.78,,,,,273.31,291.18,297.91,,,,,,,,,,,,,,,,,,,,,,320.24,319.46,,,312.64,,L7
2001-09-11 21:42:38+00:00,,186.82,188.165,184.16000000000003,164.0,184.73,220.79,209.19,210.32,260.605,282.31,292.04,284.35,277.86,,280.62,,252.64,,,,,,,,,,,,,,,,320.24,319.46,,284.12,295.90999999999997,240.84,L7
2001-09-27 21:42:29+00:00,,186.82,188.165,184.16000000000003,164.0,184.73,220.79,209.19,210.32,260.605,282.31,292.04,284.35,277.86,,280.62,,252.64,,,292.1,283.0,,,,,,,,,,,,320.24,319.46,,284.12,295.90999999999997,240.84,L7
2001-10-13 21:42:15+00:00,,185.48,179.42,175.86,157.22,184.73,220.79,209.19,210.32,260.605,282.31,292.04,284.35,277.86,,280.62,,252.64,,,292.1,283.0,,,,,,,,,,,,320.24,319.46,,284.12,279.18,240.84,L7
2002-02-02 21:42:54+00:00,,184.14,179.815,177.745,162.155,188.175,222.97,209.19,210.32,260.605,279.94666666666666,290.49666666666667,286.58000000000004,287.425,287.83,292.395,,252.64,,,292.1,283.0,,,,287.29,,,,,,,,320.24,319.46,,284.12,279.18,240.84,L7
2002-02-18 21:42:54+00:00,,184.14,178.9766666666667,177.11,162.03333333333333,188.6833333333333,222.33,204.64499999999998,211.445,240.825,273.03000000000003,283.54333333333335,283.7766666666667,281.64000000000004,281.2,292.395,,252.64,,,279.795,283.0,,,291.81,285.625,288.23,297.89,257.44,291.92,306.49,304.75,283.38,300.13,290.77,296.08,294.51,290.35,267.545,L7
2002-04-07 21:42:52+00:00,,184.14,178.75500000000005,177.735,164.44,190.65999999999997,223.10000000000002,225.52499999999998,225.655,233.75,272.82500000000005,282.23,283.49,283.53000000000003,281.2,304.17,,,,,267.49,,,,291.81,285.625,288.23,297.89,257.44,291.92,306.49,304.75,283.38,300.13,290.77,296.08,304.9,301.52,294.25,L7
2002-09-14 21:41:55+00:00,,,154.38,,167.96,191.91,208.29,240.785,235.93,242.5,270.17,278.52,,,,,,,,,,,,,,,,303.36,275.97,275.9,,,,,,,,,271.34,L7
2002-09-30 21:41:47+00:00,,,154.38,189.63,174.825,191.91,208.29,240.785,235.93,242.5,270.17,278.52,,,,,,,,,,,,,,,,303.36,275.97,275.9,,,,312.13,,310.49,,302.02,271.34,L7
2003-01-20 21:42:33+00:00,,,154.38,187.265,174.825,191.91,208.29,230.62,233.12,242.5,270.17,286.01,296.74,,,,,,,,,,,,,,,303.36,275.97,275.9,,,,312.13,,310.49,,302.02,271.34,L7
2003-05-12 21:42:48+00:00,,,,184.9,,196.89,205.47,229.19,,240.46,269.39,293.5,296.74,280.79,281.5,,,,,,,,,,,,,,279.48,305.35,292.59,,,,,,,,285.68,L7
2003-09-25 21:31:42+00:00,,182.64,201.85,205.39,200.45,205.08499999999998,225.015,242.32999999999998,267.56,269.05,269.39,,,280.79,281.5,,,,,,,,,,,,,,279.48,305.35,292.59,,,,,,,,285.68,L5
2003-11-28 21:32:34+00:00,,174.08499999999998,199.685,208.165,203.37,213.28,244.56,264.23,267.56,297.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2003-12-14 21:32:38+00:00,,172.12666666666667,196.35333333333332,204.4333333333333,198.02666666666664,211.55,247.55,263.21666666666664,273.255,297.1,317.93,322.67,303.37,294.26,293.73,303.47,,,310.53,,,,,,,,,,317.16,,,,,,,,,,327.09,L5
2004-01-15 21:32:50+00:00,,172.82999999999998,196.63,202.2625,195.5025,207.97,243.33333333333334,263.21666666666664,273.3933333333334,294.82666666666665,317.92,322.6,312.15999999999997,303.445,296.68,304.21500000000003,307.83,307.41,308.615,312.9,,,,,,,,,316.56,,,,,,,,,,327.09,L5
2004-03-19 21:33:10+00:00,,172.82999999999998,196.63,202.2625,195.5025,207.6225,242.9675,260.465,271.3025,291.225,312.42,318.04,311.3066666666667,303.74,299.4266666666667,305.95666666666665,307.83,307.41,308.615,314.195,,,,328.87,,,,,318.96,,,,,,,,,,327.09,L5
