dates,satname,nzd0275-0000,nzd0275-0001,nzd0275-0002,nzd0275-0003,nzd0275-0004,nzd0275-0005,nzd0275-0006,nzd0275-0007,nzd0275-0008,nzd0275-0009,nzd0275-0010,nzd0275-0011,nzd0275-0012,nzd0275-0013,nzd0275-0014,nzd0275-0015,nzd0275-0016,nzd0275-0017,nzd0275-0018,nzd0275-0019,nzd0275-0020,nzd0275-0021,nzd0275-0022,nzd0275-0023,nzd0275-0024,nzd0275-0025,nzd0275-0026,nzd0275-0027,nzd0275-0028,nzd0275-0029,nzd0275-0030,nzd0275-0031,nzd0275-0032,nzd0275-0033,nzd0275-0034,nzd0275-0035,nzd0275-0036,nzd0275-0037,nzd0275-0038
2001-10-13 21:42:15.922000,L7,,184.14,368.36,347.37,348.27,382.82,378.03,356.01,344.81,361.04,365.89,520.34,525.71,519.08,510.12,502.62,527.05,521.16,504.31,505.19,473.43,476.95,497.51,505.99,478.79,538.81,352.95,360.20,359.48,511.98,491.67,522.10,493.98,475.97,489.44,477.95,495.68,497.97,473.21
2001-10-29 21:42:21.289000,L7,415.70,421.45,409.46,396.04,388.88,389.37,376.37,320.44,355.92,370.58,372.91,362.90,301.70,364.29,185.01,185.64,203.57,355.24,340.65,352.96,351.56,368.80,372.26,361.30,373.92,386.83,383.73,387.54,398.41,416.33,414.54,391.58,408.54,456.81,487.27,434.40,414.07,410.27,407.99
2002-02-02 21:42:54.721000,L7,,,180.21,179.63,167.09,191.62,225.15,448.20,443.20,439.12,275.22,287.41,288.81,296.99,287.83,304.17,304.23,307.20,302.23,299.31,298.11,311.73,323.36,317.03,316.24,287.29,335.88,338.46,336.66,325.67,339.41,340.56,468.98,476.55,479.36,354.32,360.18,351.42,353.25
2002-02-18 21:42:54.191000,L7,,,177.30,175.84,161.79,189.70,221.05,200.10,212.57,233.75,270.43,277.05,278.17,270.07,274.57,299.61,413.62,387.08,350.39,296.49,267.49,305.79,310.91,307.52,291.81,283.96,288.23,297.89,257.44,291.92,306.49,304.75,283.38,300.13,290.77,296.08,304.90,301.52,294.25
2002-04-07 21:42:52.870000,L7,378.81,367.22,325.77,360.50,349.13,336.03,279.21,250.95,238.74,439.44,363.20,312.45,358.82,365.66,374.91,336.54,375.10,377.08,369.85,346.78,364.52,364.77,359.36,396.33,389.99,391.75,398.82,406.29,391.91,423.69,417.61,435.34,393.64,402.17,416.19,418.39,414.44,411.93,402.23
2002-09-14 21:41:55.072000,L7,,,154.38,182.31,167.96,191.91,208.29,230.62,233.12,242.50,270.17,278.52,431.74,425.24,440.36,430.45,424.48,290.34,414.99,417.91,406.63,397.46,399.99,314.02,305.82,297.35,320.10,303.36,275.97,275.90,326.76,465.96,473.69,479.96,461.22,351.10,351.01,341.37,271.34
2002-09-30 21:41:47.719000,L7,381.41,360.73,,189.63,181.69,341.33,292.50,351.14,296.78,327.47,350.79,335.97,338.23,326.41,329.44,327.27,323.06,294.45,328.83,329.37,336.98,343.98,343.04,340.20,335.00,398.08,401.37,430.23,363.92,370.22,357.69,398.31,366.60,312.13,324.02,310.49,325.82,302.02,335.85
2002-11-01 21:41:54.382000,L7,477.88,459.22,447.61,456.17,449.22,442.90,445.38,437.85,439.29,442.67,446.84,428.37,430.64,436.81,420.58,405.44,374.90,397.54,393.96,369.67,387.22,401.59,430.98,441.89,401.20,399.55,392.17,405.68,429.99,407.86,410.36,428.31,439.05,448.63,476.06,524.27,476.06,427.99,427.53
2002-11-17 21:42:06.289000,L7,513.55,506.87,482.80,455.11,479.17,493.89,483.60,448.90,443.24,518.24,513.42,462.47,417.99,396.89,385.75,373.48,387.02,368.98,353.23,351.29,349.40,348.95,409.54,418.40,397.02,388.92,413.01,457.99,408.13,394.25,416.30,414.42,443.36,468.99,450.62,435.93,478.12,495.48,408.59
2003-01-20 21:42:33.373000,L7,422.49,459.48,478.79,184.90,314.98,336.05,345.99,343.71,358.04,302.50,316.98,293.50,296.74,359.16,351.69,351.99,364.56,352.85,340.29,350.21,358.50,356.48,372.17,357.03,357.27,358.76,366.29,377.73,368.74,359.72,374.30,376.69,387.10,381.86,389.69,388.87,390.62,385.23,385.54
2003-02-05 21:42:41.878000,L7,466.50,438.38,447.97,346.66,345.84,431.51,437.42,416.79,417.41,421.88,423.96,420.61,375.14,386.90,402.80,398.21,398.78,395.45,405.10,418.71,417.74,422.33,421.26,419.40,428.27,401.98,445.15,406.81,399.75,387.67,406.25,435.53,450.25,426.56,424.71,415.05,458.19,441.30,387.53
2003-02-21 21:42:44.547000,L7,150.63,278.54,531.64,436.46,417.52,430.75,428.30,404.20,414.96,418.47,,,,,,,,,,,,214.24,398.31,438.77,427.89,442.73,426.74,391.74,390.72,367.31,393.94,377.17,381.39,381.75,380.59,387.36,385.92,386.37,388.60
2003-05-12 21:42:48.091000,L7,,,,,,196.89,205.47,229.19,191.65,240.46,269.39,225.89,157.91,280.79,281.50,297.72,304.76,441.95,440.64,453.77,464.89,445.77,446.47,448.91,448.38,449.75,333.10,314.82,279.48,305.35,292.59,323.34,328.52,350.91,351.63,246.21,366.69,349.70,285.68
2003-09-25 21:31:42.973000,L5,,182.64,201.85,205.39,200.45,213.28,244.56,255.47,267.56,297.64,325.21,323.49,321.58,311.99,309.97,314.94,313.82,319.69,319.91,321.84,330.14,329.69,337.15,339.72,333.09,336.61,342.43,346.73,332.42,331.76,344.68,342.21,349.61,348.79,354.29,362.48,376.62,363.12,353.85
