dates,satname,nzd0511-0000,nzd0511-0001,nzd0511-0002,nzd0511-0003,nzd0511-0004,nzd0511-0005,nzd0511-0006,nzd0511-0007,nzd0511-0008,nzd0511-0009
2003-10-07 21:58:35.519000,L5,,,,,,223.04,242.50,241.59,232.87,278.52
2003-12-26 21:59:30.091000,L5,,,,,,222.19,238.53,239.36,236.57,278.67
2005-01-13 22:06:52.927000,L5,,,,,,224.26,242.28,239.66,230.94,274.56
2005-09-10 22:08:55.708000,L5,,,,,212.10,224.35,246.33,243.55,232.55,265.28
2005-10-05 22:02:41.026000,L5,,,,,213.52,226.26,246.29,243.92,236.40,267.64
2005-11-06 22:02:46.848000,L5,188.11,216.87,236.51,233.70,245.65,250.87,271.21,270.88,271.86,308.27
2005-11-13 22:09:08.414000,L5,,,,,,221.82,241.91,240.63,234.84,266.14
2006-02-26 22:05:22.928000,L5,,,,,215.92,229.09,250.33,248.47,244.25,274.40
2006-04-15 22:06:18.610000,L5,,,,,220.59,227.73,245.78,242.55,227.51,264.37
2006-10-31 22:15:04.884000,L5,,,,,221.46,234.18,249.90,245.44,240.52,267.00
2007-09-09 22:07:45.163000,L5,,,,,,227.33,244.79,246.73,225.29,257.99
2009-01-17 21:59:44.398000,L5,,,,,,223.19,241.69,243.33,236.69,267.77
2010-11-27 22:10:35.713000,L5,,,,,216.57,227.88,243.38,240.84,233.93,269.45
2013-10-02 22:22:40.460000,L8,,,,,,,,234.83,234.34,266.94
2013-10-11 22:16:29.291000,L8,,,,,,,,237.50,236.54,267.92
2013-11-12 22:16:19.914000,L8,185.94,208.73,229.76,232.87,238.57,248.72,261.41,258.51,253.68,282.25
2013-11-19 22:22:25.407000,L8,,,,,214.71,225.44,240.77,238.40,235.16,265.10
2013-12-30 22:16:01.055000,L8,,,,,214.77,226.86,242.35,239.56,237.14,267.59
2014-02-23 22:21:32.043000,L8,,,,,,226.54,242.16,240.23,235.86,266.40
2014-03-11 22:21:19.920000,L8,,,,,218.68,231.79,245.74,245.12,238.91,270.47
2014-03-20 22:15:01.497000,L8,,,,,,,,235.27,233.53,265.53
2014-09-19 22:20:54.477000,L8,,,,,,,,239.87,233.73,267.80
2014-09-28 22:14:44.621000,L8,,,,,,,,,233.59,265.18
2014-11-06 22:21:01.126000,L8,,,,,214.81,225.46,239.57,235.93,236.77,269.44
