dates,nzd0511-0000,nzd0511-0001,nzd0511-0002,nzd0511-0003,nzd0511-0004,nzd0511-0005,nzd0511-0006,nzd0511-0007,nzd0511-0008,nzd0511-0009,satname
2003-10-07 21:58:35+00:00,,,,,,223.04,242.5,241.59,232.87,278.52,L5
2003-12-26 21:59:30+00:00,,,,,,222.615,240.515,241.59,232.87,278.595,L5
2005-09-10 22:08:55+00:00,,,,,212.1,224.35,246.33,243.55,232.55,,L5
2005-10-05 22:02:41+00:00,,,,,212.81,225.305,246.31,243.735,234.47500000000002,,L5
2005-11-13 22:09:08+00:00,,,,,212.81,224.14333333333332,244.84333333333333,242.70000000000002,234.59666666666666,266.14,L5
2006-04-15 22:06:18+00:00,,,,,220.59,224.77499999999998,243.845,241.59,231.175,265.255,L5
2006-10-31 22:15:04+00:00,,,,,221.46,234.18,249.9,245.44,240.52,267.0,L5
2009-01-17 21:59:44+00:00,,,,,,,,243.33,236.69,267.77,L5
2013-10-11 22:16:29+00:00,,,,,,,,237.5,,267.92,L8
2013-11-19 22:22:25+00:00,,,,,214.71,225.44,240.77,237.95,235.16,266.51,L8
2013-12-30 22:16:01+00:00,,,,,214.74,226.15,240.77,237.95,236.14999999999998,266.87,L8
2014-02-23 22:21:32+00:00,,,,,214.74,226.28,241.465,238.71,236.0533333333333,266.7525,L8
2014-09-19 22:20:54+00:00,,,,,,,,239.87,233.73,267.8,L8
2015-01-02 22:14:38+00:00,,,,,217.2,229.4,244.0,240.48000000000002,237.0,270.15,L8
2015-04-15 22:20:10+00:00,205.04,219.57,232.44,237.67,228.695,239.41500000000002,254.47,256.525,247.465,272.5,L8
2017-01-30 22:20:50+00:00,,,,,218.85,230.72,245.43,237.66,237.78,272.59,L8
2017-02-08 22:14:34+00:00,,,,,218.45,230.095,245.345,238.53,237.825,271.80499999999995,L8
2017-04-20 22:20:11+00:00,,,,,218.45,230.095,245.345,238.53,237.825,268.61999999999995,L8
2018-03-06 22:20:26+00:00,,,,,,226.5,242.12,237.59,234.64,265.52,L8
2018-09-30 22:20:31+00:00,,,,,,,,,231.81,260.58,L8
2019-02-21 22:20:30+00:00,,,,,217.58,233.52,248.25,243.25,235.175,264.975,L8
2019-11-13 22:14:57+00:00,,,,,223.46,233.15,246.85,240.37,237.24,269.13,L8
2020-01-23 22:20:55+00:00,224.98,208.57,229.23,232.29,229.32,239.115,253.985,247.91500000000002,243.125,274.96500000000003,L8
2021-11-18 22:14:56+00:00,,,,,220.7,230.17,244.29,239.02,235.86,264.43,L8
2022-01-28 22:20:55+00:00,,,,,221.35,231.64499999999998,245.51999999999998,240.63,236.51,266.20000000000005,L8
2022-02-06 22:14:44+00:00,,,,,221.35,228.93999999999997,243.3166666666667,238.88666666666668,233.11,265.36,L8
2022-02-13 22:20:52+00:00,,,,,221.35,228.6525,242.91,238.625,233.0,265.01750000000004,L8
2022-10-19 22:21:14+00:00,,,,,221.95,232.9,244.29,238.68,234.53,266.88,L9
2023-03-05 22:14:49+00:00,,,,,221.95,230.3,244.17000000000002,238.04000000000002,234.655,266.195,L9
2023-04-06 22:14:33+00:00,,,,,221.95,230.3,244.17000000000002,238.04000000000002,230.84,265.9166666666667,L9
2024-01-11 22:14:44+00:00,,,,,221.84,232.06,246.54,241.27,236.45,267.56,L8
2024-01-26 22:21:02+00:00,,,,,222.13,232.255,246.31,241.085,236.015,267.505,L9
2024-02-19 22:20:51+00:00,,,,,219.54333333333332,230.65666666666667,244.59,239.61,234.7266666666667,266.29333333333335,L8
2024-03-06 22:20:39+00:00,,,,,220.0875,230.4625,244.5375,239.5075,234.8625,266.53,L8
2024-09-22 22:20:32+00:00,,,,,215.69,228.89,240.57,234.99,227.91,254.4,L9
2024-10-24 22:20:57+00:00,,194.44,219.24,219.47,220.8,231.695,244.825,238.78,231.905,255.48000000000002,L9
2024-11-02 22:14:41+00:00,,194.765,220.82,219.82,223.24666666666667,233.54333333333332,246.9466666666667,241.79333333333332,233.86666666666667,257.73,L9
2024-11-10 22:14:37+00:00,,194.765,220.82,219.82,223.865,233.55,247.0725,242.005,234.1975,256.3575,L8
2025-01-28 22:20:54+00:00,,195.74,221.29333333333332,219.67,224.36599999999999,233.994,247.836,242.746,234.792,256.898,L9
2025-09-02 22:14:47+00:00,,190.31,218.51,221.4,225.48,234.16,246.57,242.16,233.12,262.03,L9
2025-09-10 22:14:44+00:00,,190.31,218.51,221.4,224.495,232.89,244.95,239.94,229.255,257.03499999999997,L8
2025-09-18 22:14:49+00:00,,190.31,219.45,220.66500000000002,224.60333333333332,233.76666666666665,246.06000000000003,241.26,230.64333333333332,258.4733333333333,L9
