dates,nzd0432-0000,nzd0432-0001,nzd0432-0002,nzd0432-0003,nzd0432-0004,nzd0432-0005,nzd0432-0006,nzd0432-0007,nzd0432-0008,nzd0432-0009,nzd0432-0010,nzd0432-0011,nzd0432-0012,nzd0432-0013
2003-08-20 21:57:03+00:00,,,292.81,283.01,295.07,237.76,267.87,288.15,,294.66,294.01,281.49,284.96,278.23
2003-12-10 21:58:29+00:00,242.18,234.53,277.7,274.02,281.06,248.095,248.215,274.84,251.38,278.49,277.48,263.06,267.95,264.805
2003-12-26 21:58:42+00:00,235.145,234.53,275.6033333333333,273.6033333333333,278.74333333333334,253.21666666666667,244.39666666666668,273.1933333333333,251.45499999999998,274.8333333333333,276.7833333333333,263.2366666666667,265.4266666666667,260.23
2004-01-18 22:04:57+00:00,235.76,247.78500000000003,275.9075,272.59,276.8075,253.21249999999998,240.805,271.125,253.12,271.5025,273.59,261.09499999999997,263.0125,260.21500000000003
2004-01-27 21:58:50+00:00,239.03,247.73666666666668,275.93199999999996,272.96799999999996,277.88,256.70799999999997,242.462,272.522,259.8925,272.348,274.918,262.22200000000004,264.18199999999996,261.72200000000004
2004-02-19 22:05:07+00:00,241.22600000000003,251.5025,274.134,271.83000000000004,275.11400000000003,263.67199999999997,239.446,270.78200000000004,263.026,266.90999999999997,269.892,258.41999999999996,260.23400000000004,259.21
2004-05-18 22:00:38+00:00,241.22600000000003,251.5025,278.2966666666667,275.81166666666667,279.555,269.7416666666666,246.43666666666664,274.16,269.8483333333333,272.44166666666666,275.25166666666667,262.865,260.23400000000004,263.3383333333333
2004-08-22 22:03:12+00:00,,,293.015,288.01,294.65999999999997,287.63,281.39,285.15999999999997,295.99,291.56,302.05,276.15999999999997,274.8,277.17
2004-10-16 22:10:42+00:00,,,287.83,283.0833333333333,289.2366666666667,273.46,281.39,281.37666666666667,282.42,291.56,302.05,276.15999999999997,274.8,277.17
2004-11-26 22:05:17+00:00,242.72,257.94,279.73333333333335,276.53000000000003,280.49333333333334,260.67,,274.26666666666665,268.31666666666666,274.71,261.37,261.39,265.615,263.67
2005-02-14 22:06:33+00:00,242.72,244.51999999999998,277.47249999999997,274.16,277.99,260.105,,274.26666666666665,266.84999999999997,272.9733333333333,267.625,258.62666666666667,264.83666666666664,264.0833333333333
2005-07-08 22:07:39+00:00,,263.56999999999994,288.83000000000004,284.565,289.95500000000004,258.41,293.69,307.89,284.345,288.015,290.905,273.73,263.28,283.33000000000004
2005-08-09 22:07:58+00:00,,263.56999999999994,286.57,282.19666666666666,288.6066666666667,253.83,280.97,298.49,287.74,289.7833333333333,291.0133333333333,275.6333333333333,273.25,283.04
2005-09-10 22:08:07+00:00,,288.635,294.51,291.93666666666667,297.7266666666667,271.685,278.9866666666667,298.43,298.9266666666667,298.6033333333333,298.65333333333336,285.82,286.21000000000004,289.7266666666667
2005-11-13 22:08:20+00:00,258.15,280.29999999999995,289.0933333333333,289.35,293.8825,270.47,271.0925,290.91999999999996,291.09499999999997,293.22749999999996,292.5,280.8975,279.56,284.045
2006-02-01 22:10:13+00:00,258.15,272.42999999999995,277.6433333333333,281.59499999999997,284.9675,268.775,257.3175,281.31,280.695,283.99,284.265,272.3325,275.925,273.2825
2006-02-08 22:16:33+00:00,254.08499999999998,267.7833333333333,276.30333333333334,281.8075,282.935,273.8125,251.65499999999997,278.4375,273.47499999999997,278.55,280.7625,269.7075,272.7475,269.68
2006-02-17 22:10:34+00:00,255.39999999999998,268.485,278.39,281.64799999999997,283.746,274.274,253.87199999999999,279.15,275.502,277.942,279.698,266.76599999999996,272.7475,269.68
2006-06-25 22:12:44+00:00,254.02499999999998,264.54,271.9475,282.0625,283.3275,276.66249999999997,259.41999999999996,280.64750000000004,279.27,279.385,282.3475,267.28249999999997,275.42333333333335,271.5733333333333
2006-10-22 22:20:22+00:00,236.13,242.49,263.38,284.865,285.775,282.25,263.625,283.47,284.36,286.84000000000003,288.11,276.53499999999997,280.57500000000005,278.83500000000004
2006-10-31 22:14:17+00:00,244.12,253.01999999999998,269.75,282.86333333333334,285.3566666666666,278.9866666666667,257.2033333333333,282.09666666666664,281.43666666666667,282.97333333333336,286.13000000000005,273.93,277.97,275.1066666666666
2006-12-09 22:20:48+00:00,245.92333333333332,259.18666666666667,272.1275,281.845,284.60749999999996,276.125,252.97750000000002,280.745,276.7125,280.045,283.1875,272.8275,275.6575,273.4325
2007-02-04 22:14:57+00:00,247.16,260.205,278.0825,275.9525,279.55,269.29499999999996,241.7425,277.38750000000005,269.6675,274.0675,277.5775,268.76,270.225,268.8775
2007-09-07 22:19:19+00:00,,277.52,,290.8,295.04,286.65,275.71,288.52,295.55,294.19,292.6,281.02,284.22,282.27
2007-10-02 22:12:54+00:00,266.99,281.85,294.37,293.755,294.275,290.30499999999995,273.53,293.46,294.09000000000003,293.09000000000003,293.055,281.85,285.59000000000003,282.09000000000003
2008-12-23 22:04:28+00:00,,236.76,263.22,261.56,259.48,,224.58,263.28,255.68,263.4,269.2,256.08,261.98,255.85
2010-01-27 22:10:50+00:00,,250.07,273.65,267.63,273.27,255.08,227.66,264.68,261.31,266.69,272.8,257.54,261.55,252.47
2011-01-21 22:16:06+00:00,250.94,242.53,265.33,267.36,268.21,259.67,242.31,261.3,266.42,262.96,264.81,255.39,263.16,261.14
2011-02-15 22:09:58+00:00,256.945,253.03500000000003,272.78999999999996,271.86,276.04999999999995,265.805,252.655,270.47,270.1,265.575,273.61,262.45,267.96500000000003,266.64
2013-05-02 22:27:58+00:00,313.68,,,,,,,,,,,304.83,,
2013-05-11 22:21:55+00:00,294.08000000000004,258.81,,,,242.85,,,234.73,,,304.83,,
2013-05-27 22:22:02+00:00,294.08000000000004,282.065,315.14,315.79,319.36,274.805,291.2,315.75,234.73,309.65,313.17,301.985,307.98,306.1
2013-07-14 22:21:58+00:00,294.08000000000004,289.08666666666664,314.2,314.265,317.40999999999997,284.3666666666667,291.26,314.21000000000004,239.92000000000002,309.17499999999995,313.02,300.76666666666665,306.135,306.055
