dates,satname,nzd0372-0000,nzd0372-0001,nzd0372-0002,nzd0372-0003,nzd0372-0004,nzd0372-0005,nzd0372-0006,nzd0372-0007,nzd0372-0008,nzd0372-0009,nzd0372-0010,nzd0372-0011,nzd0372-0012,nzd0372-0015,nzd0372-0016,nzd0372-0017,nzd0372-0018,nzd0372-0019,nzd0372-0020,nzd0372-0022,nzd0372-0023,nzd0372-0024,nzd0372-0025,nzd0372-0026,nzd0372-0035,nzd0372-0036,nzd0372-0037,nzd0372-0038,nzd0372-0039,nzd0372-0040,nzd0372-0041,nzd0372-0042,nzd0372-0043,nzd0372-0044,nzd0372-0045,nzd0372-0046,nzd0372-0047,nzd0372-0048,nzd0372-0049,nzd0372-0050,nzd0372-0051,nzd0372-0052,nzd0372-0053,nzd0372-0054,nzd0372-0055,nzd0372-0056,nzd0372-0013,nzd0372-0014,nzd0372-0021,nzd0372-0027,nzd0372-0028,nzd0372-0029,nzd0372-0030,nzd0372-0031,nzd0372-0032,nzd0372-0033,nzd0372-0034,nzd0372-0057,nzd0372-0058,nzd0372-0059,nzd0372-0060,nzd0372-0061,nzd0372-0062,nzd0372-0063,nzd0372-0064,nzd0372-0065,nzd0372-0066,nzd0372-0067
2001-12-21 22:02:05.831000,L7,302.48,296.44,277.54,257.33,278.59,274.27,245.10,255.21,229.61,233.52,244.77,244.71,197.52,204.44,265.47,267.36,270.87,268.42,268.03,221.18,179.71,275.95,271.01,248.33,272.31,265.23,251.83,271.09,277.56,204.55,249.37,205.76,267.31,261.99,267.73,260.47,263.31,262.10,261.06,261.85,260.30,253.22,237.19,217.28,235.94,184.96,,,,,,,,,,,,,,,,,,,,,,
2003-07-28 21:50:04.710000,L5,247.03,255.36,269.71,262.98,271.77,285.80,283.07,287.56,273.38,264.54,270.09,266.74,262.05,270.13,272.27,276.49,275.91,280.14,275.90,289.19,285.78,286.28,282.84,286.82,285.37,288.01,286.37,297.54,292.71,282.84,290.27,281.66,284.59,279.52,288.80,276.85,284.74,289.70,279.20,286.31,286.86,281.06,288.49,281.51,283.15,278.11,268.52,264.60,285.96,284.29,283.82,285.65,286.02,285.28,286.31,287.29,283.79,284.01,275.54,282.01,293.76,292.37,285.06,280.91,286.68,286.77,232.70,
2003-08-29 21:50:38.152000,L5,260.39,253.67,273.35,270.91,282.53,303.71,312.69,308.43,289.00,278.06,273.41,284.95,270.66,279.44,280.70,283.26,292.41,296.18,290.19,302.49,301.28,296.87,315.51,301.97,295.87,312.44,302.95,305.99,301.41,300.08,306.10,304.45,300.82,304.20,300.64,292.05,291.46,289.99,292.62,290.20,294.36,301.22,299.88,295.24,298.66,298.69,277.14,278.13,293.98,300.16,301.32,311.97,299.57,306.63,297.06,296.29,295.09,297.54,291.14,292.06,290.46,290.93,296.47,296.72,285.62,281.58,331.99,334.16
2003-09-14 21:50:54.515000,L5,252.10,242.88,260.77,259.12,273.79,296.63,289.89,281.82,270.54,268.61,263.61,270.05,271.41,277.73,283.47,282.93,285.98,283.27,283.63,291.25,289.25,290.19,289.13,290.32,286.51,287.00,295.40,294.29,296.74,293.82,295.03,291.48,291.68,294.05,292.65,289.83,284.24,287.98,287.63,284.61,291.55,292.84,289.78,289.93,284.40,287.47,275.07,280.28,284.55,293.34,295.44,295.09,292.14,293.54,293.99,289.84,287.23,277.61,282.06,283.70,287.34,287.61,274.30,265.71,,,,
2003-10-16 21:51:19.969000,L5,244.04,236.81,246.79,249.92,265.19,286.02,290.31,289.36,282.73,275.25,274.67,271.72,279.58,278.28,277.90,286.06,281.57,285.15,285.77,295.61,300.64,298.63,298.98,300.76,298.41,299.97,301.10,299.95,302.19,300.02,296.36,296.14,294.36,294.52,292.32,290.17,290.76,294.61,294.52,294.94,295.41,299.89,294.63,289.31,286.89,286.99,279.26,273.01,295.37,299.58,291.11,292.26,295.66,294.71,293.43,288.90,295.94,282.36,282.34,282.82,283.86,289.18,280.37,215.37,,,,
2003-10-23 21:57:36.620000,L5,262.40,244.11,253.34,257.14,270.10,295.38,291.84,284.38,282.14,277.79,280.13,279.52,287.49,279.00,282.02,285.55,287.58,286.55,300.84,474.84,319.26,306.91,306.84,304.90,302.35,304.51,307.78,308.87,309.90,312.06,308.47,291.98,295.41,289.59,290.27,286.85,284.58,291.12,300.96,299.41,303.22,306.13,307.94,310.32,292.95,287.04,291.23,287.17,511.72,304.69,301.59,304.47,312.09,302.15,295.37,294.00,291.48,280.23,284.77,282.71,294.41,292.31,302.27,303.19,307.10,292.31,291.23,332.93
2003-11-17 21:51:45.201000,L5,244.54,233.70,241.92,245.57,265.34,281.45,285.45,280.76,286.11,276.03,278.52,276.47,279.11,274.10,275.05,275.47,279.11,277.22,279.99,295.30,296.41,297.41,297.33,298.92,295.78,295.40,297.99,295.32,301.18,301.06,297.74,289.12,288.34,287.27,285.11,286.24,278.97,290.80,291.32,292.79,292.80,294.12,296.30,292.43,282.12,281.99,282.10,283.15,289.63,298.28,288.13,285.42,287.25,284.63,286.04,283.81,286.33,278.69,274.34,284.26,282.80,286.17,282.36,217.81,,,,
2003-12-03 21:51:55.424000,L5,245.25,235.48,245.27,252.57,274.16,294.34,301.63,292.55,284.77,273.68,276.47,275.53,265.55,272.80,272.37,279.25,284.90,287.00,288.23,292.80,297.08,294.10,284.80,288.34,292.62,291.44,295.41,290.95,291.26,290.71,294.32,289.71,290.91,289.23,297.65,294.29,290.96,291.32,292.84,292.21,291.38,285.67,285.84,284.78,282.48,282.50,269.02,268.23,294.35,287.88,289.99,287.06,289.68,293.03,291.51,294.49,288.19,278.95,280.03,176.28,290.72,287.55,183.50,,,,,
2003-12-10 21:58:05.829000,L5,245.13,234.74,241.92,250.48,275.23,295.10,303.02,298.05,289.59,277.85,280.49,265.98,267.11,270.49,271.97,277.53,295.23,295.67,295.09,298.22,301.47,293.96,280.36,284.91,298.45,298.89,296.41,284.50,285.86,285.17,290.18,291.03,291.32,291.05,298.20,300.62,294.14,297.69,293.89,296.38,283.18,283.41,284.67,283.71,282.71,277.97,265.90,267.48,298.34,287.20,286.48,288.91,288.55,301.32,299.94,299.85,297.49,276.78,288.73,297.94,293.87,291.95,285.16,267.46,,,,
2004-01-04 21:52:10.021000,L5,260.01,246.26,253.22,254.21,261.92,280.56,284.55,277.88,269.44,262.16,264.20,271.64,276.52,278.52,282.33,281.76,275.61,274.50,275.86,278.39,283.05,287.88,294.51,291.41,280.37,281.86,283.85,288.96,295.53,297.72,297.19,296.86,295.74,289.77,288.44,284.38,277.38,284.15,279.24,280.81,286.00,287.72,291.38,291.27,291.28,288.95,272.94,280.21,280.24,297.25,295.82,299.20,296.88,288.99,284.92,286.90,280.42,282.25,269.85,275.31,277.96,275.80,264.78,,,,,
2004-04-25 21:53:23.341000,L5,227.54,216.99,219.78,221.64,229.31,258.14,274.83,272.49,266.42,260.05,260.56,262.81,261.22,265.46,268.10,270.82,270.88,270.55,275.03,278.26,275.83,281.99,279.05,287.94,273.66,272.78,276.61,277.02,282.11,281.10,283.02,284.23,274.16,278.08,275.83,279.04,269.43,275.15,271.39,275.22,277.19,279.19,278.80,280.20,271.28,270.03,264.93,262.66,272.58,280.44,275.78,282.63,277.80,285.56,276.68,280.23,272.52,270.05,266.69,274.35,275.86,159.22,273.18,260.17,244.82,,,
2004-05-18 22:00:14.650000,L5,227.80,207.88,226.38,221.43,230.55,255.82,276.55,272.70,265.68,260.60,262.00,258.74,259.51,270.66,270.63,275.36,270.41,274.59,273.72,273.40,275.46,277.11,279.40,278.92,278.57,277.84,276.05,278.23,280.77,284.00,283.93,283.70,285.76,281.33,282.08,277.91,269.23,276.02,269.86,272.08,274.67,275.69,276.55,278.26,279.63,276.08,264.37,269.08,271.91,281.98,283.50,283.90,282.25,282.97,278.88,281.06,275.11,277.41,276.07,277.26,283.40,273.60,274.52,268.43,,,,
2004-10-02 21:57:38.853000,L5,241.32,225.52,228.34,217.91,227.64,253.94,278.30,273.58,271.14,259.90,262.89,263.13,265.69,279.16,298.64,285.15,291.25,285.74,281.13,293.31,299.73,289.28,312.59,292.61,274.18,266.26,278.43,282.08,293.40,295.53,298.71,294.57,295.59,295.58,293.06,281.23,279.32,280.84,275.89,284.45,282.84,284.67,280.72,291.94,290.59,286.31,272.30,280.20,283.44,302.48,292.11,296.28,290.34,291.24,288.72,287.39,280.07,283.73,283.13,284.53,283.37,276.21,277.52,253.83,,,,
2004-11-10 22:04:35.857000,L5,302.61,317.51,313.02,304.89,309.22,300.77,315.05,302.35,290.58,278.45,280.28,285.15,280.92,304.88,311.78,303.40,315.73,307.71,313.17,299.29,307.56,303.54,303.51,302.89,304.36,307.87,305.30,300.67,304.23,297.44,309.17,315.73,315.35,314.15,314.15,314.41,317.93,303.51,304.00,307.79,305.62,298.98,302.53,302.56,315.31,312.16,288.45,296.98,310.10,304.52,314.29,315.82,316.87,317.08,312.97,317.92,315.35,312.15,307.52,307.25,314.52,313.71,293.29,291.91,289.52,297.66,307.65,320.89
2005-02-23 22:00:07.370000,L5,245.59,228.83,232.80,225.99,235.10,258.85,281.38,281.28,275.50,267.70,268.10,267.75,267.14,275.60,278.05,279.19,281.91,280.89,280.81,283.27,286.67,286.00,290.47,290.32,281.75,282.05,282.37,281.94,287.45,288.67,292.11,292.27,288.25,289.05,289.62,286.01,278.53,285.03,282.66,284.35,281.39,287.49,286.51,289.56,289.40,283.20,268.72,275.29,284.34,290.87,289.42,289.83,291.24,293.87,288.29,286.31,279.32,283.12,277.01,280.47,281.48,285.87,277.35,266.34,,,,
2005-03-02 22:06:24.060000,L5,240.94,225.32,229.97,222.99,230.25,256.96,279.27,282.06,281.71,276.89,278.41,278.53,277.85,271.91,271.58,276.13,278.45,276.09,277.99,287.62,291.78,291.36,290.42,295.47,287.00,290.10,291.23,291.55,296.97,297.11,292.36,290.15,289.72,285.56,288.62,281.67,281.67,290.42,290.64,293.27,291.55,293.33,293.06,289.17,282.17,274.86,278.50,280.02,284.92,289.79,284.02,283.49,280.94,285.79,281.69,284.18,285.87,275.20,271.54,274.87,279.04,287.98,284.39,276.06,274.20,,,
2005-03-18 22:06:34.540000,L5,,,,,,,,,,,,,,219.14,234.10,235.54,236.28,243.86,223.68,,,,238.68,230.65,200.74,225.01,229.93,218.92,235.38,241.02,244.17,244.10,247.28,241.67,249.29,246.46,241.77,221.06,210.11,222.15,,,,,,,,,202.58,241.29,238.40,258.30,174.42,176.48,173.22,190.89,210.28,,,,,,,,,,,
2005-04-12 22:00:30.943000,L5,,,,,,,,,,,,,,226.32,246.12,256.30,258.97,259.54,251.64,264.32,265.67,264.38,265.40,264.96,258.89,261.22,262.49,257.91,265.99,265.63,270.64,266.42,253.75,189.32,,229.46,209.02,249.75,256.71,257.13,255.87,258.47,252.15,251.39,255.58,258.88,,,263.04,266.06,266.60,265.82,267.37,268.14,267.96,265.96,260.85,254.25,248.86,256.32,257.34,192.79,250.47,,,,,
