dates,nzd0372-0000,nzd0372-0001,nzd0372-0002,nzd0372-0003,nzd0372-0004,nzd0372-0005,nzd0372-0006,nzd0372-0007,nzd0372-0008,nzd0372-0009,nzd0372-0010,nzd0372-0011,nzd0372-0012,nzd0372-0015,nzd0372-0016,nzd0372-0017,nzd0372-0018,nzd0372-0019,nzd0372-0020,nzd0372-0022,nzd0372-0023,nzd0372-0024,nzd0372-0025,nzd0372-0026,nzd0372-0035,nzd0372-0036,nzd0372-0037,nzd0372-0038,nzd0372-0039,nzd0372-0040,nzd0372-0041,nzd0372-0042,nzd0372-0043,nzd0372-0044,nzd0372-0045,nzd0372-0046,nzd0372-0047,nzd0372-0048,nzd0372-0049,nzd0372-0050,nzd0372-0051,nzd0372-0052,nzd0372-0053,nzd0372-0054,nzd0372-0055,nzd0372-0056,nzd0372-0013,nzd0372-0014,nzd0372-0021,nzd0372-0027,nzd0372-0028,nzd0372-0029,nzd0372-0030,nzd0372-0031,nzd0372-0032,nzd0372-0033,nzd0372-0034,nzd0372-0057,nzd0372-0058,nzd0372-0059,nzd0372-0060,nzd0372-0061,nzd0372-0062,nzd0372-0063,nzd0372-0064,nzd0372-0065,nzd0372-0066,nzd0372-0067,satname
2001-12-21 22:02:05+00:00,,,,,,,245.1,255.21,,233.52,244.77,244.71,,,265.47,267.36,270.87,268.42,268.03,,,275.95,271.01,248.33,272.31,265.23,251.83,271.09,277.56,,,,,,267.73,,263.31,262.1,261.06,261.85,260.3,253.22,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-07-28 21:50:04+00:00,247.03,,,262.98,271.77,285.8,283.07,287.56,273.38,264.54,270.09,266.74,262.05,270.13,272.27,276.49,275.91,280.14,275.9,289.19,285.78,286.28,282.84,286.82,285.37,288.01,286.37,297.54,292.71,282.84,290.27,281.66,284.59,279.52,288.8,276.85,284.74,289.7,279.2,286.31,286.86,281.06,288.49,281.51,283.15,278.11,268.52,264.6,285.96,284.29,283.82,285.65,286.02,285.28,286.31,287.29,283.79,284.01,275.54,282.01,293.76,292.37,285.06,280.91,286.68,,,,L5
2003-08-29 21:50:38+00:00,247.03,,,266.94500000000005,277.15,294.755,297.88,297.995,281.19,271.3,271.75,275.845,266.355,274.78499999999997,276.485,279.875,284.16,288.15999999999997,283.04499999999996,295.84000000000003,293.53,291.575,299.17499999999995,294.395,290.62,300.225,294.65999999999997,301.765,297.06,291.46,298.185,293.055,292.705,291.86,294.72,284.45000000000005,288.1,289.845,285.90999999999997,288.255,290.61,281.06,288.49,281.51,290.905,288.4,272.83,271.365,289.97,292.225,292.57,298.81,292.79499999999996,295.955,291.685,291.79,289.44,290.775,283.34000000000003,287.03499999999997,292.11,291.65,290.765,288.81500000000005,286.15,,,,L5
2003-09-14 21:50:54+00:00,247.03,,,264.33666666666664,276.03,295.38,295.21666666666664,292.6033333333333,277.64000000000004,270.40333333333336,269.0366666666667,273.91333333333336,268.04,275.76666666666665,278.81333333333333,280.8933333333334,284.7666666666667,286.53,283.24,294.31,292.1033333333333,291.1133333333333,295.82666666666665,293.0366666666667,289.25,295.81666666666666,294.9066666666667,299.27333333333337,296.9533333333333,292.24666666666667,297.1333333333333,292.53000000000003,292.3633333333333,292.59,294.03,286.24333333333334,286.81333333333333,289.22333333333336,286.48333333333335,287.04,290.92333333333335,286.95,289.135,285.72,288.7366666666667,288.09,273.57666666666665,274.33666666666664,288.16333333333336,292.59666666666664,293.52666666666664,297.57,292.57666666666665,295.15000000000003,292.4533333333333,291.14000000000004,288.7033333333333,286.3866666666667,282.91333333333336,285.92333333333335,290.52,290.30333333333334,285.2766666666667,281.11333333333334,286.15,,,,L5
2003-10-16 21:51:19+00:00,247.03,,,264.33666666666664,276.03,295.38,295.21666666666664,291.7925,278.9125,271.615,270.445,273.365,270.925,276.395,278.585,282.185,283.96750000000003,286.185,283.8725,294.635,294.23749999999995,292.9925,296.615,294.9675,291.54,296.855,296.455,299.4425,298.2625,294.19,296.94,293.4325,292.8625,293.0725,293.60249999999996,287.225,287.8,290.57,288.4925,289.015,292.045,291.2633333333333,290.96666666666664,286.9166666666667,288.275,287.815,274.9975,274.005,289.96500000000003,294.3425,292.9225,296.2425,293.34749999999997,295.03999999999996,292.6975,290.58,290.5125,285.38,282.77,285.1475,288.855,290.02250000000004,284.05,281.11333333333334,286.15,,,,L5
2003-11-17 21:51:45+00:00,247.03,,241.92,264.33666666666664,273.35749999999996,291.8975,292.775,289.586,280.352,272.498,272.06,273.986,272.562,275.93600000000004,277.878,280.842,282.996,284.392,283.096,294.76800000000003,294.67199999999997,293.87600000000003,296.758,295.758,292.38800000000003,296.56399999999996,296.762,298.61800000000005,298.846,295.56399999999996,297.1,292.57,291.95799999999997,291.912,291.904,287.028,286.034,290.616,289.058,289.77,292.196,291.97749999999996,292.3,288.295,287.044,286.65,276.418,275.834,289.898,295.13,291.964,294.078,292.128,292.95799999999997,291.366,289.226,289.67600000000004,284.04200000000003,281.084,284.96999999999997,287.644,289.252,283.712,281.11333333333334,286.15,,,,L5
2003-12-03 21:51:55+00:00,246.14,235.48,243.595,261.395,273.518,292.38599999999997,294.546,290.08,281.0883333333333,272.695,272.795,274.24333333333334,271.3933333333334,275.41333333333336,276.96,280.57666666666665,283.31333333333333,284.82666666666665,283.95166666666665,294.44,295.0733333333333,293.91333333333336,294.765,294.5216666666667,292.4266666666667,295.71,296.5366666666667,297.34,297.58166666666665,294.755,296.63666666666666,292.0933333333333,291.78333333333336,291.465,292.8616666666667,288.23833333333334,286.855,290.73333333333335,289.68833333333333,290.1766666666667,292.06,290.716,291.008,287.592,286.28333333333336,285.9583333333333,275.185,274.56666666666666,290.64000000000004,293.9216666666667,291.635,292.90833333333336,291.71999999999997,292.96999999999997,291.39000000000004,290.1033333333333,289.42833333333334,283.1933333333333,280.9083333333333,284.96999999999997,288.1566666666667,288.9683333333333,283.712,281.11333333333334,286.15,,,,L5
2003-12-10 21:58:05+00:00,245.8033333333333,235.11,243.03666666666666,259.212,273.80333333333334,292.8383333333333,295.9583333333333,291.2185714285714,282.30285714285714,273.43142857142857,273.89428571428573,273.0628571428571,270.7814285714286,274.71,276.2471428571429,280.14142857142855,285.0157142857143,286.3757142857143,285.54285714285714,294.98,295.9871428571428,293.92,292.70714285714286,293.1485714285714,293.2871428571429,296.1642857142857,296.5185714285714,295.5057142857143,295.90714285714284,293.38571428571424,295.7142857142857,291.94142857142856,291.71714285714285,291.4057142857143,293.6242857142857,290.00714285714287,287.8957142857143,291.7271428571429,290.2885714285714,291.0628571428571,290.7914285714286,289.49833333333333,289.95166666666665,286.945,285.7728571428571,284.81714285714287,273.85857142857145,273.55428571428575,291.74,292.9614285714286,290.8985714285714,292.33714285714285,291.26714285714286,294.16285714285715,292.6114285714286,291.4957142857143,290.58,282.27714285714285,282.0257142857143,287.13166666666666,288.97285714285715,289.39428571428573,283.9533333333333,277.7,286.15,,,,L5
2004-01-04 21:52:10+00:00,249.355,238.82666666666668,245.58249999999998,258.37833333333333,272.10571428571427,291.0842857142857,294.3285714285715,289.55125,280.695,272.02250000000004,272.6825,272.885,271.49875000000003,275.18625,277.0075,280.34375,283.84000000000003,284.89125,284.3325,292.90625,294.37,293.165,292.9325,292.93125,291.6725,294.37625,294.935,294.6875,295.86,293.9275,295.89875,292.55625,292.22,291.20125,292.97625,289.30375000000004,286.58125,290.78,288.90749999999997,289.78125,290.1925,289.2442857142857,290.1557142857143,287.5628571428571,286.46125,285.33375,273.74375,274.38625,290.3025,293.4975,291.51375,293.195,291.96875,293.51625,291.65,290.92125,289.31,282.27375,280.50374999999997,285.4428571428571,287.59625,287.695,281.2142857142857,277.7,286.15,,,,L5
2004-04-25 21:53:23+00:00,250.13,238.82666666666668,240.42199999999997,244.72500000000002,261.192,281.918,289.89599999999996,284.346,279.26599999999996,269.954,272.048,270.486,269.902,272.274,273.96400000000006,276.966,281.146,280.988,282.84,288.594,290.76800000000003,291.068,287.21,290.30400000000003,288.176,288.07399999999996,290.05400000000003,287.35,291.188,291.152,292.49,290.19,288.094,287.08000000000004,289.046,288.914,282.176,287.822,285.736,287.482,286.11,286.02200000000005,287.398,286.47799999999995,281.974,280.288,270.97799999999995,272.346,287.02799999999996,290.21000000000004,287.23999999999995,288.644,288.03200000000004,290.706,287.81800000000004,289.05600000000004,284.99,277.344,275.928,282.96500000000003,284.242,285.36749999999995,276.37,263.815,,,,,L5
