dates,satname,nzd0162-0000,nzd0162-0001,nzd0162-0002,nzd0162-0003,nzd0162-0004,nzd0162-0005,nzd0162-0006
1999-10-22 21:58:28.758000,L7,319.29,367.67,371.22,368.44,380.43,367.25,391.05
1999-12-09 21:58:33.708000,L7,328.06,369.47,366.04,360.25,369.41,359.64,362.56
1999-12-09 21:58:57.676000,L7,320.35,366.04,362.19,353.62,366.08,355.90,359.32
2000-02-27 21:58:16.566000,L7,295.65,321.55,,,297.52,320.36,335.20
2000-03-14 21:58:35.291000,L7,,,,,302.32,318.32,334.16
2000-03-30 21:58:09.573000,L7,,,,,302.77,320.41,329.93
2000-03-30 21:58:33.541000,L7,,,318.50,344.51,309.66,325.89,336.17
2000-12-11 21:56:00.959000,L7,,,,,285.32,324.35,342.13
2001-01-12 21:56:06.772000,L7,297.79,335.77,346.44,340.30,352.78,343.55,348.27
2001-01-12 21:56:30.696000,L7,295.92,335.05,345.72,338.14,349.68,340.93,345.09
2001-03-01 21:55:57.624000,L7,300.61,339.86,362.87,343.73,378.18,355.31,350.56
2001-03-01 21:56:21.596000,L7,,,,,305.04,327.84,347.68
2001-06-05 21:55:16.607000,L7,,304.79,319.13,332.83,297.60,303.28,
2001-06-21 21:55:05.323000,L7,277.89,302.98,320.52,329.87,284.39,293.63,
2001-06-21 21:55:29.297000,L7,,302.84,319.10,329.24,281.47,270.19,
2001-08-24 21:54:24.664000,L7,286.24,331.41,335.30,339.20,332.40,327.12,327.80
2001-08-24 21:54:48.593000,L7,284.90,328.41,336.80,339.38,334.59,324.58,322.21
2001-09-25 21:54:04.740000,L7,,294.85,331.61,337.11,308.19,321.22,334.99
2001-09-25 21:54:28.694000,L7,,300.96,331.48,340.13,307.43,323.76,336.82
2001-10-11 21:53:46.024000,L7,314.78,375.19,377.80,363.88,379.55,359.83,370.09
2001-10-11 21:54:09.862000,L7,302.13,339.15,359.31,345.24,359.21,330.76,348.87
2002-01-31 21:54:26.647000,L7,304.98,350.62,351.86,348.17,361.41,348.07,352.51
2002-01-31 21:54:50.570000,L7,289.74,321.80,342.86,,287.21,335.14,343.09
2002-02-16 21:54:54.191000,L7,314.41,338.16,355.85,332.99,336.78,347.05,322.83
2002-05-23 21:54:18.991000,L7,,,,,313.29,320.98,283.14
2002-08-27 21:53:36.267000,L7,288.97,335.00,348.43,346.10,338.50,329.58,346.00
2002-08-27 21:54:00.253000,L7,,319.15,332.81,333.89,324.73,309.56,312.20
2002-10-14 21:53:19.813000,L7,304.04,337.08,352.21,348.65,365.81,353.27,357.87
2002-10-14 21:53:43.769000,L7,312.69,343.77,366.99,367.71,371.47,360.58,365.23
2002-12-01 21:53:52.985000,L7,299.91,327.06,339.02,335.53,337.54,330.90,351.15
2002-12-01 21:54:16.937000,L7,322.82,347.57,354.63,346.08,360.86,354.54,372.62
2003-01-18 21:54:06.301000,L7,295.95,344.93,351.39,352.69,362.47,351.05,355.32
2003-01-18 21:54:30.278000,L7,295.73,343.30,350.42,349.56,362.01,350.66,353.51
2003-03-23 21:54:16.760000,L7,290.79,333.01,331.99,337.93,341.50,341.10,359.94
2003-03-23 21:54:40.711000,L7,280.09,326.53,315.55,333.24,309.93,331.36,350.75
2003-05-26 21:54:19.958000,L7,,303.62,320.65,330.23,297.15,274.86,
2003-07-21 21:42:33.857000,L5,305.54,349.53,354.90,345.90,357.10,350.25,374.82
2003-10-25 21:44:04.226000,L5,333.46,336.82,335.35,332.77,343.52,339.52,359.61
2004-09-25 21:49:43.196000,L5,404.63,396.59,395.65,402.70,403.14,390.83,
2004-09-25 21:50:07.312000,L5,334.91,341.62,340.82,345.27,345.80,350.41,371.29
2004-10-27 21:50:47.740000,L5,352.13,354.79,363.35,366.92,370.20,365.64,373.53
2005-01-15 21:51:45.464000,L5,321.24,318.27,324.51,310.76,298.39,318.09,333.48
2005-02-16 21:52:13.954000,L5,347.49,342.90,341.34,340.02,342.11,341.18,355.45
2005-10-30 21:53:39.558000,L5,292.26,329.74,333.08,331.40,341.14,336.53,359.12
2006-02-19 21:56:39.909000,L5,306.81,311.86,318.37,319.21,312.18,316.07,334.73
2006-12-13 21:54:31.554000,L5,335.08,313.76,338.66,333.27,335.97,345.97,359.64
2007-01-30 21:54:48.635000,L5,308.70,315.24,322.82,316.97,295.10,320.09,336.77
2007-02-15 21:54:49.756000,L5,310.08,315.31,321.04,320.03,299.87,324.06,342.39
2008-12-25 21:50:10.387000,L5,351.20,349.66,349.13,347.39,358.14,355.80,377.94
2009-12-12 21:56:13.982000,L5,300.25,321.83,321.53,310.98,317.92,324.77,348.32
2010-01-13 21:56:25.416000,L5,330.67,310.82,323.39,322.19,322.13,333.10,350.19
2010-10-28 21:55:27.339000,L5,300.80,307.39,318.40,313.49,307.38,318.65,341.86
2010-12-31 21:55:32.560000,L5,,,,313.14,297.65,319.09,338.81
2011-02-01 21:55:35.620000,L5,,,,305.53,298.00,303.33,337.23
2013-04-11 22:07:51.092000,L8,317.82,320.04,316.65,327.35,297.42,316.48,332.51
2013-06-30 22:08:00.117000,L8,285.14,315.07,324.64,329.31,293.97,298.79,
2013-08-17 22:08:03.120000,L8,,315.93,320.32,326.47,294.33,314.63,
2013-09-02 22:07:40.639000,L8,323.04,328.70,331.95,333.98,332.18,324.48,339.49
2013-09-02 22:08:04.598000,L8,316.60,320.77,326.10,328.25,302.33,318.23,335.17
2013-10-20 22:07:26.886000,L8,325.58,323.40,325.04,326.14,305.85,320.60,337.11
2013-11-05 22:07:22.900000,L8,335.99,325.99,330.91,330.29,329.27,326.75,341.04
2013-11-05 22:07:46.855000,L8,335.05,325.29,329.83,329.79,328.60,326.46,340.94
2013-12-07 22:07:14.870000,L8,329.04,318.50,322.04,325.90,298.89,318.10,338.70
2014-01-24 22:06:45.554000,L8,,,,323.65,296.68,317.29,332.40
2014-01-24 22:07:09.509000,L8,,,,325.00,299.29,319.05,333.77
2014-02-09 22:06:33.299000,L8,329.44,321.89,323.38,325.89,326.66,321.80,337.86
2014-02-09 22:06:57.254000,L8,330.87,323.62,326.58,327.29,328.24,323.57,338.97
2014-02-25 22:06:20.497000,L8,330.31,326.06,328.98,330.33,331.16,325.02,338.43
2014-02-25 22:06:44.447000,L8,331.37,327.84,330.03,331.71,331.75,325.87,339.24
2014-03-29 22:05:52.007000,L8,342.22,324.84,322.14,328.10,302.46,321.53,336.86
2014-03-29 22:06:15.961000,L8,341.95,324.47,321.59,327.77,302.09,321.24,336.82
2014-04-30 22:05:22.578000,L8,310.78,318.81,316.45,325.71,296.95,315.98,335.36
2014-04-30 22:05:46.536000,L8,,,,,,,331.55
2014-05-16 22:05:09.831000,L8,,314.49,314.45,323.96,285.55,306.27,324.34
2014-08-04 22:05:38.545000,L8,,325.66,323.84,330.60,295.72,317.60,332.02
2014-08-20 22:05:42.763000,L8,,316.72,314.33,326.12,295.74,312.59,
2014-08-20 22:06:06.726000,L8,,316.41,314.62,325.92,295.51,312.13,
2014-10-07 22:05:49.968000,L8,321.45,321.37,320.35,327.66,303.72,321.61,338.85
2014-11-08 22:05:52.173000,L8,318.95,317.22,316.72,322.01,290.40,318.89,336.37
2014-11-08 22:06:16.124000,L8,325.13,321.15,322.21,324.71,305.09,322.96,339.60
2015-02-28 22:05:24.487000,L8,323.90,321.57,318.28,325.96,302.57,322.02,338.45
2015-02-28 22:05:48.437000,L8,326.44,326.11,322.87,328.04,330.36,325.53,341.89
2015-04-01 22:05:01.841000,L8,332.54,320.71,318.79,325.10,299.65,320.83,336.89
2015-05-19 22:05:04.672000,L8,,307.12,313.19,304.55,283.32,,
2015-10-26 22:05:43.801000,L8,348.95,332.61,342.58,339.35,342.28,330.86,344.91
2015-10-26 22:06:07.756000,L8,349.30,334.02,342.14,339.80,342.22,331.30,344.36
2015-12-13 22:05:45.605000,L8,353.50,368.79,364.29,360.34,377.74,368.81,372.34
2015-12-29 22:05:45.209000,L8,311.91,301.52,,,283.74,311.37,330.76
2015-12-29 22:06:09.164000,L8,316.54,316.27,312.73,,291.23,316.13,335.76
2016-03-02 22:05:31.567000,L8,,,,322.38,292.90,315.77,327.59
2016-03-02 22:05:55.525000,L8,,,,323.05,293.66,316.74,328.94
2016-05-21 22:05:14.459000,L8,,305.64,317.63,297.71,295.79,,
2016-05-21 22:05:38.418000,L8,282.08,319.13,324.77,324.37,298.08,306.95,320.37
2016-07-24 22:06:01.938000,L8,,,314.65,327.83,296.33,316.11,345.07
