dates,nzd0366-0000,nzd0366-0001,nzd0366-0002,nzd0366-0003,nzd0366-0004,nzd0366-0005,nzd0366-0006,nzd0366-0007,nzd0366-0008,nzd0366-0009,nzd0366-0010,nzd0366-0011,nzd0366-0012,nzd0366-0013,nzd0366-0014,nzd0366-0015,nzd0366-0016,nzd0366-0017,nzd0366-0018,nzd0366-0019,nzd0366-0020,nzd0366-0021,nzd0366-0022,nzd0366-0023,nzd0366-0024,nzd0366-0025,nzd0366-0026,nzd0366-0027,nzd0366-0028,nzd0366-0029,nzd0366-0030,nzd0366-0031,nzd0366-0032,nzd0366-0033,nzd0366-0034,nzd0366-0035,nzd0366-0036,nzd0366-0037,nzd0366-0038,nzd0366-0039,nzd0366-0040,nzd0366-0041,nzd0366-0042,nzd0366-0043,nzd0366-0044,nzd0366-0045,nzd0366-0046,nzd0366-0047,nzd0366-0048,nzd0366-0049,nzd0366-0050,nzd0366-0051,nzd0366-0052,nzd0366-0053,nzd0366-0054,nzd0366-0055,nzd0366-0056,nzd0366-0057,satname
2000-08-19 22:10:38+00:00,248.49,,,277.23,273.89,351.86999999999995,375.1266666666667,360.54999999999995,355.15,414.83,379.7133333333333,382.86249999999995,385.11,383.765,354.7175,353.0875,348.9225,372.12,330.77,327.6033333333333,333.52666666666664,325.25,345.7966666666666,325.77,347.645,330.6566666666667,348.0466666666666,354.25333333333333,,313.75,318.71,325.02,359.84,361.5933333333333,315.59000000000003,315.77,329.60999999999996,321.245,341.0,326.53,328.73,312.25,330.26,326.71000000000004,334.69,331.03,336.19500000000005,337.71500000000003,343.635,343.2,344.07500000000005,341.135,,,,,,,L7
2000-09-13 22:04:02+00:00,248.49,,,277.23,273.89,340.72499999999997,366.65250000000003,356.77,349.69666666666666,414.83,379.7133333333333,382.86249999999995,385.11,383.765,354.7175,342.248,348.9225,372.12,330.77,327.6033333333333,323.725,315.01,345.7966666666666,325.77,347.645,330.6566666666667,347.725,358.9575,,313.75,303.53999999999996,306.54999999999995,359.84,361.5933333333333,315.59000000000003,315.77,329.60999999999996,321.245,341.0,326.53,328.73,312.25,330.26,313.50666666666666,319.70666666666665,331.03,336.19500000000005,337.71500000000003,343.635,343.2,344.07500000000005,341.135,,,,,,,L7
2000-09-20 22:10:03+00:00,248.49,,,254.55,287.615,341.4525,369.735,357.73,347.06499999999994,402.79499999999996,372.40000000000003,378.455,390.51,374.4175,353.7925,336.46,338.86,337.90999999999997,327.825,317.31,310.96500000000003,314.055,331.04333333333335,321.31333333333333,333.32,329.67,329.02,346.34666666666664,303.93,304.03,304.74,306.94666666666666,359.84,338.8,313.74666666666667,314.4066666666667,315.31666666666666,315.49333333333334,324.39,317.53499999999997,322.18,312.41,327.505,315.01,322.29333333333335,336.18,336.76,341.495,346.065,344.1033333333333,344.97,354.9,,,,,,,L7
2000-11-07 22:09:53+00:00,248.49,,,254.55,291.2233333333333,340.288,367.85800000000006,357.745,357.1566666666666,395.37999999999994,373.21750000000003,376.406,390.51,369.288,351.02,336.135,340.77,338.19,328.936,318.3625,310.96500000000003,314.055,331.04333333333335,321.31333333333333,333.32,329.67,329.02,346.34666666666664,314.495,312.065,308.355,306.94666666666666,359.84,338.8,313.74666666666667,314.4066666666667,315.31666666666666,315.49333333333334,324.39,317.53499999999997,322.18,312.41,327.505,323.4175,329.505,348.7733333333333,348.8066666666667,355.1233333333333,346.065,344.1033333333333,344.97,354.9,,,,,,,L7
2001-01-10 22:10:03+00:00,261.44,,,274.345,291.2233333333333,330.595,367.142,357.745,357.1566666666666,385.655,377.25666666666666,373.8766666666667,383.29,352.6233333333334,346.89333333333326,331.1375,339.425,338.19,329.5725,319.11,308.71000000000004,311.14000000000004,321.13,317.64,323.97666666666663,329.67,329.02,346.34666666666664,314.495,312.065,304.90333333333336,297.90999999999997,,325.53000000000003,317.87,316.64,316.53000000000003,316.83000000000004,324.39,317.53499999999997,332.23333333333335,312.41,327.505,323.4175,337.726,354.85249999999996,358.2975,362.65,346.065,342.56,344.97,354.9,,,,,,,L7
2001-01-19 22:03:55+00:00,261.44,,,274.345,291.2233333333333,330.595,358.53000000000003,357.745,347.645,385.655,377.25666666666666,373.8766666666667,383.29,352.6233333333334,346.89333333333326,331.1375,339.425,338.19,329.5725,311.8425,303.625,305.255,308.5233333333333,306.87999999999994,313.61,329.67,319.74,346.34666666666664,314.495,312.065,304.90333333333336,288.0,,325.53000000000003,317.87,316.64,316.53000000000003,316.83000000000004,324.39,302.09,332.23333333333335,293.92,327.505,323.4175,337.726,354.85249999999996,358.2975,362.65,346.065,342.56,344.97,354.9,,,,,,,L7
2001-02-20 22:03:48+00:00,257.685,,,284.23,299.89,328.8466666666667,356.87000000000006,356.81666666666666,345.08,385.655,371.54,363.175,,350.0350000000001,343.375,323.47333333333336,338.255,329.0,326.18499999999995,308.4833333333333,298.8066666666667,297.7733333333333,299.185,298.88,299.42,318.82,313.57,373.07,314.495,312.065,304.90333333333336,288.0,,305.71,310.06,311.68,305.72,303.99,307.78,289.87,349.1933333333333,293.92,313.83,317.24,335.3025,358.8133333333333,370.4125,376.8175,328.45,331.64,361.89,398.34,,,,,,,L7
2001-03-08 22:03:44+00:00,257.685,,,284.23,295.84999999999997,330.275,355.4766666666667,356.9075,347.595,373.05333333333334,360.77,355.6166666666666,,344.40333333333336,350.31666666666666,333.2175,332.99333333333334,324.8466666666667,338.3333333333333,308.4833333333333,298.8066666666667,297.7733333333333,299.185,298.88,299.42,338.88,313.57,372.67499999999995,313.36333333333334,310.46,305.61249999999995,288.0,,304.625,310.06,311.68,304.45000000000005,302.885,302.615,289.87,349.1933333333333,293.92,313.83,326.53999999999996,335.3025,358.8133333333333,370.4125,379.698,328.45,331.64,366.11999999999995,391.7,414.9,385.27,406.98,,,,L7
2001-03-31 22:09:43+00:00,257.685,,,299.07000000000005,301.88000000000005,346.86999999999995,358.38,358.44666666666666,351.5125,359.11666666666673,351.67,346.51666666666665,,334.9866666666667,342.76,348.4799999999999,330.51,324.3566666666666,359.89000000000004,305.78,288.37,287.6,283.31,285.36,282.51,354.16499999999996,282.62,373.78,318.08000000000004,313.675,313.4699999999999,268.18,,303.54,,,303.18,301.78,297.45,271.2,365.97499999999997,275.43,,349.19000000000005,360.875,373.5249999999999,384.72333333333336,386.586,361.76,363.42,373.65333333333336,383.6766666666667,414.9,371.345,413.745,408.2,368.87,,L7
2001-05-27 22:03:12+00:00,257.685,,,299.07000000000005,303.6,352.49,357.8875,358.775,342.90333333333336,348.40000000000003,339.67,335.66999999999996,,328.095,344.17499999999995,362.45,321.55999999999995,317.15999999999997,373.14500000000004,316.71500000000003,305.845,307.69500000000005,283.31,303.95500000000004,282.51,343.8333333333333,302.525,373.78,311.1,307.25,307.74,268.18,315.52,311.31,317.02,320.55,311.26,301.78,297.45,271.2,365.97499999999997,275.43,,349.46500000000003,370.61,373.09,390.635,387.63750000000005,361.76,363.42,373.65333333333336,383.6766666666667,414.9,371.345,413.745,408.2,368.87,,L7
