dates,nzd0538-0000,nzd0538-0001,nzd0538-0002,nzd0538-0003,nzd0538-0004,nzd0538-0005,nzd0538-0006,nzd0538-0007,nzd0538-0008,nzd0538-0009,nzd0538-0010,nzd0538-0011,nzd0538-0012,nzd0538-0013,nzd0538-0014,nzd0538-0015,nzd0538-0016,nzd0538-0017,nzd0538-0018,nzd0538-0019,satname
1999-08-17 22:13:37.953,257.28,263.98,238.33,222.11,274.37,271.55,275.36,282.01,273.52,281.38,289.76,295.92,,301.73,,,257.16,,,215.56,L7
1999-11-05 22:13:40.966,252.31,268.055,252.82999999999998,232.435,277.21500000000003,273.675,277.055,279.405,275.885,281.66999999999996,276.24,283.21500000000003,,284.095,,,239.74,,212.57,210.39499999999998,L7
1999-12-07 22:13:41.663,252.31,268.055,252.82999999999998,232.435,277.21500000000003,277.01,279.96,281.04,280.8433333333333,284.0,283.07,283.21500000000003,,284.095,,,239.74,,215.92000000000002,210.60666666666665,L7
1999-12-16 22:07:33.708,266.97666666666663,270.93,251.60666666666668,246.62,278.9633333333333,279.9375,281.8375,282.3275,283.74,284.9475,286.815,296.33,311.79,292.24666666666667,267.85,240.56,237.48666666666668,228.13,220.37333333333333,211.95749999999998,L7
2000-09-20 22:11:14.930,309.22,271.49,240.85,,,279.21,282.41,283.37,279.83,287.49,284.84,326.86,319.06,295.42,263.34,255.06,259.56,260.08,261.56,214.22,L7
2000-12-18 22:05:01.704,309.22,271.49,240.85,,,273.83,265.71000000000004,269.71000000000004,279.83,287.515,289.735,316.82500000000005,306.23,295.20000000000005,260.03499999999997,254.975,240.465,260.08,261.56,214.22,L7
2001-02-11 22:11:12.788,305.42,274.525,256.485,276.37,283.47,275.31666666666666,270.79,276.75666666666666,284.835,287.515,304.25,318.8966666666667,313.4066666666667,296.1166666666667,261.2866666666667,254.91333333333333,240.465,263.91999999999996,253.82,233.87,L7
2001-02-20 22:05:00.525,305.42,262.8433333333333,256.485,276.37,277.26,273.5125,271.3025,277.15500000000003,284.835,287.515,304.25,318.8966666666667,313.4066666666667,288.9925,252.7575,244.155,226.68666666666664,263.91999999999996,240.57000000000002,223.38666666666666,L7
2002-01-29 22:09:33.112,,270.37,261.84,,,241.42,238.72,,,,349.25,341.47,352.5,,257.2,245.16,225.28,257.94,250.49,205.62,L7
2002-03-11 22:03:31.366,,270.37,261.84,,,256.21,238.72,299.5,293.6,281.93,313.345,320.015,352.5,289.13,255.61,242.555,224.35,235.86,231.72,205.07999999999998,L7
2002-04-12 22:03:25.302,302.33,270.045,251.95999999999998,275.05,280.82,256.21,238.72,299.5,292.09000000000003,283.84000000000003,292.1466666666667,301.08,344.495,295.755,255.91,242.20666666666668,224.70000000000002,237.61333333333334,235.74333333333334,207.76666666666665,L7
2002-05-14 22:03:19.418,302.33,270.045,251.95999999999998,275.05,280.82,261.8566666666666,261.54,291.615,292.09000000000003,284.27666666666664,290.6275,294.9475,344.495,286.9533333333333,255.4125,240.5375,226.2225,230.755,235.74333333333334,207.76666666666665,L7
2002-09-10 22:08:43.416,283.96500000000003,266.96500000000003,246.06,275.505,280.895,275.575,286.49,283.73,290.58,285.44999999999993,273.8866666666666,269.88,335.1,290.79,259.07666666666665,241.29999999999998,239.04999999999998,225.64999999999998,251.17999999999998,212.945,L7
2002-11-29 22:09:01.492,265.6,246.515,243.76999999999998,275.96,280.97,277.575,284.51,282.24,284.39,285.31,276.025,277.53,333.71,282.26,245.82000000000005,241.53500000000003,242.915,220.7,236.74499999999995,209.445,L7
2002-12-24 22:02:57.022,265.6,246.515,243.76999999999998,275.96,280.97,277.575,279.31,275.95000000000005,279.31,281.435,266.74666666666667,271.29999999999995,318.91999999999996,284.29333333333335,248.0666666666667,237.66333333333333,234.2733333333333,213.7,227.8333333333333,205.71333333333334,L7
2003-02-01 22:09:21.746,265.46500000000003,246.515,253.48,275.72,282.185,279.18333333333334,280.45,275.95000000000005,279.31,281.435,274.59499999999997,281.74,322.7233333333333,288.77,252.19750000000002,240.62,232.94,217.12333333333333,228.93499999999997,205.71333333333334,L7
2003-03-21 22:09:27.545,247.96499999999997,209.73,250.34666666666666,273.92,278.78499999999997,279.68666666666667,277.2175,279.79333333333335,281.6033333333333,281.4533333333333,274.76,281.74,314.68,287.0125,250.16500000000002,239.7625,225.2,217.355,219.1225,205.60666666666665,L7
2003-08-13 21:51:32.649,230.6,190.64,240.64,272.36,274.17,282.135,281.57,297.885,295.305,288.69,287.95,296.72,308.84000000000003,291.67,260.365,248.435,241.45499999999998,232.655,218.31,195.7,L5
2003-10-07 21:58:35.519,,323.9,,,,302.255,303.145,320.04,322.83500000000004,313.4,307.5,311.94500000000005,323.745,289.73,286.365,276.135,275.675,273.85,261.275,225.02,L5
2003-11-17 21:52:57.120,,323.9,,,,299.00666666666666,298.4633333333333,318.84666666666664,320.4766666666667,309.97333333333336,307.5,308.7866666666667,320.17,296.43,288.74666666666667,279.37666666666667,279.9866666666667,281.2866666666667,269.99666666666667,237.16333333333333,L5
2003-12-26 21:59:30.091,,325.59,,,,302.105,300.845,321.155,324.1325,313.8625,312.20666666666665,312.8125,326.8275,315.48,298.3875,287.425,288.695,290.21000000000004,281.545,247.03750000000002,L5
2004-01-20 21:53:24.777,,319.2233333333333,,282.57,,303.18999999999994,304.548,323.19,328.15,317.32,316.27250000000004,316.23,329.37,321.235,300.606,289.652,293.002,293.974,286.85,253.506,L5
2004-03-31 21:59:59.745,,319.2233333333333,,282.57,,300.96999999999997,303.642,320.096,329.486,317.81800000000004,321.5375,320.01,331.404,327.53999999999996,306.808,294.992,298.392,298.786,299.08000000000004,267.54,L5
2004-05-02 22:00:57.398,,316.885,,282.57,,286.68600000000004,299.84250000000003,306.228,319.12,314.545,308.1625,312.73999999999995,323.056,319.664,296.18,294.0325,298.38,298.3725,297.5375,266.6575,L5
2004-05-18 22:01:26.569,,316.885,,282.57,,285.26800000000003,299.78000000000003,303.154,317.848,314.91749999999996,306.696,313.42999999999995,322.616,319.658,292.52799999999996,288.055,294.6375,292.63,294.955,260.4825,L5
2004-06-12 21:55:59.429,,316.885,,282.57,,281.72499999999997,296.882,303.04333333333335,316.25333333333333,312.352,305.5366666666667,311.615,320.75666666666666,312.16333333333336,286.8933333333334,279.57599999999996,287.172,292.63,287.43600000000004,260.4825,L5
2004-07-30 21:57:15.668,,,,,,264.85400000000004,278.4325,284.486,302.496,295.1025,291.046,300.12600000000003,309.54999999999995,289.592,263.65999999999997,262.5833333333333,270.27000000000004,272.255,270.97333333333336,242.94500000000005,L5
2005-01-13 22:06:52.927,,323.4,,317.16,,292.405,292.02,300.14,313.80999999999995,299.655,296.71500000000003,305.07000000000005,327.2,299.75,277.075,,,,,,L5
2005-02-07 22:01:03.020,,323.4,,317.16,284.09,313.60999999999996,310.95500000000004,327.695,331.775,324.19500000000005,322.255,321.07000000000005,322.15,332.275,306.59,257.22,,,,,L5
2005-02-14 22:07:21.106,,341.53499999999997,,317.16,284.09,313.60999999999996,310.95500000000004,327.695,331.775,324.19500000000005,322.255,321.07000000000005,322.15,332.275,306.59,257.22,,,,,L5
2005-06-15 22:02:10.206,,341.53499999999997,,317.16,284.09,298.9966666666666,304.2166666666667,321.21,325.34999999999997,319.27000000000004,315.73,318.2,321.9633333333333,321.36333333333334,294.37999999999994,259.81,266.43,264.31,269.97,243.07,L5
2005-06-22 22:08:22.866,,341.53499999999997,,317.16,284.09,298.865,303.065,318.35249999999996,325.08,319.015,316.15,317.9175,322.255,318.2475,291.275,262.66,268.505,267.49,272.38,245.75500000000002,L5
2005-08-09 22:08:46.932,203.81,359.67,,,289.08,284.27,299.0466666666667,311.93666666666667,319.84999999999997,314.3766666666666,308.71333333333337,314.30999999999995,320.3966666666667,305.49666666666667,274.17333333333335,261.77,266.3233333333333,265.18666666666667,268.5133333333333,241.18000000000004,L5
2005-09-10 22:08:55.708,203.81,,,,289.08,286.6025,299.53499999999997,310.595,320.0725,311.96999999999997,305.925,309.265,320.3966666666667,304.0425,270.7525,258.3125,261.88,262.84000000000003,266.705,238.6825,L5
2005-11-06 22:02:46.848,271.58500000000004,308.29,,312.25,289.08,294.316,305.988,318.566,327.06399999999996,319.006,313.442,316.46,325.995,311.244,278.098,266.61199999999997,269.344,270.562,273.65999999999997,246.27800000000002,L5
2005-11-13 22:09:08.414,271.58500000000004,308.29,,312.25,299.26,296.35833333333335,305.91333333333336,317.34499999999997,328.36833333333334,320.3633333333333,316.6933333333333,318.6483333333333,324.274,314.225,283.16833333333335,269.73333333333335,272.6766666666667,273.86833333333334,276.69666666666666,249.785,L5
2006-02-17 22:11:22.491,326.925,296.025,233.98,312.25,262.625,301.44500000000005,305.7475,320.6625,333.07,322.1925,320.7625,320.36,322.70666666666665,319.7475,292.155,278.83500000000004,280.2,283.7525,284.47,259.68000000000006,L5
2006-04-15 22:06:18.610,326.925,296.025,233.98,312.25,262.625,294.35249999999996,299.6875,315.6325,327.275,316.3225,318.0675,319.94,322.70666666666665,326.43666666666667,302.71,289.1333333333334,290.75,293.07,292.20000000000005,269.17666666666673,L5
2006-04-22 22:12:36.093,326.925,296.025,233.98,312.25,262.625,290.44,296.38,312.678,323.08599999999996,312.65999999999997,312.996,317.36,317.98,319.2025,296.7725,281.47249999999997,285.3325,289.6075,286.2975,261.43,L5
2006-06-25 22:13:31.961,314.49,283.76,233.98,,215.81,271.955,283.7475,301.94,309.2325,294.985,296.2025,303.945,309.43,304.56666666666666,272.18,263.59999999999997,266.27666666666664,271.1233333333334,268.9433333333333,250.87000000000003,L5
2006-07-27 22:13:58.731,314.49,283.76,233.98,,186.565,275.854,284.364,303.13599999999997,309.274,296.74,294.01599999999996,302.788,309.6275,306.84749999999997,268.055,260.7975,260.40999999999997,265.47,264.28,250.87000000000003,L5
2006-08-05 22:07:55.109,314.49,283.76,233.98,,172.03666666666666,276.0933333333333,283.5833333333333,302.18833333333333,309.24666666666667,295.835,292.26166666666666,300.8883333333333,308.83000000000004,306.13399999999996,263.966,257.538,254.83599999999996,260.70799999999997,260.68399999999997,250.87000000000003,L5
2006-08-28 22:14:23.601,,,,,147.07,278.675,285.7366666666666,301.64500000000004,309.62166666666667,294.98333333333335,290.13666666666666,298.46,307.832,304.53000000000003,253.608,248.83200000000002,240.954,249.19400000000002,249.85,238.19,L5
2006-09-13 22:14:35.259,,,,,147.07,281.84714285714284,288.70714285714286,303.63571428571424,312.0028571428571,295.04714285714283,288.10714285714283,296.49000000000007,307.42,305.12833333333333,252.75833333333333,247.89166666666665,243.54166666666666,252.7483333333333,253.115,238.19,L5
2006-10-08 22:08:40.914,,,,,147.07,281.84714285714284,288.70714285714286,303.63571428571424,312.0028571428571,299.63625,288.10714285714283,298.6875,306.78428571428566,306.46857142857147,258.8128571428571,253.53428571428572,248.51285714285714,258.06142857142856,258.8885714285714,253.38000000000005,L5
2006-11-25 22:09:07.763,349.08,318.74,270.31,318.45,149.81,286.582,292.20799999999997,307.628,316.02599999999995,302.96833333333336,287.45200000000006,300.6471428571429,310.34000000000003,311.88428571428574,265.3985714285714,261.2342857142857,254.59285714285716,263.2371428571428,267.9742857142857,258.97,L5
2006-12-11 22:09:16.015,353.80499999999995,327.35,294.41499999999996,328.945,149.81,286.582,299.93333333333334,314.77000000000004,322.2166666666667,309.3914285714286,287.45200000000006,305.76375,314.28375,317.1575,274.56,269.33,263.3175,271.27374999999995,275.08625,258.97,L5
2007-09-09 22:07:45.163,,,,,147.59,286.78,,301.93,314.32,305.48,293.17,,306.11,318.7,,,,,,,L5
2008-11-14 21:57:52.281,,323.89,318.95,320.7,,,329.55,341.57,349.82,341.15,335.82,336.67,,,329.11,313.92,311.54,311.9,311.01,289.15,L5
2008-12-23 22:05:16.170,,323.89,318.95,320.7,207.85,275.36,304.595,327.315,335.18,326.48,323.4,326.25,312.31,315.74,309.735,291.755,294.64,294.005,295.4,267.59,L5
2009-01-17 21:59:44.398,,323.89,318.95,320.7,207.85,268.56,290.6066666666666,320.23,326.44666666666666,319.49,319.0133333333333,322.44666666666666,309.185,314.695,305.3566666666667,288.76,292.36,288.5833333333333,290.05333333333334,262.10999999999996,L5
2010-02-05 22:05:29.575,,,,,209.14,281.02,274.76,310.07,313.38,305.72,310.55,314.12,311.95,317.81,294.89,283.43,287.82,281.68,281.73,246.09,L5
2010-10-26 22:10:38.745,339.09,314.45,319.74,325.79,,324.21,326.4,338.34,338.2,328.15,321.61,327.08,,356.17,330.15,322.09,318.64,319.19,317.74,272.59,L5
2010-12-22 22:04:29.137,339.09,314.45,319.74,325.79,203.75,305.27,309.78999999999996,324.59,329.09000000000003,319.815,318.06,322.36,313.54,338.23,314.77,305.92499999999995,302.985,298.52,317.74,272.59,L5
2011-02-08 22:04:35.159,340.18499999999995,310.67499999999995,315.03,318.895,203.75,305.27,315.4633333333333,332.14,336.73333333333335,323.24666666666667,319.80333333333334,323.51666666666665,320.365,335.53333333333336,311.93,302.71,302.48,301.06333333333333,315.315,276.92499999999995,L5
2011-03-12 22:04:31.079,340.18499999999995,310.67499999999995,315.03,318.895,203.75,297.98333333333335,309.2675,326.35749999999996,332.735,318.655,315.68,320.01,317.02,329.935,305.84749999999997,295.29499999999996,296.265,294.96500000000003,302.27,266.7133333333333,L5
2013-05-11 22:22:42.945,,282.12,,278.56,,293.85,301.71,316.14,316.84,306.15,302.64,308.5,319.61,302.63,285.98,279.4,279.01,277.47,279.98,231.14,L8
2013-06-05 22:16:38.960,,282.12,,278.56,,293.85,301.71,316.14,316.84,287.06,289.29499999999996,300.145,312.20500000000004,291.33,285.98,267.715,268.7,268.005,279.98,231.14,L8
2013-07-07 22:16:35.929,,282.12,,278.56,,293.85,292.725,309.48,302.505,285.10999999999996,285.32666666666665,298.3233333333333,311.27,288.59666666666664,268.52,259.2733333333333,255.96333333333334,268.005,279.98,231.14,L8
2013-07-23 22:16:34.633,,288.365,289.48,284.83500000000004,314.74,299.9,292.725,309.48,302.505,285.10999999999996,290.115,298.3233333333333,311.27,288.59666666666664,268.52,259.2733333333333,255.96333333333334,268.005,297.09000000000003,247.36499999999998,L8
2013-09-25 22:16:28.938,,288.365,289.48,284.83500000000004,299.935,293.4533333333333,291.26666666666665,305.0933333333333,301.3,285.0475,288.058,295.4475,309.81,288.6625,261.1166666666667,254.5675,256.59749999999997,264.9433333333333,282.78333333333336,247.36499999999998,L8
2013-10-02 22:22:40.460,,288.365,289.48,284.83500000000004,287.50666666666666,291.475,291.45,304.89,301.65999999999997,285.43600000000004,287.81166666666667,294.86199999999997,308.87600000000003,289.62399999999997,262.815,256.02,257.62399999999997,264.595,276.6125,247.36499999999998,L8
2013-10-18 22:22:37.411,,288.365,289.48,284.83500000000004,287.50666666666666,291.475,291.45,304.89,301.65999999999997,285.43600000000004,283.86571428571426,289.445,308.87600000000003,284.6433333333334,256.096,256.02,252.91333333333333,264.595,276.6125,247.36499999999998,L8
2013-10-27 22:16:19.549,,279.7966666666667,289.48,284.83500000000004,276.3025,288.67600000000004,292.132,307.134,304.20799999999997,290.1033333333333,286.60125,292.8014285714286,311.13,288.51714285714286,261.00500000000005,260.46666666666664,257.05285714285714,267.906,277.37,245.6833333333333,L8
2013-11-03 22:22:32.045,304.63,279.805,285.375,285.12666666666667,282.776,290.66833333333335,294.9266666666667,309.40000000000003,307.29333333333335,292.69,288.94,295.525,312.5214285714286,291.34875,265.29857142857145,264.37142857142857,260.78125,270.705,278.46,244.6925,L8
2013-11-12 22:16:19.914,304.63,279.03333333333336,285.375,288.40999999999997,282.8433333333333,288.9433333333333,292.83666666666664,307.6466666666667,305.085,290.71714285714285,287.70222222222225,294.18625,310.36285714285714,290.72749999999996,263.96,262.91714285714284,259.56625,269.515,276.80833333333334,242.07999999999998,L8
2013-11-19 22:22:25.407,304.63,279.785,282.7,287.95,285.9857142857143,290.46714285714285,295.07428571428574,309.40142857142854,307.61285714285714,293.5175,290.85,296.5288888888889,311.49249999999995,293.39,267.9775,266.09625,263.6088888888889,272.70714285714286,278.99,243.968,L8
2014-02-23 22:21:32.043,304.63,274.84333333333336,279.31,286.37,281.8357142857143,287.28000000000003,295.9414285714286,309.50857142857143,309.97428571428566,299.23285714285714,292.93625,297.17875,311.64,296.35125,270.33750000000003,270.95,268.80375,274.1114285714286,272.44571428571425,235.62800000000001,L8
2014-03-11 22:21:19.920,301.675,276.275,279.0366666666667,285.37333333333333,283.80875,288.485,296.44375,310.20375,311.21875,300.135,294.13,298.8544444444444,312.48875,297.5377777777778,272.1977777777778,272.61375,270.46666666666664,275.08,274.27125,237.39833333333334,L8
2014-03-20 22:15:01.497,301.675,277.716,280.1175,285.0825,285.28222222222223,289.2744444444445,296.8522222222222,310.8066666666666,312.16777777777776,300.88,295.16999999999996,300.14,313.1333333333333,298.59299999999996,273.966,273.92777777777775,271.925,275.96,276.98333333333335,239.16285714285715,L8
2014-04-21 22:14:29.865,301.675,277.716,280.1175,285.0825,272.94625,288.3125,297.20625,312.16375,314.01624999999996,303.96875,301.94375,306.77375,314.3175,304.30499999999995,283.37625,278.55375000000004,279.385,278.28625,280.50125,236.54500000000002,L8
2014-07-17 22:20:39.943,298.72,282.025,280.925,283.79499999999996,261.0475,284.97799999999995,292.53599999999994,306.63399999999996,309.53200000000004,297.378,292.96999999999997,300.916,311.202,295.996,271.414,267.62199999999996,268.258,274.5625,262.598,223.93800000000002,L8
2014-08-02 22:20:46.799,298.72,282.025,280.925,283.79499999999996,241.06,283.7316666666666,291.16833333333335,305.2033333333333,307.75666666666666,295.88666666666666,289.92,298.34499999999997,310.26666666666665,292.9783333333333,266.5783333333333,261.4633333333333,261.62166666666667,271.264,249.83,214.71833333333333,L8
2014-08-18 22:20:51.886,298.72,282.025,280.925,283.79499999999996,227.38666666666666,281.5285714285714,290.0342857142857,303.78285714285715,306.2485714285714,294.0642857142857,286.84285714285716,295.65000000000003,309.30571428571426,290.58,262.3514285714286,256.1242857142857,253.77428571428572,271.264,241.52571428571426,208.17000000000002,L8
2014-09-19 22:20:54.477,,,,,160.625,275.036,285.26599999999996,297.98199999999997,299.664,285.84,275.33000000000004,286.554,305.77799999999996,281.77599999999995,245.86800000000002,234.228,237.398,261.02,215.094,181.048,L8
2014-09-28 22:14:44.621,299.46,277.4,281.88,284.4,160.625,278.415,287.25666666666666,300.76,301.91166666666663,288.755,278.8333333333333,289.03000000000003,307.505,285.97999999999996,250.72000000000003,240.6016666666667,242.78333333333333,263.98249999999996,224.81166666666664,189.125,L8
2015-03-14 22:20:23.206,299.46,277.4,281.88,284.4,148.23000000000002,282.65000000000003,287.21,303.51666666666665,303.8066666666667,290.09999999999997,284.3066666666667,292.63000000000005,307.7366666666666,294.4433333333333,262.50666666666666,250.41333333333333,261.09999999999997,266.8566666666667,258.5133333333333,204.88666666666666,L8
2015-05-01 22:20:00.344,,,,,149.405,276.405,281.46000000000004,298.005,299.645,285.85,285.48,294.17499999999995,303.61,289.89,269.905,264.45,266.055,266.745,264.83500000000004,216.77,L8
2015-06-27 22:13:58.027,,,,,153.32666666666668,272.7033333333333,282.0933333333333,298.30333333333334,299.2866666666667,285.9166666666667,284.7866666666667,295.0833333333333,306.26,287.89000000000004,265.45,258.2733333333333,258.97333333333336,253.61666666666667,262.01666666666665,205.36666666666667,L8
2015-07-04 22:20:14.053,,,,,154.9625,273.4075,282.8075,297.2975,299.8625,286.04,284.0575,295.15,307.5,285.51,263.15250000000003,254.67249999999999,258.5725,255.365,262.01666666666665,200.3425,L8
2015-07-29 22:14:13.585,,,,,151.03,274.544,283.004,296.71999999999997,299.72799999999995,286.108,283.61,294.812,307.97200000000004,285.246,259.428,251.856,258.688,256.308,255.10500000000002,196.702,L8
2015-08-21 22:20:33.210,,,,,152.68166666666667,273.29,282.58,296.37333333333333,299.40166666666664,285.815,282.0183333333334,293.035,307.4716666666667,284.34833333333336,255.66833333333332,248.53166666666667,252.86,256.76500000000004,255.10500000000002,191.68833333333336,L8
2015-11-18 22:14:44.822,,,,,154.32,273.41999999999996,283.79200000000003,297.134,300.382,287.95799999999997,283.156,293.414,308.528,284.87,248.55,246.45999999999998,246.26250000000002,255.69400000000002,253.01,179.14750000000004,L8
2015-12-20 22:14:45.217,,,,,154.32,273.41999999999996,283.79200000000003,297.134,300.382,287.95799999999997,283.156,293.414,308.528,284.87,248.55,246.45999999999998,246.26250000000002,267.74833333333333,253.01,179.14750000000004,L8
2016-01-05 22:14:40.992,295.78,278.86,246.79,265.84,148.12,279.78,286.48,301.695,305.2775,293.7725,289.255,296.02,308.385,292.6175,240.7,257.0175,256.34999999999997,281.364,262.21666666666664,199.85666666666668,L8
2016-03-16 22:20:36.438,295.78,278.86,246.79,265.84,166.63,286.505,282.80333333333334,306.55,308.98,299.8,297.9733333333333,300.32666666666665,307.3066666666666,300.06,274.86,274.91333333333336,278.475,289.65,273.2733333333333,236.51,L8
