dates,satname,nzd0269-0000,nzd0269-0001,nzd0269-0002,nzd0269-0003,nzd0269-0004,nzd0269-0005,nzd0269-0006,nzd0269-0007,nzd0269-0008,nzd0269-0009,nzd0269-0010,nzd0269-0011,nzd0269-0012,nzd0269-0013,nzd0269-0014,nzd0269-0015,nzd0269-0016,nzd0269-0017,nzd0269-0018,nzd0269-0019,nzd0269-0020,nzd0269-0021,nzd0269-0022,nzd0269-0023,nzd0269-0024,nzd0269-0025,nzd0269-0026,nzd0269-0027,nzd0269-0028,nzd0269-0029,nzd0269-0030,nzd0269-0031,nzd0269-0032,nzd0269-0033,nzd0269-0034,nzd0269-0035,nzd0269-0036,nzd0269-0037,nzd0269-0038,nzd0269-0039,nzd0269-0040,nzd0269-0041,nzd0269-0042,nzd0269-0043,nzd0269-0044,nzd0269-0045,nzd0269-0046,nzd0269-0047,nzd0269-0048,nzd0269-0049,nzd0269-0050,nzd0269-0051,nzd0269-0052,nzd0269-0053,nzd0269-0054,nzd0269-0055,nzd0269-0056,nzd0269-0057,nzd0269-0058,nzd0269-0059,nzd0269-0060,nzd0269-0061,nzd0269-0062,nzd0269-0065,nzd0269-0066,nzd0269-0067,nzd0269-0068,nzd0269-0069,nzd0269-0070,nzd0269-0071,nzd0269-0072,nzd0269-0073,nzd0269-0075,nzd0269-0076,nzd0269-0077,nzd0269-0078,nzd0269-0079,nzd0269-0082,nzd0269-0083,nzd0269-0084,nzd0269-0085,nzd0269-0086,nzd0269-0087,nzd0269-0088,nzd0269-0089,nzd0269-0090,nzd0269-0091,nzd0269-0092,nzd0269-0093,nzd0269-0094,nzd0269-0095,nzd0269-0096,nzd0269-0097,nzd0269-0098,nzd0269-0099,nzd0269-0100,nzd0269-0101,nzd0269-0102,nzd0269-0103,nzd0269-0104,nzd0269-0105,nzd0269-0106,nzd0269-0107,nzd0269-0108,nzd0269-0109,nzd0269-0110,nzd0269-0111,nzd0269-0112,nzd0269-0113,nzd0269-0114,nzd0269-0115,nzd0269-0116,nzd0269-0117,nzd0269-0118,nzd0269-0119,nzd0269-0120,nzd0269-0121,nzd0269-0122,nzd0269-0123,nzd0269-0124,nzd0269-0125,nzd0269-0126,nzd0269-0064,nzd0269-0074,nzd0269-0080,nzd0269-0081,nzd0269-0063
2000-11-25 21:56:47.006000,L7,,310.19,320.69,285.98,,248.78,345.88,345.47,334.11,346.07,345.09,348.39,345.29,341.65,335.46,336.88,336.78,269.81,339.53,330.82,335.46,340.19,358.60,348.87,359.71,282.14,273.18,290.92,263.29,286.61,281.37,263.85,285.20,312.01,224.38,225.91,224.00,272.46,306.69,298.89,301.52,271.37,261.44,268.39,252.66,268.81,266.09,262.26,256.81,259.66,268.60,267.78,263.26,260.67,254.20,,,,,,317.96,328.74,325.07,326.61,314.76,343.57,330.37,345.98,345.77,276.48,279.75,267.06,306.91,325.16,329.66,333.96,337.18,330.75,320.89,267.65,267.77,267.36,267.46,284.35,269.14,289.68,282.41,284.22,295.49,290.31,263.50,364.38,366.50,339.31,326.65,314.54,315.13,318.39,309.48,296.03,303.99,347.86,315.54,326.52,323.40,327.20,261.90,251.96,281.44,283.49,300.66,309.94,315.60,306.10,348.22,353.42,360.70,379.04,322.74,336.03,245.19,278.07,340.46,,353.77,328.97,333.67
2001-03-17 21:56:40.512000,L7,359.51,423.42,374.06,361.64,360.22,346.27,351.32,339.36,339.56,342.65,375.08,379.41,405.70,434.57,391.04,459.38,433.69,413.82,431.53,414.04,430.63,464.77,514.18,527.97,468.38,530.77,485.15,490.92,490.10,487.09,482.29,459.48,455.85,486.45,493.74,507.04,472.48,472.36,469.17,471.74,484.25,484.48,498.62,484.41,473.08,413.54,465.04,295.28,473.32,487.24,496.51,537.78,303.12,305.39,281.89,234.82,,221.51,299.71,299.49,300.50,305.47,306.52,337.77,319.60,326.32,319.85,313.50,308.68,313.97,311.87,303.24,296.48,298.46,301.76,302.07,283.42,274.79,293.77,303.73,302.66,306.30,302.67,322.96,298.54,325.20,332.94,323.26,323.86,315.82,303.05,286.69,340.53,342.69,323.12,320.27,320.35,327.34,323.40,316.43,329.80,337.95,354.36,358.29,378.52,321.33,312.17,303.98,315.22,326.33,335.26,346.92,346.74,343.45,334.46,440.71,393.52,356.42,330.85,333.76,321.40,320.96,317.05,407.56,297.00,273.42,330.91
2001-09-09 21:55:00.813000,L7,335.29,363.61,361.30,363.80,354.31,347.39,340.98,338.14,338.91,337.60,331.39,328.48,322.01,306.24,322.11,324.29,335.56,318.57,324.09,325.16,327.77,330.23,320.18,319.21,308.85,300.58,298.76,322.56,301.40,302.38,304.75,306.83,309.53,307.48,281.46,276.80,273.14,295.71,314.52,313.96,298.46,304.44,308.89,310.18,312.06,316.29,296.59,295.92,313.76,324.10,313.36,310.96,316.48,299.81,291.37,268.28,249.25,290.56,304.09,560.03,445.83,418.28,,,,,,,,,,,,,,,,,352.34,394.56,390.41,385.46,395.76,320.66,380.11,356.94,377.96,377.08,383.12,382.43,378.20,382.83,389.06,394.57,374.80,365.42,455.95,550.18,398.32,436.13,416.70,335.25,358.86,348.89,341.18,313.30,284.12,290.09,299.26,310.92,330.23,333.51,313.88,296.52,291.10,291.34,301.98,295.43,299.71,295.09,426.39,432.56,,,,,
2001-09-25 21:54:52.649000,L7,339.08,361.13,363.87,367.13,364.25,360.75,353.50,358.06,355.87,364.63,342.21,341.60,335.63,327.39,331.00,331.36,336.74,329.68,332.62,338.88,348.61,348.94,349.67,346.84,342.13,328.74,314.21,322.65,316.61,310.25,308.04,311.39,312.49,314.17,285.05,287.75,282.32,301.85,310.93,305.86,311.27,312.12,305.08,310.15,293.51,310.83,301.45,306.55,313.77,319.86,306.43,311.96,309.91,305.52,285.34,251.30,,226.35,274.62,301.94,302.28,312.30,323.86,337.55,327.21,327.09,325.19,320.59,318.81,223.44,317.23,303.41,396.56,368.42,307.29,308.87,305.04,291.06,447.56,390.69,374.31,461.90,454.21,451.10,457.87,457.62,397.73,448.93,432.47,450.19,444.31,452.36,441.01,359.16,373.98,386.41,385.07,370.57,365.67,327.67,375.14,418.74,425.25,459.01,408.63,342.26,361.97,350.17,329.40,332.76,496.43,497.34,497.81,551.29,458.56,439.11,498.54,405.94,433.75,411.66,407.51,411.04,332.24,405.73,311.28,290.99,335.71
2001-10-11 21:54:33.822000,L7,292.33,322.57,323.64,322.67,323.30,314.68,316.00,311.43,317.93,320.52,305.60,303.52,296.20,288.96,294.41,301.64,302.20,305.22,306.31,307.95,306.76,312.97,297.91,301.89,289.07,284.68,274.19,286.09,269.94,276.69,286.21,251.08,266.38,277.28,265.24,254.98,248.53,537.96,324.33,526.86,429.42,458.78,435.16,268.34,259.97,269.99,275.79,273.39,264.57,234.84,184.00,499.64,480.22,490.59,,,,,,267.64,302.50,294.21,287.78,499.34,454.95,539.66,288.57,278.79,537.83,529.06,536.89,545.48,,254.42,272.65,270.28,235.77,,254.37,420.57,417.82,418.86,420.04,425.68,414.99,414.22,429.29,484.98,,,412.13,242.55,320.84,311.12,309.80,310.73,304.50,316.65,298.24,303.17,309.35,323.25,319.66,315.43,329.21,287.54,271.62,272.67,297.14,295.12,313.20,317.83,323.79,317.18,307.35,303.62,320.02,301.31,310.70,268.98,214.25,,510.29,,,,291.61
2002-02-16 21:55:18.119000,L7,446.01,426.36,420.56,419.54,420.61,428.66,458.14,460.77,432.04,431.88,420.18,394.08,420.28,403.34,381.37,380.41,398.11,400.32,401.99,421.12,437.00,410.97,415.31,419.77,452.63,417.51,422.56,432.15,388.18,409.32,413.59,396.75,369.92,376.06,406.19,429.14,434.56,432.95,438.38,411.17,444.44,444.08,409.28,443.52,455.58,436.59,416.44,388.11,418.11,398.71,436.11,439.58,394.64,363.31,358.21,284.07,210.91,264.15,290.07,315.52,342.26,350.83,353.92,371.69,365.62,378.90,365.26,407.59,401.34,381.47,397.61,368.80,372.94,356.01,362.79,368.74,344.79,391.68,388.92,444.35,432.66,428.83,403.84,380.54,382.40,403.41,417.24,428.65,427.14,405.91,421.30,388.74,421.20,404.22,401.24,381.49,409.77,388.45,379.74,364.60,370.77,388.18,423.86,386.43,440.20,389.82,358.97,363.60,374.08,376.81,380.75,394.47,382.88,391.96,379.33,389.62,376.59,372.07,393.49,393.94,413.03,406.28,389.73,353.31,437.13,432.32,369.17
2002-03-04 21:55:22.074000,L7,,475.46,468.36,495.81,500.61,505.19,535.19,518.39,546.97,542.84,534.24,530.68,520.21,481.50,447.50,466.84,481.53,435.63,538.40,545.23,554.50,,484.32,464.64,502.72,480.53,440.66,446.74,421.62,450.74,439.51,493.87,463.61,443.98,285.03,276.86,470.62,445.16,372.32,292.67,293.59,297.43,369.91,443.57,465.33,460.92,449.15,404.19,449.79,459.51,485.41,491.91,471.79,543.20,547.21,548.67,559.12,482.13,516.48,513.68,483.49,473.04,500.16,311.79,313.24,316.70,311.20,299.02,302.11,303.92,296.02,176.07,280.59,271.87,289.04,279.16,269.88,254.14,283.03,292.76,289.92,284.99,292.54,302.01,296.42,308.70,306.13,318.85,313.12,310.66,299.02,254.85,329.43,337.09,318.32,311.96,312.44,323.73,313.77,318.26,327.63,333.55,359.08,348.96,332.03,302.79,282.91,285.05,304.16,306.99,320.29,323.63,339.67,329.92,321.84,322.56,333.11,318.30,317.19,317.70,298.60,313.12,304.15,419.32,511.49,389.77,299.88
2002-05-07 21:55:15.811000,L7,264.32,290.86,295.29,299.01,280.97,302.44,287.28,282.67,237.62,240.41,232.90,235.10,188.34,207.34,,,192.71,264.76,,288.68,292.34,290.76,295.40,229.74,286.12,242.68,248.32,264.58,255.52,253.15,235.52,240.09,238.91,265.14,,219.55,214.50,252.69,244.63,246.78,266.30,261.81,245.23,195.16,198.07,199.02,232.47,215.04,204.72,212.84,195.48,203.92,199.02,190.92,,,,,,,,,,,268.82,273.81,235.39,,,,,,,,,,,,,,,,,,,,,263.44,235.69,229.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-27 21:54:24.198000,L7,186.11,320.14,318.51,325.81,324.61,318.23,318.46,310.44,306.10,319.61,298.72,295.66,296.30,273.27,293.38,292.98,300.54,300.76,307.20,305.28,318.28,315.35,308.97,314.99,301.48,277.60,270.10,287.14,269.96,283.15,284.62,276.31,279.75,280.15,246.79,250.70,231.47,273.06,273.45,267.61,280.73,285.19,263.38,269.03,248.63,390.31,398.00,432.39,389.35,427.41,422.67,440.16,433.30,449.14,468.04,447.94,489.87,466.05,467.07,477.14,488.10,475.59,412.23,434.74,419.48,286.34,263.68,,266.06,257.82,383.06,381.04,240.13,408.18,362.68,366.32,371.37,365.89,257.14,275.40,268.14,276.46,281.05,290.83,270.93,294.87,285.85,290.57,300.84,376.00,379.73,381.03,403.95,380.27,371.38,376.53,390.59,394.56,385.61,379.70,375.04,395.18,424.86,410.26,416.66,438.04,262.89,264.71,277.87,292.89,302.45,313.50,323.35,295.88,299.88,300.99,304.07,302.34,389.72,373.59,378.76,218.15,415.67,368.96,385.61,392.41,410.15
2002-10-14 21:54:07.948000,L7,320.42,342.95,342.68,349.92,339.64,339.10,336.19,339.29,336.72,338.95,330.47,327.69,323.15,310.79,325.04,317.36,316.96,320.29,318.92,321.71,328.28,329.31,330.86,334.74,325.15,304.64,296.94,303.80,296.87,301.86,307.95,310.31,305.32,302.31,275.70,268.28,263.35,290.51,296.95,295.98,294.71,298.62,302.18,305.25,287.54,298.37,295.20,292.67,295.46,294.72,299.09,296.35,292.53,291.86,278.15,453.23,468.63,479.71,507.44,522.08,539.86,519.09,529.01,319.38,316.08,318.85,312.96,305.32,402.88,506.19,491.35,463.53,434.52,204.69,465.71,468.91,362.94,437.10,442.88,443.42,453.34,312.10,305.44,437.24,300.11,430.13,468.81,423.28,396.30,448.82,296.55,417.55,442.82,438.43,425.17,396.40,428.26,441.00,460.36,435.07,412.19,462.09,478.32,424.36,340.14,303.78,284.86,288.68,312.00,446.33,478.84,492.00,505.67,496.64,466.12,466.97,491.09,397.52,384.87,340.08,418.03,435.26,305.07,457.61,434.56,407.94,317.25
