dates,nzd0452-0009,nzd0452-0010,nzd0452-0011,nzd0452-0012,nzd0452-0013,nzd0452-0014,nzd0452-0015,nzd0452-0016,nzd0452-0017,nzd0452-0018,nzd0452-0019,nzd0452-0020,nzd0452-0021,nzd0452-0022,nzd0452-0023,nzd0452-0024,nzd0452-0025,nzd0452-0026,nzd0452-0031,nzd0452-0032,nzd0452-0033,nzd0452-0036,nzd0452-0037,nzd0452-0043,nzd0452-0044,nzd0452-0045,nzd0452-0049,nzd0452-0072,nzd0452-0073,nzd0452-0103,nzd0452-0104,nzd0452-0105,nzd0452-0108,nzd0452-0109,nzd0452-0117,nzd0452-0118,nzd0452-0140,nzd0452-0143,nzd0452-0144,nzd0452-0145,nzd0452-0027,nzd0452-0028,nzd0452-0029,nzd0452-0030,nzd0452-0034,nzd0452-0035,nzd0452-0038,nzd0452-0039,nzd0452-0040,nzd0452-0041,nzd0452-0042,nzd0452-0066,nzd0452-0067,nzd0452-0068,nzd0452-0069,nzd0452-0070,nzd0452-0071,nzd0452-0081,nzd0452-0082,nzd0452-0083,nzd0452-0084,nzd0452-0085,nzd0452-0086,nzd0452-0087,nzd0452-0088,nzd0452-0089,nzd0452-0092,nzd0452-0093,nzd0452-0094,nzd0452-0095,nzd0452-0096,nzd0452-0110,nzd0452-0111,nzd0452-0112,nzd0452-0113,nzd0452-0119,nzd0452-0120,nzd0452-0121,nzd0452-0122,nzd0452-0123,nzd0452-0124,nzd0452-0125,nzd0452-0126,nzd0452-0127,nzd0452-0128,nzd0452-0129,nzd0452-0130,nzd0452-0131,nzd0452-0151,nzd0452-0152,nzd0452-0153,nzd0452-0132,nzd0452-0133,nzd0452-0134,nzd0452-0138,nzd0452-0139,nzd0452-0141,nzd0452-0142,nzd0452-0146,nzd0452-0147,nzd0452-0148,nzd0452-0149,nzd0452-0150,nzd0452-0046,nzd0452-0047,nzd0452-0048,nzd0452-0050,nzd0452-0051,nzd0452-0052,nzd0452-0053,nzd0452-0054,nzd0452-0062,nzd0452-0063,nzd0452-0064,nzd0452-0065,nzd0452-0090,nzd0452-0091,nzd0452-0097,nzd0452-0098,nzd0452-0099,nzd0452-0100,nzd0452-0135,nzd0452-0136,nzd0452-0107,satname
2003-02-24 22:14:49+00:00,,,,,,,,,,,,189.08,192.12,173.29,233.56,198.02,173.52,221.31,172.91,184.18,248.12,220.34,231.77,185.63,,,,200.57,,,,,179.7,205.82,,,,,,,208.24,191.06,194.53,186.84,190.98,214.96,229.89,225.77,243.99,206.01,187.3,169.05,211.78,214.84,190.56,192.44,218.2,163.35,263.53,219.71,232.17,224.51,203.01,203.13,184.68,169.74,174.81,177.06,204.07,176.6,219.11,177.16,184.28,183.18,159.93,185.94,182.74,205.81,212.99,216.42,192.29,206.52,161.59,209.87,222.58,224.48,193.43,189.32,203.86,213.56,208.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-03-12 22:15:18+00:00,,,,,,,,,,,,189.08,192.12,173.29,233.56,198.02,173.52,221.31,209.42000000000002,230.51,315.125,233.88,273.79,185.63,,328.68,347.57,200.57,,,,,179.7,205.82,,,,,,,208.24,191.06,194.53,194.135,294.02,283.435,264.395,282.135,292.86,206.01,187.3,223.20000000000002,227.85,223.945,201.23000000000002,198.185,218.2,163.35,263.53,219.71,232.17,224.51,203.01,203.13,184.68,169.74,174.81,177.06,204.07,176.6,219.11,177.16,184.28,183.18,159.93,185.94,182.74,205.81,212.99,216.42,192.29,206.52,161.59,209.87,222.58,224.48,193.43,189.32,203.86,213.56,208.08,,,,,,,,,,,,,311.49,,225.92,,,,,194.42,163.43,251.16,290.53,296.04,,,,,,,,,,L7
