dates,satname,nzd0220-0000,nzd0220-0001,nzd0220-0002,nzd0220-0003,nzd0220-0004,nzd0220-0005,nzd0220-0006,nzd0220-0007,nzd0220-0008,nzd0220-0009,nzd0220-0010,nzd0220-0011,nzd0220-0012,nzd0220-0013,nzd0220-0014,nzd0220-0015
1999-09-29 21:52:52.243000,L7,383.74,376.08,377.07,376.45,381.21,373.09,387.24,379.35,389.50,369.30,379.55,381.53,375.67,372.11,374.62,390.28
1999-10-15 21:52:49.322000,L7,326.56,324.71,323.46,322.95,326.17,320.18,337.23,337.03,324.78,314.62,329.18,324.58,318.37,319.29,320.98,322.67
2000-02-04 21:52:37.377000,L7,356.31,290.20,319.02,323.84,346.84,347.38,357.57,359.05,331.54,329.43,318.95,326.11,334.25,330.55,331.17,352.38
2000-02-20 21:52:29.720000,L7,357.97,355.95,358.96,363.43,334.56,352.56,360.62,359.20,348.13,326.94,333.05,355.62,331.63,331.77,329.41,341.17
2000-04-24 21:52:10.308000,L7,326.13,287.00,296.39,313.50,304.83,312.80,321.52,314.90,315.61,305.23,319.41,309.77,311.19,,,
2000-05-26 21:51:48.668000,L7,376.94,368.45,368.32,374.47,368.04,373.03,343.46,,383.44,394.40,380.68,342.77,348.26,345.91,342.23,353.08
2000-08-14 21:50:56.232000,L7,,,,,,,,,284.29,313.04,326.46,324.55,318.60,318.43,319.65,320.28
2000-09-15 21:50:25.712000,L7,,,,,,,,,,,377.39,389.44,348.56,326.75,324.74,335.95
2000-10-17 21:50:01.277000,L7,353.09,344.29,340.88,344.90,351.37,356.37,358.91,353.31,343.08,331.03,338.85,332.62,334.78,339.83,337.88,344.12
2000-12-04 21:50:10.162000,L7,345.88,344.96,342.43,336.09,343.87,341.03,353.66,345.00,344.26,315.93,293.69,296.83,320.66,318.42,332.72,333.20
2001-01-05 21:50:16.585000,L7,386.81,392.14,397.49,400.39,,,369.57,360.14,351.84,348.94,323.89,355.25,360.67,392.53,373.10,371.45
2001-03-10 21:50:10.732000,L7,356.60,346.11,348.19,353.54,356.10,353.69,357.78,357.83,347.38,335.62,336.09,336.03,339.94,338.48,328.18,332.43
2001-03-26 21:50:01.268000,L7,371.85,365.44,368.89,371.86,366.00,365.65,376.90,372.42,358.38,356.73,348.14,345.11,322.72,340.97,342.68,341.35
2001-06-30 21:49:12.248000,L7,403.31,400.52,400.04,394.76,387.24,390.50,349.19,394.55,374.67,364.39,381.72,339.16,355.47,358.56,351.92,363.15
2001-09-18 21:48:17.356000,L7,327.04,298.07,320.79,306.39,328.27,322.41,345.16,339.49,289.01,336.35,338.64,324.23,327.55,325.55,323.17,327.69
2001-10-20 21:48:09.707000,L7,353.97,349.55,339.27,341.59,333.79,345.47,361.20,353.00,351.38,341.48,345.71,341.54,341.24,337.70,333.10,330.01
2002-01-24 21:48:42.967000,L7,327.28,298.69,316.71,319.74,328.57,331.89,319.45,301.40,300.57,321.04,291.30,309.73,315.93,317.81,316.72,328.95
2002-02-25 21:48:47.943000,L7,356.37,357.19,367.92,360.57,,,,,,,347.18,358.27,398.83,396.74,385.11,385.79
2002-04-14 21:48:38.601000,L7,391.57,294.42,291.65,315.44,324.05,313.83,297.91,,280.78,305.08,321.39,325.49,326.78,323.37,325.12,328.83
2002-06-01 21:48:28.245000,L7,336.20,336.56,305.07,315.77,328.54,317.22,309.26,,283.58,306.54,324.33,326.02,323.32,322.48,318.35,328.07
2002-08-20 21:47:58.545000,L7,337.28,337.50,341.29,322.03,335.05,329.22,319.32,281.46,281.22,320.24,317.63,330.68,328.21,337.79,335.05,334.69
2002-10-07 21:47:33.100000,L7,345.58,347.40,343.83,339.62,353.13,365.39,389.66,,,,,,,,,
2002-10-23 21:47:39.211000,L7,347.35,346.69,339.83,333.17,344.15,334.87,360.86,352.17,340.79,334.46,338.38,340.94,337.99,332.74,337.19,335.38
2002-11-08 21:47:44.401000,L7,343.20,341.29,344.96,347.88,340.62,338.08,359.72,360.85,347.11,333.09,342.46,327.63,337.73,334.14,338.03,340.13
2002-11-24 21:48:02.112000,L7,352.22,344.32,349.67,339.49,346.32,339.69,364.53,355.58,347.24,344.60,341.02,357.89,336.89,335.02,346.01,333.54
2002-12-26 21:48:11.926000,L7,346.81,298.94,343.52,374.70,377.13,341.89,413.92,385.05,379.18,372.73,383.01,361.71,377.48,,,
2003-01-11 21:48:14.464000,L7,375.94,375.05,377.66,371.37,370.75,359.96,374.30,402.15,382.94,403.99,368.21,375.43,377.57,394.00,359.65,322.43
2003-01-27 21:48:21.149000,L7,,,323.45,320.32,328.37,345.64,323.06,332.36,313.46,348.38,321.08,318.20,318.95,318.86,322.47,319.98
2003-05-03 21:48:37.175000,L7,356.18,344.17,353.17,371.40,354.17,344.32,386.50,292.77,297.12,322.42,340.39,334.24,344.65,347.81,340.74,348.73
2003-08-15 21:36:48.503000,L5,323.48,302.79,307.55,324.82,326.40,319.97,339.47,339.65,331.70,322.64,317.08,309.41,309.72,303.32,299.47,308.57
2003-08-31 21:37:06.588000,L5,,,,302.33,323.01,318.29,331.70,332.10,323.19,318.50,316.68,315.57,314.30,308.59,308.96,313.42
2003-10-18 21:37:48.406000,L5,,,,,322.15,327.52,344.94,337.31,326.76,327.44,329.57,327.18,325.55,323.83,327.38,330.00
2003-11-19 21:38:14.402000,L5,369.05,351.30,349.15,355.01,356.53,355.35,372.25,369.58,344.35,336.70,335.68,330.01,333.04,328.27,329.48,333.67
2004-01-22 21:38:40.402000,L5,,,,,,,341.01,333.79,319.02,315.14,312.52,294.69,,,,
2004-06-30 21:41:46.478000,L5,360.93,351.17,357.55,365.67,365.93,366.58,379.03,376.50,366.27,357.25,349.45,339.26,338.64,337.50,339.58,340.81
2004-09-02 21:43:21.489000,L5,304.14,308.33,310.54,317.22,,,331.60,335.25,323.50,320.44,313.05,301.20,307.76,304.63,304.29,308.25
2004-10-20 21:44:28.706000,L5,356.38,341.65,342.04,341.79,346.41,347.23,364.73,357.43,354.98,350.22,349.87,348.87,347.16,344.34,343.43,347.65
2004-12-07 21:45:24.093000,L5,351.86,339.24,333.16,339.08,347.59,354.81,372.39,368.66,358.37,346.09,346.74,347.61,343.39,339.34,329.76,328.34
2004-12-23 21:45:40.703000,L5,354.44,337.44,334.70,345.46,356.31,359.86,371.57,368.99,362.14,347.93,345.17,346.50,331.86,326.04,327.60,328.72
2005-01-24 21:46:06.161000,L5,,,,,,297.71,334.26,336.04,317.25,309.33,302.51,287.17,291.20,272.00,,
2005-02-09 21:46:19.482000,L5,356.87,346.47,341.32,350.60,362.84,368.06,380.41,379.26,370.63,363.81,353.22,355.43,358.36,344.16,346.04,345.54
2005-02-25 21:46:35.721000,L5,333.87,309.07,329.88,332.07,314.36,,,,,,,,,,,
2005-03-13 21:46:47.612000,L5,378.74,369.45,365.80,369.21,372.25,370.75,382.44,378.16,374.47,369.01,370.38,363.26,361.24,368.74,366.99,378.34
2005-03-29 21:46:54.602000,L5,319.16,289.14,310.80,316.53,310.21,308.53,344.21,341.74,327.56,321.28,314.55,302.41,298.58,294.67,289.92,302.38
2005-04-30 21:47:03.060000,L5,,,,,,,,,,,,290.51,297.76,292.50,307.60,314.93
2005-06-01 21:47:18.718000,L5,372.40,358.73,359.10,367.09,373.74,378.41,386.85,378.58,370.22,364.49,355.25,351.58,351.99,342.88,344.38,345.52
2005-07-19 21:47:39.248000,L5,,,,,,302.23,340.24,340.02,331.32,323.60,309.70,304.44,306.72,304.37,297.11,
2005-09-21 21:47:59.005000,L5,,,,,323.94,312.11,338.45,332.68,325.26,313.12,310.17,309.77,311.05,285.24,299.66,
2005-11-08 21:48:04.756000,L5,333.19,293.29,306.51,314.50,319.86,314.06,337.93,333.37,323.05,322.13,320.19,313.79,310.77,305.78,307.75,312.71
2005-11-24 21:48:28.120000,L5,356.36,332.95,335.32,355.86,358.11,361.39,371.22,369.11,361.13,350.00,349.65,346.63,335.28,332.65,332.91,333.08
2006-01-27 21:49:58.544000,L5,,,301.08,316.80,295.59,296.22,337.03,334.67,323.70,317.69,307.59,297.26,294.18,280.29,,
2006-02-28 21:50:40.410000,L5,334.23,294.66,306.97,323.17,321.94,317.59,344.26,338.71,328.37,321.14,310.50,295.03,291.43,279.85,,
2006-07-06 21:52:45.642000,L5,,,318.56,330.90,326.30,324.25,345.02,344.16,336.76,328.43,290.26,,,,,
2006-07-22 21:52:58.572000,L5,,,,,335.45,345.09,358.99,354.68,346.51,340.59,326.54,320.95,324.47,320.38,319.82,325.40
2006-08-07 21:53:11.255000,L5,330.47,299.34,322.01,331.68,329.56,314.27,302.32,320.23,327.05,321.67,296.65,,,,,
2006-08-23 21:53:23.469000,L5,,,309.59,315.71,319.27,314.17,334.55,340.52,328.92,323.67,314.19,313.41,311.92,307.00,305.61,302.45
2006-10-10 21:53:56.892000,L5,,,,307.06,311.01,304.90,324.77,321.90,311.18,302.58,307.57,302.56,301.75,294.92,297.54,307.26
2007-01-30 21:54:48.635000,L5,340.67,313.56,316.68,326.31,326.01,332.65,348.17,343.37,329.81,323.90,326.82,325.32,328.25,320.39,320.03,325.53
2007-02-15 21:54:49.756000,L5,366.76,348.38,345.95,346.75,349.87,352.65,363.74,360.50,350.63,340.64,341.09,337.97,340.91,339.15,336.81,341.49
2011-01-09 21:49:46.887000,L5,340.82,313.84,326.31,332.33,327.74,333.76,347.12,346.07,334.78,325.22,304.88,289.48,301.03,298.31,308.83,303.71
2011-01-25 21:49:47.233000,L5,338.86,316.70,326.68,331.49,326.67,334.92,344.14,341.95,334.47,325.03,317.77,310.94,314.89,303.73,307.24,317.60
2011-10-24 21:47:48.042000,L5,364.73,351.16,354.84,362.58,359.65,363.78,369.99,369.45,362.65,344.39,344.32,344.57,343.13,339.15,339.27,340.75
2013-06-23 22:01:46.719000,L8,349.15,347.05,349.49,360.30,352.97,359.00,368.56,361.39,355.11,345.86,334.00,337.57,334.60,334.18,331.23,328.52
