dates,nzd0482-0000,nzd0482-0001,nzd0482-0002,nzd0482-0003,nzd0482-0004,nzd0482-0005,nzd0482-0006,nzd0482-0007,nzd0482-0008,nzd0482-0009,nzd0482-0010,nzd0482-0011,nzd0482-0012,nzd0482-0013,nzd0482-0014,nzd0482-0015,nzd0482-0016,nzd0482-0017,nzd0482-0018,nzd0482-0019,nzd0482-0020,nzd0482-0021,nzd0482-0022,nzd0482-0023,nzd0482-0024,nzd0482-0025,nzd0482-0028,nzd0482-0029,nzd0482-0030,nzd0482-0031,nzd0482-0032,nzd0482-0033,nzd0482-0034,nzd0482-0035,nzd0482-0036,nzd0482-0037,nzd0482-0038,nzd0482-0039,nzd0482-0040,nzd0482-0041,nzd0482-0042,nzd0482-0043,nzd0482-0044,nzd0482-0045,nzd0482-0046,nzd0482-0047,nzd0482-0048,nzd0482-0049,nzd0482-0050,nzd0482-0051,nzd0482-0052,nzd0482-0053,nzd0482-0054,nzd0482-0055,nzd0482-0056,nzd0482-0057,nzd0482-0062,nzd0482-0063,nzd0482-0064,nzd0482-0065,nzd0482-0066,nzd0482-0067,nzd0482-0068,nzd0482-0069,nzd0482-0070,nzd0482-0071,nzd0482-0072,nzd0482-0073,nzd0482-0074,nzd0482-0075,nzd0482-0076,nzd0482-0077,nzd0482-0078,nzd0482-0079,nzd0482-0080,nzd0482-0081,nzd0482-0082,nzd0482-0083,nzd0482-0084,nzd0482-0085,nzd0482-0086,nzd0482-0087,nzd0482-0088,nzd0482-0089,nzd0482-0090,nzd0482-0091,nzd0482-0092,nzd0482-0093,nzd0482-0094,nzd0482-0095,nzd0482-0096,nzd0482-0097,nzd0482-0098,nzd0482-0099,nzd0482-0100,nzd0482-0101,nzd0482-0102,nzd0482-0103,nzd0482-0104,nzd0482-0105,nzd0482-0106,nzd0482-0107,nzd0482-0108,nzd0482-0109,nzd0482-0110,nzd0482-0111,nzd0482-0112,nzd0482-0113,nzd0482-0114,nzd0482-0115,nzd0482-0116,nzd0482-0117,nzd0482-0118,nzd0482-0119,nzd0482-0120,nzd0482-0121,nzd0482-0122,nzd0482-0123,nzd0482-0124,nzd0482-0125,nzd0482-0126,nzd0482-0127,nzd0482-0128,nzd0482-0129,nzd0482-0130,nzd0482-0131,nzd0482-0132,nzd0482-0133,nzd0482-0134,nzd0482-0135,nzd0482-0136,nzd0482-0137,nzd0482-0138,nzd0482-0139,nzd0482-0140,nzd0482-0141,nzd0482-0142,nzd0482-0143,nzd0482-0144,nzd0482-0145,nzd0482-0146,nzd0482-0147,nzd0482-0148,nzd0482-0149,nzd0482-0150,nzd0482-0058,nzd0482-0059,nzd0482-0060,nzd0482-0061,nzd0482-0026,nzd0482-0027,satname
2001-03-31 22:10:31+00:00,296.93,308.89,308.275,293.675,,,,,,,296.15,,325.71,,298.6,317.21,,,309.38,297.88,,315.75,301.62,301.49,310.27,291.79,302.42,287.66,,,326.43,336.41,,,305.33,,,,,,,299.2,,,,,,,,,,,,,294.95,,300.62,306.56,292.46,290.12,293.14,293.22,,,,,,,,,334.47,,,,,,,,,,,,,,,,,,332.34,,,353.1,,355.05,,342.35,349.17,353.36,341.2,356.05,333.27,328.735,,,358.14,350.77,345.21,346.62,,,331.23,325.66,320.65,,,,,367.62,366.55,363.49,367.35,372.985,374.345,373.84,368.735,370.99,367.565,374.66999999999996,376.6,364.71,357.86,352.42,357.8,355.46,361.28,,,,367.34,365.15,366.35,356.42,364.77,352.89,359.095,,318.62,320.57,296.46,291.75,292.76,L7
2001-07-14 22:03:57+00:00,,,299.27,274.73,,,,,,,300.11,,315.01,325.52,298.6,317.405,302.27,310.49,,,,,,,,,,,,,,336.41,,,305.33,,,,,,,,,,,,,,,,,,,,,,300.62,306.56,292.46,290.12,293.14,293.22,,,,,,,,,334.47,,,,,,,,,,,,,,313.72,312.13,330.06,316.09,333.65999999999997,,,353.1,,355.05,,342.35,349.17,353.36,341.2,356.05,333.27,341.31,,,358.14,350.77,345.21,346.62,303.7,,316.31,308.295,304.99,,309.07,302.07,,367.62,366.55,363.49,367.35,375.88,380.85,373.84,371.16,363.795,373.58500000000004,379.15,383.12,380.98,367.85,364.62,363.18,,365.04,361.08,363.84,367.6,,367.73,,,377.21,,367.94,,318.62,320.57,296.46,,,L7
2001-08-15 22:03:02+00:00,,,299.27,274.73,306.69,310.88,311.67,,,319.13,308.2966666666667,315.18,315.01,325.52,312.32500000000005,321.37,310.27,316.555,,,,321.47,315.38,306.77,316.11,297.41,301.09,311.62,,,,336.41,,,306.11,,304.54,303.14,,,,,,,307.4,298.01,296.83,294.03,305.16,306.19,314.15,304.2,314.94,313.76,320.65,264.11,302.17,305.32,293.92499999999995,298.84000000000003,293.14,307.81500000000005,312.14,314.67,309.53,310.15,308.92,306.5,302.85,318.36,319.02,277.5,,303.41,328.29,327.46,323.16,302.48,313.38,,,,276.66,263.71,302.91,315.44,326.01,325.03499999999997,337.7366666666667,,335.36,347.97,303.34,355.05,,342.35,349.17,353.36,341.2,356.05,333.27,341.31,,,355.89,335.87,344.475,346.62,305.595,,316.31,308.295,304.99,349.51,316.135,312.4,361.0,367.62,362.82500000000005,362.82500000000005,367.35,375.88,362.725,351.80999999999995,371.16,363.795,370.46000000000004,379.15,363.9066666666667,380.98,367.85,364.62,363.635,,365.04,361.08,363.84,367.6,,365.06,,,376.575,363.61,367.6,288.64,325.365,324.14,309.61,297.93,300.78,L7
2002-03-11 22:03:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.54,,,,,,,L7
2002-04-12 22:03:25+00:00,,305.78,299.13,306.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.75,,,,,,,,,,,,,,,,,,,,,337.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.97,381.55,379.65,378.84,371.73,386.21,380.04,373.83000000000004,,,,,,,L7
2002-05-14 22:03:19+00:00,,305.78,299.13,306.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.75,,,,,,,,,,,,,,,,,,,,,337.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.97,381.55,379.65,378.84,371.73,386.21,380.04,376.0133333333333,,,,,,,L7
2002-06-15 22:02:43+00:00,,305.78,299.13,306.28,,,298.31,304.85,,,311.85,315.68,319.81,333.32,330.82,,,,,,,324.49,,314.21,,313.84,,313.32,314.7,,,,,,,,,,,,,,307.345,,,,,290.1,,,,316.06,319.61,279.48,317.35,290.32,300.73,317.05,313.18,324.35,317.46,323.7,317.29,317.49,263.98,319.97,309.93,320.1,293.82,320.05,,,,,,321.76,316.69,,,,351.75,,,,335.26,340.88,,346.33,,348.99,347.16,347.38,332.93,352.79,352.79,,,,,,,337.85,,350.76,,,344.67,358.5,346.32,351.54,,,,359.4,362.88,359.54,356.71,359.68,,,,,319.68,352.69,366.39,362.47,359.97,367.93,359.87,318.22,,354.05,357.27,356.13,357.7,357.63,362.12,375.58500000000004,381.55,370.53999999999996,378.84,371.73,376.595,351.32000000000005,371.01,282.67,280.34,,306.02,,,L7
2002-11-22 22:02:21+00:00,,,,,,,298.31,304.85,,,311.85,315.68,319.81,333.32,330.82,,,,,,,324.49,,314.21,,313.84,,313.32,314.7,,,,,,,,,,,,,,,,,,,290.1,,,,316.06,319.61,279.48,317.35,290.32,300.73,317.05,313.18,324.35,317.46,323.7,317.29,317.49,263.98,319.97,309.93,320.1,293.82,320.05,,,,,,321.76,316.69,,,,,,,,335.26,340.88,,346.33,,348.99,347.16,347.38,332.93,352.79,352.79,,,,,,,,,350.76,,,344.67,358.5,346.32,351.54,,,,359.4,362.88,359.54,356.71,359.68,,,,,319.68,352.69,366.39,362.47,359.97,367.93,359.87,318.22,,354.05,357.27,356.13,357.7,357.63,362.12,370.2,,361.43,,,366.98,322.6,360.53499999999997,282.67,280.34,,306.02,,,L7
2003-09-30 21:52:18+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.56,,,,,,,,,,,,,,,,,,,,357.12,,,,,,358.04,352.52,,335.28,335.29,331.45,334.35,328.41,327.3,330.79,328.43,,,328.71,,,,,,,,,,L5
2003-10-16 21:52:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.01,,,310.22,291.68,,,,,,,,321.08,,,,,,,,,,,,,,,,,,326.59,331.74,334.53,,,,,,,,,304.65,307.40999999999997,329.89,,,,336.59,348.87,,,,,346.04,349.5,348.14,331.28,333.8,330.07,336.51,336.18,,340.875,335.23,348.41,342.99,,,358.04,356.31,345.91,334.355,334.07000000000005,326.375,328.88,326.25,327.315,328.58500000000004,326.1,330.04,332.59,326.48,328.79,330.46,329.89,,,,,,,L5
