dates,satname,nzd0482-0000,nzd0482-0001,nzd0482-0002,nzd0482-0003,nzd0482-0004,nzd0482-0005,nzd0482-0006,nzd0482-0007,nzd0482-0008,nzd0482-0009,nzd0482-0010,nzd0482-0011,nzd0482-0012,nzd0482-0013,nzd0482-0014,nzd0482-0015,nzd0482-0016,nzd0482-0017,nzd0482-0018,nzd0482-0019,nzd0482-0020,nzd0482-0021,nzd0482-0022,nzd0482-0023,nzd0482-0024,nzd0482-0025,nzd0482-0028,nzd0482-0029,nzd0482-0030,nzd0482-0031,nzd0482-0032,nzd0482-0033,nzd0482-0034,nzd0482-0035,nzd0482-0036,nzd0482-0037,nzd0482-0038,nzd0482-0039,nzd0482-0040,nzd0482-0041,nzd0482-0042,nzd0482-0043,nzd0482-0044,nzd0482-0045,nzd0482-0046,nzd0482-0047,nzd0482-0048,nzd0482-0049,nzd0482-0050,nzd0482-0051,nzd0482-0052,nzd0482-0053,nzd0482-0054,nzd0482-0055,nzd0482-0056,nzd0482-0057,nzd0482-0062,nzd0482-0063,nzd0482-0064,nzd0482-0065,nzd0482-0066,nzd0482-0067,nzd0482-0068,nzd0482-0069,nzd0482-0070,nzd0482-0071,nzd0482-0072,nzd0482-0073,nzd0482-0074,nzd0482-0075,nzd0482-0076,nzd0482-0077,nzd0482-0078,nzd0482-0079,nzd0482-0080,nzd0482-0081,nzd0482-0082,nzd0482-0083,nzd0482-0084,nzd0482-0085,nzd0482-0086,nzd0482-0087,nzd0482-0088,nzd0482-0089,nzd0482-0090,nzd0482-0091,nzd0482-0092,nzd0482-0093,nzd0482-0094,nzd0482-0095,nzd0482-0096,nzd0482-0097,nzd0482-0098,nzd0482-0099,nzd0482-0100,nzd0482-0101,nzd0482-0102,nzd0482-0103,nzd0482-0104,nzd0482-0105,nzd0482-0106,nzd0482-0107,nzd0482-0108,nzd0482-0109,nzd0482-0110,nzd0482-0111,nzd0482-0112,nzd0482-0113,nzd0482-0114,nzd0482-0115,nzd0482-0116,nzd0482-0117,nzd0482-0118,nzd0482-0119,nzd0482-0120,nzd0482-0121,nzd0482-0122,nzd0482-0123,nzd0482-0124,nzd0482-0125,nzd0482-0126,nzd0482-0127,nzd0482-0128,nzd0482-0129,nzd0482-0130,nzd0482-0131,nzd0482-0132,nzd0482-0133,nzd0482-0134,nzd0482-0135,nzd0482-0136,nzd0482-0137,nzd0482-0138,nzd0482-0139,nzd0482-0140,nzd0482-0141,nzd0482-0142,nzd0482-0143,nzd0482-0144,nzd0482-0145,nzd0482-0146,nzd0482-0147,nzd0482-0148,nzd0482-0149,nzd0482-0150,nzd0482-0058,nzd0482-0059,nzd0482-0060,nzd0482-0061,nzd0482-0026,nzd0482-0027
1999-08-26 22:07:08.722000,L7,317.93,322.49,316.80,332.90,333.46,332.27,336.55,330.31,337.18,344.40,347.86,347.18,363.99,369.73,372.68,359.22,359.57,356.22,357.40,351.03,351.02,358.26,354.71,346.72,340.08,346.72,346.50,347.46,365.92,355.31,369.42,360.33,346.41,341.17,352.46,304.05,351.53,347.07,335.86,349.12,343.52,365.61,344.13,361.51,383.01,360.62,362.87,306.47,325.44,369.15,361.60,352.54,353.95,348.12,366.52,370.64,364.58,353.68,359.20,344.42,366.58,385.25,375.05,385.04,356.50,366.63,350.62,350.02,355.37,348.47,351.57,377.54,354.31,363.90,361.66,364.56,354.94,367.11,365.97,268.70,357.73,355.11,348.64,351.45,368.49,368.16,362.01,358.96,369.88,370.64,369.43,324.15,328.64,325.28,325.56,301.55,303.01,377.00,380.45,378.65,377.45,344.93,354.37,376.84,373.12,365.52,322.27,330.82,312.54,367.79,371.21,368.76,377.83,372.09,374.91,365.03,362.89,378.45,381.61,390.52,387.15,392.19,394.70,386.20,382.75,378.33,377.52,388.95,396.41,393.25,383.13,371.19,373.54,363.79,366.13,369.09,374.88,378.61,382.22,373.81,377.23,379.70,384.69,381.31,376.97,,,,,,
1999-08-26 22:07:32.686000,L7,318.73,322.64,317.72,333.25,334.11,332.10,337.17,329.75,336.35,345.44,347.47,346.04,367.88,371.02,,357.11,359.77,355.69,356.65,350.39,350.12,357.89,354.07,348.25,339.51,346.75,343.96,387.96,365.59,354.29,364.71,355.00,346.85,340.81,352.60,318.33,351.37,343.64,335.32,348.90,354.90,365.68,344.40,360.55,383.96,359.12,359.95,360.74,361.66,367.40,361.58,351.92,348.70,347.24,365.83,370.59,365.03,356.21,360.93,344.09,366.24,386.34,373.27,382.83,356.92,368.75,350.63,349.18,355.62,348.01,350.56,378.14,388.74,364.27,361.37,363.45,353.64,368.37,365.61,348.51,,,,,,391.05,362.38,360.39,368.86,369.37,369.21,320.45,325.61,323.81,324.44,322.65,321.11,376.16,380.12,378.80,379.66,346.19,357.18,376.78,372.91,367.57,373.02,376.16,374.45,370.63,371.28,366.96,378.19,375.02,376.30,368.45,363.63,376.87,382.60,388.36,387.56,392.77,397.44,387.56,383.79,378.86,381.25,388.77,399.19,394.54,384.45,372.79,374.51,365.02,366.67,368.73,374.45,377.88,382.81,374.32,378.77,380.44,386.17,383.35,378.15,354.60,366.55,394.80,395.96,,
1999-10-13 22:07:12.582000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.64,331.68,307.03,296.99,328.45,327.74,321.24,319.42,326.77,329.78,344.21,327.20,327.75,335.24,363.24,365.60,363.06,369.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-16 22:07:09.748000,L7,321.72,355.06,355.06,348.59,309.70,305.79,305.49,312.22,323.79,327.71,352.47,292.80,,,322.99,312.36,302.16,310.84,371.53,342.85,360.10,367.25,296.79,297.95,312.70,394.31,323.91,335.41,328.06,340.55,344.58,341.15,335.83,333.56,329.53,325.11,329.70,324.51,321.43,327.22,330.22,338.89,336.38,283.55,351.83,351.09,348.61,373.54,318.71,328.98,351.70,382.63,373.54,355.37,345.87,348.47,337.77,,,373.21,384.46,374.57,330.69,353.59,302.44,292.80,351.50,364.73,381.86,374.78,360.17,359.01,380.67,376.86,349.01,347.15,363.39,355.15,369.23,372.24,285.47,285.76,301.49,372.20,380.77,360.99,360.38,371.74,376.36,388.66,358.74,358.08,365.69,362.80,359.70,351.51,350.67,346.58,361.80,355.20,349.74,,304.82,354.71,366.52,357.48,355.89,383.28,375.51,358.08,356.26,333.75,346.23,353.39,352.69,348.09,359.25,361.21,356.49,362.75,363.88,374.05,375.67,368.46,363.23,357.08,357.51,357.46,360.90,355.20,338.68,349.14,352.24,355.66,360.76,358.96,359.03,359.25,354.43,361.16,353.90,347.12,355.60,350.78,341.67,348.13,318.85,352.08,349.27,386.28,326.98
1999-12-16 22:07:33.708000,L7,320.52,355.08,354.77,349.40,307.54,306.00,304.07,311.49,320.95,346.19,351.73,,,,,311.98,300.85,310.02,319.94,299.17,291.18,364.65,357.09,297.36,311.25,390.19,321.45,333.75,325.86,339.08,343.59,338.86,365.10,363.26,355.64,354.37,358.49,348.61,342.88,347.30,349.33,360.98,377.34,346.14,349.99,360.03,389.65,371.53,317.37,328.43,350.08,380.32,365.81,354.09,344.13,347.99,331.93,351.43,349.85,393.38,383.07,373.32,360.50,351.53,299.13,292.05,349.70,362.20,378.65,373.04,358.11,357.05,379.47,376.58,346.76,346.70,361.69,352.26,366.19,369.62,371.53,346.38,298.89,327.53,338.66,358.91,358.77,371.12,376.13,387.06,354.30,356.21,364.62,360.28,359.72,351.56,350.73,345.38,361.84,353.63,348.23,,305.44,352.76,359.15,353.46,356.09,373.06,373.77,355.39,356.58,323.24,345.53,352.44,350.83,327.43,313.66,358.78,355.04,362.28,361.32,372.17,373.33,366.37,360.66,354.91,356.04,356.38,359.58,354.57,335.74,305.70,350.64,355.19,358.19,357.85,357.22,359.14,354.07,360.14,352.77,346.14,356.23,349.41,342.08,345.90,356.55,346.72,347.17,385.78,325.77
2000-03-21 22:06:49.022000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.84,344.58,347.48,351.21,353.14,353.58,358.29,355.03,356.53,357.28,357.67,349.52,354.28,354.06,355.50,363.32,366.59,367.63,372.05,362.38,366.93,365.83,368.67,351.86,371.50,360.66,348.90,352.77,357.41,350.30,315.22,305.64,361.46,361.57,351.13,355.59,,,,,,,,,,,,,,361.75,341.14,315.63,317.44,342.70,317.92,305.25,347.33,359.93,370.23,352.11,333.54,354.20,,,,,,,,,,,,,,,401.66,358.77,369.58,369.25,350.27,383.07,378.66,327.98,404.35,,,,,,366.54,361.30,362.03,,
2000-05-08 22:06:44.900000,L7,,,,,309.92,313.61,326.51,315.78,325.19,328.05,364.35,,390.13,355.55,347.75,349.03,341.10,351.94,370.34,381.21,390.34,362.98,365.54,371.05,347.51,341.00,364.29,330.92,330.95,370.99,371.63,,,,,375.11,375.00,340.90,339.44,343.88,343.75,349.34,336.79,280.49,371.22,364.35,385.67,365.67,,373.99,386.05,375.18,389.49,339.61,,386.54,378.36,364.49,340.15,367.80,375.42,371.61,359.97,326.68,377.81,,,,,,361.57,358.56,342.10,354.29,389.51,370.28,376.01,372.45,354.09,,342.42,331.15,337.99,285.90,343.07,349.55,346.51,351.43,365.69,357.45,361.63,351.79,356.36,355.30,359.44,351.48,339.15,353.76,360.25,362.02,358.73,331.61,342.44,355.44,354.47,344.74,348.87,358.49,366.17,358.81,363.87,356.24,363.45,364.06,365.16,358.36,360.75,366.19,370.98,362.17,369.98,374.08,377.44,372.98,378.76,374.86,373.05,379.93,380.86,383.35,379.08,367.11,366.30,366.00,369.52,368.28,369.86,375.74,367.85,375.92,374.34,370.93,382.41,374.47,371.79,391.37,367.25,396.33,372.82,350.03,362.15
2000-05-31 22:12:18.480000,L7,,,,,296.40,301.70,306.38,305.49,317.37,316.94,321.31,312.24,318.74,331.05,325.68,327.59,315.77,316.02,316.69,305.55,313.85,304.79,310.73,299.79,307.37,293.86,295.71,,,,,,,,363.01,384.81,369.43,381.80,,,,,375.85,392.55,305.87,310.17,301.49,285.51,287.99,311.32,312.14,305.62,307.86,274.18,326.27,308.05,297.19,305.81,289.07,304.04,304.93,311.20,296.48,307.70,,,,,,,,,,298.95,296.96,281.23,309.20,309.62,320.71,,297.98,316.77,290.16,270.86,320.65,304.91,311.57,318.11,333.60,332.78,336.60,328.73,,,,,302.45,333.99,339.05,337.27,338.84,300.60,,,,,,,,,,,338.48,348.85,343.00,350.67,356.60,346.55,,,,,314.31,331.69,345.01,351.46,355.91,362.33,360.76,,,,,,,,,,,,,,,,,,,317.42,304.85,293.40,294.02
2000-06-25 22:05:55.844000,L7,,,,,286.74,291.87,300.87,295.02,306.41,315.90,299.96,296.35,286.93,321.00,323.48,348.47,350.42,324.57,337.85,305.12,324.57,340.97,320.74,298.56,315.00,306.90,310.14,335.94,297.14,301.03,,,,,,,,,,,,,,,337.76,343.78,328.96,319.03,336.10,342.69,312.59,304.19,,,,,296.90,302.19,297.97,305.04,302.45,311.32,294.09,306.85,,366.86,388.24,359.22,372.52,,,,,,,,,,,,,,,,324.01,346.56,359.09,366.49,378.74,317.90,290.88,278.66,292.46,340.43,368.61,377.25,378.51,380.89,353.10,330.99,329.53,,,,,,,,,,308.36,292.91,333.26,366.95,363.34,345.22,343.36,356.19,,,,,286.14,324.35,350.07,365.19,358.19,341.94,362.45,369.46,362.63,303.79,303.94,349.60,347.10,364.50,328.09,369.48,362.25,356.67,360.43,356.21,380.37,340.49,370.23,,,320.64,302.55,315.57,314.09
2000-06-25 22:06:19.852000,L7,,,,,298.00,299.66,310.87,301.89,310.36,326.00,305.28,302.65,306.97,326.39,328.10,365.12,355.45,348.38,341.52,347.72,348.04,351.67,326.99,306.60,321.38,333.69,321.41,342.27,300.24,302.92,281.17,284.53,,,,,,,,,,,,307.00,348.57,347.97,335.36,326.06,340.73,347.19,342.51,337.48,314.57,360.43,373.14,390.43,343.70,357.13,338.96,384.12,395.76,340.52,360.40,371.43,342.43,370.16,392.14,364.01,376.02,347.04,337.70,339.04,346.35,341.59,339.92,325.50,357.01,,,,,,,259.06,333.08,350.29,363.08,373.08,384.35,368.99,342.07,372.58,366.22,350.62,319.52,348.82,353.41,370.51,359.00,376.62,334.07,305.42,329.06,307.00,309.40,296.56,301.21,293.28,303.27,303.36,311.07,294.36,336.78,371.09,382.05,391.85,385.45,375.96,379.83,348.04,347.09,,315.82,326.95,353.67,371.86,364.84,378.09,369.81,375.34,367.67,305.11,345.63,365.57,349.26,369.96,378.34,375.36,366.44,365.41,366.55,358.91,386.02,377.87,372.81,372.36,340.17,324.50,319.06,322.11,337.88
